Date,Open,High,Low,Close,Volume
28-Apr-17,45.90,46.04,45.29,45.44,6600043
27-Apr-17,45.68,45.86,44.86,45.74,12387986
26-Apr-17,46.73,47.06,46.34,46.37,7610698
25-Apr-17,47.14,47.55,46.70,46.73,7873944
24-Apr-17,46.50,46.93,46.07,46.81,12522646
21-Apr-17,45.85,46.04,45.30,45.53,6395988
20-Apr-17,45.41,46.17,45.25,45.93,7679246
19-Apr-17,44.81,45.60,44.70,45.08,8488167
18-Apr-17,44.20,44.78,43.97,44.41,7973836
17-Apr-17,44.13,44.45,44.00,44.35,7140338
13-Apr-17,44.89,45.00,43.81,44.03,14893976
12-Apr-17,46.97,47.17,45.00,45.05,14332760
11-Apr-17,45.00,45.32,44.48,45.29,10506828
10-Apr-17,45.07,45.23,44.60,44.97,9945396
7-Apr-17,45.22,45.40,44.75,45.17,9007291
6-Apr-17,45.12,45.66,44.87,45.26,6080421
5-Apr-17,45.43,46.10,45.04,45.08,8313359
4-Apr-17,45.84,46.05,45.00,45.11,8765542
3-Apr-17,46.00,46.34,45.57,46.32,7398138
31-Mar-17,46.12,46.29,45.89,45.96,7052745
30-Mar-17,46.02,46.48,45.91,46.27,4909066
29-Mar-17,46.42,46.65,45.73,45.95,6321131
28-Mar-17,46.10,46.80,45.76,46.53,7321153
27-Mar-17,45.37,46.26,45.08,46.10,9022959
24-Mar-17,46.10,46.31,45.60,46.00,6290271
23-Mar-17,45.87,46.22,45.47,45.92,5589249
22-Mar-17,45.25,45.84,44.47,45.74,12063978
21-Mar-17,47.07,47.18,45.43,45.52,10366209
20-Mar-17,47.23,47.23,46.55,46.85,5867109
17-Mar-17,47.62,47.65,46.51,46.51,12294972
16-Mar-17,47.62,47.70,47.02,47.41,7898964
15-Mar-17,45.93,47.49,45.23,47.19,17933048
14-Mar-17,47.02,47.07,46.12,46.28,14313232
13-Mar-17,47.90,48.22,47.17,47.35,6995340
10-Mar-17,47.31,47.98,47.21,47.91,6263119
9-Mar-17,47.69,48.35,46.96,47.25,8790482
8-Mar-17,47.68,47.97,47.52,47.67,7170045
7-Mar-17,48.52,48.67,47.56,47.64,10266164
6-Mar-17,49.50,49.85,48.21,48.85,11368709
3-Mar-17,50.01,50.64,49.72,50.13,11176970
2-Mar-17,50.00,50.69,49.81,49.96,12527155
1-Mar-17,50.41,51.86,50.35,51.03,14144652
28-Feb-17,50.50,50.60,49.86,49.93,6950167
27-Feb-17,50.33,50.46,49.83,50.44,7574234
24-Feb-17,50.38,50.52,49.88,50.46,8154722
23-Feb-17,51.12,51.49,50.19,50.48,6470866
22-Feb-17,51.00,51.14,50.48,50.93,4345077
21-Feb-17,51.30,51.53,50.97,51.21,6406538
17-Feb-17,50.59,51.23,50.19,51.23,5427990
16-Feb-17,51.16,51.17,50.58,50.83,6626729
15-Feb-17,50.95,51.96,50.53,51.17,12704974
14-Feb-17,49.82,49.98,49.10,49.86,7024566
13-Feb-17,49.37,50.42,49.28,50.06,6565871
10-Feb-17,49.55,49.57,49.02,49.26,5322586
9-Feb-17,48.26,49.55,48.13,49.33,7274696
8-Feb-17,48.26,48.30,47.73,48.10,5342581
7-Feb-17,48.44,48.94,48.08,48.15,7262909
6-Feb-17,48.18,48.68,47.93,48.26,7169217
3-Feb-17,47.52,48.00,47.41,47.81,5632317
2-Feb-17,46.59,47.66,46.48,47.38,8795723
1-Feb-17,47.48,47.77,47.04,47.26,8377490
31-Jan-17,47.79,47.83,46.57,47.24,12533828
30-Jan-17,48.95,48.95,47.54,47.67,12745604
27-Jan-17,51.00,51.12,49.57,49.70,6851961
26-Jan-17,50.69,51.54,50.56,50.90,8905600
25-Jan-17,49.99,50.43,49.81,50.19,8096311
24-Jan-17,48.91,49.76,48.82,49.44,6398060
23-Jan-17,50.28,50.43,48.77,48.77,8753052
20-Jan-17,49.77,50.54,49.71,50.50,7722376
19-Jan-17,50.28,50.50,49.62,49.70,7012738
18-Jan-17,50.14,50.80,49.78,50.30,7076494
17-Jan-17,50.99,51.22,50.19,50.33,7477487
13-Jan-17,50.79,51.64,50.78,51.23,7380552
12-Jan-17,51.30,52.00,49.67,50.89,14284750
11-Jan-17,51.46,51.74,50.65,51.44,10001564
10-Jan-17,49.93,51.35,49.86,50.93,8440461
9-Jan-17,49.46,50.17,49.42,49.69,5332927
6-Jan-17,49.79,50.30,49.22,49.68,6922698
5-Jan-17,50.41,50.68,49.50,49.73,5806193
4-Jan-17,50.09,50.93,49.99,50.70,7898583
3-Jan-17,49.37,50.14,49.17,49.48,5423224
30-Dec-16,49.34,49.56,48.87,49.19,4532413
29-Dec-16,49.54,49.85,49.21,49.31,3348252
28-Dec-16,50.35,50.46,49.45,49.51,4520198
27-Dec-16,49.95,50.61,49.93,50.36,3365557
23-Dec-16,49.94,50.14,49.78,49.89,4046336
22-Dec-16,50.77,50.85,49.66,49.80,5407319
21-Dec-16,50.68,51.15,50.45,50.92,4077664
