Date,Open,High,Low,Close,Volume
28-Apr-17,80.20,80.20,79.17,79.75,1959594
27-Apr-17,81.59,81.59,79.95,80.13,3408651
26-Apr-17,82.01,82.28,81.38,81.61,2466120
25-Apr-17,81.32,82.30,81.01,82.21,3444309
24-Apr-17,79.42,80.07,79.24,79.37,2345907
21-Apr-17,78.41,78.80,78.12,78.65,2098744
20-Apr-17,78.08,79.02,77.85,78.29,2319227
19-Apr-17,78.21,78.29,77.51,77.77,2428549
18-Apr-17,77.71,78.27,77.39,77.88,2256698
17-Apr-17,77.72,78.12,77.27,78.09,2353739
13-Apr-17,78.17,78.20,77.34,77.44,2620307
12-Apr-17,79.01,79.32,78.30,78.43,1975800
11-Apr-17,79.61,79.97,78.89,79.14,1992299
10-Apr-17,79.89,80.19,79.57,80.00,2919806
7-Apr-17,80.25,80.50,79.92,80.05,1917838
6-Apr-17,80.59,81.14,80.22,80.64,1935111
5-Apr-17,80.02,81.52,79.95,80.47,4883313
4-Apr-17,79.59,79.86,79.11,79.80,3601118
3-Apr-17,80.44,80.67,78.83,79.67,2670064
31-Mar-17,81.40,81.50,80.32,80.33,3554323
30-Mar-17,81.90,82.08,81.35,81.64,2098932
29-Mar-17,81.60,82.04,81.32,81.87,3064567
28-Mar-17,80.39,82.37,80.15,81.84,3530410
27-Mar-17,79.35,80.78,78.83,80.58,3570040
24-Mar-17,80.40,81.07,79.27,79.60,2438961
23-Mar-17,78.94,80.68,78.77,80.56,3900612
22-Mar-17,79.68,79.68,78.32,79.18,3170349
21-Mar-17,81.60,81.83,79.56,79.76,3823300
20-Mar-17,81.14,81.86,80.63,81.50,3010826
17-Mar-17,81.42,81.54,80.64,81.25,6459842
16-Mar-17,81.07,81.30,80.28,80.61,1946629
15-Mar-17,81.02,81.51,80.51,81.49,2889141
14-Mar-17,80.78,80.97,80.11,80.42,2372183
13-Mar-17,81.00,81.35,80.72,81.23,2153980
10-Mar-17,80.73,80.99,80.23,80.86,2906665
9-Mar-17,79.87,80.53,79.06,80.48,3807170
8-Mar-17,79.60,80.55,79.11,79.77,3365976
7-Mar-17,79.81,79.81,79.31,79.39,4562937
6-Mar-17,79.68,80.50,79.13,79.81,3829027
3-Mar-17,79.90,80.12,79.34,79.60,1845195
2-Mar-17,80.00,80.14,79.43,79.73,2965584
1-Mar-17,79.51,80.00,79.01,79.71,5096944
28-Feb-17,79.30,79.30,78.30,78.54,2309002
27-Feb-17,79.72,79.99,78.92,79.23,2634198
24-Feb-17,79.50,79.85,79.18,79.81,2369617
23-Feb-17,79.96,80.08,79.27,79.59,4412314
22-Feb-17,77.02,80.66,77.00,79.80,9193073
21-Feb-17,77.31,78.20,76.90,77.18,2054080
17-Feb-17,77.70,77.80,76.81,77.49,1716674
16-Feb-17,78.00,78.40,77.49,77.79,1455766
15-Feb-17,78.03,78.09,77.53,77.94,1674299
14-Feb-17,77.70,78.34,76.83,78.05,4200144
13-Feb-17,77.20,77.90,76.99,77.82,2192556
10-Feb-17,76.66,77.30,76.56,77.21,1556394
9-Feb-17,76.00,76.86,75.77,76.37,1869816
8-Feb-17,75.62,76.26,75.50,75.96,1412091
7-Feb-17,76.21,76.55,75.82,76.07,1387204
6-Feb-17,75.92,76.48,75.88,76.29,1335851
3-Feb-17,76.22,76.57,75.63,76.43,1296113
2-Feb-17,76.09,76.90,75.86,76.17,1769943
1-Feb-17,75.30,76.39,75.17,76.34,2211438
31-Jan-17,75.84,75.87,75.04,75.50,1970588
30-Jan-17,77.10,77.28,75.81,76.00,2016668
27-Jan-17,77.95,78.34,77.68,77.70,2109132
26-Jan-17,76.54,78.36,76.39,77.99,3521059
25-Jan-17,76.00,76.86,75.68,76.67,4016019
24-Jan-17,73.71,76.47,73.00,76.05,5715708
23-Jan-17,72.97,73.34,72.23,72.78,2373024
20-Jan-17,73.21,73.69,72.66,73.03,3231085
19-Jan-17,73.64,73.84,72.59,72.95,1461806
18-Jan-17,73.16,73.60,72.62,73.45,1986455
17-Jan-17,73.10,73.15,72.44,72.97,2726666
13-Jan-17,73.84,74.05,73.24,73.60,1942343
12-Jan-17,74.01,74.55,73.65,74.11,2386598
11-Jan-17,73.56,74.08,73.28,74.03,2152220
10-Jan-17,73.60,73.93,73.15,73.56,2520260
9-Jan-17,73.03,75.25,73.03,73.72,3504624
6-Jan-17,73.75,73.75,72.94,73.38,2364941
5-Jan-17,73.87,74.20,73.28,73.81,1963894
4-Jan-17,73.75,74.53,73.75,74.17,2684097
