Date,Open,High,Low,Close,Volume
28-Apr-17,63.57,63.94,62.27,62.59,5569749
27-Apr-17,65.36,65.39,64.18,64.32,3434128
26-Apr-17,66.25,66.45,63.44,65.23,5679925
25-Apr-17,67.68,67.73,66.95,67.28,3228452
24-Apr-17,67.75,67.80,66.85,66.91,3247236
21-Apr-17,66.97,67.15,66.10,66.23,2851914
20-Apr-17,65.45,66.95,65.45,66.69,3874807
19-Apr-17,65.38,65.57,64.86,64.97,1976548
18-Apr-17,65.32,65.62,64.62,65.04,2541414
17-Apr-17,64.88,65.76,64.60,65.68,2027596
13-Apr-17,65.14,65.74,64.75,64.77,1857144
12-Apr-17,65.64,66.15,65.35,65.47,2197369
11-Apr-17,65.16,66.03,64.81,66.03,2473323
10-Apr-17,65.89,66.22,65.34,65.43,2392061
7-Apr-17,65.99,66.55,65.68,65.98,2975443
6-Apr-17,66.08,66.89,65.26,66.53,3195558
5-Apr-17,67.78,67.98,66.02,66.12,2797512
4-Apr-17,67.67,67.83,66.78,67.05,2322650
3-Apr-17,68.47,68.54,67.03,67.95,1716898
31-Mar-17,68.54,68.82,68.15,68.39,1971701
30-Mar-17,67.66,68.91,67.47,68.66,1583997
29-Mar-17,67.81,67.95,67.39,67.66,1195902
28-Mar-17,66.42,68.37,66.42,67.89,1782449
27-Mar-17,66.05,66.99,65.54,66.79,1934705
24-Mar-17,67.81,67.81,66.80,67.21,1611107
23-Mar-17,67.61,68.25,67.16,67.42,1918089
22-Mar-17,67.30,68.13,66.65,67.66,1827010
21-Mar-17,70.14,70.31,67.48,67.60,2857090
20-Mar-17,70.28,70.68,69.85,69.88,1922829
17-Mar-17,71.13,71.38,69.88,70.31,3422021
16-Mar-17,70.90,71.35,70.76,71.00,1936850
15-Mar-17,71.86,71.89,70.23,70.63,2903935
14-Mar-17,71.00,71.88,70.83,71.80,1559517
13-Mar-17,71.46,71.70,71.06,71.32,1363300
10-Mar-17,71.66,71.86,71.01,71.52,1631714
9-Mar-17,71.62,71.84,71.05,71.29,1459869
8-Mar-17,71.59,71.80,71.29,71.36,1610965
7-Mar-17,70.81,71.49,70.53,70.98,1865810
6-Mar-17,71.03,71.03,70.34,70.82,1547509
3-Mar-17,71.05,71.46,70.64,71.40,2456334
2-Mar-17,72.46,72.46,71.00,71.06,1850167
1-Mar-17,72.23,72.91,72.23,72.40,2819173
28-Feb-17,71.27,71.65,70.73,71.14,3419334
27-Feb-17,71.30,71.70,71.06,71.63,2064678
24-Feb-17,70.84,71.41,70.56,71.22,2133993
23-Feb-17,71.30,71.54,70.85,71.46,1726928
22-Feb-17,71.02,71.37,70.60,71.17,1721365
21-Feb-17,71.40,72.31,70.98,71.29,2201218
17-Feb-17,70.45,71.33,69.93,71.30,2082230
16-Feb-17,70.75,70.99,70.20,70.84,1642067
15-Feb-17,71.14,71.40,70.64,70.92,1869438
14-Feb-17,69.25,70.94,69.17,70.85,2338066
13-Feb-17,69.17,69.91,69.05,69.58,1396246
10-Feb-17,69.21,69.25,68.73,68.82,1348386
9-Feb-17,68.40,69.15,68.15,68.95,1441164
8-Feb-17,68.20,68.42,67.73,68.16,2200116
7-Feb-17,69.24,69.58,68.34,68.51,2300367
6-Feb-17,69.05,69.41,68.80,69.29,2048862
3-Feb-17,68.93,69.68,68.52,69.36,2016466
2-Feb-17,68.34,68.94,67.82,68.06,2952119
1-Feb-17,69.70,70.20,68.68,68.77,2763253
31-Jan-17,69.05,69.78,68.73,69.28,2689320
30-Jan-17,68.86,69.66,68.27,69.63,2166644
27-Jan-17,69.50,69.56,68.96,69.06,1769831
26-Jan-17,69.10,69.42,68.59,69.35,3250285
25-Jan-17,70.83,71.17,68.50,69.21,5475564
24-Jan-17,69.68,70.20,68.83,69.88,3511059
23-Jan-17,69.98,70.45,69.03,69.28,2577955
20-Jan-17,70.30,70.81,69.75,70.20,3200275
19-Jan-17,70.52,70.53,69.73,70.00,1609068
18-Jan-17,70.11,70.50,69.28,70.36,2473163
17-Jan-17,71.29,71.49,69.51,69.90,2715104
13-Jan-17,71.40,72.84,71.39,71.66,1648515
12-Jan-17,71.05,71.50,70.22,71.31,3042311
11-Jan-17,72.18,72.46,71.33,71.65,3264473
10-Jan-17,71.80,72.91,71.19,72.11,3277813
9-Jan-17,71.63,72.05,70.71,71.62,3588521
6-Jan-17,72.76,73.02,71.83,72.06,3137831
5-Jan-17,73.79,73.79,72.26,72.90,2328202
4-Jan-17,73.09,74.33,72.89,73.94,2360471
3-Jan-17,72.90,73.35,71.91,72.73,2292419
30-Dec-16,71.99,72.47,71.48,72.09,1817881
29-Dec-16,72.06,72.50,71.53,71.85,1462889
28-Dec-16,72.94,72.97,71.57,71.91,1677673
27-Dec-16,73.16,73.48,72.57,72.82,913968
23-Dec-16,72.61,73.02,72.45,72.64,1152776
22-Dec-16,72.72,72.90,71.91,72.42,2045814
21-Dec-16,73.07,73.14,72.37,72.89,1175100
20-Dec-16,72.45,73.21,72.20,73.18,2128447
19-Dec-16,71.62,72.54,71.31,72.18,2134438
16-Dec-16,72.69,72.69,71.46,71.69,4574274
15-Dec-16,72.00,73.62,71.97,72.47,2753585
14-Dec-16,71.27,72.54,70.84,71.23,2719814
13-Dec-16,71.89,72.59,71.34,71.84,2220393
12-Dec-16,72.36,72.89,71.17,71.68,2935372
9-Dec-16,71.84,72.83,71.38,72.82,3063950
8-Dec-16,71.84,72.24,71.07,72.05,3547601
7-Dec-16,68.76,71.98,68.33,71.62,5768138
6-Dec-16,67.89,68.42,67.50,68.38,2257012
5-Dec-16,67.89,68.19,67.38,67.45,2635599
2-Dec-16,68.23,68.23,66.88,67.26,2273251
1-Dec-16,68.00,68.90,67.78,68.06,3469604
30-Nov-16,68.18,68.50,67.42,67.77,3867743
29-Nov-16,67.86,68.15,67.40,67.62,2568432
28-Nov-16,68.15,68.49,67.63,67.75,2143808
25-Nov-16,68.26,68.88,68.12,68.41,1159622
23-Nov-16,67.26,68.34,67.01,68.28,2345543
22-Nov-16,66.89,67.39,66.59,67.16,2892548
21-Nov-16,66.51,66.79,66.13,66.63,2186559
18-Nov-16,65.73,66.78,65.73,66.24,2523883
17-Nov-16,65.30,66.14,65.14,66.01,2838984
16-Nov-16,65.86,66.19,64.98,65.25,2485317
15-Nov-16,65.43,66.36,64.21,66.33,3453322
14-Nov-16,65.00,67.18,64.98,66.70,5897707
11-Nov-16,63.14,64.69,63.03,64.57,4450901
10-Nov-16,60.81,63.72,60.79,63.60,5851448
9-Nov-16,58.16,60.58,57.84,60.29,4176955
8-Nov-16,57.42,57.69,56.68,57.26,2359586
7-Nov-16,56.90,57.78,56.90,57.74,2116322
4-Nov-16,56.02,56.92,55.71,56.07,2266916
3-Nov-16,55.79,56.44,55.75,56.02,2809009
2-Nov-16,55.90,56.07,55.41,55.72,1999696
1-Nov-16,56.46,56.46,55.56,56.06,2268126
31-Oct-16,56.76,56.87,56.32,56.33,1937920
28-Oct-16,56.92,57.06,56.12,56.57,2458143
