Date,Open,High,Low,Close,Volume
28-Apr-17,73.38,73.38,72.37,72.71,2331070
27-Apr-17,72.79,73.44,72.45,73.22,3153907
26-Apr-17,71.84,72.77,71.77,72.60,2476031
25-Apr-17,71.50,71.85,71.00,71.55,2492160
24-Apr-17,71.50,71.65,70.99,71.42,1926129
21-Apr-17,70.53,70.93,70.37,70.72,2440115
20-Apr-17,69.89,71.28,69.58,70.67,2781716
19-Apr-17,69.44,70.02,69.16,69.31,1728186
18-Apr-17,69.03,69.39,68.88,69.07,1637187
17-Apr-17,68.91,69.23,68.19,69.12,2140244
13-Apr-17,69.08,69.10,68.70,68.74,1528649
12-Apr-17,68.64,69.11,68.61,68.96,2157357
11-Apr-17,69.52,69.78,68.65,69.15,2194848
10-Apr-17,69.32,70.07,69.08,69.56,2813495
7-Apr-17,69.35,70.17,69.13,69.33,3150674
6-Apr-17,68.90,70.52,68.58,69.55,2525519
5-Apr-17,68.50,69.66,68.15,68.50,3269613
4-Apr-17,68.73,68.88,67.94,68.35,3074661
3-Apr-17,69.84,70.07,68.50,68.82,2650273
31-Mar-17,70.69,70.93,69.71,69.73,2122007
30-Mar-17,70.49,70.97,70.46,70.86,1424534
29-Mar-17,68.62,70.78,68.62,70.69,3124814
28-Mar-17,68.77,68.85,68.23,68.55,2354522
27-Mar-17,69.14,69.99,68.78,68.97,2451470
24-Mar-17,69.00,69.91,68.73,69.48,3588539
23-Mar-17,69.89,70.09,68.77,68.90,5173098
22-Mar-17,70.21,70.81,69.73,70.68,2132891
21-Mar-17,71.87,71.95,69.69,70.01,4198866
20-Mar-17,72.60,72.60,71.39,71.60,2831921
17-Mar-17,73.31,73.87,71.88,72.33,4356463
16-Mar-17,71.90,75.33,71.60,73.20,9769932
15-Mar-17,72.58,73.09,71.75,72.81,4136446
14-Mar-17,72.64,73.10,72.00,72.82,4304229
13-Mar-17,72.45,72.82,71.52,72.59,3598533
10-Mar-17,73.39,73.83,72.80,72.89,2537999
9-Mar-17,72.60,73.79,72.42,73.63,3029921
8-Mar-17,71.56,72.61,71.44,72.53,2305972
7-Mar-17,72.22,72.88,71.30,71.36,2480222
6-Mar-17,72.84,73.29,72.32,72.42,1889332
3-Mar-17,73.48,73.96,72.74,73.12,3040775
2-Mar-17,73.37,74.84,73.32,74.07,2428625
1-Mar-17,74.75,75.39,72.55,73.35,5035868
28-Feb-17,75.15,75.42,72.30,73.02,6952105
27-Feb-17,77.31,77.33,75.45,76.79,2580117
24-Feb-17,76.32,78.47,75.73,77.35,3866027
23-Feb-17,77.73,77.73,75.73,75.92,1975796
22-Feb-17,78.10,78.18,76.82,77.38,1318625
21-Feb-17,78.33,79.35,77.28,77.86,2215506
17-Feb-17,76.04,77.69,75.91,77.67,2518789
16-Feb-17,77.62,77.70,75.46,76.02,1696649
15-Feb-17,77.01,77.45,76.62,77.38,1654287
14-Feb-17,76.02,77.58,75.82,77.14,4457717
13-Feb-17,77.40,77.41,75.94,76.02,1825944
10-Feb-17,77.76,78.02,76.24,76.79,2599862
9-Feb-17,75.32,78.39,75.29,77.71,4862566
8-Feb-17,73.09,75.13,72.70,75.07,2760911
7-Feb-17,72.67,73.19,72.17,72.80,2055320
6-Feb-17,72.56,73.04,72.20,72.26,2105108
3-Feb-17,73.49,74.16,72.84,73.14,2435637
2-Feb-17,73.59,74.18,73.22,73.50,1679431
1-Feb-17,73.64,74.08,73.03,73.39,2608162
31-Jan-17,71.28,73.93,71.17,73.82,4072327
30-Jan-17,70.22,72.18,70.02,72.00,2314451
27-Jan-17,72.10,72.20,70.11,70.31,2228447
26-Jan-17,71.65,72.09,71.44,71.69,2236341
25-Jan-17,71.96,72.50,71.44,71.96,3043863
24-Jan-17,70.73,71.85,70.55,71.75,3279601
23-Jan-17,70.87,71.00,70.03,70.46,2127635
20-Jan-17,71.07,71.46,69.87,71.00,3997157
19-Jan-17,72.24,72.43,70.94,71.01,2699845
18-Jan-17,73.85,74.14,72.17,72.44,2457467
17-Jan-17,73.35,75.62,73.07,74.33,2652846
13-Jan-17,72.96,73.61,72.33,73.09,2046185
