Date,Open,High,Low,Close,Volume
28-Apr-17,105.75,106.29,105.34,105.51,940259
27-Apr-17,105.98,106.58,105.62,105.81,886593
26-Apr-17,106.12,106.58,105.32,105.76,1226432
25-Apr-17,103.59,105.99,103.15,105.87,1835994
24-Apr-17,103.86,104.52,103.36,104.09,1679144
21-Apr-17,104.20,105.25,103.18,103.30,2212010
20-Apr-17,99.67,104.17,99.23,104.03,3329954
19-Apr-17,97.50,98.16,97.45,98.11,850793
18-Apr-17,97.45,97.60,96.91,97.11,904317
17-Apr-17,97.39,97.81,97.18,97.77,781657
13-Apr-17,97.99,98.04,97.14,97.25,618984
12-Apr-17,98.40,98.46,97.64,98.12,428316
11-Apr-17,97.96,98.29,97.32,98.23,447619
10-Apr-17,97.84,98.45,97.35,98.21,378681
7-Apr-17,97.76,98.05,97.31,97.85,458513
6-Apr-17,97.90,97.94,96.97,97.86,681809
5-Apr-17,97.91,98.81,97.56,97.89,967687
4-Apr-17,98.02,98.28,97.32,97.62,874821
3-Apr-17,97.85,98.36,97.61,98.01,772796
31-Mar-17,98.09,98.37,97.84,98.19,783022
30-Mar-17,98.20,98.57,98.00,98.37,449120
29-Mar-17,98.62,98.65,98.12,98.22,500402
28-Mar-17,98.51,99.04,97.75,98.84,727886
27-Mar-17,98.06,98.82,97.49,98.64,807649
24-Mar-17,98.39,99.21,98.27,98.70,884005
23-Mar-17,98.46,99.36,98.10,98.27,685838
22-Mar-17,98.64,98.79,97.98,98.57,876562
21-Mar-17,99.36,99.77,98.02,98.43,1125039
20-Mar-17,99.34,99.46,98.87,99.17,576100
17-Mar-17,98.83,99.34,98.76,99.06,1547776
16-Mar-17,99.82,100.00,98.40,98.72,1083780
15-Mar-17,98.87,99.84,98.54,99.74,909718
14-Mar-17,99.00,99.46,98.19,98.66,829142
13-Mar-17,98.94,98.97,98.13,98.79,612159
10-Mar-17,98.13,98.96,98.02,98.78,549082
9-Mar-17,98.01,98.60,97.60,98.20,507815
8-Mar-17,97.95,98.57,97.82,97.92,601208
7-Mar-17,97.95,98.59,97.55,98.17,689678
6-Mar-17,98.06,98.60,97.78,98.37,688615
3-Mar-17,98.29,98.65,98.00,98.52,510090
2-Mar-17,98.25,98.60,97.85,98.27,608841
1-Mar-17,97.77,98.75,97.48,98.40,836951
28-Feb-17,97.20,97.83,97.12,97.44,694944
27-Feb-17,97.39,97.61,97.15,97.47,516491
24-Feb-17,95.72,97.34,95.49,97.31,807147
23-Feb-17,95.70,96.08,95.27,95.61,705238
22-Feb-17,95.54,95.96,95.34,95.60,781738
21-Feb-17,95.48,96.23,95.36,95.87,638271
17-Feb-17,94.80,95.66,94.56,95.64,978685
