Date,Open,High,Low,Close,Volume
28-Apr-17,33.18,33.25,32.47,32.89,3273398
27-Apr-17,33.04,33.35,32.80,33.25,3391227
26-Apr-17,32.64,33.19,32.40,32.99,5159516
25-Apr-17,32.85,32.88,31.98,32.65,7898010
24-Apr-17,33.27,33.31,32.53,33.05,5242004
21-Apr-17,33.05,33.27,32.62,32.87,6532035
20-Apr-17,33.76,34.34,32.68,33.10,9944641
19-Apr-17,34.39,34.54,33.85,33.95,5039081
18-Apr-17,33.99,34.42,33.80,34.28,4048905
17-Apr-17,33.81,34.23,33.77,34.16,4346263
13-Apr-17,33.45,33.88,33.40,33.69,3440571
12-Apr-17,33.70,33.72,33.31,33.44,2165541
11-Apr-17,33.21,33.75,33.08,33.74,3367221
10-Apr-17,33.12,33.61,33.04,33.19,2193100
7-Apr-17,33.25,33.35,33.06,33.12,2001084
6-Apr-17,33.20,33.46,33.07,33.29,2568276
5-Apr-17,33.45,33.89,33.20,33.23,4097280
4-Apr-17,33.24,33.38,33.13,33.29,2532275
3-Apr-17,33.39,33.55,33.18,33.37,4067968
31-Mar-17,33.40,33.49,33.24,33.31,2294689
30-Mar-17,33.37,33.58,33.10,33.43,2392015
29-Mar-17,33.19,33.48,33.01,33.37,3229160
28-Mar-17,32.94,33.42,32.94,33.27,3393378
27-Mar-17,32.77,33.22,32.67,33.05,3643009
24-Mar-17,33.42,33.56,33.12,33.22,3298743
23-Mar-17,33.04,33.50,32.91,33.25,3534700
22-Mar-17,33.20,33.20,32.62,32.98,3942463
21-Mar-17,33.65,33.65,32.82,33.16,4443937
20-Mar-17,33.62,33.68,33.39,33.54,2334360
17-Mar-17,33.82,33.93,33.53,33.66,4392975
16-Mar-17,33.36,34.06,33.24,33.85,5062295
15-Mar-17,33.18,33.47,32.69,33.27,3115640
14-Mar-17,33.07,33.16,32.53,32.90,2580087
13-Mar-17,33.60,33.69,33.14,33.18,4662501
10-Mar-17,33.38,33.88,33.31,33.57,5293832
9-Mar-17,33.29,33.63,32.69,33.05,4185177
8-Mar-17,32.88,33.43,32.78,33.30,3881187
7-Mar-17,32.48,33.07,32.31,32.85,5767228
6-Mar-17,32.31,32.51,32.18,32.41,3170752
3-Mar-17,32.39,32.60,31.91,32.55,4309144
2-Mar-17,32.60,32.82,32.32,32.51,4019360
1-Mar-17,32.23,32.89,32.21,32.60,4863911
28-Feb-17,31.94,32.17,31.74,32.00,4647997
27-Feb-17,31.39,32.05,31.27,32.03,5416350
24-Feb-17,30.86,31.40,30.61,31.39,5569554
23-Feb-17,31.07,31.21,30.71,30.98,3756560
22-Feb-17,31.39,31.45,30.81,31.00,4162114
