Date,Open,High,Low,Close,Volume
28-Apr-17,113.00,115.47,112.75,114.84,1891549
27-Apr-17,111.36,113.55,111.23,113.29,1105980
26-Apr-17,111.90,111.94,111.10,111.22,789937
25-Apr-17,112.20,112.63,111.90,112.09,633369
24-Apr-17,113.27,113.68,111.26,111.95,1425530
21-Apr-17,113.17,113.72,112.72,112.88,823450
20-Apr-17,113.03,113.58,112.62,113.28,1058440
19-Apr-17,112.00,113.14,111.64,113.02,1157964
18-Apr-17,111.11,112.33,110.91,112.00,1422966
17-Apr-17,109.95,111.25,109.56,111.24,689090
13-Apr-17,109.92,110.11,109.36,109.61,577810
12-Apr-17,109.44,110.00,109.02,109.92,798199
11-Apr-17,109.39,109.80,108.67,109.42,637042
10-Apr-17,108.66,109.55,108.40,109.30,953525
7-Apr-17,108.13,109.41,107.80,108.70,886957
6-Apr-17,106.97,108.32,106.34,108.23,933805
5-Apr-17,105.79,107.78,105.57,106.88,831559
4-Apr-17,106.20,106.45,105.55,105.88,695649
3-Apr-17,106.40,106.62,105.17,106.19,896379
31-Mar-17,105.13,106.67,105.03,106.39,1157189
30-Mar-17,105.01,105.75,104.54,105.44,791768
29-Mar-17,103.46,105.50,103.38,105.37,1140312
28-Mar-17,103.00,103.64,102.22,103.50,664604
27-Mar-17,103.55,103.94,102.19,102.80,678332
24-Mar-17,105.11,105.52,103.67,103.74,1230614
23-Mar-17,104.61,105.82,104.16,104.90,762930
22-Mar-17,104.10,104.88,103.45,104.63,970642
21-Mar-17,104.11,105.00,103.35,103.46,885282
20-Mar-17,102.95,104.38,102.94,103.73,1261882
17-Mar-17,103.60,104.28,102.88,102.89,1790746
16-Mar-17,104.40,104.85,102.95,103.41,1158100
15-Mar-17,103.00,104.77,103.00,104.51,2187948
14-Mar-17,103.15,103.16,102.11,102.40,862327
13-Mar-17,103.33,103.49,101.85,103.16,1121453
10-Mar-17,104.79,105.88,103.39,103.90,870925
9-Mar-17,104.31,104.95,103.24,103.98,1427956
8-Mar-17,107.21,107.21,104.29,104.38,1769872
7-Mar-17,107.25,108.22,106.85,107.48,642108
6-Mar-17,108.00,108.16,106.94,107.70,667304
3-Mar-17,107.18,108.54,106.66,108.33,798944
2-Mar-17,107.99,108.63,106.44,107.36,908261
1-Mar-17,107.43,108.55,106.27,108.04,1229503
28-Feb-17,107.63,108.43,106.87,108.00,1348625
27-Feb-17,108.03,108.44,107.46,107.61,670981
24-Feb-17,105.97,108.41,105.55,107.83,1403747
23-Feb-17,104.10,106.07,103.54,105.83,1299476
22-Feb-17,104.61,105.80,103.23,103.70,1317301
21-Feb-17,104.15,104.97,103.88,104.72,1520183
17-Feb-17,105.07,106.00,101.70,104.15,2336762
16-Feb-17,104.74,105.59,102.82,103.14,2274243
15-Feb-17,104.86,104.86,103.44,104.43,2573495
14-Feb-17,107.20,107.20,105.00,105.30,1837548
13-Feb-17,107.65,107.97,107.00,107.24,1115861
10-Feb-17,107.72,108.08,106.18,107.20,1801630
9-Feb-17,107.82,108.18,106.66,107.77,712825
