Date,Open,High,Low,Close,Volume
28-Apr-17,79.73,79.73,78.83,78.88,1741406
27-Apr-17,80.90,80.90,79.34,79.64,1808050
26-Apr-17,80.97,81.66,80.67,81.01,1639503
25-Apr-17,81.12,81.87,80.55,81.27,1507693
24-Apr-17,80.58,81.20,79.96,80.66,2071785
21-Apr-17,79.95,80.11,78.05,79.32,2120926
20-Apr-17,82.50,82.50,79.33,79.71,2841912
19-Apr-17,80.44,81.05,79.12,79.26,1892296
18-Apr-17,79.36,80.41,79.13,80.10,1144204
17-Apr-17,79.03,79.98,78.59,79.86,1359482
13-Apr-17,79.23,79.78,78.41,78.52,763008
12-Apr-17,80.91,81.02,79.22,79.33,847786
11-Apr-17,80.69,81.30,80.15,81.11,919703
10-Apr-17,80.35,81.41,80.18,80.81,1156423
7-Apr-17,80.57,80.89,80.00,80.13,882678
6-Apr-17,80.19,81.34,79.82,80.67,948617
5-Apr-17,81.77,81.97,79.98,80.19,1447002
4-Apr-17,81.36,81.51,80.74,81.22,804655
3-Apr-17,81.13,82.21,80.35,81.36,1657676
31-Mar-17,79.65,80.83,79.65,80.35,967731
30-Mar-17,79.89,80.55,79.72,80.07,569232
29-Mar-17,79.35,80.30,79.12,79.96,1000746
28-Mar-17,77.79,79.65,77.51,79.33,787153
27-Mar-17,77.12,78.14,76.23,77.91,670757
24-Mar-17,78.63,79.44,77.63,78.14,1100242
23-Mar-17,78.03,79.08,77.65,78.18,639647
22-Mar-17,77.92,78.50,77.50,77.97,1151745
21-Mar-17,80.40,80.61,78.21,78.29,1285933
20-Mar-17,79.44,80.28,78.85,79.82,1032059
17-Mar-17,79.73,79.95,79.20,79.70,1625692
16-Mar-17,79.43,79.79,78.53,79.34,1418423
15-Mar-17,77.63,79.54,77.35,79.33,1459293
14-Mar-17,76.61,77.14,75.97,77.06,968570
13-Mar-17,76.64,77.67,76.64,77.63,1116853
10-Mar-17,77.16,77.44,75.86,76.81,1879151
9-Mar-17,77.05,77.32,75.51,76.34,2520934
8-Mar-17,79.39,80.02,77.20,77.25,2442889
7-Mar-17,80.53,80.53,79.33,79.39,882218
6-Mar-17,79.14,80.58,79.11,80.44,841818
3-Mar-17,80.52,81.03,79.91,80.39,583484
2-Mar-17,81.50,81.68,80.44,80.52,619575
1-Mar-17,81.25,82.56,81.25,81.82,1104836
28-Feb-17,79.98,80.81,79.72,80.10,1168743
27-Feb-17,79.87,80.56,79.58,80.27,936969
24-Feb-17,79.06,80.06,78.09,80.06,793817
23-Feb-17,81.41,81.69,79.93,80.29,1459753
22-Feb-17,79.84,81.86,79.84,80.92,1912588
21-Feb-17,79.91,81.17,79.79,80.88,994861
17-Feb-17,79.53,79.94,78.94,79.94,1000737
16-Feb-17,80.29,80.29,79.26,79.98,798210
15-Feb-17,79.51,80.20,79.32,80.15,665723
14-Feb-17,78.80,79.75,78.80,79.75,701153
13-Feb-17,79.57,80.45,79.49,79.60,775164
10-Feb-17,79.05,79.53,78.86,79.28,649271
9-Feb-17,78.07,78.95,77.61,78.85,960718
8-Feb-17,77.44,77.89,76.72,77.76,1109147
7-Feb-17,78.30,78.83,77.25,77.65,1066811
6-Feb-17,78.49,78.73,77.69,78.01,628437
3-Feb-17,78.02,79.13,77.97,78.84,811232
2-Feb-17,77.90,78.19,77.32,77.80,867933
1-Feb-17,78.31,78.84,77.31,78.22,1238110
31-Jan-17,78.25,78.35,76.90,77.75,2885028
30-Jan-17,79.61,79.61,77.44,78.43,1187568
27-Jan-17,80.66,80.66,79.36,79.79,1290613
26-Jan-17,80.46,82.32,78.68,80.33,2122096
25-Jan-17,80.98,81.68,80.11,81.46,1794053
24-Jan-17,78.66,80.74,78.47,80.51,1123765
23-Jan-17,78.68,79.14,77.71,78.47,860289
20-Jan-17,78.61,79.27,78.39,79.02,980120
19-Jan-17,78.74,79.22,77.69,78.25,1179707
18-Jan-17,78.05,78.92,78.05,78.40,967190
17-Jan-17,79.20,79.46,77.97,78.18,1309349
13-Jan-17,79.80,81.50,78.91,79.65,1749113
12-Jan-17,79.07,79.18,77.22,78.37,924418
11-Jan-17,77.09,79.23,76.92,79.16,1454483
10-Jan-17,77.13,77.74,76.48,77.02,1463356
9-Jan-17,77.63,77.90,76.44,76.72,1026894
6-Jan-17,77.33,78.96,77.24,77.72,2522910
5-Jan-17,76.50,77.29,75.61,76.53,933060
4-Jan-17,76.61,76.85,76.07,76.78,941779
3-Jan-17,76.31,77.53,75.42,76.42,1323108
30-Dec-16,75.21,75.38,74.53,74.93,523060
29-Dec-16,75.53,75.94,74.91,75.19,426344
28-Dec-16,76.30,76.74,75.18,75.31,1124410
27-Dec-16,75.72,76.56,75.72,76.32,544176
23-Dec-16,75.72,75.81,75.34,75.60,391318
22-Dec-16,75.78,75.90,75.32,75.60,594102
21-Dec-16,76.19,76.55,75.48,75.89,536037
20-Dec-16,76.12,76.88,75.65,76.00,626356
19-Dec-16,75.59,76.33,74.89,75.67,813938
16-Dec-16,76.06,76.98,75.34,75.58,1621368
15-Dec-16,75.19,76.72,75.01,76.03,789360
14-Dec-16,76.32,77.42,75.54,75.64,963150
13-Dec-16,77.14,77.91,76.84,77.13,1001539
12-Dec-16,77.04,78.27,76.46,76.75,1133215
9-Dec-16,76.33,76.87,75.94,76.82,845099
8-Dec-16,76.52,76.98,75.87,76.26,1395713
7-Dec-16,74.88,76.73,74.62,76.70,1183080
6-Dec-16,74.20,74.78,73.61,74.72,2118918
5-Dec-16,75.00,75.65,74.38,74.64,1979564
2-Dec-16,75.27,75.68,73.82,74.39,1798562
1-Dec-16,73.36,76.73,73.36,75.53,3584498
30-Nov-16,72.85,74.31,71.97,72.61,2827681
29-Nov-16,70.18,70.18,68.10,69.78,1292873
28-Nov-16,71.84,72.00,70.66,70.73,748341
25-Nov-16,72.28,72.48,71.66,72.28,436575
23-Nov-16,71.86,72.36,71.61,72.24,1168308
22-Nov-16,72.44,72.44,70.73,71.59,1154887
21-Nov-16,70.66,72.98,70.57,72.09,2035375
18-Nov-16,70.14,70.32,69.50,70.16,953094
17-Nov-16,70.70,70.98,69.95,70.14,1155381
16-Nov-16,70.99,71.27,70.07,70.67,930095
15-Nov-16,71.09,71.70,70.76,71.56,1714163
14-Nov-16,71.61,71.81,70.15,71.03,1103293
11-Nov-16,71.16,72.22,70.69,70.94,1862418
10-Nov-16,70.99,72.06,70.99,71.61,2443171
9-Nov-16,67.08,71.33,66.78,70.25,3003173
8-Nov-16,66.71,67.28,66.43,66.78,2526410
7-Nov-16,66.82,67.10,66.19,66.71,3535656
4-Nov-16,66.34,66.68,65.50,65.53,2727367
3-Nov-16,66.33,67.05,65.95,66.36,1707357
2-Nov-16,66.02,66.71,65.50,66.30,3377859
1-Nov-16,66.92,67.11,65.80,66.52,2416055
31-Oct-16,68.17,68.30,66.86,66.89,1629830
28-Oct-16,67.81,68.83,67.60,67.77,1517366
27-Oct-16,68.87,68.94,67.48,67.49,1697768
26-Oct-16,67.68,69.38,67.53,68.58,1043311
25-Oct-16,68.86,69.02,67.91,67.97,1386552
24-Oct-16,69.21,69.44,68.53,68.95,981551
21-Oct-16,67.22,68.77,67.08,68.64,1371552
20-Oct-16,69.30,70.30,68.05,68.20,2097749
19-Oct-16,68.00,70.86,67.76,69.42,2221005
18-Oct-16,68.45,68.45,67.27,67.54,1406822
17-Oct-16,67.86,67.99,67.43,67.62,1087742
14-Oct-16,67.00,68.10,66.80,67.78,1751992
13-Oct-16,66.41,66.72,65.86,66.64,1869984
12-Oct-16,66.96,67.48,66.72,67.29,1562376
11-Oct-16,66.16,68.15,66.16,66.91,2935602
10-Oct-16,68.19,70.37,66.49,66.69,4984193
7-Oct-16,72.55,73.42,71.69,72.24,1159014
6-Oct-16,73.42,73.90,73.15,73.69,879624
5-Oct-16,73.17,74.30,73.08,73.68,937342
4-Oct-16,73.61,73.75,72.24,72.61,1343645
3-Oct-16,73.27,74.23,73.25,73.52,1161903
30-Sep-16,72.36,73.98,72.08,73.64,1565238
29-Sep-16,71.36,72.42,71.24,71.87,1345614
28-Sep-16,69.73,71.55,69.68,71.47,1304120
27-Sep-16,68.44,69.45,68.35,69.45,1628731
26-Sep-16,69.32,69.53,68.82,68.88,1167667
23-Sep-16,71.26,71.53,69.55,69.58,949000
22-Sep-16,71.44,71.66,70.95,71.55,1062153
21-Sep-16,69.33,70.65,69.10,70.54,1190805
20-Sep-16,69.07,69.30,68.76,68.98,1047045
19-Sep-16,68.80,68.83,68.27,68.68,841360
16-Sep-16,68.27,68.36,67.61,67.94,1478914
15-Sep-16,67.65,68.95,67.41,68.60,1415037
14-Sep-16,68.37,68.52,67.10,67.59,2009500
13-Sep-16,69.14,69.45,67.96,68.38,1375610
12-Sep-16,68.59,70.22,68.17,69.98,835508
9-Sep-16,71.85,72.12,69.05,69.05,1374054
8-Sep-16,71.62,72.68,71.33,72.54,1255663
7-Sep-16,71.97,72.16,71.48,71.72,1252898
6-Sep-16,72.85,73.11,71.85,72.19,984111
2-Sep-16,72.97,73.16,72.50,72.75,1137276
1-Sep-16,72.54,72.56,71.70,72.54,891879
31-Aug-16,73.17,73.27,72.27,72.50,727772
30-Aug-16,73.61,73.89,73.10,73.41,542348
29-Aug-16,73.30,73.86,73.05,73.69,566173
26-Aug-16,73.91,74.38,73.17,73.52,670938
25-Aug-16,73.46,73.78,73.30,73.69,538939
24-Aug-16,74.01,74.26,73.41,73.61,885127
23-Aug-16,74.55,74.90,74.10,74.16,878291
22-Aug-16,73.85,74.36,73.72,74.31,627284
19-Aug-16,73.90,74.46,73.30,74.38,764897
18-Aug-16,73.98,74.18,73.76,74.18,722930
17-Aug-16,74.25,74.27,73.62,73.88,825538
16-Aug-16,74.41,74.57,73.98,74.23,777790
15-Aug-16,73.93,74.74,73.93,74.44,827872
12-Aug-16,74.25,74.42,73.48,73.67,466238
11-Aug-16,73.87,74.66,73.63,74.53,979556
10-Aug-16,73.86,74.07,73.19,73.38,726582
9-Aug-16,73.93,74.10,73.15,73.59,1095041
8-Aug-16,72.86,73.84,72.59,73.74,1734170
5-Aug-16,71.38,72.50,71.25,72.50,860802
4-Aug-16,70.60,72.04,70.60,71.15,967981
3-Aug-16,69.70,70.86,69.48,70.66,1174801
2-Aug-16,69.86,70.02,68.56,69.67,2039021
1-Aug-16,71.10,71.18,69.76,69.93,1856088
29-Jul-16,71.41,71.78,70.59,71.43,1347827
28-Jul-16,71.57,71.85,71.27,71.71,1080048
27-Jul-16,72.65,73.21,71.44,71.84,2215743
26-Jul-16,71.63,72.44,71.63,72.35,1956221
25-Jul-16,71.00,71.04,70.29,70.98,794880
22-Jul-16,71.82,71.86,70.25,71.27,1667000
21-Jul-16,71.79,73.24,71.11,71.91,2936011
20-Jul-16,73.02,73.58,72.60,73.05,1590825
19-Jul-16,72.70,73.21,72.50,72.97,665237
18-Jul-16,73.01,73.23,72.59,73.20,809087
15-Jul-16,72.92,73.27,72.70,73.11,1023743
14-Jul-16,72.96,73.49,72.54,72.57,836449
13-Jul-16,72.14,72.66,71.41,72.32,1254050
12-Jul-16,71.69,72.43,71.60,72.03,1165113
11-Jul-16,70.83,71.61,70.50,71.07,1122411
8-Jul-16,69.56,70.47,69.50,70.34,1850642
7-Jul-16,67.94,69.65,67.79,68.73,3419400
6-Jul-16,66.80,67.34,66.30,67.23,2173671
5-Jul-16,68.38,68.38,66.94,67.10,2227650
1-Jul-16,69.15,70.03,69.06,69.16,1573395
30-Jun-16,68.15,69.33,67.58,69.32,1342236
29-Jun-16,67.10,68.12,66.50,67.96,1404796
28-Jun-16,65.41,66.22,65.21,66.21,1286049
27-Jun-16,66.68,66.76,63.93,64.60,1636755
24-Jun-16,68.81,69.35,67.28,67.46,1630301
23-Jun-16,71.52,71.82,71.08,71.66,964054
22-Jun-16,71.02,71.38,70.58,70.63,735353
21-Jun-16,71.00,71.15,70.28,70.82,927563
20-Jun-16,71.16,72.03,70.86,71.25,1026855
17-Jun-16,69.90,70.73,69.90,70.27,1911371
16-Jun-16,69.14,69.96,68.26,69.78,877586
15-Jun-16,69.46,70.43,69.42,69.67,1684276
14-Jun-16,69.93,70.33,69.15,69.60,1755543
13-Jun-16,70.33,71.05,70.00,70.19,1009582
10-Jun-16,71.57,71.98,70.36,70.67,1813565
9-Jun-16,70.89,72.27,70.89,72.08,1489811
8-Jun-16,71.78,72.36,71.45,71.64,1814078
7-Jun-16,70.10,70.76,69.92,70.50,1622091
6-Jun-16,67.23,69.89,66.92,69.80,2335549
3-Jun-16,66.92,67.34,66.10,66.76,736356
2-Jun-16,66.81,67.10,66.32,67.00,954078
1-Jun-16,66.18,67.05,65.84,66.98,1269445
31-May-16,66.80,67.18,66.35,66.75,1062798
27-May-16,66.53,66.90,66.36,66.74,516946
26-May-16,66.73,67.37,66.42,66.69,995709
25-May-16,66.06,66.83,66.03,66.67,1391373
24-May-16,64.99,65.86,64.67,65.75,757032
23-May-16,64.46,64.94,64.02,64.57,612987
20-May-16,64.62,65.06,64.13,64.65,1031639
19-May-16,65.08,65.08,63.38,64.11,1747535
18-May-16,66.29,66.52,65.10,65.52,1456514
17-May-16,66.36,67.10,66.10,66.63,1542349
16-May-16,65.26,66.84,65.16,66.50,1119501
13-May-16,65.95,66.43,64.80,64.93,1043519
12-May-16,66.21,66.80,65.34,66.13,1165838
11-May-16,65.81,66.45,65.45,66.05,1267352
10-May-16,64.24,66.07,63.78,65.93,1532326
9-May-16,63.49,63.60,62.89,63.11,1336290
6-May-16,63.09,64.00,63.09,63.92,862602
5-May-16,64.00,64.40,63.30,63.41,1366721
4-May-16,64.49,65.04,63.28,63.50,911178
3-May-16,65.07,65.21,64.15,64.77,1367629
2-May-16,65.24,65.96,64.75,65.50,1088707
29-Apr-16,65.95,66.71,65.26,65.70,1952772
28-Apr-16,66.38,67.03,65.83,66.04,1513440
27-Apr-16,66.71,67.12,66.32,66.75,1754819
26-Apr-16,66.85,67.11,66.19,66.70,1553148
25-Apr-16,67.58,68.14,66.48,66.79,1130803
22-Apr-16,66.72,67.90,66.72,67.35,1245085
21-Apr-16,66.52,67.83,65.00,66.68,2080889
20-Apr-16,68.02,68.27,67.12,67.80,1149401
19-Apr-16,67.19,68.36,66.78,67.97,1405678
18-Apr-16,65.33,66.86,65.15,66.67,865585
15-Apr-16,65.97,66.22,65.71,65.98,970996
14-Apr-16,66.53,66.91,65.83,66.06,1132360
13-Apr-16,65.61,66.24,65.31,66.12,1368579
12-Apr-16,64.08,66.03,63.90,65.28,1725268
11-Apr-16,63.17,64.30,63.11,63.74,1068633
8-Apr-16,63.54,64.57,62.76,62.91,898857
7-Apr-16,62.63,63.25,62.35,62.72,1434052
6-Apr-16,62.28,63.12,61.64,63.04,1087679
5-Apr-16,62.32,62.58,61.68,62.31,1452515
4-Apr-16,64.06,64.36,62.83,62.94,1533587
1-Apr-16,63.69,64.26,62.54,64.14,1129176
31-Mar-16,64.44,64.62,63.73,64.33,1031089
30-Mar-16,65.25,65.50,64.07,64.33,1018420
29-Mar-16,63.75,64.66,63.54,64.64,1046990
28-Mar-16,64.64,64.83,63.86,64.24,614851
24-Mar-16,64.37,64.61,63.64,64.61,889410
23-Mar-16,66.00,66.20,64.62,64.74,985452
22-Mar-16,65.63,66.52,65.51,66.30,1437366
21-Mar-16,65.22,66.22,64.98,66.15,1020763
18-Mar-16,65.69,66.59,65.52,66.02,1713499
17-Mar-16,63.81,66.43,63.81,65.59,3184248
16-Mar-16,61.48,63.82,61.41,63.72,1768108
15-Mar-16,59.00,61.63,58.91,61.49,2404539
14-Mar-16,62.40,62.96,62.01,62.34,976518
11-Mar-16,61.81,62.97,61.56,62.78,1488664
10-Mar-16,62.05,62.08,60.36,61.01,1708545
9-Mar-16,63.15,63.37,61.35,62.11,1876299
8-Mar-16,64.42,64.62,63.06,63.12,1823246
7-Mar-16,62.95,65.37,62.95,65.22,1765872
4-Mar-16,62.73,63.84,62.18,63.20,1125011
3-Mar-16,62.65,63.09,62.19,62.45,1521103
2-Mar-16,61.65,62.82,61.63,62.56,2584727
1-Mar-16,61.49,62.27,60.75,62.27,1110138
29-Feb-16,61.27,61.73,60.73,60.78,906458
26-Feb-16,61.26,61.59,60.84,61.11,948993
25-Feb-16,59.77,60.65,59.21,60.54,1410170
24-Feb-16,59.34,60.05,58.15,59.78,1746147
23-Feb-16,61.35,61.80,60.25,60.38,1137517
22-Feb-16,61.48,62.06,61.16,61.45,2515921
19-Feb-16,61.47,61.52,60.21,60.62,2187869
18-Feb-16,61.53,62.28,61.09,61.65,1461247
17-Feb-16,60.92,62.32,60.61,61.65,1570765
16-Feb-16,59.84,60.30,58.76,60.29,1550584
12-Feb-16,57.97,59.47,57.39,59.19,1574541
11-Feb-16,55.92,57.42,55.30,57.25,2241085
10-Feb-16,58.26,59.02,56.90,57.01,1871864
9-Feb-16,58.89,59.50,57.45,58.13,2344585
8-Feb-16,59.15,59.85,58.70,59.67,1253775
5-Feb-16,59.46,60.38,59.08,59.94,1493035
4-Feb-16,58.25,61.28,58.23,59.67,2008442
3-Feb-16,57.46,58.56,55.81,58.24,2514551
2-Feb-16,57.15,57.38,56.38,56.82,3149645
1-Feb-16,57.17,58.11,56.95,57.82,2012519
29-Jan-16,56.88,58.50,56.88,58.45,2131347
28-Jan-16,56.61,56.98,55.58,56.62,2072850
27-Jan-16,55.77,56.92,54.92,55.31,2105749
26-Jan-16,53.71,57.18,53.54,56.06,4152509
25-Jan-16,53.18,53.64,52.49,53.06,2468516
22-Jan-16,54.10,54.60,52.75,53.29,2182261
21-Jan-16,52.51,53.91,52.00,52.85,1469340
20-Jan-16,52.50,52.97,50.91,52.65,1951878
19-Jan-16,53.50,53.97,52.66,53.24,2087010
15-Jan-16,53.74,53.90,52.70,52.90,3014724
14-Jan-16,55.38,56.42,54.24,55.71,3115295
13-Jan-16,55.72,57.51,55.23,55.32,2020531
12-Jan-16,57.95,58.23,55.08,56.47,4214940
11-Jan-16,58.00,58.28,56.55,56.97,2210115
8-Jan-16,58.56,58.84,57.63,57.84,2165986
7-Jan-16,58.10,59.16,57.73,58.34,1624461
6-Jan-16,59.44,60.05,58.90,59.19,1237535
5-Jan-16,61.66,61.88,59.97,60.47,1078439
4-Jan-16,60.12,61.66,59.83,61.64,1960245
31-Dec-15,61.27,62.03,61.01,61.31,580922
30-Dec-15,61.81,62.47,61.55,61.68,802632
29-Dec-15,62.70,63.35,61.75,62.17,1197020
28-Dec-15,62.20,62.46,61.80,62.31,2066425
24-Dec-15,62.03,62.73,61.97,62.40,1096940
23-Dec-15,60.45,62.50,60.45,62.07,1499211
22-Dec-15,59.38,60.29,59.14,59.85,1226482
21-Dec-15,58.83,59.38,58.53,59.17,1272182
