Date,Open,High,Low,Close,Volume
28-Apr-17,63.17,63.59,62.39,62.80,4752532
27-Apr-17,64.03,64.21,63.01,63.19,6969631
26-Apr-17,64.51,64.88,64.17,64.33,4699464
25-Apr-17,63.98,64.91,63.81,64.81,7737368
24-Apr-17,62.63,63.19,62.61,62.82,4933654
21-Apr-17,61.90,62.32,61.70,62.16,5836160
20-Apr-17,61.85,62.50,61.49,61.94,5087714
19-Apr-17,61.78,61.93,61.32,61.55,4713696
18-Apr-17,61.60,61.88,61.12,61.48,4429199
17-Apr-17,61.15,61.76,60.86,61.73,4828897
13-Apr-17,61.70,61.71,61.02,61.06,5577395
12-Apr-17,62.74,62.74,61.79,61.92,4938786
11-Apr-17,63.05,63.13,62.36,62.49,4903226
10-Apr-17,63.16,63.44,63.03,63.27,3983466
7-Apr-17,63.43,63.57,63.10,63.19,2704150
6-Apr-17,63.50,64.00,63.36,63.61,3813406
5-Apr-17,63.48,64.43,63.36,63.52,6312747
4-Apr-17,63.06,63.25,62.58,63.20,5086591
3-Apr-17,63.57,63.78,62.30,63.06,5602037
31-Mar-17,63.97,64.06,63.52,63.54,6638072
30-Mar-17,64.38,64.56,63.99,64.18,4630989
29-Mar-17,64.28,64.70,64.06,64.42,3868257
28-Mar-17,63.87,65.42,63.52,65.00,8495231
27-Mar-17,62.62,64.66,62.32,64.02,8311060
24-Mar-17,63.67,64.26,62.81,63.08,5934568
23-Mar-17,62.65,63.93,62.50,63.83,7646908
22-Mar-17,62.86,62.93,61.97,62.79,9265492
21-Mar-17,64.54,64.73,62.91,63.08,9919683
20-Mar-17,63.95,64.66,63.72,64.50,6576606
17-Mar-17,64.15,64.38,63.82,64.03,10942058
16-Mar-17,64.41,64.48,63.66,63.86,4803435
15-Mar-17,63.92,64.50,63.77,64.44,4429089
14-Mar-17,63.99,64.12,63.46,63.68,3527731
13-Mar-17,63.88,64.24,63.77,64.11,4388005
10-Mar-17,63.83,64.05,63.43,63.84,5499071
9-Mar-17,63.27,63.68,62.81,63.54,5970917
8-Mar-17,63.22,64.05,63.00,63.28,6925674
7-Mar-17,63.32,63.50,63.11,63.15,7631157
6-Mar-17,63.21,63.97,62.86,63.51,7298634
3-Mar-17,63.45,63.61,63.05,63.26,3572149
2-Mar-17,63.42,63.67,63.23,63.35,5656295
1-Mar-17,62.87,63.64,62.72,63.46,8871656
28-Feb-17,62.60,62.88,61.97,62.26,7298156
27-Feb-17,63.20,63.61,62.71,62.91,7260673
24-Feb-17,62.96,63.58,62.82,63.55,5268501
23-Feb-17,63.63,63.88,63.03,63.37,6246329
22-Feb-17,61.19,64.36,61.08,63.67,18783097
21-Feb-17,61.23,61.86,61.04,61.22,5001658
17-Feb-17,61.20,61.32,60.50,61.26,4063317
16-Feb-17,60.82,61.44,60.80,61.41,4611075
15-Feb-17,61.48,61.54,61.06,61.10,7800299
14-Feb-17,61.05,61.74,60.63,61.72,4518575
13-Feb-17,61.22,61.85,61.20,61.56,4013471
10-Feb-17,60.54,61.30,60.42,61.19,4766540
9-Feb-17,59.86,60.35,59.63,60.26,3840127
8-Feb-17,59.85,60.00,59.50,59.73,4725220
7-Feb-17,59.91,60.21,59.66,59.79,3138622
6-Feb-17,60.03,60.15,59.80,60.02,3968574
3-Feb-17,59.97,60.28,59.51,60.21,4546953
2-Feb-17,60.28,60.59,59.74,59.86,4207229
1-Feb-17,59.61,60.34,59.33,60.30,5602749
31-Jan-17,59.84,59.95,59.21,59.63,5747697
30-Jan-17,60.84,60.92,59.81,60.15,5445557
27-Jan-17,61.41,61.73,61.22,61.31,5262057
26-Jan-17,60.47,61.65,60.21,61.42,10431600
25-Jan-17,59.42,60.34,59.35,60.21,8712736
24-Jan-17,57.58,59.77,57.35,59.64,9204797
23-Jan-17,57.38,57.67,56.85,57.14,4909346
20-Jan-17,57.22,57.63,56.98,57.38,7062198
