Date,Open,High,Low,Close,Volume
28-Apr-17,91.89,92.11,91.07,91.65,2669756
27-Apr-17,93.14,93.46,91.93,92.17,2749549
26-Apr-17,92.76,94.79,91.50,92.98,4481278
25-Apr-17,97.94,98.68,97.81,98.41,1630318
24-Apr-17,98.47,98.74,97.66,98.25,1288201
21-Apr-17,98.21,98.49,97.93,97.97,1193655
20-Apr-17,98.38,98.47,98.00,98.09,937602
19-Apr-17,98.88,99.03,98.27,98.42,730643
18-Apr-17,98.18,99.47,97.88,98.88,968773
17-Apr-17,97.42,98.15,97.42,98.15,511241
13-Apr-17,97.21,97.81,97.01,97.21,648391
12-Apr-17,96.72,97.64,96.52,97.28,884234
11-Apr-17,96.99,97.18,96.72,97.12,708804
10-Apr-17,96.70,97.25,96.17,97.09,939849
7-Apr-17,96.34,96.72,96.20,96.55,983840
6-Apr-17,96.52,97.00,96.09,96.24,1110591
5-Apr-17,97.27,97.58,96.56,96.92,1450074
4-Apr-17,97.17,97.75,96.81,97.55,816232
3-Apr-17,97.88,98.13,97.08,97.41,1087609
31-Mar-17,97.42,98.17,97.22,97.92,1631795
30-Mar-17,97.14,97.85,97.00,97.34,1049491
29-Mar-17,97.12,97.23,96.54,97.09,950234
28-Mar-17,96.94,97.27,96.53,97.17,998199
27-Mar-17,96.56,97.41,96.23,97.23,826270
24-Mar-17,96.68,97.10,96.54,96.96,639043
23-Mar-17,96.72,97.42,96.44,96.68,851160
22-Mar-17,96.98,97.39,96.38,96.98,1041686
21-Mar-17,96.34,96.88,96.22,96.58,1240563
20-Mar-17,95.72,96.33,95.72,96.15,691766
17-Mar-17,96.51,96.52,95.56,95.59,1457593
16-Mar-17,95.92,96.53,95.67,96.41,1765449
15-Mar-17,94.76,96.43,94.51,96.13,1060883
14-Mar-17,94.53,95.39,94.50,94.65,864899
13-Mar-17,94.55,94.93,94.20,94.71,950932
10-Mar-17,94.48,94.90,94.22,94.73,1694283
9-Mar-17,94.76,94.99,94.19,94.59,1084694
8-Mar-17,93.95,94.75,93.57,94.36,1057216
7-Mar-17,93.98,94.76,93.82,94.23,1566269
6-Mar-17,94.64,94.93,94.13,94.43,1276222
3-Mar-17,95.52,95.52,94.26,94.91,1617147
2-Mar-17,93.57,94.94,93.30,94.62,1061554
1-Mar-17,93.30,93.84,92.93,93.28,1296477
28-Feb-17,93.38,94.24,93.29,93.44,1708471
27-Feb-17,94.45,94.59,93.27,93.29,742303
24-Feb-17,94.76,95.06,94.16,94.79,1010175
23-Feb-17,94.26,95.09,94.05,94.62,901091
22-Feb-17,94.60,95.15,94.18,94.26,1534834
21-Feb-17,93.91,94.80,93.57,94.57,967959
17-Feb-17,93.86,94.79,93.57,93.98,1594721
16-Feb-17,92.93,94.21,92.90,94.07,1603164
15-Feb-17,92.50,93.12,91.64,92.82,1944580
14-Feb-17,90.51,93.72,90.00,93.07,2085217
13-Feb-17,93.56,94.08,92.74,93.49,1683224
10-Feb-17,93.20,93.86,92.93,93.56,887431
9-Feb-17,92.54,93.33,91.85,93.18,905890
8-Feb-17,92.40,93.36,92.13,92.78,1048985
7-Feb-17,91.60,92.76,91.38,92.58,872073
6-Feb-17,91.80,91.80,91.12,91.18,593064
3-Feb-17,92.00,92.54,91.58,91.72,743457
2-Feb-17,90.84,91.78,90.50,91.58,987974
1-Feb-17,91.20,91.22,90.21,90.41,1000537
31-Jan-17,90.56,91.63,90.33,91.20,1126948
30-Jan-17,90.17,90.73,89.84,90.69,1082001
27-Jan-17,90.80,90.87,89.76,90.03,709010
26-Jan-17,91.11,91.44,90.18,90.63,1216492
25-Jan-17,91.55,91.73,91.02,91.11,1218302
24-Jan-17,91.21,91.60,90.71,91.45,1030576
23-Jan-17,90.68,91.26,90.52,91.21,779512
20-Jan-17,90.67,90.92,89.92,90.70,960857
19-Jan-17,90.46,90.63,90.00,90.37,695240
18-Jan-17,90.20,90.72,89.99,90.34,1526089
17-Jan-17,89.70,90.41,89.60,90.26,1003028
13-Jan-17,89.73,89.99,89.06,89.54,886680
12-Jan-17,89.77,90.20,89.22,89.49,1236087
11-Jan-17,89.80,90.70,89.72,90.02,1714013
10-Jan-17,90.37,90.60,89.72,90.08,1887329
9-Jan-17,91.69,91.75,90.47,90.54,1299249
6-Jan-17,91.10,91.28,90.49,90.93,951606
5-Jan-17,91.01,91.69,90.71,91.37,1157661
4-Jan-17,91.10,91.74,90.96,91.29,940524
3-Jan-17,90.67,91.17,90.40,90.86,933959
30-Dec-16,91.14,91.14,90.37,90.67,737048
29-Dec-16,90.61,91.14,90.60,90.96,512798
28-Dec-16,90.53,90.65,90.15,90.46,890853
27-Dec-16,90.88,91.05,90.48,90.87,591338
23-Dec-16,90.65,91.04,90.38,90.78,586821
22-Dec-16,90.15,90.63,89.64,90.51,1033831
21-Dec-16,90.59,91.07,90.25,90.30,1010986
20-Dec-16,90.29,90.63,89.71,90.47,1193623
19-Dec-16,90.70,90.82,90.03,90.35,990688
16-Dec-16,90.42,90.93,90.13,90.65,2359730
15-Dec-16,89.60,90.63,89.50,90.52,1552421
14-Dec-16,90.49,90.67,89.22,89.75,3400293
13-Dec-16,90.28,90.54,89.79,90.05,1933390
12-Dec-16,89.82,90.57,89.54,90.33,2048851
9-Dec-16,87.17,89.94,87.17,89.84,2374847
8-Dec-16,87.78,88.11,87.36,87.73,1832803
7-Dec-16,87.09,88.58,87.00,88.55,1978805
6-Dec-16,86.57,87.37,86.00,87.35,1533364
5-Dec-16,85.35,85.96,85.17,85.95,1467396
2-Dec-16,85.39,86.20,84.76,85.13,1926530
1-Dec-16,86.27,86.44,84.06,85.20,1799749
30-Nov-16,88.68,89.16,86.57,86.74,4577819
29-Nov-16,88.85,89.66,88.51,89.45,1668061
28-Nov-16,88.11,89.02,88.03,88.83,1329241
25-Nov-16,87.86,88.78,87.50,88.02,828206
23-Nov-16,86.84,88.19,86.84,87.26,2376866
22-Nov-16,85.90,87.74,85.58,87.50,2477288
21-Nov-16,83.44,85.31,83.25,85.25,1467087
18-Nov-16,82.94,83.66,82.89,83.48,1416802
17-Nov-16,82.87,83.09,82.24,83.04,1158606
16-Nov-16,83.38,83.53,82.37,82.86,1310615
15-Nov-16,82.57,83.48,82.36,83.26,1359913
14-Nov-16,82.51,82.67,81.55,82.44,1752645
11-Nov-16,82.77,82.80,81.05,82.38,1652116
