Date,Open,High,Low,Close,Volume
28-Apr-17,85.99,85.99,85.04,85.19,1906641
27-Apr-17,86.18,86.44,85.54,85.96,1813729
26-Apr-17,85.53,86.44,85.27,86.05,2664999
25-Apr-17,85.18,85.73,84.76,85.55,1808983
24-Apr-17,84.95,85.76,84.47,85.18,1901385
21-Apr-17,84.10,84.43,83.38,84.16,1182548
20-Apr-17,83.36,84.07,82.91,84.05,1284129
19-Apr-17,83.21,83.45,82.58,83.04,1037742
18-Apr-17,82.58,83.28,82.43,82.72,825391
17-Apr-17,82.40,82.65,82.06,82.64,1169591
13-Apr-17,82.41,82.83,81.87,81.97,952590
12-Apr-17,83.03,83.18,82.06,82.49,1601081
11-Apr-17,82.79,83.01,82.36,82.94,1026287
10-Apr-17,82.98,83.30,82.63,82.70,1048129
7-Apr-17,83.21,83.47,82.68,82.84,1528996
6-Apr-17,82.71,83.62,82.38,83.38,1616466
5-Apr-17,84.15,84.55,82.70,82.88,1589233
4-Apr-17,83.11,84.43,82.67,83.98,2184767
3-Apr-17,83.64,83.79,82.85,83.21,2064681
31-Mar-17,82.83,84.12,82.51,83.67,3256635
30-Mar-17,82.30,83.03,82.03,82.83,1825390
29-Mar-17,81.95,83.10,81.58,82.57,3739444
28-Mar-17,78.98,82.82,78.91,82.62,10815960
27-Mar-17,76.06,76.54,75.20,75.58,2614312
24-Mar-17,76.66,77.16,76.46,76.71,1242647
23-Mar-17,77.08,77.53,76.58,76.64,1222176
22-Mar-17,76.54,77.16,76.31,77.00,1370126
21-Mar-17,77.00,77.40,76.46,76.60,1381165
20-Mar-17,76.69,77.10,76.34,76.86,932309
17-Mar-17,75.77,77.07,75.54,76.66,2140540
16-Mar-17,75.84,76.12,75.24,75.40,956474
15-Mar-17,74.55,75.92,74.31,75.83,1400030
14-Mar-17,74.59,74.75,74.01,74.61,1026435
13-Mar-17,74.36,74.55,73.81,74.45,1863357
10-Mar-17,75.16,75.80,73.83,74.16,2159743
9-Mar-17,75.07,75.59,74.88,75.22,778100
8-Mar-17,74.57,75.54,74.52,75.18,1219055
7-Mar-17,74.79,74.79,74.11,74.51,1329773
6-Mar-17,74.97,75.23,74.21,74.68,1118350
3-Mar-17,75.40,75.44,74.49,75.11,696579
2-Mar-17,74.85,75.55,74.61,75.47,1065730
1-Mar-17,75.43,75.48,74.73,74.89,930116
28-Feb-17,74.65,75.02,74.34,74.68,1602525
27-Feb-17,75.51,75.65,74.31,74.53,1411108
24-Feb-17,75.02,75.66,74.62,75.46,1160021
23-Feb-17,75.51,76.06,75.21,75.46,1089027
22-Feb-17,75.92,76.15,74.88,75.42,1472238
21-Feb-17,76.54,77.11,76.44,76.70,1269537
17-Feb-17,75.70,76.75,75.61,76.73,1195862
16-Feb-17,75.99,76.30,75.44,75.80,658407
15-Feb-17,76.06,76.30,75.27,75.74,1395078
14-Feb-17,75.40,76.25,74.85,76.24,1057107
13-Feb-17,76.42,76.71,76.02,76.08,1156008
10-Feb-17,75.33,76.76,75.32,76.28,1690597
9-Feb-17,73.46,75.22,73.18,75.07,1592876
8-Feb-17,71.70,73.51,71.70,73.44,982847
7-Feb-17,72.40,73.23,71.81,71.85,1264335
6-Feb-17,71.80,72.96,71.68,72.33,2188276
3-Feb-17,72.97,73.18,71.62,71.82,1681937
2-Feb-17,72.08,72.35,71.43,71.63,1708965
1-Feb-17,73.26,73.69,71.73,72.18,1898914
31-Jan-17,73.96,74.09,72.79,73.28,1132516
30-Jan-17,74.04,74.04,73.02,73.82,1139354
27-Jan-17,73.68,73.82,72.70,73.56,1101000
26-Jan-17,73.76,74.46,73.40,73.55,749560
25-Jan-17,72.96,73.70,72.50,73.57,1435871
24-Jan-17,73.22,73.82,73.06,73.67,1137923
23-Jan-17,73.38,73.44,72.44,73.00,1436192
20-Jan-17,72.74,73.66,72.62,73.44,1224471
19-Jan-17,72.92,73.29,72.36,72.59,1139962
18-Jan-17,73.26,73.26,72.43,73.16,852380
17-Jan-17,73.14,74.05,72.73,72.88,1331562
13-Jan-17,73.68,73.83,72.90,73.37,1410282
12-Jan-17,72.87,74.06,72.68,73.81,2122233
11-Jan-17,72.04,73.09,72.04,72.89,1952067
10-Jan-17,71.66,72.63,71.55,72.25,2029464
9-Jan-17,71.49,72.00,71.02,71.56,1466456
6-Jan-17,72.09,72.36,71.34,71.55,2240037
5-Jan-17,72.96,72.96,71.68,72.33,1840435
4-Jan-17,72.15,72.76,71.82,72.09,1907504
3-Jan-17,73.20,73.23,71.19,72.06,2143848
30-Dec-16,73.57,73.74,72.03,72.72,1453084
29-Dec-16,73.76,74.24,73.57,73.78,540808
28-Dec-16,74.28,74.87,73.35,73.68,954937
27-Dec-16,74.77,75.22,74.32,74.37,641938
23-Dec-16,74.41,74.66,73.73,74.48,633552
22-Dec-16,75.70,75.70,74.14,74.57,1098168
21-Dec-16,75.70,76.23,75.21,75.74,1459949
20-Dec-16,76.50,78.16,75.05,75.74,3105341
19-Dec-16,75.31,76.36,74.76,75.68,2255088
16-Dec-16,75.74,76.00,74.89,75.53,3316047
15-Dec-16,76.67,76.81,75.56,75.76,1785940
14-Dec-16,77.08,77.19,76.11,76.40,1808332
13-Dec-16,78.01,78.18,76.39,76.86,2134766
12-Dec-16,78.03,78.42,77.71,78.09,2191415
9-Dec-16,79.19,79.43,78.35,78.60,1612014
8-Dec-16,78.47,79.28,76.78,78.94,2863388
7-Dec-16,77.30,78.65,76.86,78.59,1395282
6-Dec-16,76.27,77.45,75.76,77.25,2109789
5-Dec-16,75.60,76.73,75.45,76.71,1677947
2-Dec-16,75.70,75.83,74.99,75.04,1667086
1-Dec-16,73.86,75.84,73.56,75.79,1994889
30-Nov-16,72.85,73.50,72.65,73.30,2509785
29-Nov-16,73.00,73.03,72.26,72.88,2354370
28-Nov-16,74.24,74.61,73.67,73.93,1084777
25-Nov-16,74.90,74.99,74.50,74.95,278735
23-Nov-16,73.98,74.73,73.81,74.49,782322
22-Nov-16,73.16,74.47,73.16,74.00,2470085
21-Nov-16,72.66,73.19,72.61,73.14,1312932
18-Nov-16,72.44,72.85,71.92,72.84,1396795
17-Nov-16,71.52,72.56,70.97,72.47,2041225
16-Nov-16,72.75,72.80,71.55,71.60,2667881
15-Nov-16,72.49,73.28,72.01,73.07,3026302
14-Nov-16,70.45,72.57,70.34,72.51,2745539
11-Nov-16,69.21,70.19,69.00,70.12,2293775
10-Nov-16,68.60,70.00,68.51,69.31,2985645
9-Nov-16,64.90,68.90,64.54,68.58,2978676
8-Nov-16,65.31,65.82,65.00,65.61,1250274
7-Nov-16,64.43,65.56,64.43,65.50,1405614
4-Nov-16,63.69,64.46,63.26,63.86,1764778
3-Nov-16,64.64,64.94,63.68,63.80,1897338
2-Nov-16,64.26,65.27,64.14,64.62,1640517
1-Nov-16,64.54,65.17,64.11,64.34,1943437
31-Oct-16,62.97,64.87,62.94,64.79,2386589
28-Oct-16,61.67,62.84,61.49,62.61,947696
27-Oct-16,61.33,61.92,61.29,61.52,679521
26-Oct-16,61.40,61.99,60.97,61.16,1921872
25-Oct-16,62.67,62.75,61.29,61.72,1801326
24-Oct-16,63.27,63.44,63.02,63.31,1050802
21-Oct-16,62.98,63.42,62.69,63.07,1104868
20-Oct-16,63.07,63.34,62.56,62.88,2422801
19-Oct-16,63.22,63.45,62.78,63.37,1132095
18-Oct-16,63.41,63.61,62.75,63.03,1204590
17-Oct-16,62.26,63.95,62.26,62.57,1814282
14-Oct-16,62.25,62.88,62.20,62.23,861551
13-Oct-16,62.54,62.59,62.09,62.18,972531
12-Oct-16,62.53,63.16,62.18,62.80,1386264
11-Oct-16,62.55,62.70,61.97,62.40,1745048
10-Oct-16,61.82,62.57,61.66,62.36,1459386
7-Oct-16,61.27,61.76,61.04,61.63,1607093
6-Oct-16,61.40,61.60,60.69,60.95,1626757
5-Oct-16,61.54,62.22,61.32,61.56,2613147
4-Oct-16,63.60,63.90,61.29,61.72,6514987
3-Oct-16,60.86,61.48,60.16,61.36,3757656
30-Sep-16,60.61,61.50,60.61,61.32,2300325
29-Sep-16,61.06,61.43,60.63,60.63,1125526
28-Sep-16,61.38,61.61,60.50,61.14,2051460
27-Sep-16,62.63,62.73,61.25,61.52,1587447
26-Sep-16,62.80,63.09,62.42,62.47,1273667
23-Sep-16,61.68,63.41,61.68,63.05,1704297
22-Sep-16,62.49,62.82,61.92,61.99,1115923
21-Sep-16,61.39,62.43,61.39,62.36,1121431
20-Sep-16,61.70,61.91,61.31,61.48,818711
19-Sep-16,62.22,62.35,61.30,61.39,721507
16-Sep-16,62.16,62.25,61.84,61.95,2940965
15-Sep-16,61.56,62.16,61.22,62.12,1576447
14-Sep-16,62.29,62.32,61.33,61.67,1649638
13-Sep-16,62.74,62.81,62.10,62.60,1311975
12-Sep-16,61.56,63.14,61.55,63.06,2066037
9-Sep-16,62.16,62.25,61.38,61.45,1115556
8-Sep-16,62.94,63.12,62.41,62.42,1006374
7-Sep-16,62.28,63.18,62.19,62.93,1167068
6-Sep-16,62.54,62.86,62.05,62.57,1252586
2-Sep-16,62.07,62.71,62.07,62.33,1253369
1-Sep-16,61.65,61.90,61.16,61.89,1326702
31-Aug-16,60.98,61.79,60.89,61.64,2317433
30-Aug-16,61.32,61.35,60.83,60.88,1141825
29-Aug-16,61.10,61.67,61.01,61.24,1239916
26-Aug-16,62.71,63.15,60.91,61.19,1837074
25-Aug-16,62.96,63.21,62.83,63.00,1372438
24-Aug-16,62.63,63.22,62.51,62.96,1789969
23-Aug-16,61.91,62.52,61.77,62.46,1040199
22-Aug-16,61.63,61.78,61.23,61.48,1042131
19-Aug-16,62.40,62.46,61.59,61.63,1293357
18-Aug-16,62.28,62.74,62.12,62.62,1374831
17-Aug-16,62.34,62.48,61.92,62.42,1381233
16-Aug-16,62.23,62.62,61.97,62.27,1312035
15-Aug-16,62.67,62.98,62.34,62.37,1242521
12-Aug-16,62.52,63.17,62.46,62.75,1029184
11-Aug-16,62.00,62.73,61.66,62.67,2314124
10-Aug-16,62.15,62.26,61.44,61.54,1987250
9-Aug-16,61.87,62.61,61.86,62.31,1659384
8-Aug-16,62.75,62.75,61.89,62.17,1395850
5-Aug-16,61.29,62.53,61.20,62.42,1938239
4-Aug-16,60.95,61.60,60.82,61.05,1688223
3-Aug-16,60.15,60.83,59.93,60.72,2086103
2-Aug-16,61.38,61.64,60.26,60.26,1949957
1-Aug-16,61.47,62.10,61.18,61.70,1822669
29-Jul-16,61.08,61.72,60.82,61.56,2156927
28-Jul-16,59.52,61.25,59.50,61.13,1984429
27-Jul-16,60.65,60.92,59.67,59.68,3328257
26-Jul-16,62.19,62.52,60.61,60.72,3072834
25-Jul-16,62.68,63.20,62.48,63.14,1399430
22-Jul-16,62.11,62.85,62.00,62.56,1794544
21-Jul-16,62.54,62.77,61.82,61.99,2009803
20-Jul-16,62.56,62.94,62.42,62.68,1449691
19-Jul-16,62.44,62.61,62.26,62.38,1700848
18-Jul-16,62.48,62.67,62.21,62.31,1570628
15-Jul-16,63.19,63.27,62.45,62.48,2218614
14-Jul-16,63.17,63.87,62.85,63.15,3176365
13-Jul-16,62.17,62.85,62.17,62.68,2205325
12-Jul-16,62.97,62.97,62.40,62.80,2479657
11-Jul-16,62.43,62.88,62.07,62.62,2877323
8-Jul-16,62.17,62.69,61.85,62.03,2177019
7-Jul-16,61.70,62.46,61.68,62.07,2174647
6-Jul-16,61.60,62.58,61.52,62.22,2727535
5-Jul-16,62.50,62.94,61.38,61.49,3875375
1-Jul-16,63.17,63.81,62.53,63.00,5500893
30-Jun-16,64.09,64.27,62.53,63.34,6361415
29-Jun-16,65.79,66.45,65.35,65.96,4975861
28-Jun-16,65.20,65.50,64.47,65.24,2236442
27-Jun-16,66.35,66.54,64.51,64.94,4246047
24-Jun-16,66.73,67.73,66.58,66.84,3753377
23-Jun-16,67.67,67.99,67.42,67.98,1044313
22-Jun-16,67.31,67.36,66.95,67.18,1333770
21-Jun-16,67.58,67.71,67.02,67.20,1586234
20-Jun-16,67.92,68.25,67.56,67.71,1059168
17-Jun-16,67.37,67.64,66.87,67.47,1293728
16-Jun-16,67.25,67.68,67.08,67.53,1083418
15-Jun-16,67.27,68.12,66.82,67.49,1608178
14-Jun-16,67.64,68.50,67.63,68.08,1435619
13-Jun-16,67.53,68.15,67.34,67.73,1203753
10-Jun-16,67.94,68.16,67.56,67.81,838544
9-Jun-16,67.51,68.68,67.43,68.33,1589513
8-Jun-16,67.31,67.56,67.12,67.39,856776
7-Jun-16,67.58,67.78,67.22,67.45,1244120
6-Jun-16,67.82,67.88,66.96,67.35,1526244
3-Jun-16,67.47,67.87,67.19,67.75,1093513
2-Jun-16,67.25,67.98,66.98,67.80,1278060
1-Jun-16,67.56,68.26,67.33,67.43,1934679
31-May-16,67.60,67.90,67.06,67.83,3095528
27-May-16,67.49,67.97,67.27,67.48,1066936
26-May-16,66.70,67.66,66.54,67.28,1976371
25-May-16,65.87,66.54,65.30,66.25,1348493
24-May-16,65.10,66.04,64.95,65.80,1260132
23-May-16,66.17,66.21,64.96,65.00,2990495
20-May-16,66.00,66.43,65.46,66.15,2047235
19-May-16,62.89,65.91,62.89,65.90,3373596
18-May-16,63.51,64.08,62.30,63.04,2792292
17-May-16,63.90,64.73,63.44,63.90,2678168
16-May-16,63.12,63.43,62.74,63.28,1529890
13-May-16,63.55,64.06,62.87,63.31,1501260
