Date,Open,High,Low,Close,Volume
28-Apr-17,104.99,105.06,104.27,104.59,840169
27-Apr-17,104.68,105.81,104.36,105.07,1330777
26-Apr-17,104.04,105.16,104.01,104.44,1225574
25-Apr-17,104.07,104.53,103.82,104.28,872910
24-Apr-17,104.15,104.47,103.58,104.45,973765
21-Apr-17,103.40,104.41,103.40,103.95,1639941
20-Apr-17,103.72,103.72,102.73,103.44,904558
19-Apr-17,104.45,104.53,103.41,103.84,531951
18-Apr-17,104.40,104.84,104.10,104.42,658740
17-Apr-17,103.61,104.51,103.61,104.44,942146
13-Apr-17,103.93,104.10,102.89,103.51,826603
12-Apr-17,103.29,104.09,102.79,103.96,945090
11-Apr-17,103.20,103.44,102.55,103.13,756107
10-Apr-17,102.84,103.43,102.33,103.20,909309
7-Apr-17,103.18,103.62,102.82,102.97,790042
6-Apr-17,102.78,103.19,102.37,102.97,772824
5-Apr-17,102.15,103.25,101.88,103.13,1106120
4-Apr-17,101.81,102.67,101.35,102.24,747799
3-Apr-17,101.95,102.09,100.97,101.66,1273089
31-Mar-17,101.21,102.22,101.21,102.11,1355842
30-Mar-17,101.56,101.90,100.97,101.27,579370
29-Mar-17,101.47,102.04,100.93,101.78,844965
28-Mar-17,101.72,102.24,101.24,101.70,861897
27-Mar-17,102.59,102.86,101.44,101.89,765541
24-Mar-17,101.75,102.34,101.47,102.17,577782
23-Mar-17,101.73,102.59,101.36,101.60,642054
22-Mar-17,101.99,102.60,101.42,101.88,760539
21-Mar-17,100.18,101.89,100.18,101.47,979593
20-Mar-17,100.99,101.31,100.01,100.23,671393
17-Mar-17,100.46,101.45,100.24,100.90,1687596
16-Mar-17,101.43,101.43,99.82,100.21,988267
15-Mar-17,100.90,102.96,100.49,102.56,1010505
14-Mar-17,100.73,100.84,100.17,100.49,766211
13-Mar-17,100.25,100.69,100.03,100.61,893368
10-Mar-17,100.40,100.69,99.85,100.26,911209
9-Mar-17,100.11,100.86,99.45,99.72,1041642
