Date,Open,High,Low,Close,Volume
28-Apr-17,39.65,40.02,39.25,39.49,3662145
27-Apr-17,40.15,40.31,39.06,39.35,5109809
26-Apr-17,40.14,41.29,40.09,40.59,4127063
25-Apr-17,39.81,40.68,39.66,40.59,3726799
24-Apr-17,40.08,40.28,39.59,39.82,3609460
21-Apr-17,39.44,39.87,38.95,39.73,4301268
20-Apr-17,39.46,39.94,39.34,39.70,3502155
19-Apr-17,40.64,40.84,39.09,39.25,4839913
18-Apr-17,40.63,41.25,40.26,40.53,4158743
17-Apr-17,40.62,41.03,39.93,41.01,4373761
13-Apr-17,42.00,42.34,40.47,40.65,4507497
12-Apr-17,42.52,42.97,41.72,41.87,3899882
11-Apr-17,42.86,42.98,41.95,42.52,7316616
10-Apr-17,42.89,43.22,42.74,43.06,3184454
7-Apr-17,42.81,43.10,42.49,42.54,3710126
6-Apr-17,41.92,43.16,41.75,42.88,6989775
5-Apr-17,42.95,43.52,41.44,41.52,5680845
4-Apr-17,42.06,42.52,41.51,42.49,3850646
3-Apr-17,41.70,42.32,41.26,42.03,4297991
31-Mar-17,41.20,41.95,41.07,41.72,4806903
30-Mar-17,41.72,42.01,41.12,41.45,6667205
29-Mar-17,39.70,41.27,39.58,41.22,5821393
28-Mar-17,39.25,39.81,38.84,39.62,4889628
27-Mar-17,38.25,39.03,38.02,38.88,4047995
24-Mar-17,39.21,39.46,38.66,38.80,4148607
23-Mar-17,39.18,39.68,38.92,39.09,4051939
22-Mar-17,39.42,40.16,38.99,39.34,4561786
21-Mar-17,40.58,40.82,39.51,39.80,3960505
20-Mar-17,40.02,40.68,39.85,40.54,3295870
17-Mar-17,40.91,41.19,40.49,40.54,5180935
16-Mar-17,41.11,41.14,40.51,40.72,2900196
15-Mar-17,40.48,41.27,40.14,41.12,3497659
14-Mar-17,40.30,40.32,38.69,40.02,5860391
13-Mar-17,40.05,41.18,40.05,40.96,4366698
10-Mar-17,41.28,41.33,39.85,40.26,5036025
9-Mar-17,40.27,41.04,39.48,40.77,8696982
8-Mar-17,43.05,43.26,40.48,40.72,7773213
7-Mar-17,44.27,44.33,43.31,43.56,2843129
6-Mar-17,43.35,44.00,42.91,43.94,5376722
3-Mar-17,43.70,43.98,43.19,43.35,2677623
2-Mar-17,43.99,44.15,43.34,43.47,4393009
1-Mar-17,43.95,44.77,43.57,44.63,4669445
28-Feb-17,42.95,43.84,42.86,43.36,5194195
27-Feb-17,43.07,43.45,42.63,43.06,7623556
24-Feb-17,43.50,43.89,42.56,42.81,4574380
23-Feb-17,44.85,44.95,43.49,43.99,4982412
22-Feb-17,44.50,44.97,43.71,43.76,4805784
21-Feb-17,44.56,45.62,44.36,45.06,4971900
17-Feb-17,43.88,44.27,43.61,44.17,3362893
16-Feb-17,44.44,45.23,44.03,44.11,6199396
15-Feb-17,46.30,47.25,43.82,44.23,9506757
14-Feb-17,45.68,45.99,44.67,45.94,3360550
13-Feb-17,45.07,45.66,44.70,45.26,3261704
10-Feb-17,45.02,45.94,45.00,45.41,3445005
