Date,Open,High,Low,Close,Volume
28-Apr-17,75.88,75.88,74.96,75.34,2007802
27-Apr-17,76.33,76.47,75.35,75.88,1185210
26-Apr-17,76.33,76.75,75.65,76.14,1566573
25-Apr-17,75.41,76.42,75.09,76.13,2329355
24-Apr-17,76.97,77.03,75.43,75.69,2156462
21-Apr-17,75.72,76.52,75.01,76.32,2727860
20-Apr-17,75.52,75.78,74.88,75.49,2624505
19-Apr-17,76.16,76.16,74.70,75.25,3219498
18-Apr-17,76.70,76.84,74.77,75.39,3131160
17-Apr-17,76.80,77.99,76.80,77.00,2065550
13-Apr-17,75.69,77.34,75.52,76.51,2960952
12-Apr-17,74.04,76.75,74.00,76.13,3587192
11-Apr-17,74.11,75.18,73.54,74.28,2928972
10-Apr-17,75.90,76.16,73.84,74.71,3184751
7-Apr-17,74.40,76.24,74.39,75.87,3981631
6-Apr-17,72.72,75.09,72.55,74.68,9425095
5-Apr-17,69.97,72.64,69.61,71.79,5244219
4-Apr-17,68.58,70.62,68.11,69.40,6992294
3-Apr-17,69.32,71.83,67.76,67.95,34496800
31-Mar-17,70.67,70.70,68.95,69.20,22459
30-Mar-17,72.30,72.32,70.75,70.75,3235
29-Mar-17,68.25,73.00,68.00,72.54,914
28-Mar-17,68.95,69.00,68.95,69.00,434
27-Mar-17,66.50,67.00,65.82,67.00,900
24-Mar-17,68.47,68.47,68.36,68.36,1888
23-Mar-17,67.00,67.13,66.90,67.13,301
22-Mar-17,65.35,65.45,65.18,65.26,1538
21-Mar-17,66.40,66.40,64.06,64.93,5435
20-Mar-17,67.12,67.16,66.58,66.69,3801
