Date,Open,High,Low,Close,Volume
28-Apr-17,129.21,129.49,128.93,129.09,1384834
27-Apr-17,128.94,129.44,128.74,129.37,933080
26-Apr-17,128.24,129.00,127.98,128.80,1106391
25-Apr-17,127.78,128.55,127.60,128.25,773887
24-Apr-17,127.26,127.63,126.79,127.30,1243357
21-Apr-17,126.42,126.75,126.02,126.20,656574
20-Apr-17,125.93,126.59,125.64,126.35,675970
19-Apr-17,125.68,126.20,125.53,125.71,885804
18-Apr-17,124.57,125.39,124.57,125.31,672808
17-Apr-17,124.97,125.42,124.73,125.42,472505
13-Apr-17,124.75,125.44,124.46,124.47,598036
12-Apr-17,125.14,125.82,124.68,124.96,855631
11-Apr-17,125.60,126.14,125.10,125.66,617609
10-Apr-17,125.29,126.35,125.10,125.87,750585
7-Apr-17,124.85,125.59,124.70,125.25,841083
6-Apr-17,124.88,125.78,124.78,125.21,795634
5-Apr-17,125.40,125.83,124.48,124.83,1102370
4-Apr-17,125.85,126.04,124.42,125.06,1140081
3-Apr-17,126.00,127.06,124.98,125.88,1514593
31-Mar-17,124.66,125.98,124.66,125.34,1167677
30-Mar-17,125.09,125.42,124.76,125.34,575853
29-Mar-17,124.59,125.10,124.38,124.78,671066
28-Mar-17,124.01,125.11,123.65,124.87,1083045
27-Mar-17,122.58,124.18,122.58,124.11,791442
24-Mar-17,124.17,124.60,123.51,123.83,1007543
23-Mar-17,124.14,124.97,123.65,124.18,996715
22-Mar-17,124.29,124.86,123.91,124.24,732367
21-Mar-17,125.02,125.54,123.96,124.20,913467
20-Mar-17,125.11,125.77,124.82,125.13,766344
17-Mar-17,125.34,125.82,125.02,125.41,1732777
16-Mar-17,125.37,125.62,124.49,125.19,928330
15-Mar-17,124.31,125.67,123.65,125.37,929636
14-Mar-17,124.06,124.69,123.48,123.68,931053
13-Mar-17,124.00,124.78,123.96,124.77,925641
10-Mar-17,124.39,124.91,123.88,124.25,1125271
9-Mar-17,124.22,124.55,123.34,123.69,1338874
8-Mar-17,124.64,125.66,124.30,124.50,1081808
7-Mar-17,125.17,125.45,124.44,124.72,842882
