Date,Open,High,Low,Close,Volume
28-Apr-17,79.39,79.58,78.98,79.28,2890281
27-Apr-17,79.17,80.10,79.02,79.58,1495313
26-Apr-17,79.32,79.71,79.09,79.14,1099029
25-Apr-17,79.00,79.48,78.87,79.40,1146037
24-Apr-17,79.14,79.50,78.57,79.40,1744623
21-Apr-17,78.24,79.27,78.22,79.09,2137338
20-Apr-17,78.54,78.54,77.80,78.28,1836553
19-Apr-17,78.89,79.07,78.57,78.78,1700804
18-Apr-17,78.89,79.29,78.66,79.09,1549325
17-Apr-17,78.61,78.87,78.47,78.87,1307294
13-Apr-17,78.48,78.82,77.95,78.53,1578790
12-Apr-17,77.63,78.59,77.44,78.58,2095645
11-Apr-17,77.87,78.09,77.31,77.90,1733055
10-Apr-17,77.87,78.15,77.54,78.01,932937
7-Apr-17,78.69,78.76,77.80,77.82,1988464
6-Apr-17,78.37,78.50,77.98,78.33,1011169
5-Apr-17,77.86,78.60,77.59,78.53,1291287
4-Apr-17,77.70,78.28,77.50,77.96,1130156
3-Apr-17,77.75,77.83,77.14,77.83,2192057
31-Mar-17,77.62,78.08,77.29,77.66,1300374
30-Mar-17,77.99,78.00,77.44,77.74,827069
29-Mar-17,78.27,78.48,77.75,78.18,1260838
28-Mar-17,78.33,78.63,78.11,78.53,1241424
27-Mar-17,78.52,78.98,78.14,78.55,1783756
24-Mar-17,77.89,78.66,77.76,78.41,1130247
23-Mar-17,78.00,78.68,77.66,77.89,1270856
22-Mar-17,77.65,78.36,77.51,78.11,2040289
21-Mar-17,76.10,77.57,76.05,77.34,1603010
20-Mar-17,76.89,77.05,75.94,76.09,1060910
17-Mar-17,76.53,77.09,76.40,76.68,2989075
16-Mar-17,77.34,77.62,76.19,76.32,1892944
15-Mar-17,76.67,78.11,76.49,77.64,1547168
14-Mar-17,76.24,76.57,76.03,76.42,1203100
13-Mar-17,75.98,76.28,75.79,76.28,1414078
10-Mar-17,75.52,76.02,75.38,75.98,1145103
9-Mar-17,75.64,76.00,75.11,75.13,1776885
8-Mar-17,76.06,76.09,75.42,75.51,1202061
7-Mar-17,76.49,76.86,76.39,76.64,1088239
6-Mar-17,76.67,77.02,76.44,76.64,1328468
3-Mar-17,77.31,77.31,76.19,76.67,1526816
2-Mar-17,75.97,77.50,75.79,77.19,2164750
1-Mar-17,75.91,76.91,75.59,76.18,1780827
28-Feb-17,76.29,77.24,76.26,77.04,1727453
27-Feb-17,76.61,76.71,76.19,76.47,1239032
24-Feb-17,76.25,76.76,76.07,76.61,1609673
23-Feb-17,75.29,75.99,75.07,75.91,1437973
22-Feb-17,74.52,75.09,74.20,75.01,2410802
21-Feb-17,73.50,74.68,73.22,74.52,1854693
17-Feb-17,74.08,74.08,72.63,73.50,2768835
16-Feb-17,73.68,74.49,73.53,74.29,2953033
15-Feb-17,73.21,73.76,72.94,73.70,1616697
14-Feb-17,74.14,74.30,73.39,73.69,1254320
13-Feb-17,74.29,74.48,73.64,74.35,1695229
10-Feb-17,74.29,74.96,74.18,74.75,1321745
9-Feb-17,75.13,75.44,74.26,74.39,1801921
8-Feb-17,74.62,75.31,74.62,75.25,1121570
7-Feb-17,74.31,74.60,74.16,74.51,831919
6-Feb-17,74.55,74.74,74.05,74.30,1758295
3-Feb-17,74.50,74.70,73.94,74.20,2302110
2-Feb-17,73.47,74.50,73.17,74.47,1488112
1-Feb-17,73.82,74.02,73.05,73.33,1766300
31-Jan-17,73.44,74.55,73.34,74.35,2990993
30-Jan-17,73.34,73.56,72.81,73.26,1595132
27-Jan-17,73.29,73.51,72.92,73.12,1488282
26-Jan-17,72.51,73.52,72.51,73.02,1451321
25-Jan-17,72.52,72.77,72.13,72.74,1990876
24-Jan-17,72.82,73.11,72.54,72.79,1544060
23-Jan-17,73.27,73.53,72.70,72.96,1527122
20-Jan-17,73.41,73.80,72.79,73.08,2034753
19-Jan-17,73.95,74.15,73.26,73.49,1395526
18-Jan-17,74.28,74.83,74.12,74.43,1455509
17-Jan-17,73.89,74.64,73.67,74.60,1601855
13-Jan-17,73.44,73.65,73.04,73.60,1179908
12-Jan-17,73.01,73.74,72.50,73.62,1493053
11-Jan-17,72.63,73.17,72.41,73.03,1288780
10-Jan-17,72.63,72.82,72.14,72.64,1124794
9-Jan-17,74.10,74.10,72.71,72.76,1479541
6-Jan-17,73.29,74.02,73.17,73.94,914550
5-Jan-17,73.54,73.99,72.97,73.72,1802903
4-Jan-17,73.72,74.20,73.30,73.56,1259634
3-Jan-17,73.72,73.74,72.74,73.63,1699630
30-Dec-16,74.08,74.30,73.41,73.68,1138952
29-Dec-16,73.16,74.14,73.15,74.07,1111407
28-Dec-16,73.72,73.72,72.94,73.07,873442
27-Dec-16,73.51,73.93,73.26,73.75,724438
23-Dec-16,73.65,73.82,73.29,73.63,482671
22-Dec-16,73.11,73.64,72.80,73.50,1187922
21-Dec-16,73.44,73.86,73.10,73.12,730097
20-Dec-16,73.02,73.87,72.76,73.44,1626506
19-Dec-16,73.03,73.46,72.55,73.04,1151888
16-Dec-16,71.79,73.36,71.79,72.68,3048401
15-Dec-16,71.15,71.85,70.75,71.75,1658016
14-Dec-16,73.44,73.91,71.05,71.21,2129367
13-Dec-16,72.87,73.53,72.77,73.28,2068325
12-Dec-16,71.37,72.99,71.27,72.82,1788626
9-Dec-16,70.66,71.52,70.40,71.44,1775788
8-Dec-16,69.89,70.70,69.33,70.58,1269410
7-Dec-16,69.38,70.42,69.38,70.41,1416912
6-Dec-16,69.97,69.99,69.06,69.15,1446236
5-Dec-16,69.31,69.76,68.85,69.72,2048418
2-Dec-16,70.09,70.55,69.28,69.69,1551097
1-Dec-16,69.31,69.79,69.11,69.47,1959305
30-Nov-16,71.67,71.78,69.75,69.77,3847094
29-Nov-16,72.43,73.22,72.37,72.65,1988281
28-Nov-16,70.78,72.73,70.78,72.65,2065795
25-Nov-16,69.90,70.90,69.75,70.66,930220
23-Nov-16,69.78,70.37,69.42,69.55,1394097
22-Nov-16,70.23,70.57,69.64,70.32,1396335
21-Nov-16,69.76,70.15,69.45,70.10,1612822
18-Nov-16,69.99,70.33,69.26,69.53,1777205
17-Nov-16,69.61,70.41,69.58,70.04,1151970
16-Nov-16,70.83,71.00,69.40,69.84,1722579
15-Nov-16,69.92,71.03,69.91,70.57,2560901
14-Nov-16,69.35,69.82,68.76,69.55,2446426
11-Nov-16,70.69,71.62,70.27,70.49,2107000
10-Nov-16,72.05,72.05,68.99,70.69,3992900
9-Nov-16,72.95,73.41,72.15,72.26,2983324
8-Nov-16,74.72,75.62,74.61,75.33,1361367
7-Nov-16,73.94,74.55,72.88,74.54,1728676
4-Nov-16,75.27,75.41,73.61,73.75,1841669
3-Nov-16,73.62,74.28,73.25,73.87,1516961
2-Nov-16,74.03,74.14,72.96,73.82,1870246
1-Nov-16,75.48,75.48,73.89,74.05,1635261
31-Oct-16,74.22,76.02,74.06,75.55,2506876
28-Oct-16,73.61,74.25,73.51,73.99,1108933
27-Oct-16,73.57,73.92,73.01,73.47,1256326
26-Oct-16,73.57,74.00,73.28,73.88,965606
25-Oct-16,73.12,73.73,72.95,73.65,1273483
24-Oct-16,73.61,73.72,72.72,73.17,1268405
21-Oct-16,73.22,73.55,72.93,73.17,1054103
20-Oct-16,73.53,74.25,73.34,73.62,989415
19-Oct-16,73.26,73.79,72.90,73.44,1486944
18-Oct-16,73.42,73.68,72.39,73.24,1670279
17-Oct-16,72.73,73.12,72.67,73.00,1164519
14-Oct-16,72.65,73.38,72.16,72.49,1288225
13-Oct-16,72.23,73.60,72.10,72.94,1583434
12-Oct-16,71.76,72.30,71.67,72.07,1675881
11-Oct-16,71.91,72.33,71.34,71.66,2069891
10-Oct-16,71.99,72.52,71.69,72.20,1340282
7-Oct-16,72.80,73.56,72.03,72.03,2096558
6-Oct-16,72.25,72.83,71.78,72.33,2003435
5-Oct-16,72.82,73.40,72.14,72.50,2341940
4-Oct-16,74.12,74.12,72.39,72.77,2553591
3-Oct-16,75.15,75.21,73.91,74.24,1937322
30-Sep-16,76.79,77.11,74.79,75.30,2978930
29-Sep-16,76.91,76.96,75.98,76.53,1639664
28-Sep-16,77.92,78.04,76.78,77.17,1719324
27-Sep-16,79.15,79.54,77.72,77.85,1679931
26-Sep-16,78.71,78.98,78.31,78.66,1526091
23-Sep-16,78.60,79.02,78.25,78.68,1239138
22-Sep-16,78.36,79.00,78.25,78.85,1928025
21-Sep-16,76.46,78.09,76.36,78.06,2023471
20-Sep-16,76.63,76.83,76.36,76.54,2458376
19-Sep-16,75.30,76.45,75.30,76.40,1755159
16-Sep-16,74.41,75.37,74.20,75.31,2897845
15-Sep-16,74.16,74.72,73.79,74.56,1410793
14-Sep-16,73.95,74.64,73.61,74.13,2025385
13-Sep-16,74.48,74.49,73.10,73.23,1658454
12-Sep-16,73.00,74.64,73.00,74.45,2496710
9-Sep-16,74.88,75.24,72.93,72.95,3302935
8-Sep-16,75.81,76.27,75.46,75.87,1484794
7-Sep-16,76.20,76.29,75.67,76.01,1171301
6-Sep-16,75.58,76.45,75.56,76.28,1160819
2-Sep-16,74.89,75.90,74.66,75.55,1625926
1-Sep-16,75.15,75.25,74.71,74.88,1023607
31-Aug-16,74.68,75.28,74.31,75.25,2252033
30-Aug-16,75.07,75.57,74.56,74.60,1218573
29-Aug-16,75.11,75.66,74.87,75.25,1857386
26-Aug-16,76.50,76.93,74.70,74.77,1126803
25-Aug-16,76.40,76.89,76.13,76.45,1221947
24-Aug-16,76.23,76.50,75.63,76.32,1291532
23-Aug-16,76.69,77.19,76.46,76.46,815235
22-Aug-16,76.77,77.14,76.47,76.75,931087
19-Aug-16,77.04,77.08,75.93,76.50,1860560
18-Aug-16,76.17,77.51,76.17,77.38,2718602
17-Aug-16,75.00,76.45,74.09,76.38,2404873
16-Aug-16,76.06,76.11,75.08,75.08,2199304
15-Aug-16,78.00,78.27,76.09,76.24,3167671
12-Aug-16,78.73,79.02,78.42,78.79,1819506
11-Aug-16,78.09,78.42,77.85,78.39,1427653
10-Aug-16,78.32,78.49,77.98,78.24,1376497
9-Aug-16,77.77,78.32,77.40,78.09,1429139
8-Aug-16,77.83,78.37,77.43,77.65,1363929
5-Aug-16,78.45,78.64,77.66,77.75,1965606
4-Aug-16,79.03,79.40,78.53,78.79,1360837
3-Aug-16,80.04,80.19,78.55,78.90,1589581
2-Aug-16,80.19,80.41,79.64,80.12,1121573
1-Aug-16,79.71,80.61,79.68,80.46,1364123
29-Jul-16,79.78,80.85,79.55,80.08,2338524
28-Jul-16,79.43,80.06,79.12,79.88,922531
27-Jul-16,80.25,80.32,78.31,79.43,2809517
26-Jul-16,81.20,81.20,80.04,80.45,1255018
25-Jul-16,81.16,81.27,80.62,81.19,1290049
22-Jul-16,79.79,81.26,79.79,81.18,1866473
21-Jul-16,78.91,79.89,78.34,79.89,1928880
20-Jul-16,79.11,79.27,78.47,78.91,1576185
19-Jul-16,79.09,79.33,78.67,79.11,999277
18-Jul-16,79.44,79.68,78.87,79.06,1578080
15-Jul-16,79.14,79.52,78.60,79.15,1753842
14-Jul-16,78.78,79.26,78.62,79.12,1660982
13-Jul-16,79.15,79.56,78.80,79.42,2069616
12-Jul-16,79.66,79.86,78.73,78.77,2407942
11-Jul-16,79.93,80.48,79.09,80.20,2440492
8-Jul-16,79.75,80.42,79.05,80.38,2334590
7-Jul-16,81.27,81.35,79.72,79.99,2367230
6-Jul-16,81.22,81.64,80.53,81.55,1783748
5-Jul-16,80.72,81.88,80.51,81.67,2148333
1-Jul-16,80.81,80.98,79.44,80.51,1573844
30-Jun-16,79.18,80.44,78.91,80.44,2222111
