Date,Open,High,Low,Close,Volume
28-Apr-17,80.36,80.70,79.84,79.97,1604085
27-Apr-17,80.29,80.96,80.17,80.35,1708132
26-Apr-17,80.83,80.94,80.07,80.19,1876362
25-Apr-17,80.62,81.06,80.41,80.82,1387429
24-Apr-17,80.52,81.06,80.00,80.94,1539209
21-Apr-17,80.25,80.82,80.17,80.60,1617551
20-Apr-17,80.45,80.45,79.80,80.31,1036858
19-Apr-17,80.93,81.00,80.40,80.62,1285337
18-Apr-17,80.71,81.19,80.60,80.87,1459021
17-Apr-17,80.57,80.85,80.37,80.67,1414897
13-Apr-17,80.55,80.79,80.06,80.31,1257543
12-Apr-17,79.67,80.85,79.52,80.80,1105129
11-Apr-17,80.01,80.19,79.61,79.99,1318106
10-Apr-17,80.23,80.25,79.70,80.08,1288222
7-Apr-17,80.62,80.86,80.23,80.25,2044357
6-Apr-17,80.31,80.80,80.03,80.46,2141175
5-Apr-17,79.95,80.68,79.62,80.59,1613630
4-Apr-17,79.86,80.32,79.62,79.97,1550453
3-Apr-17,79.62,79.95,78.85,79.95,2214742
31-Mar-17,79.43,80.07,79.43,79.61,1217408
30-Mar-17,79.62,79.76,79.15,79.49,991771
29-Mar-17,80.15,80.20,79.55,79.82,1669331
28-Mar-17,80.31,80.98,80.01,80.90,1421260
27-Mar-17,80.98,81.34,80.16,80.50,1334370
24-Mar-17,79.99,80.99,79.95,80.71,1266530
23-Mar-17,79.74,80.54,79.54,80.19,1971505
22-Mar-17,79.90,80.53,79.60,79.86,1867947
21-Mar-17,78.65,79.81,78.53,79.56,1786080
20-Mar-17,79.70,79.86,78.54,78.80,1691342
17-Mar-17,79.26,79.91,79.14,79.60,3897614
16-Mar-17,79.50,79.61,78.90,79.18,1609994
15-Mar-17,78.78,80.04,78.52,79.81,2573806
14-Mar-17,78.72,78.72,77.88,78.42,3502906
13-Mar-17,78.75,79.20,78.60,79.08,1234229
10-Mar-17,78.51,78.98,78.20,78.81,1586901
9-Mar-17,78.15,78.54,77.93,78.00,1631299
8-Mar-17,78.76,78.76,77.95,78.12,1868901
7-Mar-17,79.30,79.62,79.13,79.25,1820622
6-Mar-17,79.40,79.61,79.10,79.35,1568196
3-Mar-17,79.86,79.99,78.87,79.49,1821319
2-Mar-17,78.94,80.61,78.89,79.92,2041799
1-Mar-17,78.92,79.98,78.45,79.38,2709993
28-Feb-17,79.03,79.94,78.94,79.74,2506822
27-Feb-17,78.93,79.21,78.48,79.00,1530387
24-Feb-17,78.13,78.94,78.05,78.87,1926233
23-Feb-17,77.57,78.04,77.39,77.90,1750856
22-Feb-17,77.50,77.64,76.51,77.19,3380025
21-Feb-17,76.04,77.35,75.91,77.22,1852902
17-Feb-17,75.82,76.43,75.82,76.34,1985051
16-Feb-17,75.13,75.82,75.10,75.79,1254405
15-Feb-17,74.83,75.10,74.26,74.98,1890731
14-Feb-17,75.57,75.62,74.84,75.39,1483399
13-Feb-17,75.20,75.64,74.98,75.56,1242354
10-Feb-17,74.24,75.23,74.11,75.21,1598283
9-Feb-17,74.50,74.99,74.32,74.76,1849089
8-Feb-17,73.70,75.09,73.59,74.83,3262019
7-Feb-17,72.73,73.12,72.51,73.05,1800996
6-Feb-17,72.83,73.16,72.39,72.75,1531841
3-Feb-17,72.00,72.74,71.80,72.54,2098569
2-Feb-17,71.77,72.65,71.48,72.61,1931944
1-Feb-17,72.35,72.58,71.50,71.60,1413381
31-Jan-17,72.06,72.90,71.73,72.88,2880851
30-Jan-17,72.29,72.29,71.35,71.93,993211
27-Jan-17,72.33,72.33,71.79,72.00,1047536
26-Jan-17,71.80,72.27,71.59,71.96,1061808
25-Jan-17,71.75,71.99,71.55,71.73,861959
24-Jan-17,71.72,72.11,71.48,72.00,1522548
23-Jan-17,72.08,72.16,71.63,71.82,1037246
20-Jan-17,71.87,72.31,71.56,71.97,921218
19-Jan-17,72.10,72.55,71.54,71.72,1219056
18-Jan-17,72.61,72.95,72.18,72.30,1173647
17-Jan-17,72.41,72.89,72.29,72.51,1674231
13-Jan-17,72.24,72.49,71.61,72.10,979440
12-Jan-17,72.06,72.49,71.83,72.38,1176790
11-Jan-17,71.07,72.31,71.07,72.13,1505503
10-Jan-17,71.08,71.33,70.57,71.11,1258200
9-Jan-17,71.91,72.08,70.93,71.02,1252296
6-Jan-17,71.82,72.06,71.56,71.69,2066240
5-Jan-17,72.48,72.73,71.73,72.10,2270260
4-Jan-17,71.94,72.60,71.78,72.36,1790734
3-Jan-17,71.76,71.96,71.07,71.75,1971714
30-Dec-16,72.35,72.62,71.78,71.99,1960607
29-Dec-16,71.38,72.44,71.22,72.28,1524821
28-Dec-16,71.50,71.69,71.04,71.15,1778820
27-Dec-16,71.59,72.08,71.49,71.94,841525
23-Dec-16,72.16,72.38,71.79,71.90,791794
22-Dec-16,71.71,72.31,71.66,72.13,1172898
21-Dec-16,71.96,72.48,71.71,71.74,1633390
20-Dec-16,71.60,72.29,71.30,72.11,1597349
19-Dec-16,71.78,72.02,71.12,71.61,1516264
16-Dec-16,70.30,71.78,70.23,71.72,3499383
15-Dec-16,69.25,70.43,68.81,70.19,1453876
14-Dec-16,71.62,71.84,69.53,69.59,2185371
13-Dec-16,70.72,71.25,70.60,71.17,2755820
12-Dec-16,69.66,70.52,69.46,70.45,2698329
9-Dec-16,69.59,70.33,69.23,69.97,3307626
8-Dec-16,69.09,69.77,68.76,69.44,1627776
7-Dec-16,69.06,69.91,69.06,69.61,2236522
6-Dec-16,69.89,69.99,68.82,68.85,1873676
5-Dec-16,69.13,69.75,68.01,69.74,2705358
2-Dec-16,69.00,69.86,68.95,69.40,1435505
1-Dec-16,68.39,68.60,67.73,68.56,1565649
30-Nov-16,70.21,70.39,68.75,68.77,2276797
29-Nov-16,71.02,71.74,70.85,71.15,1527606
28-Nov-16,69.96,71.35,69.96,71.27,1873439
25-Nov-16,69.26,69.97,69.21,69.76,812986
23-Nov-16,69.00,69.71,68.57,68.99,993000
22-Nov-16,69.31,69.92,69.00,69.73,1551913
21-Nov-16,68.80,69.39,68.53,69.28,1430998
18-Nov-16,68.66,69.04,68.16,68.45,982170
17-Nov-16,68.64,69.49,68.64,68.69,1570506
16-Nov-16,69.57,69.73,68.54,68.84,1027447
15-Nov-16,68.76,69.80,68.69,69.44,1398394
14-Nov-16,68.62,68.72,67.44,68.34,2471800
11-Nov-16,68.80,69.65,68.35,68.85,1512352
10-Nov-16,69.86,69.86,67.61,68.76,3689175
9-Nov-16,70.86,71.01,69.76,70.17,2204552
8-Nov-16,71.74,72.63,71.59,72.26,1362852
7-Nov-16,70.76,71.57,69.87,71.57,1367131
4-Nov-16,71.45,72.11,70.29,70.31,1471377
3-Nov-16,70.37,71.34,69.97,71.05,1229974
2-Nov-16,72.29,72.33,70.08,70.70,1957150
1-Nov-16,73.39,73.44,72.20,72.50,1871151
31-Oct-16,71.97,73.81,71.48,73.48,1912187
28-Oct-16,71.51,72.04,71.39,71.88,826272
27-Oct-16,71.46,71.72,70.88,71.41,861640
26-Oct-16,71.66,71.95,71.06,71.76,1054820
25-Oct-16,71.10,71.68,70.97,71.62,1145408
24-Oct-16,71.22,71.47,70.68,71.26,1191914
21-Oct-16,71.38,71.65,70.49,70.90,1625069
20-Oct-16,72.03,72.41,71.64,71.75,1508660
19-Oct-16,72.07,72.33,71.50,72.02,2727979
18-Oct-16,71.61,72.13,70.98,72.07,1885168
17-Oct-16,71.09,71.40,70.94,71.22,813894
14-Oct-16,70.69,71.42,70.29,70.85,1790056
13-Oct-16,70.14,71.48,69.99,71.01,1531649
12-Oct-16,69.55,70.22,69.55,70.06,1130622
11-Oct-16,70.18,70.24,69.23,69.41,1420123
10-Oct-16,70.08,70.37,69.65,70.26,1114547
7-Oct-16,70.23,70.92,69.81,69.89,1533059
6-Oct-16,69.52,70.12,69.21,69.82,1606336
5-Oct-16,70.01,70.50,69.31,69.76,2705400
4-Oct-16,71.31,71.31,69.47,69.89,2262514
3-Oct-16,72.06,72.14,70.93,71.39,1707665
30-Sep-16,73.03,73.53,71.91,72.25,1734361
29-Sep-16,73.45,73.48,72.25,72.68,1311465
28-Sep-16,73.95,74.18,72.98,73.70,1289632
27-Sep-16,75.89,76.30,74.13,74.24,1769825
26-Sep-16,75.64,75.82,75.28,75.55,1565066
23-Sep-16,75.14,75.96,74.94,75.62,1399240
22-Sep-16,75.36,75.59,74.84,75.51,1016842
21-Sep-16,73.29,75.08,73.29,75.00,1551403
20-Sep-16,73.67,74.07,73.32,73.36,979122
19-Sep-16,73.21,73.56,72.98,73.52,1379985
16-Sep-16,71.97,73.14,71.74,73.08,2086112
15-Sep-16,71.65,72.32,71.46,72.20,1245484
14-Sep-16,71.89,72.35,71.49,71.83,1611825
13-Sep-16,72.34,72.53,71.35,71.63,2139192
12-Sep-16,71.38,72.69,71.38,72.52,1685575
9-Sep-16,73.17,73.27,71.31,71.40,2995568
8-Sep-16,73.59,74.01,73.32,73.85,1254211
7-Sep-16,74.00,74.04,73.52,73.77,1156342
6-Sep-16,73.96,74.50,73.57,74.11,1592466
2-Sep-16,73.05,73.88,72.75,73.70,1828807
1-Sep-16,72.66,72.76,72.25,72.70,1509660
31-Aug-16,72.02,72.74,71.74,72.72,1724596
30-Aug-16,72.65,73.00,71.92,71.96,1004368
29-Aug-16,72.04,72.85,72.04,72.81,1820021
26-Aug-16,73.72,74.20,71.76,71.90,1984322
25-Aug-16,74.04,74.23,73.59,73.65,1536734
24-Aug-16,73.85,74.08,73.32,73.99,979259
23-Aug-16,74.35,74.77,73.94,73.97,1066426
22-Aug-16,74.42,74.68,74.24,74.38,868199
19-Aug-16,74.78,74.93,73.76,74.21,1675874
18-Aug-16,74.26,75.06,74.08,75.06,2114632
17-Aug-16,73.40,74.43,72.64,74.24,2440779
16-Aug-16,74.32,74.32,73.33,73.33,1659679
15-Aug-16,75.82,75.98,74.51,74.56,1340355
12-Aug-16,75.78,76.24,75.56,75.84,1194963
11-Aug-16,75.26,75.54,74.99,75.50,987920
10-Aug-16,75.33,75.58,75.03,75.11,1134440
9-Aug-16,74.97,75.60,74.79,75.30,892890
8-Aug-16,75.15,75.33,74.61,74.95,1265697
5-Aug-16,75.70,75.95,74.89,74.99,1233638
4-Aug-16,76.07,76.86,75.92,76.23,1343974
3-Aug-16,76.56,76.58,75.69,75.98,1254170
2-Aug-16,76.60,76.83,76.15,76.56,1237446
1-Aug-16,77.04,77.40,76.80,77.05,1541849
29-Jul-16,76.37,77.63,75.96,77.38,1614496
28-Jul-16,76.09,76.74,76.06,76.45,1236316
27-Jul-16,76.60,76.69,75.42,76.02,1873767
26-Jul-16,77.19,77.44,76.65,76.86,1225585
25-Jul-16,77.62,77.87,77.02,77.38,1008887
22-Jul-16,76.77,77.66,76.47,77.64,1379859
21-Jul-16,76.27,76.87,75.99,76.74,1850537
20-Jul-16,77.06,77.12,76.43,76.51,872063
19-Jul-16,77.27,77.42,76.82,77.11,1092194
18-Jul-16,77.31,77.62,77.18,77.22,1395973
15-Jul-16,77.33,77.62,76.81,77.18,1542845
14-Jul-16,76.82,77.22,76.39,77.11,2005514
13-Jul-16,76.92,77.44,74.45,77.41,2000240
12-Jul-16,77.53,77.70,76.49,76.57,2370110
11-Jul-16,77.76,78.07,76.89,77.99,1714357
8-Jul-16,76.73,78.21,76.04,78.17,2351346
7-Jul-16,78.01,78.01,76.77,77.04,1418478
6-Jul-16,78.35,78.72,77.57,78.40,2471926
5-Jul-16,77.78,78.69,77.58,78.55,2074595
1-Jul-16,78.00,78.02,76.55,77.65,1606819
30-Jun-16,75.91,77.71,75.71,77.67,3282790
29-Jun-16,76.19,76.59,75.74,76.10,2142282
28-Jun-16,75.82,76.18,74.66,76.04,2572568
27-Jun-16,74.42,76.60,74.42,76.45,2407086
24-Jun-16,73.33,75.37,73.21,74.59,2064998
23-Jun-16,73.94,73.99,73.39,73.99,1072074
22-Jun-16,74.38,74.38,73.74,73.84,1132357
21-Jun-16,73.93,74.56,73.60,74.12,1151037
20-Jun-16,74.03,74.25,73.24,73.93,956451
17-Jun-16,73.85,74.15,73.22,74.12,1522794
16-Jun-16,73.63,74.15,73.59,73.92,923226
15-Jun-16,74.08,74.29,73.20,73.46,1132691
14-Jun-16,73.87,74.11,73.16,74.08,1130049
13-Jun-16,74.08,74.46,73.68,73.88,1550712
10-Jun-16,73.67,74.11,73.48,73.96,1290495
9-Jun-16,72.83,73.75,72.83,73.66,1344753
8-Jun-16,72.37,72.94,72.34,72.90,767363
7-Jun-16,72.53,72.90,72.21,72.44,1196885
6-Jun-16,72.57,72.86,72.15,72.54,1339876
