Date,Open,High,Low,Close,Volume
28-Apr-17,87.21,87.57,86.56,87.14,1717008
27-Apr-17,87.72,88.17,87.35,87.42,1603733
26-Apr-17,87.41,88.41,87.27,87.81,2709609
25-Apr-17,86.27,87.72,86.25,87.38,1760646
24-Apr-17,85.71,86.33,85.54,85.99,1312882
21-Apr-17,85.96,86.15,85.01,85.18,1501789
20-Apr-17,85.75,86.43,85.34,86.03,1506930
19-Apr-17,86.34,86.89,85.46,85.62,1507717
18-Apr-17,85.17,86.38,84.84,86.29,2110097
17-Apr-17,85.09,85.40,85.05,85.36,764976
13-Apr-17,84.76,85.31,84.70,84.94,1043529
12-Apr-17,84.37,85.03,84.33,84.92,934808
11-Apr-17,84.61,85.02,84.16,84.85,994572
10-Apr-17,84.34,84.99,84.05,84.72,1074607
7-Apr-17,84.36,84.45,83.67,84.15,1096342
6-Apr-17,84.86,85.60,84.29,84.37,1809715
5-Apr-17,85.11,86.41,84.76,85.24,2665242
4-Apr-17,84.34,85.27,83.69,85.06,2691559
3-Apr-17,84.73,85.20,83.34,83.50,2666392
31-Mar-17,85.26,85.81,84.71,84.79,2078646
30-Mar-17,85.42,85.66,85.22,85.34,1373586
29-Mar-17,85.66,86.17,85.33,85.52,1300616
28-Mar-17,85.53,86.13,84.89,85.61,1591127
27-Mar-17,85.49,86.57,85.37,85.82,1786145
24-Mar-17,86.56,87.23,85.31,86.01,1888192
23-Mar-17,86.41,87.24,86.36,86.52,1348093
22-Mar-17,86.38,86.89,86.09,86.53,1226626
21-Mar-17,86.98,87.55,86.39,86.48,2149480
20-Mar-17,85.77,86.55,85.50,86.51,2210948
17-Mar-17,85.71,86.66,85.40,85.96,2237858
16-Mar-17,85.25,85.67,85.10,85.58,915312
15-Mar-17,84.75,85.75,84.75,85.33,1412707
14-Mar-17,84.96,85.31,84.46,84.78,1126020
13-Mar-17,85.44,85.87,85.17,85.37,1523552
10-Mar-17,84.21,86.42,84.15,85.78,3603655
9-Mar-17,83.30,83.34,82.66,82.88,958619
