Date,Open,High,Low,Close,Volume
28-Apr-17,82.08,82.20,79.64,79.75,1826558
27-Apr-17,81.17,81.91,80.75,81.66,1450405
26-Apr-17,81.47,81.74,81.05,81.44,929939
25-Apr-17,81.88,82.39,81.51,81.63,1080785
24-Apr-17,80.27,81.74,80.26,81.23,1388745
21-Apr-17,79.84,79.91,79.08,79.31,643947
20-Apr-17,79.16,79.97,78.84,79.64,828610
19-Apr-17,79.10,79.50,78.45,78.58,1024821
18-Apr-17,77.93,78.87,77.61,78.74,985709
17-Apr-17,78.10,78.55,77.89,78.29,607749
13-Apr-17,78.50,79.02,77.78,77.93,585064
12-Apr-17,80.16,80.19,78.23,78.69,1128242
11-Apr-17,80.29,80.67,79.46,80.17,682537
10-Apr-17,80.47,80.73,80.12,80.33,493094
7-Apr-17,79.86,80.50,79.58,80.34,672956
6-Apr-17,79.82,80.49,79.67,80.21,827630
5-Apr-17,80.86,81.09,79.52,79.72,1076613
4-Apr-17,79.95,80.72,79.65,80.25,835708
3-Apr-17,80.84,81.19,79.41,79.96,969341
31-Mar-17,80.83,81.30,80.44,80.80,1583267
30-Mar-17,80.46,81.81,80.28,81.08,1927686
29-Mar-17,79.90,80.87,79.73,80.46,1436900
28-Mar-17,77.93,80.22,77.92,79.83,2743269
27-Mar-17,76.54,78.16,76.02,77.93,954456
24-Mar-17,78.04,78.49,76.80,77.18,816842
23-Mar-17,77.80,78.48,77.25,78.03,854028
22-Mar-17,77.41,78.02,76.84,77.82,1261472
21-Mar-17,78.91,79.18,77.20,77.50,1176369
20-Mar-17,79.17,79.43,78.57,78.83,994456
17-Mar-17,79.30,79.78,78.94,79.17,1355727
16-Mar-17,78.92,79.34,78.14,78.89,970770
15-Mar-17,78.27,78.92,77.54,78.64,997397
14-Mar-17,77.31,77.52,76.66,77.30,851338
13-Mar-17,77.50,78.02,76.69,77.63,2277659
10-Mar-17,77.90,78.31,77.45,77.63,1386146
9-Mar-17,78.00,78.33,77.26,77.54,1175605
8-Mar-17,78.93,79.28,78.30,78.32,914701
7-Mar-17,79.48,79.63,78.91,78.92,980488
6-Mar-17,79.59,80.06,79.22,79.53,837206
3-Mar-17,79.80,80.45,79.71,80.35,1139485
2-Mar-17,81.36,81.72,79.68,79.71,1410313
1-Mar-17,81.20,82.10,81.17,81.47,1434426
28-Feb-17,79.57,80.42,79.40,80.25,983622
27-Feb-17,80.25,80.71,79.78,79.97,803436
24-Feb-17,79.44,80.24,79.35,80.16,643696
23-Feb-17,80.93,81.21,79.91,80.14,728828
22-Feb-17,80.47,81.45,80.35,80.46,996046
21-Feb-17,80.23,81.05,80.16,80.93,1046687
17-Feb-17,80.63,80.63,79.68,80.25,878758
16-Feb-17,80.86,81.08,80.39,80.60,917811
15-Feb-17,80.37,80.92,80.07,80.88,1358692
14-Feb-17,79.60,80.64,79.57,80.58,812465
13-Feb-17,79.64,80.41,79.52,80.06,916673
10-Feb-17,78.92,79.50,78.88,79.36,790199
9-Feb-17,77.85,78.76,77.85,78.48,665071
8-Feb-17,77.63,77.87,77.14,77.85,711283
7-Feb-17,77.97,78.72,77.43,77.69,1104090
6-Feb-17,77.83,78.63,77.57,78.45,962288
3-Feb-17,77.75,78.69,77.58,77.90,1012853
2-Feb-17,77.88,78.36,77.16,77.62,1150992
1-Feb-17,77.80,78.58,77.56,78.30,1377713
31-Jan-17,77.60,78.58,76.81,77.50,1626785
30-Jan-17,76.99,77.75,76.62,77.62,1359078
27-Jan-17,76.59,78.46,74.78,77.70,3752275
26-Jan-17,79.39,80.48,78.87,80.29,2245738
25-Jan-17,78.57,79.46,78.08,79.39,1630437
24-Jan-17,77.27,78.55,77.01,78.22,1293911
23-Jan-17,76.90,77.39,76.24,76.77,1018590
20-Jan-17,76.50,77.61,76.02,76.74,2366996
19-Jan-17,77.33,77.50,75.82,76.02,1933445
18-Jan-17,77.21,77.54,76.82,77.19,1265844
17-Jan-17,77.80,77.90,76.86,76.94,1475855
13-Jan-17,78.32,78.66,77.60,77.89,857871
12-Jan-17,78.71,79.23,76.99,78.32,1367478
11-Jan-17,77.59,79.15,77.44,79.07,1656680
10-Jan-17,76.82,77.63,76.55,77.33,1021686
9-Jan-17,77.32,78.33,76.53,76.61,1233271
6-Jan-17,77.62,77.90,76.97,77.50,1112245
5-Jan-17,77.27,78.02,76.83,77.48,2053765
4-Jan-17,76.27,77.35,76.18,77.18,980570
3-Jan-17,75.84,76.63,74.90,75.92,1270571
30-Dec-16,75.76,75.86,74.92,75.21,569895
29-Dec-16,75.76,76.15,75.34,75.52,515966
28-Dec-16,76.88,77.34,75.55,75.58,615201
27-Dec-16,76.51,76.85,76.21,76.48,490857
23-Dec-16,75.91,76.64,75.61,76.56,597695
22-Dec-16,76.14,76.64,75.47,75.93,602621
21-Dec-16,76.41,76.88,75.90,76.39,738955
20-Dec-16,76.51,76.63,75.97,76.27,664936
19-Dec-16,75.86,76.26,75.75,76.21,888834
16-Dec-16,77.20,77.20,75.78,76.03,2338521
15-Dec-16,75.35,76.93,75.04,76.87,1762784
14-Dec-16,76.80,77.36,75.54,75.64,1869447
13-Dec-16,76.50,77.28,76.46,77.07,1489630
12-Dec-16,77.37,77.85,76.64,76.91,1300708
9-Dec-16,77.49,77.67,76.83,77.20,1449148
8-Dec-16,77.15,77.98,76.69,77.77,1868589
7-Dec-16,75.55,76.93,74.99,76.90,1889165
6-Dec-16,74.83,76.04,74.31,75.41,2170832
5-Dec-16,75.22,75.87,74.80,75.13,1985530
2-Dec-16,74.36,75.31,74.34,74.63,1127096
1-Dec-16,75.62,76.03,74.18,74.41,1111280
30-Nov-16,74.80,75.84,74.32,75.12,1980936
29-Nov-16,73.73,74.40,73.52,73.69,1731065
28-Nov-16,75.12,75.16,73.77,74.11,2131976
25-Nov-16,76.22,76.60,74.95,75.14,959004
23-Nov-16,75.67,76.88,75.54,76.57,855356
22-Nov-16,75.73,76.10,75.05,76.01,1473386
21-Nov-16,74.85,75.92,74.74,75.69,1615859
18-Nov-16,74.28,74.53,73.98,74.18,629888
17-Nov-16,74.44,74.74,73.76,74.47,1130508
16-Nov-16,74.40,74.74,74.02,74.17,977928
15-Nov-16,74.19,74.96,73.78,74.85,1110660
14-Nov-16,75.28,75.51,73.86,74.25,1631988
11-Nov-16,75.40,75.80,74.11,75.21,1555868
10-Nov-16,74.38,75.83,73.94,75.74,1985150
9-Nov-16,71.50,74.29,71.46,73.86,1771368
8-Nov-16,72.36,73.14,71.62,72.64,999443
7-Nov-16,72.44,73.15,71.96,72.36,1477205
4-Nov-16,71.46,71.95,70.85,71.26,1111095
3-Nov-16,71.05,71.97,70.69,71.39,1057581
2-Nov-16,71.98,72.41,70.63,70.67,1839713
1-Nov-16,72.38,73.21,71.55,72.07,1921372
31-Oct-16,72.32,72.42,71.62,71.91,2370164
28-Oct-16,70.04,72.64,69.34,71.99,4626414
27-Oct-16,67.48,68.31,66.90,67.27,1787570
26-Oct-16,66.26,67.16,66.10,67.07,1305608
25-Oct-16,67.01,67.09,66.32,66.40,1094693
24-Oct-16,67.22,67.33,66.61,66.94,727060
