Date,Open,High,Low,Close,Volume
28-Apr-17,64.36,64.72,64.10,64.58,1920344
27-Apr-17,65.31,65.35,64.45,64.53,1845744
26-Apr-17,64.76,65.90,64.39,65.28,3491144
25-Apr-17,64.31,64.98,63.85,64.93,2800662
24-Apr-17,64.80,64.90,63.23,64.20,2358658
21-Apr-17,64.20,64.58,64.10,64.28,1797650
20-Apr-17,64.47,64.47,63.96,64.40,1663646
19-Apr-17,64.30,64.68,63.92,64.34,1832059
18-Apr-17,63.92,64.60,63.83,64.39,1615289
17-Apr-17,63.33,64.11,63.24,64.11,1247013
13-Apr-17,63.42,63.59,63.16,63.24,1301646
12-Apr-17,63.95,64.20,63.38,63.44,1536129
11-Apr-17,63.44,63.92,63.40,63.92,1550542
10-Apr-17,62.92,63.59,62.82,63.49,1016576
7-Apr-17,62.99,63.36,62.81,63.04,1475521
6-Apr-17,62.96,63.21,62.48,62.90,1201909
5-Apr-17,62.40,63.21,62.10,63.01,1867527
4-Apr-17,62.19,63.20,62.00,62.33,1889152
3-Apr-17,62.24,62.40,61.59,62.14,1313498
31-Mar-17,62.11,62.52,61.90,62.22,1768571
30-Mar-17,62.27,62.38,61.51,62.19,1133124
29-Mar-17,62.36,62.55,61.68,62.29,1610196
28-Mar-17,62.20,62.51,61.42,62.41,1735659
27-Mar-17,62.84,63.06,61.91,62.20,1361362
24-Mar-17,63.35,63.56,62.84,62.94,1738667
23-Mar-17,62.89,63.48,62.69,63.15,1645031
22-Mar-17,63.28,63.46,62.85,63.37,1568562
21-Mar-17,63.30,63.55,62.97,62.99,2103425
20-Mar-17,63.54,63.74,63.07,63.19,1118939
17-Mar-17,63.59,63.98,63.26,63.43,2604217
16-Mar-17,63.34,63.96,63.16,63.39,1518326
15-Mar-17,62.26,63.67,62.26,63.42,1658972
14-Mar-17,62.51,62.90,62.22,62.33,2214655
13-Mar-17,62.09,62.92,62.00,62.57,3129171
10-Mar-17,62.63,63.19,61.36,61.96,2780150
9-Mar-17,62.74,62.94,62.07,62.13,2774643
8-Mar-17,62.24,62.82,62.02,62.67,2444579
7-Mar-17,62.29,62.57,61.96,62.55,1374345
6-Mar-17,62.15,62.78,61.89,62.42,1452228
3-Mar-17,62.99,62.99,61.56,62.32,2087114
2-Mar-17,62.89,63.54,62.60,63.26,1850962
1-Mar-17,62.93,63.78,62.42,63.02,2442026
28-Feb-17,63.22,63.50,62.87,63.07,1805762
27-Feb-17,62.92,63.60,62.66,63.26,1456181
24-Feb-17,62.60,62.79,62.28,62.78,1171473
23-Feb-17,62.21,62.76,62.09,62.76,1310582
22-Feb-17,62.51,62.86,61.29,61.93,1459081
21-Feb-17,61.44,62.55,61.29,62.42,1524772
