Date,Open,High,Low,Close,Volume
28-Apr-17,59.72,59.74,59.18,59.40,2029118
27-Apr-17,59.75,60.30,59.70,59.77,1489466
26-Apr-17,59.95,60.16,59.71,59.74,1105400
25-Apr-17,59.81,60.16,59.64,60.00,1340343
24-Apr-17,60.00,60.19,59.51,60.03,1026113
21-Apr-17,59.45,59.97,59.44,59.80,1286756
20-Apr-17,59.58,59.58,59.03,59.44,1125177
19-Apr-17,60.12,60.14,59.33,59.64,1414727
18-Apr-17,60.20,60.50,59.89,60.14,1385727
17-Apr-17,59.78,60.34,59.73,60.29,1513553
13-Apr-17,59.71,59.92,59.30,59.62,1057962
12-Apr-17,59.08,59.91,58.99,59.88,1280363
11-Apr-17,59.16,59.36,58.85,59.21,1214913
10-Apr-17,59.31,59.39,58.92,59.28,1036410
7-Apr-17,59.67,59.84,59.34,59.40,1645239
6-Apr-17,59.22,59.57,58.87,59.54,1714032
5-Apr-17,58.74,59.48,58.63,59.41,1729246
4-Apr-17,58.83,59.04,58.56,58.86,2147752
3-Apr-17,58.76,58.92,58.27,58.89,1205263
31-Mar-17,58.56,59.09,58.56,58.78,1670736
30-Mar-17,58.83,58.94,58.37,58.62,1186110
29-Mar-17,59.43,59.43,58.88,59.07,1453839
28-Mar-17,59.51,59.73,59.24,59.49,1749675
27-Mar-17,60.26,60.36,59.29,59.55,1370456
24-Mar-17,59.58,60.16,59.51,60.01,1310636
23-Mar-17,59.60,60.28,59.53,59.67,1245475
22-Mar-17,59.76,60.21,59.52,59.71,1514245
21-Mar-17,58.41,59.72,58.34,59.44,1782332
20-Mar-17,58.98,59.30,58.35,58.48,1318390
17-Mar-17,58.78,59.41,58.69,58.93,3335934
16-Mar-17,58.85,58.95,58.40,58.54,1047648
15-Mar-17,58.39,59.44,58.34,59.13,2074102
14-Mar-17,58.00,58.34,57.72,58.33,1630834
13-Mar-17,57.68,58.17,57.63,58.04,2299298
10-Mar-17,57.79,58.12,57.42,57.71,1221174
9-Mar-17,57.68,58.00,57.28,57.38,1025181
8-Mar-17,57.93,58.20,57.42,57.52,1324516
7-Mar-17,58.19,58.77,58.19,58.56,1652819
6-Mar-17,58.26,58.48,57.96,58.35,1539574
3-Mar-17,58.48,58.60,57.90,58.28,1674099
2-Mar-17,58.00,58.96,57.90,58.59,1258864
1-Mar-17,57.98,58.60,57.60,58.19,1787799
28-Feb-17,58.35,58.75,58.17,58.66,1927619
27-Feb-17,58.98,59.10,58.67,58.72,1334060
24-Feb-17,58.20,59.11,58.17,59.03,2113240
23-Feb-17,57.86,58.76,57.80,58.12,1902063
22-Feb-17,56.26,57.67,56.09,57.60,1856964
21-Feb-17,56.02,56.92,55.85,56.84,1333298
17-Feb-17,56.30,56.46,55.87,56.15,1529703
16-Feb-17,55.74,56.30,55.65,56.29,1009410
15-Feb-17,55.60,55.78,55.20,55.76,995591
14-Feb-17,56.34,56.44,55.66,55.95,1048944
13-Feb-17,56.34,56.56,56.03,56.49,1003939
10-Feb-17,55.89,56.45,55.89,56.42,700572
9-Feb-17,56.35,56.62,56.00,56.05,1087677
8-Feb-17,55.66,56.71,55.66,56.49,1341627
7-Feb-17,55.66,55.90,55.53,55.78,784408
6-Feb-17,55.91,56.00,55.53,55.68,900023
3-Feb-17,55.61,56.14,55.33,55.72,1933822
2-Feb-17,54.77,55.41,54.55,55.35,1099930
1-Feb-17,54.91,55.24,54.50,54.70,1298557
31-Jan-17,54.42,55.39,54.42,55.32,1572023
30-Jan-17,54.40,54.62,54.12,54.43,1240505
27-Jan-17,54.71,54.74,54.10,54.25,1319127
26-Jan-17,54.30,54.69,54.12,54.53,1541900
25-Jan-17,54.37,54.77,54.12,54.30,1134898
24-Jan-17,54.70,54.92,54.41,54.55,1220219
23-Jan-17,55.17,55.37,54.71,54.74,1913861
20-Jan-17,55.15,55.45,54.72,55.00,1373740
19-Jan-17,55.25,55.67,54.98,55.07,1232678
18-Jan-17,55.69,55.90,55.42,55.52,1288955
17-Jan-17,55.46,55.78,55.29,55.72,1303612
13-Jan-17,55.17,55.42,54.76,55.15,1053547
12-Jan-17,54.91,55.41,54.84,55.31,1353903
11-Jan-17,54.40,55.11,54.36,55.06,1369592
10-Jan-17,54.49,54.52,54.08,54.28,1609446
9-Jan-17,55.31,55.51,54.55,54.57,1303493
6-Jan-17,54.84,55.48,54.77,55.26,1224268
5-Jan-17,55.49,55.49,54.80,55.28,1590713
4-Jan-17,55.17,55.62,54.95,55.27,1264613
