Date,Open,High,Low,Close,Volume
28-Apr-17,243.20,246.50,238.58,244.47,870447
27-Apr-17,241.49,243.22,239.34,241.44,500638
26-Apr-17,238.35,242.24,236.68,241.03,606754
25-Apr-17,235.39,238.55,232.76,238.40,449464
24-Apr-17,236.91,237.95,230.47,234.25,338716
21-Apr-17,234.64,236.22,234.64,235.49,237555
20-Apr-17,235.75,235.81,233.84,235.06,253461
19-Apr-17,236.23,237.47,234.80,235.22,328786
18-Apr-17,235.38,237.99,235.38,236.94,343806
17-Apr-17,234.51,236.09,234.26,236.09,310039
13-Apr-17,234.84,235.20,233.18,233.57,358333
12-Apr-17,236.91,237.75,234.50,234.75,498340
11-Apr-17,235.47,237.72,234.98,236.79,273283
10-Apr-17,233.37,235.56,232.27,235.27,216858
7-Apr-17,232.44,233.98,232.12,233.42,214859
6-Apr-17,230.90,232.87,229.72,232.23,296744
5-Apr-17,230.77,232.62,229.27,231.37,345280
4-Apr-17,230.77,233.60,229.14,230.97,343032
3-Apr-17,231.63,231.77,230.01,230.87,305860
31-Mar-17,232.03,233.79,230.90,231.53,462888
30-Mar-17,231.96,233.37,229.74,232.57,185378
29-Mar-17,230.81,232.98,230.03,232.00,252068
28-Mar-17,233.63,233.97,229.99,233.00,305678
27-Mar-17,236.52,237.34,232.62,233.46,231391
24-Mar-17,237.36,238.57,236.35,236.65,295754
23-Mar-17,234.97,238.00,234.97,236.77,383517
22-Mar-17,235.00,235.55,231.82,235.31,360292
21-Mar-17,233.79,235.21,232.40,233.60,420691
20-Mar-17,233.15,234.32,232.11,233.11,211752
17-Mar-17,233.43,235.89,232.02,233.15,741210
16-Mar-17,231.41,234.30,231.12,232.96,343738
15-Mar-17,225.46,233.36,225.46,232.13,421549
14-Mar-17,224.29,226.63,222.56,225.11,228738
13-Mar-17,224.48,227.16,223.83,224.04,319102
10-Mar-17,227.79,229.71,222.60,224.25,393456
9-Mar-17,230.91,232.07,225.87,225.93,445942
8-Mar-17,233.54,233.94,230.25,230.61,382804
7-Mar-17,231.84,233.73,230.92,233.70,286720
6-Mar-17,230.17,232.53,229.42,231.42,313781
3-Mar-17,231.17,231.74,227.70,230.55,218062
2-Mar-17,231.70,233.49,230.80,231.74,333813
1-Mar-17,233.27,234.84,231.32,232.62,372366
28-Feb-17,234.32,235.92,233.01,234.70,316956
27-Feb-17,233.26,234.68,232.30,234.32,189778
24-Feb-17,232.77,232.92,230.81,232.35,284016
