Date,Open,High,Low,Close,Volume
28-Apr-17,34.86,34.96,34.45,34.55,2933562
27-Apr-17,35.53,35.74,34.56,34.86,3428500
26-Apr-17,35.30,35.75,35.28,35.50,4335468
25-Apr-17,35.85,36.04,35.40,35.50,3272860
24-Apr-17,35.44,36.22,35.37,35.45,3749213
21-Apr-17,35.24,35.49,34.36,34.55,6006836
20-Apr-17,34.03,34.67,33.26,34.62,3422816
19-Apr-17,34.02,34.27,33.55,33.72,2624969
18-Apr-17,33.55,33.93,33.37,33.73,2306422
17-Apr-17,33.37,33.88,33.14,33.83,1661745
13-Apr-17,33.49,34.00,33.20,33.22,2439441
12-Apr-17,34.06,34.14,33.51,33.73,2452546
11-Apr-17,34.03,34.19,33.26,34.08,2914887
10-Apr-17,34.86,34.98,34.18,34.24,3178770
7-Apr-17,34.26,35.04,34.20,34.88,3031326
6-Apr-17,34.16,34.69,33.87,34.58,1737625
5-Apr-17,34.83,35.24,34.16,34.17,3217823
4-Apr-17,34.58,34.88,34.27,34.62,1932102
3-Apr-17,34.86,34.98,34.17,34.76,2647084
31-Mar-17,34.73,35.18,34.66,34.89,2555486
30-Mar-17,34.27,35.02,34.24,34.88,2082165
29-Mar-17,34.09,34.38,33.93,34.31,1814072
28-Mar-17,33.35,34.53,33.31,34.25,2803191
27-Mar-17,32.78,33.61,32.25,33.55,2271261
24-Mar-17,33.82,33.98,33.36,33.64,1917217
23-Mar-17,33.66,34.15,33.54,33.74,2090044
22-Mar-17,33.40,34.15,32.95,33.65,2651470
21-Mar-17,35.03,35.26,33.56,33.64,4486384
20-Mar-17,35.24,35.33,34.87,34.91,3881288
17-Mar-17,35.91,36.00,35.25,35.41,4984864
16-Mar-17,35.52,36.19,35.32,35.83,3705055
15-Mar-17,35.69,35.92,35.15,35.27,3764928
14-Mar-17,35.59,35.75,35.05,35.49,4246575
13-Mar-17,35.48,35.88,35.11,35.73,3432737
10-Mar-17,35.18,35.28,34.70,35.15,2591183
9-Mar-17,34.81,35.08,34.55,34.83,2458672
8-Mar-17,35.41,35.77,34.85,34.89,2197537
7-Mar-17,35.13,35.34,34.76,35.07,2762798
6-Mar-17,35.07,35.29,34.84,35.20,2879111
3-Mar-17,34.79,35.74,34.72,35.48,3394204
2-Mar-17,36.26,36.29,34.94,35.03,5286585
1-Mar-17,35.05,36.54,35.04,36.20,7955535
28-Feb-17,34.74,35.60,33.72,34.51,14886250
27-Feb-17,36.80,37.23,36.66,37.20,2254674
24-Feb-17,36.72,36.95,36.51,36.79,2560319
23-Feb-17,37.42,37.45,36.85,37.06,2601159
22-Feb-17,37.01,37.57,36.95,37.36,2822906
21-Feb-17,37.39,37.72,37.17,37.29,2140943
17-Feb-17,36.94,37.24,36.75,37.17,1381266
16-Feb-17,37.48,37.51,36.98,37.17,2469542
15-Feb-17,37.08,37.67,36.88,37.51,3011530
14-Feb-17,35.89,36.93,35.89,36.88,2556784
13-Feb-17,35.90,36.50,35.81,36.16,3407087
10-Feb-17,35.99,36.07,35.40,35.56,3706159
9-Feb-17,35.24,36.07,35.22,35.80,3202548
8-Feb-17,35.15,35.15,34.58,35.06,2755048
7-Feb-17,34.97,35.51,34.89,35.30,3904608
6-Feb-17,34.51,35.03,34.36,34.80,2759026
3-Feb-17,35.03,35.29,34.65,34.77,6658529
2-Feb-17,35.42,35.77,33.33,34.25,16483529
1-Feb-17,37.82,38.29,37.38,37.58,4089254
31-Jan-17,37.72,37.90,37.08,37.45,3367670
30-Jan-17,38.05,38.06,37.22,37.95,2684193
27-Jan-17,37.99,38.61,37.73,38.27,5631233
26-Jan-17,37.09,37.58,37.00,37.41,3369239
25-Jan-17,37.24,37.33,36.74,36.99,2473235
24-Jan-17,36.37,37.00,36.23,36.72,1781297
23-Jan-17,36.20,36.42,35.83,36.23,1445508
20-Jan-17,36.31,36.62,36.22,36.39,2967898
19-Jan-17,36.45,36.61,36.12,36.24,3387156
18-Jan-17,35.90,36.42,35.24,36.37,2929915
17-Jan-17,36.64,36.84,35.69,35.76,2777602
13-Jan-17,36.72,37.39,36.72,36.93,1789170
12-Jan-17,36.71,36.79,36.02,36.72,1936764
11-Jan-17,36.79,36.99,36.58,36.93,3495063
10-Jan-17,36.84,37.24,36.51,36.79,3081808
9-Jan-17,36.39,36.72,35.97,36.46,2133540
6-Jan-17,36.79,37.00,36.35,36.56,4529286
5-Jan-17,35.91,36.76,35.74,36.71,6307494
4-Jan-17,35.41,36.29,35.25,35.98,2539532
3-Jan-17,35.51,35.67,34.81,35.22,2849710
30-Dec-16,34.75,34.86,34.45,34.65,1587366
29-Dec-16,34.80,34.98,34.24,34.59,1661971
28-Dec-16,35.60,35.66,34.82,34.84,1581001
27-Dec-16,35.50,35.64,35.40,35.58,1306896
23-Dec-16,34.93,35.43,34.73,35.43,1669219
22-Dec-16,35.03,35.14,34.75,34.90,1873310
21-Dec-16,35.21,35.26,34.89,35.07,1849194
20-Dec-16,35.03,35.36,34.75,35.18,2755527
19-Dec-16,34.86,34.93,34.38,34.79,2175881
16-Dec-16,35.30,35.41,34.45,34.56,3462389
15-Dec-16,35.22,35.87,35.11,35.28,3139407
14-Dec-16,34.73,35.83,34.58,34.92,5198926
13-Dec-16,35.11,35.26,34.38,34.92,2576758
12-Dec-16,35.57,35.69,34.79,34.93,1940939
9-Dec-16,35.46,35.74,35.16,35.64,2507223
8-Dec-16,35.56,36.04,35.34,35.44,4423064
7-Dec-16,35.51,35.75,35.04,35.50,2366207
6-Dec-16,35.33,35.62,34.90,35.52,2296822
5-Dec-16,35.32,35.85,35.00,35.21,3202227
2-Dec-16,35.11,35.11,34.42,34.93,2063528
1-Dec-16,34.85,35.38,34.65,35.30,2826376
30-Nov-16,34.49,34.89,34.45,34.51,2948372
29-Nov-16,34.08,34.34,33.82,34.07,1784880
28-Nov-16,34.33,34.56,33.77,33.89,2303061
25-Nov-16,34.59,34.67,34.29,34.67,766416
23-Nov-16,34.39,34.66,33.95,34.57,2786940
22-Nov-16,33.77,34.21,33.68,34.20,2695457
21-Nov-16,34.16,34.32,33.76,33.79,2875194
18-Nov-16,34.19,34.46,34.00,34.06,2841974
17-Nov-16,33.26,34.14,32.97,34.11,3490925
16-Nov-16,33.13,33.59,33.02,33.27,2690232
15-Nov-16,32.84,33.56,32.51,33.56,2920806
14-Nov-16,32.74,33.37,32.44,33.08,5214399
11-Nov-16,31.45,32.49,31.33,32.45,5493963
10-Nov-16,30.63,31.80,30.39,31.58,5909131
9-Nov-16,28.94,30.48,28.94,30.01,7177432
8-Nov-16,28.49,28.71,28.19,28.65,2249158
7-Nov-16,28.37,28.60,28.27,28.53,3270280
4-Nov-16,27.58,28.04,27.34,27.63,2365830
3-Nov-16,27.59,27.98,27.47,27.58,2390511
2-Nov-16,28.01,28.11,27.44,27.51,3176261
1-Nov-16,28.24,28.49,27.75,28.10,2909425
31-Oct-16,28.46,28.54,28.13,28.16,2783194
28-Oct-16,28.62,28.78,28.04,28.31,3707527
27-Oct-16,28.62,28.82,28.28,28.52,5777865
26-Oct-16,28.01,28.43,27.87,28.38,2763357
25-Oct-16,28.88,28.97,28.07,28.09,3894161
24-Oct-16,29.60,29.63,28.75,28.86,7192209
21-Oct-16,29.73,29.97,28.69,29.50,8710612
20-Oct-16,28.48,28.62,28.02,28.20,4184634
19-Oct-16,28.54,28.71,28.34,28.48,2155685
18-Oct-16,28.56,28.69,28.32,28.42,2244930
17-Oct-16,28.49,28.61,27.99,28.13,3950764
14-Oct-16,28.51,28.79,28.38,28.51,2268074
13-Oct-16,28.14,28.23,27.74,28.12,4157832
12-Oct-16,28.91,28.98,28.64,28.71,2203552
11-Oct-16,29.30,29.53,28.73,28.93,4227743
10-Oct-16,29.85,29.92,29.38,29.41,2135467
7-Oct-16,29.63,29.69,29.28,29.56,2834058
6-Oct-16,29.75,29.83,29.44,29.65,1392621
5-Oct-16,29.24,29.81,29.22,29.65,3304992
4-Oct-16,29.11,29.42,29.02,29.10,2287686
3-Oct-16,28.94,29.20,28.80,28.98,3174833
30-Sep-16,28.63,29.36,28.63,29.12,5359564
29-Sep-16,28.38,28.90,28.11,28.42,4648690
28-Sep-16,28.35,28.43,27.98,28.40,1968210
27-Sep-16,27.72,28.15,27.53,28.10,2237760
26-Sep-16,27.95,28.26,27.80,27.89,2703661
23-Sep-16,28.42,28.70,28.26,28.40,2624051
22-Sep-16,28.90,28.93,28.42,28.50,5831180
21-Sep-16,28.35,28.65,28.05,28.50,4995446
20-Sep-16,28.70,28.74,28.09,28.19,3372840
19-Sep-16,28.82,28.94,28.29,28.49,3142767
16-Sep-16,28.00,28.41,27.89,28.13,4645168
15-Sep-16,27.28,28.59,27.15,28.32,6143165
14-Sep-16,26.34,27.61,26.34,27.24,8909667
13-Sep-16,26.89,27.22,26.56,26.74,3949701
