Date,Open,High,Low,Close,Volume
28-Apr-17,76.84,76.89,75.93,76.26,1344374
27-Apr-17,75.89,77.17,75.89,76.68,1333658
26-Apr-17,76.25,76.60,75.74,75.99,1377456
25-Apr-17,76.37,76.79,75.95,76.71,1555047
24-Apr-17,76.63,76.79,75.79,76.46,2042410
21-Apr-17,75.85,76.61,75.85,76.41,1076481
20-Apr-17,76.29,76.34,75.43,75.80,737133
19-Apr-17,76.92,76.99,76.05,76.36,972326
18-Apr-17,77.05,77.40,76.78,76.89,1062571
17-Apr-17,77.14,77.41,76.96,77.13,610541
13-Apr-17,77.02,77.16,76.46,76.99,1415895
12-Apr-17,76.34,77.11,76.08,77.08,1179926
11-Apr-17,76.02,76.78,75.58,76.60,1129207
10-Apr-17,75.98,76.06,75.51,75.85,742003
7-Apr-17,75.98,76.45,75.76,75.95,1580335
6-Apr-17,75.80,76.07,75.40,75.88,1079450
5-Apr-17,75.79,76.26,75.46,76.13,2553636
4-Apr-17,75.69,76.21,75.27,75.81,1199631
3-Apr-17,75.80,75.80,75.21,75.69,1045969
31-Mar-17,75.87,76.32,75.80,75.96,826776
30-Mar-17,76.19,76.19,75.51,75.85,707825
29-Mar-17,76.33,76.56,75.86,76.19,579312
28-Mar-17,76.25,76.57,76.00,76.51,808653
27-Mar-17,77.08,77.37,76.05,76.48,1150924
24-Mar-17,76.05,77.08,76.05,76.81,1293805
23-Mar-17,76.33,76.99,76.11,76.63,1374990
22-Mar-17,76.02,77.51,76.02,76.52,2513002
21-Mar-17,75.15,75.93,75.04,75.76,2043209
20-Mar-17,75.54,75.69,74.79,75.20,1358244
17-Mar-17,74.76,75.77,74.76,75.41,2548430
16-Mar-17,75.33,75.50,74.72,74.95,1543801
15-Mar-17,74.13,75.47,73.86,75.18,1325488
14-Mar-17,74.05,74.34,73.73,73.86,927403
13-Mar-17,73.56,74.09,73.45,74.08,1355788
10-Mar-17,73.66,73.79,73.26,73.61,971545
9-Mar-17,73.25,73.68,72.78,73.15,1879348
8-Mar-17,74.16,74.62,73.25,73.29,2033767
7-Mar-17,74.87,75.27,74.83,75.00,1481844
6-Mar-17,75.33,75.47,74.75,74.97,1366020
3-Mar-17,75.63,75.71,74.88,75.38,1038580
2-Mar-17,75.37,76.21,74.97,75.54,2009916
1-Mar-17,75.85,76.70,75.50,75.58,1865353
28-Feb-17,75.38,76.79,75.35,76.66,1900247
27-Feb-17,75.79,75.86,75.18,75.48,1392559
24-Feb-17,75.54,75.86,75.11,75.80,1259320
23-Feb-17,74.06,75.34,73.90,75.14,1090463
22-Feb-17,73.75,73.99,73.10,73.71,1669960
21-Feb-17,73.30,74.10,72.91,73.91,1225589
17-Feb-17,73.00,73.67,72.86,73.55,1711276
16-Feb-17,70.87,72.85,70.76,72.77,2363659
15-Feb-17,70.96,71.81,69.63,70.77,1791263
14-Feb-17,71.68,71.81,70.58,70.79,1483252
13-Feb-17,71.67,72.00,71.48,71.96,778875
10-Feb-17,70.90,71.70,70.77,71.63,1023696
9-Feb-17,71.27,71.51,70.65,71.00,1178785
8-Feb-17,70.75,71.44,70.71,71.40,943020
7-Feb-17,71.01,71.14,70.40,70.68,1048575
6-Feb-17,71.99,72.19,71.62,71.67,1323378
3-Feb-17,71.63,72.11,71.47,71.82,936714
2-Feb-17,70.79,71.46,70.40,71.44,1414693
1-Feb-17,71.16,71.66,70.10,70.72,1329916
31-Jan-17,70.61,71.98,70.53,71.64,2035944
30-Jan-17,70.88,70.88,70.02,70.61,1053946
27-Jan-17,70.81,71.00,70.24,70.55,916381
26-Jan-17,70.71,70.91,70.14,70.53,828928
25-Jan-17,70.24,70.61,70.07,70.58,1211504
24-Jan-17,70.76,71.07,70.38,70.44,1267695
23-Jan-17,71.33,71.39,70.62,70.68,787483
20-Jan-17,71.22,71.50,70.52,71.17,961945
19-Jan-17,71.78,71.78,70.96,71.08,1260268
18-Jan-17,72.08,72.53,71.78,71.89,1217777
17-Jan-17,71.94,72.64,71.84,72.14,1323286
13-Jan-17,71.87,71.95,71.34,71.58,726642
12-Jan-17,71.58,71.99,71.31,71.83,959548
11-Jan-17,71.46,71.94,71.34,71.70,1114980
10-Jan-17,71.39,71.63,70.89,71.24,1515336
9-Jan-17,73.42,73.57,71.03,71.09,2162882
6-Jan-17,72.74,73.89,72.27,73.24,2516141
5-Jan-17,73.17,73.41,72.37,73.00,2304422
4-Jan-17,73.18,73.70,72.95,73.26,1251210
3-Jan-17,73.50,73.66,72.40,72.94,1263069
30-Dec-16,73.65,73.74,73.18,73.47,971074
29-Dec-16,72.37,73.59,72.26,73.50,870423
28-Dec-16,73.06,73.06,71.88,71.99,768726
27-Dec-16,72.79,73.29,72.47,73.01,769864
23-Dec-16,73.17,73.32,72.68,72.89,703983
22-Dec-16,72.86,73.41,72.82,73.18,1226408
21-Dec-16,73.24,73.64,72.88,72.90,965819
20-Dec-16,73.01,73.66,72.84,73.23,1127580
19-Dec-16,73.50,73.54,72.51,73.18,1077920
16-Dec-16,72.23,73.23,72.23,73.17,4669533
15-Dec-16,71.44,72.61,71.18,72.39,1460494
14-Dec-16,73.17,73.79,71.60,71.67,1757075
13-Dec-16,71.87,72.79,71.77,72.73,1276450
12-Dec-16,70.54,71.67,70.38,71.56,1457471
9-Dec-16,70.15,70.82,70.04,70.76,1002061
8-Dec-16,69.88,70.68,69.51,70.41,1673709
7-Dec-16,69.49,70.48,69.49,70.44,1137657
6-Dec-16,69.55,69.57,68.87,69.26,1114967
5-Dec-16,68.98,69.40,67.84,69.38,1922432
2-Dec-16,69.36,70.13,68.87,69.28,2052370
1-Dec-16,68.33,68.95,67.99,68.88,1992730
30-Nov-16,70.65,70.65,68.71,68.73,2280607
29-Nov-16,70.31,71.50,70.27,71.40,1857144
28-Nov-16,69.73,70.84,69.67,70.58,1314039
25-Nov-16,68.32,69.76,68.32,69.53,740274
23-Nov-16,67.94,68.56,67.79,68.12,1162025
22-Nov-16,68.09,69.03,67.56,68.41,2100146
21-Nov-16,68.17,68.55,67.94,68.42,1447516
18-Nov-16,68.09,68.43,67.40,67.83,1298358
17-Nov-16,67.93,68.61,67.76,68.18,1204798
16-Nov-16,68.69,68.88,67.58,68.12,1045819
15-Nov-16,68.34,68.81,67.69,68.63,1824700
14-Nov-16,67.15,68.31,66.73,68.03,2131904
11-Nov-16,67.88,68.55,67.12,67.41,1134160
10-Nov-16,68.50,69.29,66.71,67.87,2943356
9-Nov-16,70.36,70.81,68.77,68.85,1696316
8-Nov-16,70.80,71.98,70.79,71.73,1758126
7-Nov-16,71.15,71.57,70.48,71.51,1752554
4-Nov-16,71.70,72.45,70.78,70.82,1229577
3-Nov-16,71.32,71.76,71.09,71.39,1395213
2-Nov-16,71.77,71.83,70.98,71.42,1665304
1-Nov-16,73.54,73.71,71.71,71.93,1920363
31-Oct-16,72.59,73.91,72.41,73.68,2040757
28-Oct-16,72.04,72.71,71.75,72.36,1544256
27-Oct-16,71.55,71.96,70.90,71.88,2170163
26-Oct-16,72.35,72.53,71.25,72.28,1846484
25-Oct-16,73.51,73.74,72.44,72.48,2218357
24-Oct-16,74.05,74.48,73.45,74.07,1153716
21-Oct-16,74.13,74.64,73.90,74.17,976101
20-Oct-16,74.76,75.07,74.36,74.51,782328
19-Oct-16,75.05,75.12,74.31,74.89,958489
18-Oct-16,75.10,75.44,74.12,74.93,944638
17-Oct-16,74.04,74.86,74.00,74.64,1236736
14-Oct-16,74.59,75.02,74.05,74.16,1118736
13-Oct-16,74.10,75.51,73.92,74.88,1781194
12-Oct-16,73.32,74.14,73.25,74.06,1895356
11-Oct-16,73.89,74.14,73.24,73.29,1517282
10-Oct-16,73.37,73.98,73.24,73.89,1444138
7-Oct-16,74.27,74.75,73.12,73.13,1952013
6-Oct-16,73.12,74.40,72.46,73.81,1698204
5-Oct-16,74.08,74.86,73.28,73.35,2578344
4-Oct-16,75.54,75.55,73.58,74.02,1969162
3-Oct-16,76.56,76.56,75.32,75.76,1628281
30-Sep-16,77.57,77.96,75.99,76.73,1753507
29-Sep-16,78.65,78.65,77.25,77.33,1960359
28-Sep-16,79.98,80.07,78.71,78.92,1936365
27-Sep-16,81.30,81.72,79.52,79.60,1066776
26-Sep-16,81.53,81.56,80.92,80.98,1102693
23-Sep-16,81.57,81.83,81.13,81.43,1095226
22-Sep-16,81.42,81.81,81.08,81.73,1032231
21-Sep-16,79.25,81.00,79.25,80.97,953107
