Date,Open,High,Low,Close,Volume
28-Apr-17,56.90,57.18,55.98,56.09,1523595
27-Apr-17,56.82,57.00,56.55,56.76,1603177
26-Apr-17,57.31,57.46,56.73,56.76,1200677
25-Apr-17,57.51,57.74,57.17,57.30,1003846
24-Apr-17,57.00,57.46,56.62,57.28,1571045
21-Apr-17,56.33,56.67,55.88,56.50,1799164
20-Apr-17,55.89,56.28,55.60,56.21,1412227
19-Apr-17,55.93,56.22,55.60,55.74,893892
18-Apr-17,55.67,56.09,55.56,55.87,688419
17-Apr-17,55.56,56.04,55.12,56.02,1258571
13-Apr-17,55.63,55.82,55.35,55.35,843248
12-Apr-17,55.96,55.96,55.52,55.70,1322748
11-Apr-17,55.73,56.00,55.52,55.97,839996
10-Apr-17,55.88,56.56,55.88,56.17,720050
7-Apr-17,56.38,56.38,55.73,55.77,781455
6-Apr-17,56.30,56.65,56.06,56.47,911729
5-Apr-17,56.61,56.90,56.14,56.40,1634822
4-Apr-17,56.06,56.61,55.78,56.57,1321906
3-Apr-17,56.19,56.69,55.91,56.03,830137
31-Mar-17,56.47,56.72,56.07,56.49,712842
30-Mar-17,56.27,56.69,56.22,56.62,474536
29-Mar-17,56.31,56.49,55.68,56.33,541452
28-Mar-17,55.58,56.70,55.53,56.44,975137
27-Mar-17,55.32,55.86,55.13,55.63,760028
24-Mar-17,56.02,56.33,55.62,55.82,774069
23-Mar-17,55.88,56.42,55.48,55.87,942171
22-Mar-17,55.84,55.90,55.42,55.83,1097491
21-Mar-17,56.32,56.49,55.42,55.58,775740
20-Mar-17,56.44,56.52,56.03,56.25,647057
17-Mar-17,56.06,56.49,55.73,56.40,1232274
16-Mar-17,56.42,56.49,55.94,56.10,736160
15-Mar-17,56.58,56.76,56.04,56.46,913012
14-Mar-17,56.51,56.78,56.08,56.26,937870
13-Mar-17,56.57,56.92,56.41,56.78,1322562
10-Mar-17,55.96,56.74,55.96,56.59,1135719
9-Mar-17,55.88,56.30,55.61,55.84,995142
8-Mar-17,56.18,56.41,55.76,55.90,802221
7-Mar-17,56.26,56.53,55.98,56.05,783702
6-Mar-17,56.28,56.60,56.14,56.41,768944
3-Mar-17,56.83,57.00,56.20,56.50,815790
2-Mar-17,57.11,57.35,56.77,56.78,1521776
1-Mar-17,56.79,57.35,56.24,57.28,1246167
28-Feb-17,56.77,57.26,56.30,56.38,1401698
27-Feb-17,56.65,56.78,56.16,56.75,682264
24-Feb-17,55.87,56.71,55.79,56.70,1321958
23-Feb-17,56.63,56.80,55.95,56.01,1117722
22-Feb-17,55.89,56.61,55.33,56.59,1942033
21-Feb-17,56.40,56.75,55.70,56.13,1526027
17-Feb-17,56.12,56.50,55.76,56.50,1546617
16-Feb-17,56.10,56.26,55.08,56.17,1185134
15-Feb-17,55.21,56.10,54.76,56.09,1231846
14-Feb-17,54.81,55.71,54.81,55.21,1659949
13-Feb-17,54.87,55.31,54.77,55.09,1040376
10-Feb-17,54.31,54.79,53.97,54.73,842984
9-Feb-17,53.51,54.32,53.51,54.09,761488
8-Feb-17,53.23,53.66,52.88,53.54,1137401
7-Feb-17,53.10,53.33,52.73,53.30,980334
6-Feb-17,53.26,53.53,52.82,52.92,645941
3-Feb-17,52.70,53.36,52.43,53.32,1048525
2-Feb-17,52.18,52.47,51.57,52.44,1007806
1-Feb-17,51.97,52.68,51.83,52.29,1444101
31-Jan-17,52.93,52.96,51.78,52.08,1857184
30-Jan-17,53.16,53.45,52.63,52.96,737273
27-Jan-17,52.92,53.23,52.28,53.22,1002986
26-Jan-17,52.85,52.95,52.53,52.93,1248787
25-Jan-17,52.73,53.02,52.19,52.79,1783173
24-Jan-17,52.19,52.78,52.00,52.50,1952627
23-Jan-17,53.33,53.33,51.89,52.11,2264897
20-Jan-17,53.27,53.50,52.87,53.27,1211269
19-Jan-17,53.80,53.89,53.30,53.32,857923
18-Jan-17,53.36,53.90,53.32,53.72,1695210
17-Jan-17,53.51,53.98,53.28,53.32,1000721
13-Jan-17,53.69,54.04,53.50,53.87,1039137
12-Jan-17,53.43,53.69,53.27,53.53,743674
11-Jan-17,52.90,53.70,52.78,53.67,895849
10-Jan-17,53.03,53.31,52.75,52.87,1440798
9-Jan-17,53.20,53.31,52.91,53.04,1195505
6-Jan-17,53.00,53.29,52.65,53.13,882785
5-Jan-17,53.00,53.14,52.67,53.03,891125
4-Jan-17,53.04,53.61,52.88,53.15,1547627
3-Jan-17,53.47,53.47,52.54,53.10,1729292
30-Dec-16,53.25,53.74,52.84,52.96,670780
29-Dec-16,53.17,53.36,52.84,53.08,592468
