Date,Open,High,Low,Close,Volume
28-Apr-17,75.64,76.09,74.51,75.53,1343485
27-Apr-17,79.70,79.75,75.74,76.05,1367022
26-Apr-17,78.65,79.19,78.13,78.97,1229606
25-Apr-17,79.13,79.44,78.22,78.58,1201345
24-Apr-17,80.52,81.00,78.42,78.94,1912709
21-Apr-17,80.55,81.19,80.24,80.47,1142577
20-Apr-17,80.69,80.69,80.06,80.62,876493
19-Apr-17,80.87,81.21,80.29,80.47,455423
18-Apr-17,80.00,81.03,79.98,80.80,586392
17-Apr-17,78.47,80.45,78.35,80.43,1129683
13-Apr-17,78.04,78.24,77.51,78.10,825527
12-Apr-17,78.39,78.71,77.52,77.93,1377975
11-Apr-17,78.78,79.49,78.51,78.68,565795
10-Apr-17,78.08,78.84,77.74,78.78,768643
7-Apr-17,77.74,78.14,77.32,78.07,834251
6-Apr-17,77.34,78.00,76.94,77.69,686307
5-Apr-17,76.15,77.48,75.99,77.38,997607
4-Apr-17,75.45,76.65,75.29,76.14,1109824
3-Apr-17,75.01,76.03,74.55,75.54,1379401
31-Mar-17,73.76,74.80,73.70,74.39,1176024
30-Mar-17,73.69,74.07,72.88,74.00,581160
29-Mar-17,74.54,74.54,73.41,74.06,826495
28-Mar-17,74.57,74.81,73.65,74.76,575235
27-Mar-17,75.23,75.28,74.05,74.46,707352
24-Mar-17,75.79,75.90,74.80,75.04,573226
23-Mar-17,75.53,76.20,75.02,75.50,1040154
22-Mar-17,75.71,75.75,74.54,75.47,810093
21-Mar-17,75.57,75.98,74.91,75.31,829802
20-Mar-17,75.45,75.69,74.84,75.37,585293
17-Mar-17,74.92,75.92,74.59,75.36,1020662
16-Mar-17,75.51,75.92,74.63,74.68,758202
15-Mar-17,74.20,75.86,73.74,75.50,986699
14-Mar-17,73.30,74.15,72.86,74.13,1177735
13-Mar-17,74.07,74.56,72.93,73.25,1706858
10-Mar-17,76.69,77.13,74.57,74.74,1307987
9-Mar-17,78.70,78.98,76.20,76.23,1169882
8-Mar-17,78.82,79.40,78.15,78.62,1051850
7-Mar-17,79.24,79.48,78.64,78.99,1026622
6-Mar-17,78.68,79.65,78.23,79.46,856589
3-Mar-17,78.95,79.29,78.23,79.08,652618
2-Mar-17,79.60,80.36,79.05,79.42,546675
1-Mar-17,78.94,80.07,78.45,79.82,644963
28-Feb-17,79.66,80.18,79.07,79.19,806827
27-Feb-17,79.66,80.10,79.29,79.51,466613
24-Feb-17,79.19,79.81,78.49,79.49,661215
23-Feb-17,78.42,79.17,76.93,79.14,936548
22-Feb-17,78.63,80.25,77.80,77.92,1817130
21-Feb-17,77.14,78.66,76.32,78.37,1287263
17-Feb-17,75.01,77.31,74.91,77.25,1486766
16-Feb-17,74.35,75.33,73.76,74.87,1168943
15-Feb-17,72.71,73.71,71.86,73.54,731598
14-Feb-17,74.85,74.85,72.90,73.50,642602
13-Feb-17,75.25,75.56,74.49,74.85,616330
10-Feb-17,74.36,75.12,74.18,75.00,416109
9-Feb-17,74.26,74.72,73.74,74.51,323632
8-Feb-17,73.75,75.09,73.63,74.19,872232
7-Feb-17,73.18,74.22,73.18,73.72,675394
6-Feb-17,73.05,73.49,72.12,73.21,551517
3-Feb-17,73.12,73.26,72.27,73.01,706312
2-Feb-17,71.62,72.87,71.62,72.46,714884
1-Feb-17,71.72,72.23,71.47,71.64,801028
31-Jan-17,72.26,73.08,71.83,72.05,764187
30-Jan-17,73.37,73.57,72.13,72.30,826656
27-Jan-17,74.15,74.45,73.10,73.20,809771
26-Jan-17,73.84,74.44,73.03,73.98,944160
25-Jan-17,75.26,75.64,73.23,73.77,1090618
24-Jan-17,74.83,75.43,74.70,75.14,762242
23-Jan-17,73.66,75.14,73.66,75.00,1190285
20-Jan-17,73.05,73.58,72.27,73.42,1007455
19-Jan-17,72.76,73.15,72.31,73.10,761371
18-Jan-17,73.12,73.58,72.48,73.17,911036
17-Jan-17,72.66,73.15,72.40,73.04,1168108
13-Jan-17,73.76,73.95,72.62,72.65,913698
12-Jan-17,74.63,74.68,73.23,73.81,1246520
11-Jan-17,76.78,76.88,74.63,74.65,1535491
10-Jan-17,78.25,78.40,76.59,76.63,955302
9-Jan-17,79.27,79.38,78.05,78.26,616564
6-Jan-17,78.12,79.30,77.65,79.20,944496
5-Jan-17,76.83,78.51,75.97,78.47,903217
4-Jan-17,77.17,77.87,76.78,77.46,913967
3-Jan-17,77.25,77.40,76.16,77.05,906245
30-Dec-16,75.67,77.30,75.11,77.24,887253
29-Dec-16,74.35,76.03,73.45,75.59,878416
28-Dec-16,75.53,75.53,74.06,74.34,810768
27-Dec-16,75.05,75.78,74.78,75.38,636682
23-Dec-16,74.35,74.98,73.94,74.76,545790
