Date,Open,High,Low,Close,Volume
28-Apr-17,13.16,13.19,12.73,12.75,22831017
27-Apr-17,13.45,13.47,13.00,13.01,23733428
26-Apr-17,13.02,13.79,12.88,13.50,31412491
25-Apr-17,12.52,13.36,12.39,13.10,50570501
24-Apr-17,12.43,12.62,12.20,12.23,32419786
21-Apr-17,12.46,12.48,12.03,12.23,27654427
20-Apr-17,12.48,12.66,12.36,12.51,16023857
19-Apr-17,12.61,12.64,12.27,12.35,16534191
18-Apr-17,12.58,12.70,12.32,12.47,17638363
17-Apr-17,12.80,12.80,12.50,12.75,10973759
13-Apr-17,12.86,13.02,12.61,12.72,14922720
12-Apr-17,13.44,13.46,12.78,12.88,22638466
11-Apr-17,13.57,13.65,13.37,13.62,12461486
10-Apr-17,13.35,13.62,13.34,13.52,11135017
7-Apr-17,13.41,13.57,13.28,13.37,21470410
6-Apr-17,13.53,13.72,13.35,13.56,12784662
5-Apr-17,13.73,13.83,13.37,13.44,19101883
4-Apr-17,13.56,13.63,13.32,13.54,21494823
3-Apr-17,13.50,13.53,13.01,13.24,21671994
31-Mar-17,13.23,13.59,13.21,13.36,22923470
30-Mar-17,12.75,13.53,12.74,13.31,34529100
29-Mar-17,12.52,12.84,12.45,12.72,16076479
28-Mar-17,12.21,12.66,12.15,12.57,23007997
27-Mar-17,12.24,12.32,11.91,12.21,35709349
24-Mar-17,12.81,12.93,12.72,12.81,10865643
23-Mar-17,12.83,12.98,12.65,12.83,16116075
22-Mar-17,12.63,13.06,12.58,12.86,19652551
21-Mar-17,13.02,13.17,12.53,12.57,29225333
20-Mar-17,12.72,12.90,12.49,12.73,14907246
17-Mar-17,12.92,13.14,12.65,12.76,27520330
16-Mar-17,13.14,13.16,12.75,12.82,17108526
15-Mar-17,12.39,12.97,12.33,12.89,24788215
14-Mar-17,12.40,12.46,12.17,12.27,19534172
13-Mar-17,12.63,12.82,12.46,12.56,20029861
10-Mar-17,12.55,12.62,12.20,12.37,22451328
9-Mar-17,12.23,12.53,12.18,12.40,21402349
8-Mar-17,12.71,12.79,12.35,12.44,21032980
7-Mar-17,12.90,13.00,12.54,12.69,19159571
6-Mar-17,12.92,12.95,12.53,12.90,27150749
3-Mar-17,13.42,13.42,13.03,13.20,21339149
2-Mar-17,13.94,13.97,13.29,13.31,23774943
1-Mar-17,13.78,14.00,13.61,13.99,32917364
28-Feb-17,13.24,13.63,13.23,13.40,28928001
27-Feb-17,13.37,13.63,13.18,13.27,32200931
