Date,Open,High,Low,Close,Volume
28-Apr-17,30.68,30.90,29.33,29.94,9610023
27-Apr-17,30.52,30.74,30.44,30.52,4538599
26-Apr-17,30.60,31.15,30.48,30.52,5786127
25-Apr-17,30.59,30.82,30.46,30.61,4050953
24-Apr-17,30.60,30.75,30.16,30.71,5218400
21-Apr-17,30.64,30.83,30.56,30.61,4208211
20-Apr-17,30.79,30.86,30.57,30.66,4598948
19-Apr-17,31.45,31.48,30.78,30.85,4920378
18-Apr-17,31.45,31.57,31.22,31.47,2988740
17-Apr-17,31.30,31.47,31.06,31.43,3007135
13-Apr-17,31.61,31.72,31.26,31.27,3432165
12-Apr-17,31.40,31.64,31.26,31.61,2718663
11-Apr-17,31.52,31.65,31.33,31.44,2588282
10-Apr-17,31.32,31.62,31.20,31.60,3235327
7-Apr-17,31.89,31.94,31.30,31.32,5747582
6-Apr-17,31.66,31.82,31.60,31.76,3060694
5-Apr-17,31.63,31.86,31.55,31.78,2590521
4-Apr-17,31.49,31.82,31.18,31.73,3992494
3-Apr-17,31.72,31.74,31.23,31.46,3753564
31-Mar-17,31.42,31.93,31.38,31.82,5805913
30-Mar-17,31.49,31.50,31.23,31.37,3646657
29-Mar-17,31.54,31.85,31.40,31.57,3458666
28-Mar-17,31.30,31.64,31.24,31.61,2877630
27-Mar-17,31.50,31.59,31.07,31.39,2457592
24-Mar-17,31.40,31.53,31.24,31.34,3171033
23-Mar-17,31.39,31.50,31.11,31.20,3360393
22-Mar-17,31.50,31.81,31.36,31.41,4159376
21-Mar-17,30.93,31.50,30.81,31.36,4362927
20-Mar-17,31.20,31.42,30.87,30.96,3960540
17-Mar-17,31.22,31.48,31.19,31.36,8680742
16-Mar-17,31.47,31.58,31.00,31.13,3865452
15-Mar-17,31.09,31.71,31.02,31.59,3906392
14-Mar-17,31.04,31.08,30.78,31.00,3435103
13-Mar-17,31.23,31.45,30.93,31.10,2735097
10-Mar-17,31.21,31.56,30.90,31.26,3846881
