Date,Open,High,Low,Close,Volume
28-Apr-17,126.96,129.68,126.68,129.13,1684245
27-Apr-17,126.01,130.05,125.30,126.99,3780003
26-Apr-17,138.68,139.09,137.30,137.30,1433788
25-Apr-17,137.52,139.34,137.51,138.19,1056075
24-Apr-17,137.92,138.54,136.93,137.93,999605
21-Apr-17,136.79,137.10,136.13,136.54,811794
20-Apr-17,136.62,137.21,136.03,136.87,1227319
19-Apr-17,135.61,136.73,135.58,135.93,887512
18-Apr-17,135.79,136.34,135.08,135.43,707441
17-Apr-17,134.98,136.35,134.43,135.98,733934
13-Apr-17,135.07,136.41,134.30,134.43,989587
12-Apr-17,137.24,137.28,134.73,134.88,947725
11-Apr-17,136.88,137.25,135.70,136.68,828304
10-Apr-17,137.37,137.84,136.28,136.86,613689
7-Apr-17,137.90,138.06,136.97,137.03,633529
6-Apr-17,138.30,139.15,137.19,138.30,854788
5-Apr-17,139.89,141.15,137.76,138.09,889302
4-Apr-17,140.98,141.57,139.12,139.43,701320
3-Apr-17,142.73,142.92,139.86,141.02,682617
31-Mar-17,142.66,143.05,141.94,142.57,592317
30-Mar-17,141.72,142.90,141.56,142.48,507910
29-Mar-17,141.19,143.50,140.63,142.10,1488742
28-Mar-17,146.50,147.54,145.00,147.13,397033
27-Mar-17,145.64,147.09,144.16,146.52,617654
24-Mar-17,146.96,148.19,145.57,146.57,389457
23-Mar-17,145.48,148.20,145.05,146.55,662531
22-Mar-17,145.94,146.60,145.03,145.69,600222
21-Mar-17,149.32,149.44,145.57,145.77,630397
20-Mar-17,148.66,149.50,147.74,148.75,490672
17-Mar-17,147.91,149.11,147.38,148.79,660992
16-Mar-17,146.40,148.00,145.96,147.82,611112
15-Mar-17,145.73,147.02,144.75,146.48,423170
14-Mar-17,145.56,145.73,144.20,145.13,334809
13-Mar-17,146.00,146.99,144.71,146.29,744148
10-Mar-17,144.58,145.98,144.00,145.93,556531
9-Mar-17,143.11,144.10,142.12,143.76,454269
8-Mar-17,143.46,143.77,142.24,142.88,569450
7-Mar-17,141.09,143.93,140.50,143.60,663145
6-Mar-17,142.66,142.66,141.28,141.34,557132
3-Mar-17,142.50,143.06,140.40,142.87,772557
2-Mar-17,144.79,144.79,142.04,142.10,459340
1-Mar-17,144.01,145.98,143.31,145.08,527538
28-Feb-17,143.27,143.67,142.33,143.27,589674
27-Feb-17,144.46,144.66,143.09,143.61,420531
24-Feb-17,143.73,144.58,143.19,144.41,636340
23-Feb-17,144.94,145.05,143.24,144.20,426212
22-Feb-17,144.66,145.38,143.91,144.84,623503
21-Feb-17,143.31,145.55,142.30,145.05,487289
17-Feb-17,142.87,143.63,141.93,143.35,512244
16-Feb-17,143.34,143.78,141.66,143.24,463348
15-Feb-17,141.30,143.57,140.68,143.13,870111
14-Feb-17,140.43,141.22,140.18,141.10,580652
13-Feb-17,140.09,141.88,139.45,140.47,1021827
10-Feb-17,140.00,140.25,139.01,139.69,574195
9-Feb-17,139.14,140.69,139.14,139.73,714488
8-Feb-17,138.13,139.49,137.86,138.88,734873
7-Feb-17,137.00,138.59,136.78,138.57,782365
6-Feb-17,135.54,136.99,135.01,136.68,959985
3-Feb-17,134.40,136.52,134.40,136.23,969780
2-Feb-17,130.80,134.79,130.61,134.45,1159597
1-Feb-17,134.07,134.09,131.54,132.34,1292752
31-Jan-17,132.60,135.49,132.51,134.03,985482
30-Jan-17,135.06,135.58,133.75,134.69,838859
27-Jan-17,133.28,138.27,133.28,135.54,1342655
26-Jan-17,139.30,139.87,132.58,133.72,2725193
25-Jan-17,144.96,145.89,143.27,145.75,1222744
