Date,Open,High,Low,Close,Volume
28-Apr-17,84.07,84.30,83.30,84.19,1472350
27-Apr-17,84.00,84.58,83.88,84.09,949094
26-Apr-17,83.84,84.10,83.66,83.88,929861
25-Apr-17,83.62,84.04,83.44,83.86,1235104
24-Apr-17,83.13,83.58,82.97,83.32,1312715
21-Apr-17,81.54,82.77,81.50,82.53,2399561
20-Apr-17,81.02,81.66,80.66,81.57,1002109
19-Apr-17,80.81,81.09,80.51,80.65,1031353
18-Apr-17,80.46,80.80,80.34,80.75,801101
17-Apr-17,80.39,80.74,80.39,80.63,1754799
13-Apr-17,80.38,80.86,80.16,80.16,1057989
12-Apr-17,79.76,80.57,79.52,80.52,1345402
11-Apr-17,80.25,80.30,79.72,80.08,1174761
10-Apr-17,79.90,80.61,79.83,80.54,2171578
7-Apr-17,79.64,80.11,79.43,79.87,1228577
6-Apr-17,79.42,79.81,79.24,79.60,2364925
5-Apr-17,79.33,80.16,79.26,79.50,1755369
4-Apr-17,79.40,79.66,78.88,79.13,1850510
3-Apr-17,79.87,80.38,78.95,79.44,3242646
31-Mar-17,80.10,80.48,79.58,79.62,1727933
30-Mar-17,79.80,80.44,79.69,80.05,1458827
29-Mar-17,79.81,80.19,79.00,80.03,1067533
28-Mar-17,79.54,80.69,79.11,80.29,2350327
27-Mar-17,79.63,80.49,79.37,80.41,1818689
24-Mar-17,79.90,80.38,79.80,80.12,1188863
23-Mar-17,79.80,80.17,79.46,79.82,1249575
22-Mar-17,80.26,80.48,79.82,79.90,1352811
21-Mar-17,80.78,81.11,79.84,80.05,1813943
20-Mar-17,81.92,81.92,80.54,81.02,1651988
17-Mar-17,82.35,82.39,81.75,81.83,1929899
16-Mar-17,82.50,82.62,81.84,81.95,1095279
15-Mar-17,82.52,82.70,82.06,82.52,1494814
14-Mar-17,82.59,82.90,82.10,82.46,848623
13-Mar-17,82.20,82.89,82.02,82.72,1315021
10-Mar-17,82.25,82.63,81.52,82.23,2445922
9-Mar-17,82.25,82.61,81.65,81.98,1453848
8-Mar-17,82.70,82.73,82.04,82.22,1335987
7-Mar-17,82.48,82.98,82.41,82.64,974001
6-Mar-17,82.43,83.00,82.32,82.70,1198269
3-Mar-17,82.23,83.08,82.00,82.95,1112443
2-Mar-17,82.70,82.97,82.22,82.27,1080497
1-Mar-17,82.68,83.37,82.51,83.02,1535505
28-Feb-17,82.69,82.75,82.05,82.27,1752869
27-Feb-17,83.75,83.80,82.24,82.63,2054390
24-Feb-17,82.00,83.86,81.73,83.84,2348316
23-Feb-17,83.00,83.20,82.50,83.09,1508917
22-Feb-17,81.91,82.99,81.81,82.82,1131298
21-Feb-17,81.74,82.37,81.73,82.17,1294280
17-Feb-17,81.57,82.05,81.04,82.05,1028137
16-Feb-17,81.33,81.74,80.81,81.72,1052790
15-Feb-17,80.50,81.48,80.38,81.41,1620389
14-Feb-17,80.80,80.96,80.31,80.50,1168516
13-Feb-17,80.87,81.12,80.47,80.91,1068805
10-Feb-17,80.96,81.39,80.46,80.46,1924927
9-Feb-17,79.78,81.00,79.65,80.75,2147246
8-Feb-17,78.00,80.36,77.63,79.84,4695971
7-Feb-17,76.76,77.73,75.52,77.30,6833976
6-Feb-17,79.39,79.58,78.90,79.35,2472739
3-Feb-17,79.58,80.30,79.09,79.40,1601488
2-Feb-17,78.86,79.38,78.56,79.06,1022956
1-Feb-17,79.68,79.79,78.76,79.02,1315169
31-Jan-17,79.57,79.82,78.87,79.42,1308313
30-Jan-17,79.89,79.89,78.89,79.60,670488
27-Jan-17,79.90,79.93,79.53,79.81,952077
26-Jan-17,79.90,79.96,79.28,79.56,1703239
25-Jan-17,80.00,80.28,79.72,79.88,1741571
24-Jan-17,80.00,80.08,79.48,80.03,1901666
