Date,Open,High,Low,Close,Volume
28-Apr-17,24.62,24.85,24.42,24.43,4879891
27-Apr-17,25.04,25.05,24.41,24.65,7590905
26-Apr-17,25.05,25.28,24.91,24.97,8644032
25-Apr-17,25.40,25.59,24.86,25.01,8871412
24-Apr-17,25.35,25.58,25.15,25.33,7715882
21-Apr-17,24.86,25.18,24.51,24.62,6046220
20-Apr-17,24.31,25.06,24.31,24.95,7889080
19-Apr-17,24.25,24.49,24.07,24.21,5729030
18-Apr-17,24.21,24.40,23.83,24.01,6213594
17-Apr-17,23.95,24.50,23.78,24.40,5744861
13-Apr-17,24.24,24.51,23.91,23.93,6770296
12-Apr-17,24.64,24.69,24.18,24.33,6222977
11-Apr-17,24.66,24.78,24.24,24.69,7388364
10-Apr-17,25.10,25.18,24.62,24.80,5018441
7-Apr-17,24.98,25.24,24.84,25.01,5332115
6-Apr-17,24.93,25.36,24.69,25.18,4004443
5-Apr-17,25.62,25.76,24.89,24.90,4574172
4-Apr-17,25.14,25.46,25.09,25.35,4240081
3-Apr-17,25.54,25.57,24.99,25.29,5680149
31-Mar-17,25.58,25.70,25.39,25.40,3606714
30-Mar-17,25.02,25.88,24.95,25.73,5986054
29-Mar-17,25.14,25.28,24.84,25.04,6560997
28-Mar-17,24.51,25.47,24.51,25.24,5956017
27-Mar-17,24.28,24.78,24.02,24.73,5981366
24-Mar-17,25.09,25.19,24.67,24.89,5978004
23-Mar-17,24.76,25.38,24.66,25.06,7080049
22-Mar-17,24.86,25.14,24.30,24.84,7864793
21-Mar-17,26.37,26.37,24.78,24.91,9966815
20-Mar-17,26.33,26.56,26.13,26.18,6475443
17-Mar-17,26.66,26.77,26.22,26.35,11694319
16-Mar-17,26.58,26.80,26.42,26.65,5421830
15-Mar-17,27.08,27.08,26.29,26.45,4710558
14-Mar-17,26.74,26.97,26.33,26.75,4538277
13-Mar-17,27.13,27.23,26.90,26.96,4222102
10-Mar-17,27.67,27.77,26.64,27.16,8208622
9-Mar-17,27.46,27.78,27.39,27.49,3881620
8-Mar-17,27.79,27.85,27.32,27.37,5920528
7-Mar-17,27.51,27.64,27.26,27.37,4488878
6-Mar-17,27.54,27.69,27.15,27.54,5069107
3-Mar-17,27.61,27.99,27.53,27.84,5062543
2-Mar-17,28.78,28.84,27.73,27.74,6533487
1-Mar-17,27.87,28.97,27.83,28.75,7880303
28-Feb-17,27.50,27.62,27.31,27.44,6387803
27-Feb-17,27.38,27.74,27.24,27.57,4637841
24-Feb-17,27.21,27.34,27.02,27.32,5504089
23-Feb-17,27.60,27.60,27.14,27.47,4619311
22-Feb-17,27.42,27.59,27.27,27.50,5974243
21-Feb-17,27.66,27.82,27.42,27.57,4878192
17-Feb-17,27.38,27.55,27.23,27.54,3990251
16-Feb-17,27.54,27.67,27.42,27.60,6024698
15-Feb-17,27.78,27.78,27.28,27.56,6620680
14-Feb-17,26.70,27.58,26.64,27.55,6563790
13-Feb-17,26.68,26.94,26.62,26.74,4321748
10-Feb-17,26.38,26.66,26.21,26.51,4849787
9-Feb-17,26.00,26.33,25.86,26.15,7587291
8-Feb-17,26.23,26.32,25.68,25.89,7384282
7-Feb-17,26.84,26.88,26.30,26.49,4923643
6-Feb-17,26.43,26.86,26.36,26.76,6250956
3-Feb-17,26.46,26.67,26.14,26.52,6312082
2-Feb-17,25.97,26.09,25.76,25.94,6590906
1-Feb-17,26.37,26.60,26.10,26.24,6181538
31-Jan-17,26.01,26.40,26.01,26.10,8928823
30-Jan-17,26.58,26.60,25.96,26.33,6398303
27-Jan-17,27.20,27.23,26.67,26.76,5038264
26-Jan-17,27.02,27.25,26.88,27.11,5173801
25-Jan-17,26.80,26.99,26.62,26.91,9686555
24-Jan-17,26.73,26.76,25.66,26.60,12164961
23-Jan-17,26.29,26.57,26.15,26.50,7614468
20-Jan-17,26.17,26.44,26.07,26.29,5433660
19-Jan-17,26.41,26.60,25.96,25.99,5618710
18-Jan-17,26.15,26.34,25.86,26.33,9338897
17-Jan-17,27.02,27.10,25.69,26.03,14325146
13-Jan-17,27.01,27.69,27.00,27.29,5095736
12-Jan-17,26.98,27.06,26.54,26.91,4526279
11-Jan-17,26.83,27.10,26.68,27.09,5900157
10-Jan-17,26.85,27.32,26.73,27.07,5239502
9-Jan-17,26.73,26.94,26.52,26.76,3818071
6-Jan-17,26.84,27.07,26.61,26.87,6093898
5-Jan-17,27.28,27.35,26.55,26.64,8035185
4-Jan-17,27.10,27.60,27.05,27.42,4651827
3-Jan-17,27.33,27.56,26.82,27.05,6369018
30-Dec-16,26.83,27.08,26.63,26.97,4901569
29-Dec-16,27.30,27.34,26.60,26.73,5521661
28-Dec-16,27.63,27.70,27.22,27.26,2906561
27-Dec-16,27.69,27.82,27.63,27.76,2416194
23-Dec-16,27.65,27.69,27.45,27.68,2275533
22-Dec-16,27.73,27.78,27.45,27.62,3482554
21-Dec-16,27.83,27.84,27.60,27.69,3270783
20-Dec-16,27.38,27.88,27.26,27.79,5873079
19-Dec-16,26.72,27.26,26.65,27.23,7136217
16-Dec-16,27.10,27.42,26.74,26.80,10180077
15-Dec-16,27.04,27.32,26.82,27.20,7213253
14-Dec-16,26.52,27.31,26.35,26.91,9315254
13-Dec-16,26.72,26.88,26.34,26.76,6125445
12-Dec-16,26.90,26.98,26.47,26.54,7185315
9-Dec-16,26.97,27.00,26.62,26.89,6558592
8-Dec-16,26.75,27.12,26.41,26.98,8131370
7-Dec-16,26.37,26.58,26.08,26.55,8108337
6-Dec-16,26.29,26.34,25.86,26.32,6346449
5-Dec-16,26.23,26.31,25.96,26.09,5712399
2-Dec-16,26.40,26.43,25.82,25.89,8486962
1-Dec-16,26.23,26.70,26.07,26.44,7542319
30-Nov-16,25.89,26.21,25.66,26.02,11881443
29-Nov-16,25.50,25.73,25.30,25.39,6859196
28-Nov-16,26.01,26.18,25.27,25.38,9961981
25-Nov-16,26.38,26.40,26.08,26.14,3297388
23-Nov-16,26.28,26.62,26.08,26.29,10900605
22-Nov-16,26.00,26.18,25.75,26.14,9325351
21-Nov-16,25.75,25.89,25.61,25.85,6480572
18-Nov-16,25.43,25.75,25.28,25.68,5613626
17-Nov-16,25.00,25.45,24.80,25.43,6263873
16-Nov-16,25.19,25.37,24.76,24.90,10863308
15-Nov-16,25.12,25.68,24.66,25.67,9359063
14-Nov-16,24.81,25.61,24.77,25.27,12131957
11-Nov-16,23.70,24.50,23.56,24.47,10993569
10-Nov-16,23.25,23.93,23.09,23.74,13716036
9-Nov-16,22.22,23.13,22.09,22.95,14189621
8-Nov-16,21.81,21.84,21.51,21.65,7178314
7-Nov-16,21.70,21.96,21.68,21.90,6174300
4-Nov-16,21.41,21.54,21.18,21.21,8043792
3-Nov-16,21.66,21.76,21.34,21.42,5409625
2-Nov-16,21.78,21.78,21.48,21.62,5955588
1-Nov-16,21.90,22.08,21.44,21.85,6928286
31-Oct-16,21.74,21.96,21.66,21.76,6959521
28-Oct-16,21.90,21.92,21.48,21.61,5832413
27-Oct-16,21.82,22.07,21.71,21.82,8360222
26-Oct-16,21.23,21.69,21.11,21.67,6615698
25-Oct-16,21.26,21.45,21.19,21.28,7439580
24-Oct-16,21.40,21.46,21.25,21.31,5864933
21-Oct-16,20.87,21.24,20.83,21.21,6436276
20-Oct-16,20.31,21.13,20.30,21.02,17496775
19-Oct-16,19.91,20.69,19.87,20.52,17204890
18-Oct-16,19.96,19.97,19.58,19.87,9141310
17-Oct-16,19.81,19.84,19.57,19.58,8249134
14-Oct-16,19.97,20.16,19.68,19.80,17027636
13-Oct-16,20.17,20.23,19.64,19.74,12800135
12-Oct-16,20.44,20.58,20.34,20.37,6378439
11-Oct-16,20.25,20.76,20.24,20.39,7407111
10-Oct-16,20.76,20.87,20.64,20.68,6503817
7-Oct-16,20.65,20.82,20.48,20.69,6015005
6-Oct-16,20.80,20.94,20.55,20.74,5597445
5-Oct-16,20.44,20.89,20.44,20.74,7166042
4-Oct-16,20.25,20.71,20.25,20.47,9247985
3-Oct-16,20.34,20.61,20.28,20.35,6026189
30-Sep-16,20.35,20.66,20.30,20.46,6055801
29-Sep-16,20.42,20.79,20.13,20.24,8316443
28-Sep-16,20.66,20.71,20.32,20.54,8417062
27-Sep-16,20.36,20.74,20.29,20.72,7075932
26-Sep-16,20.78,20.80,20.43,20.46,7876182
23-Sep-16,20.66,21.11,20.66,20.92,5734081
22-Sep-16,20.88,21.04,20.75,20.80,8259580
21-Sep-16,20.71,20.85,20.54,20.74,7404512
20-Sep-16,20.71,20.79,20.57,20.64,7533405
19-Sep-16,20.59,20.72,20.50,20.63,6840226
16-Sep-16,20.38,20.56,20.30,20.46,11059730
15-Sep-16,20.27,20.67,20.25,20.54,7227506
14-Sep-16,20.30,20.78,20.10,20.37,13660374
13-Sep-16,20.29,20.30,19.76,20.22,13236106
12-Sep-16,19.86,20.26,19.65,20.21,5739771
9-Sep-16,20.10,20.26,19.92,19.93,5934910
8-Sep-16,20.08,20.19,19.95,20.14,3965698
7-Sep-16,19.79,20.06,19.70,20.02,4312462
6-Sep-16,20.13,20.20,19.70,19.87,5004906
2-Sep-16,20.11,20.14,19.90,20.10,4294094
1-Sep-16,20.22,20.27,19.78,20.04,4985822
31-Aug-16,20.18,20.22,19.90,20.16,5652675
30-Aug-16,19.86,20.18,19.77,20.16,6274041
29-Aug-16,19.74,19.93,19.70,19.81,4416841
26-Aug-16,19.67,19.87,19.55,19.69,4751036
25-Aug-16,19.42,19.64,19.34,19.59,5076355
24-Aug-16,19.55,19.65,19.41,19.45,4853179
23-Aug-16,19.67,19.72,19.52,19.52,4762365
22-Aug-16,19.57,19.65,19.48,19.62,3499187
19-Aug-16,19.59,19.64,19.45,19.59,4108914
18-Aug-16,19.50,19.62,19.47,19.58,5185842
17-Aug-16,19.39,19.54,19.33,19.52,5852040
16-Aug-16,19.32,19.54,19.32,19.41,3959351
15-Aug-16,19.18,19.47,18.95,19.45,3116386
12-Aug-16,19.12,19.21,18.94,19.11,3081718
11-Aug-16,19.13,19.27,19.06,19.24,4856504
10-Aug-16,19.40,19.48,19.07,19.09,4050196
9-Aug-16,19.37,19.53,19.35,19.40,3145821
8-Aug-16,19.62,19.72,19.38,19.40,6385385
5-Aug-16,19.10,19.57,18.93,19.57,8247415
4-Aug-16,19.00,19.10,18.81,18.87,5511893
3-Aug-16,18.61,19.01,18.61,18.96,6622879
2-Aug-16,18.69,18.82,18.46,18.58,5365464
1-Aug-16,19.05,19.06,18.72,18.78,6510826
29-Jul-16,18.93,19.10,18.78,18.98,5967317
28-Jul-16,18.65,19.01,18.48,18.92,9015966
27-Jul-16,18.64,18.85,18.54,18.65,7773216
26-Jul-16,18.37,18.67,18.25,18.66,5571417
25-Jul-16,18.38,18.51,18.35,18.42,3740546
22-Jul-16,18.32,18.44,18.16,18.43,3717378
21-Jul-16,18.34,18.50,18.21,18.26,6772197
20-Jul-16,18.46,18.48,18.27,18.39,3984891
19-Jul-16,18.38,18.56,18.26,18.41,4172335
18-Jul-16,18.45,18.55,18.36,18.43,3738297
15-Jul-16,18.59,18.61,18.38,18.54,7696580
14-Jul-16,18.34,18.51,18.24,18.44,6064348
13-Jul-16,17.91,17.98,17.69,17.94,6763922
12-Jul-16,17.69,17.90,17.61,17.89,6148457
11-Jul-16,17.41,17.57,17.31,17.42,3693237
8-Jul-16,17.27,17.46,17.20,17.25,7059841
7-Jul-16,17.01,17.14,16.71,16.95,4655094
6-Jul-16,16.40,16.90,16.26,16.77,7186374
5-Jul-16,17.02,17.12,16.60,16.70,6584758
1-Jul-16,17.44,17.62,17.30,17.43,6242963
30-Jun-16,17.28,17.59,17.15,17.59,15029944
29-Jun-16,16.76,17.13,16.58,17.12,13175301
28-Jun-16,16.47,16.68,16.25,16.64,12729447
27-Jun-16,17.20,17.22,16.14,16.26,10151616
24-Jun-16,17.90,18.17,17.50,17.50,11595183
23-Jun-16,18.72,19.12,18.72,19.11,5494988
22-Jun-16,18.40,18.76,18.40,18.44,5717480
21-Jun-16,18.45,18.54,18.20,18.41,10842748
20-Jun-16,18.58,18.88,18.36,18.40,10209102
17-Jun-16,17.89,18.24,17.76,18.21,12170840
16-Jun-16,17.87,17.90,17.58,17.86,6961664
15-Jun-16,17.86,18.42,17.82,18.03,8552414
14-Jun-16,18.20,18.40,17.77,17.83,6019679
13-Jun-16,18.35,18.66,18.29,18.32,6129092
10-Jun-16,18.45,18.54,18.33,18.53,5827146
9-Jun-16,18.82,18.83,18.55,18.73,5591047
8-Jun-16,19.02,19.14,18.94,18.98,4455204
7-Jun-16,19.04,19.23,18.99,19.00,6678221
6-Jun-16,18.89,19.34,18.72,19.20,7680858
3-Jun-16,18.86,18.88,18.34,18.82,8141849
2-Jun-16,18.92,19.32,18.83,19.30,8943287
1-Jun-16,18.62,19.02,18.47,19.02,8709149
31-May-16,18.93,19.00,18.75,18.87,8716100
27-May-16,18.73,18.86,18.60,18.85,4794320
26-May-16,18.83,18.89,18.50,18.60,4178741
25-May-16,18.42,18.88,18.42,18.82,6554211
24-May-16,18.25,18.57,18.20,18.37,6833509
23-May-16,18.23,18.38,18.01,18.13,6203480
20-May-16,18.21,18.46,18.14,18.28,6981071
19-May-16,18.10,18.36,17.85,18.14,8793419
18-May-16,17.49,18.32,17.47,18.28,13521108
17-May-16,17.56,17.82,17.35,17.48,6611019
16-May-16,17.24,17.64,17.04,17.60,9560150
13-May-16,17.51,17.73,17.07,17.15,6206237
12-May-16,17.78,17.93,17.43,17.55,5057184
11-May-16,17.63,17.96,17.59,17.65,5326730
10-May-16,17.45,17.81,17.33,17.73,4976198
9-May-16,17.49,17.59,17.25,17.33,4716140
6-May-16,17.27,17.48,17.22,17.48,5604246
5-May-16,17.57,17.66,17.36,17.48,6404183
4-May-16,17.91,17.95,17.40,17.54,6408960
3-May-16,18.20,18.32,17.78,18.03,5589367
2-May-16,18.35,18.48,18.10,18.45,5782228
29-Apr-16,18.42,18.48,18.16,18.31,8668505
28-Apr-16,18.56,18.73,18.37,18.49,6425348
27-Apr-16,18.67,18.88,18.45,18.73,7732984
26-Apr-16,18.58,18.77,18.46,18.75,8505389
