Date,Open,High,Low,Close,Volume
28-Apr-17,76.77,77.86,76.20,77.34,1906763
27-Apr-17,77.40,77.40,76.54,76.69,1303489
26-Apr-17,77.08,77.62,76.56,76.92,1380277
25-Apr-17,76.80,77.12,76.25,76.60,1255631
24-Apr-17,76.71,76.90,75.89,76.42,1524308
21-Apr-17,76.30,76.35,75.53,75.84,3016162
20-Apr-17,74.50,77.00,74.37,76.55,6486173
19-Apr-17,72.67,73.11,72.18,72.65,1310092
18-Apr-17,72.47,72.92,71.89,72.59,1489794
17-Apr-17,72.07,72.62,71.61,72.53,1327639
13-Apr-17,72.59,72.90,72.01,72.09,1469978
12-Apr-17,73.04,73.15,72.01,72.60,2212160
11-Apr-17,72.18,72.53,71.63,72.48,1670389
10-Apr-17,72.44,73.65,72.41,72.56,1849225
7-Apr-17,72.20,72.52,71.51,72.26,2726960
6-Apr-17,71.70,73.38,71.52,72.29,2383801
5-Apr-17,72.77,73.00,71.16,71.20,1546127
4-Apr-17,73.88,74.35,72.38,72.45,2723987
3-Apr-17,74.77,74.94,73.25,74.35,2406384
31-Mar-17,75.33,75.64,74.64,74.81,1127672
30-Mar-17,74.85,75.65,74.57,75.37,1349679
29-Mar-17,73.37,75.56,73.33,75.39,2590025
28-Mar-17,72.80,73.37,72.48,73.14,1134476
27-Mar-17,71.99,73.06,71.41,72.80,1518423
24-Mar-17,72.48,73.11,72.15,72.59,1191027
23-Mar-17,73.03,73.34,72.43,72.86,1030702
22-Mar-17,72.35,72.92,71.65,72.83,2225481
21-Mar-17,74.34,74.47,72.40,73.45,1856807
20-Mar-17,75.84,75.91,73.74,73.98,2563270
17-Mar-17,76.11,76.20,74.75,75.67,2240355
16-Mar-17,76.10,76.46,75.56,75.80,993052
15-Mar-17,75.75,76.45,75.13,76.24,1168196
14-Mar-17,76.21,76.46,75.68,75.86,1077620
13-Mar-17,76.71,76.79,75.62,75.97,1313508
10-Mar-17,76.79,77.17,76.16,76.99,1221784
9-Mar-17,77.20,77.44,76.40,76.48,1187794
8-Mar-17,76.10,77.70,75.70,77.26,1695441
7-Mar-17,75.87,76.36,75.46,75.72,1136136
6-Mar-17,76.11,76.29,75.57,76.03,1525275
3-Mar-17,76.75,77.00,76.06,76.57,1169355
2-Mar-17,76.17,77.19,75.81,76.60,1424249
1-Mar-17,75.93,76.34,75.12,75.99,1730366
28-Feb-17,75.75,75.87,74.80,75.67,2220941
27-Feb-17,74.95,76.60,74.81,76.01,3685868
24-Feb-17,70.94,75.37,70.37,75.01,9185970
23-Feb-17,71.00,71.16,68.51,68.58,4304007
22-Feb-17,71.46,71.48,70.44,71.02,2219529
21-Feb-17,71.61,72.10,70.70,71.20,2497062
17-Feb-17,70.44,71.00,70.01,71.00,1358174
16-Feb-17,70.61,72.03,70.11,70.50,1704762
15-Feb-17,70.44,70.99,70.09,70.37,1237181
14-Feb-17,70.42,71.21,69.91,70.64,1696288
13-Feb-17,71.41,71.62,70.33,70.43,1231728
10-Feb-17,71.35,71.82,70.75,71.22,1750565
9-Feb-17,69.77,72.04,69.73,71.29,2235842
8-Feb-17,68.30,69.98,67.18,69.67,1602877
7-Feb-17,69.07,69.31,68.05,68.33,1640150
6-Feb-17,69.03,69.48,68.49,68.72,1450367
3-Feb-17,69.27,70.15,69.16,69.54,1653690
2-Feb-17,69.42,69.96,68.66,69.28,1891495
1-Feb-17,68.65,68.87,67.57,68.31,1950795
31-Jan-17,66.09,68.61,65.88,68.54,1790398
30-Jan-17,67.72,68.03,66.99,67.92,1955535
27-Jan-17,69.16,69.46,67.93,68.01,881872
26-Jan-17,69.33,69.85,69.03,69.19,1451013
25-Jan-17,69.50,69.64,68.84,69.20,1525859
24-Jan-17,68.42,69.13,68.30,68.86,1475148
23-Jan-17,68.74,69.03,68.27,68.79,1647796
20-Jan-17,68.64,69.48,68.53,69.14,1136336
19-Jan-17,69.35,69.65,68.29,68.55,1802215
18-Jan-17,69.60,70.13,69.00,69.35,1773627
17-Jan-17,70.55,71.85,69.46,69.73,1824134
13-Jan-17,70.18,70.82,70.01,70.55,831730
12-Jan-17,70.38,70.77,69.82,70.35,1079945
11-Jan-17,70.91,71.04,69.75,70.37,1406441
