Date,Open,High,Low,Close,Volume
28-Apr-17,36.58,36.80,36.42,36.73,1089309
27-Apr-17,36.88,37.18,36.40,36.70,696525
26-Apr-17,34.11,37.47,34.11,36.75,2633196
25-Apr-17,37.50,37.74,37.28,37.51,700995
24-Apr-17,36.85,37.34,36.62,37.24,566966
21-Apr-17,36.39,36.58,36.20,36.37,700028
20-Apr-17,36.03,36.56,35.86,36.43,621220
19-Apr-17,35.57,36.02,35.57,35.84,580408
18-Apr-17,35.10,35.45,35.03,35.42,441956
17-Apr-17,35.13,35.22,34.93,35.16,381971
13-Apr-17,35.29,35.40,34.92,34.97,386523
12-Apr-17,35.64,35.85,35.23,35.31,530072
11-Apr-17,35.44,35.82,35.30,35.66,1277134
10-Apr-17,35.78,36.03,35.48,35.55,574350
7-Apr-17,35.67,35.88,35.52,35.75,510869
6-Apr-17,35.25,35.80,34.90,35.73,781759
5-Apr-17,35.92,36.10,35.25,35.37,862336
4-Apr-17,35.64,36.15,35.59,35.82,833844
3-Apr-17,36.31,36.40,35.53,35.60,1262207
31-Mar-17,36.45,36.48,36.25,36.28,483575
30-Mar-17,36.16,36.63,36.16,36.58,383617
29-Mar-17,36.15,36.27,35.89,36.16,262774
28-Mar-17,35.81,36.38,35.51,36.30,461368
27-Mar-17,35.71,35.91,35.51,35.83,306252
24-Mar-17,36.56,36.71,35.90,36.06,311433
23-Mar-17,35.94,36.41,35.90,36.30,617070
22-Mar-17,36.08,36.12,35.62,36.03,426751
21-Mar-17,36.63,36.88,35.88,35.95,597808
20-Mar-17,36.77,36.82,36.47,36.59,324677
17-Mar-17,36.62,36.91,36.40,36.74,943165
16-Mar-17,36.70,36.96,36.52,36.59,357194
15-Mar-17,36.50,36.83,36.26,36.70,455211
14-Mar-17,36.31,36.41,35.88,36.39,559218
13-Mar-17,36.24,36.42,36.06,36.41,672360
10-Mar-17,36.44,36.78,36.08,36.20,576120
9-Mar-17,36.41,36.66,36.32,36.44,607856
8-Mar-17,36.48,36.62,36.23,36.26,699216
7-Mar-17,37.09,37.09,36.36,36.50,588854
6-Mar-17,36.33,36.75,36.24,36.50,663715
3-Mar-17,36.55,36.70,36.29,36.44,985901
2-Mar-17,37.15,37.33,36.53,36.60,484458
1-Mar-17,37.04,37.44,36.95,37.05,943634
28-Feb-17,36.64,36.99,36.26,36.71,935761
27-Feb-17,36.79,36.87,36.49,36.62,497217
24-Feb-17,36.32,36.74,36.26,36.72,750624
23-Feb-17,36.47,36.67,36.14,36.41,969447
22-Feb-17,36.67,36.83,36.42,36.68,645223
21-Feb-17,36.82,36.95,36.50,36.76,814169
17-Feb-17,36.45,36.82,36.22,36.62,1137429
16-Feb-17,36.76,37.00,36.25,36.40,1247381
15-Feb-17,34.56,37.14,34.36,36.93,2898442
14-Feb-17,36.04,37.22,33.75,34.15,3548158
13-Feb-17,36.30,36.76,36.16,36.40,982875
10-Feb-17,36.16,36.31,35.96,36.15,586297
9-Feb-17,35.79,36.42,35.65,36.09,363778
8-Feb-17,35.67,35.82,35.50,35.71,507262
7-Feb-17,36.22,36.27,35.57,35.66,585567
6-Feb-17,36.37,36.44,36.06,36.08,669615
3-Feb-17,36.00,36.39,35.72,36.34,649096
2-Feb-17,35.26,35.77,35.19,35.76,517948
1-Feb-17,35.52,35.62,35.07,35.42,453257
31-Jan-17,35.33,35.36,34.99,35.33,644076
30-Jan-17,35.33,35.41,34.82,35.39,511132
27-Jan-17,35.79,35.96,35.47,35.50,406524
26-Jan-17,35.12,35.74,35.03,35.66,643312
25-Jan-17,34.76,35.35,34.67,35.20,1196217
24-Jan-17,34.56,34.89,34.47,34.70,759788
