Date,Open,High,Low,Close,Volume
28-Apr-17,50.69,51.34,50.51,50.87,2218110
27-Apr-17,51.09,51.43,50.70,50.78,993188
26-Apr-17,50.53,51.62,50.53,51.14,1618281
25-Apr-17,49.84,50.77,49.84,50.60,1326658
24-Apr-17,49.50,49.85,49.02,49.35,834393
21-Apr-17,49.32,49.35,48.55,48.66,1086683
20-Apr-17,48.50,49.43,48.47,49.17,940203
19-Apr-17,48.36,49.28,47.93,48.08,1534354
18-Apr-17,47.47,47.88,47.36,47.70,1010946
17-Apr-17,47.33,47.96,47.02,47.94,1164784
13-Apr-17,47.63,47.88,46.91,47.00,962805
12-Apr-17,48.54,48.74,47.59,47.72,1373961
11-Apr-17,49.20,49.28,48.58,49.16,946074
10-Apr-17,48.84,49.42,48.50,49.20,1036421
7-Apr-17,48.63,49.08,48.29,48.64,1014839
6-Apr-17,47.82,49.03,47.66,48.79,1470640
5-Apr-17,48.27,49.11,47.66,47.69,1109305
4-Apr-17,48.18,48.22,47.68,47.83,1488014
3-Apr-17,48.42,48.70,47.48,48.15,1622578
31-Mar-17,47.75,48.60,47.70,48.42,1395316
30-Mar-17,47.41,48.37,47.26,48.00,1632270
29-Mar-17,47.04,47.64,46.99,47.40,812310
28-Mar-17,46.88,47.52,46.76,47.18,1332586
27-Mar-17,45.65,47.15,44.88,46.97,1807711
24-Mar-17,46.21,46.54,45.42,45.65,1011250
23-Mar-17,45.91,46.36,45.77,46.08,879482
22-Mar-17,45.39,46.18,45.36,45.95,1633805
21-Mar-17,46.98,47.16,45.70,45.81,1225421
20-Mar-17,46.98,47.01,46.49,46.78,873405
17-Mar-17,47.04,47.13,46.51,46.99,1332756
16-Mar-17,47.28,47.52,46.49,46.92,1103081
15-Mar-17,46.31,47.51,45.95,47.18,1726153
14-Mar-17,45.76,45.92,44.71,45.49,1811658
13-Mar-17,46.05,46.63,45.88,46.22,1020937
10-Mar-17,45.53,46.13,45.50,46.00,1398550
9-Mar-17,45.85,45.94,44.78,45.22,2575691
8-Mar-17,46.07,46.37,45.80,45.97,2223072
7-Mar-17,46.22,46.49,45.88,46.00,1186712
6-Mar-17,46.04,46.43,45.94,46.15,1071475
3-Mar-17,47.09,47.28,46.37,46.52,1005374
2-Mar-17,47.95,48.16,46.93,47.03,1682781
1-Mar-17,47.20,48.38,47.20,48.09,1465513
28-Feb-17,47.78,47.97,46.32,46.45,1587255
27-Feb-17,47.66,48.02,47.27,47.94,1061306
24-Feb-17,46.35,47.73,46.00,47.72,2410724
23-Feb-17,48.89,49.07,46.72,46.78,2350478
22-Feb-17,48.11,48.75,47.92,48.65,1984845
21-Feb-17,48.20,49.21,48.15,48.38,2124087
17-Feb-17,48.50,50.03,48.18,48.37,5094007
16-Feb-17,51.35,51.58,50.53,50.81,2255261
15-Feb-17,50.79,51.25,50.63,51.20,2007684
14-Feb-17,51.20,51.52,50.79,50.93,1719615
13-Feb-17,51.20,51.82,51.20,51.50,1410619
10-Feb-17,50.95,51.20,50.68,50.96,2306189
9-Feb-17,50.87,51.25,50.56,50.68,1463427
8-Feb-17,49.32,51.17,49.02,50.63,2829582
7-Feb-17,48.62,49.65,48.50,49.59,1881242
6-Feb-17,48.37,48.90,47.98,48.36,949923
3-Feb-17,48.61,48.86,48.22,48.65,1739958
2-Feb-17,48.95,49.10,47.96,48.19,2063141
1-Feb-17,49.29,49.86,48.81,49.27,1102284
31-Jan-17,50.23,50.31,48.83,49.16,1748244
30-Jan-17,51.38,51.38,49.92,50.48,1238093
27-Jan-17,51.44,51.67,51.23,51.44,1159255
26-Jan-17,51.81,52.10,51.22,51.54,1447852
25-Jan-17,51.10,51.89,50.95,51.85,1469709
24-Jan-17,50.37,51.16,50.15,50.95,1359938
23-Jan-17,50.59,50.71,49.52,50.00,875062
20-Jan-17,50.67,51.08,50.09,50.26,1284384
19-Jan-17,50.04,50.69,49.71,50.33,875270
18-Jan-17,49.49,49.97,49.19,49.86,638625
17-Jan-17,49.69,50.06,49.15,49.53,1108784
13-Jan-17,49.31,50.22,49.31,49.76,684590
12-Jan-17,49.65,49.65,48.31,49.31,1256976
11-Jan-17,49.17,49.71,48.80,49.63,870008
10-Jan-17,48.72,49.15,48.30,49.01,510875
9-Jan-17,48.40,48.89,48.10,48.51,741454
6-Jan-17,48.88,49.15,48.26,48.86,972695
5-Jan-17,49.38,50.00,48.47,48.65,1176141
4-Jan-17,49.25,49.63,49.08,49.56,593427
3-Jan-17,48.61,49.47,48.41,49.01,990447
30-Dec-16,48.27,48.38,47.80,48.05,497395
29-Dec-16,48.42,48.68,47.81,48.05,464380
28-Dec-16,49.41,49.82,48.49,48.51,757578
27-Dec-16,48.99,49.60,48.92,49.44,974287
23-Dec-16,49.11,49.31,48.78,48.82,431655
22-Dec-16,49.37,49.49,49.06,49.16,822805
21-Dec-16,49.15,49.68,48.74,49.38,1186253
20-Dec-16,48.73,49.21,48.39,49.07,739648
19-Dec-16,48.22,48.55,47.64,48.49,656160
16-Dec-16,49.04,49.30,48.12,48.20,1745013
15-Dec-16,49.08,49.47,48.60,48.97,1677191
14-Dec-16,50.43,51.15,49.07,49.24,1353312
13-Dec-16,51.45,51.55,50.24,50.56,1370528
12-Dec-16,51.15,52.08,50.92,51.03,1907213
9-Dec-16,51.12,51.73,50.95,51.72,819309
8-Dec-16,51.28,51.46,50.53,51.03,875553
7-Dec-16,49.70,51.26,49.70,51.06,1819104
6-Dec-16,48.58,49.78,48.42,49.75,2116990
5-Dec-16,50.00,50.00,48.80,49.00,1362123
2-Dec-16,49.89,49.93,49.00,49.42,1811339
1-Dec-16,48.13,50.77,47.81,49.85,3446256
30-Nov-16,45.86,48.07,45.76,47.45,1736633
29-Nov-16,46.05,46.05,44.89,45.04,1031145
28-Nov-16,46.74,46.85,46.37,46.48,1079321
25-Nov-16,46.79,46.89,46.51,46.89,397807
23-Nov-16,46.61,47.14,46.52,46.84,1326871
22-Nov-16,46.73,46.95,46.48,46.78,844610
21-Nov-16,46.37,47.04,46.35,46.60,859229
18-Nov-16,45.67,46.09,45.60,45.98,1314189
17-Nov-16,45.85,47.02,45.55,45.74,943472
16-Nov-16,45.37,45.82,45.04,45.64,1258146
15-Nov-16,45.66,45.80,45.02,45.62,1288672
14-Nov-16,46.14,47.00,45.23,45.67,1584938
11-Nov-16,45.86,46.63,45.28,45.83,1595585
10-Nov-16,44.60,46.04,44.59,45.94,1827779
9-Nov-16,41.63,44.55,41.63,44.19,1725041
8-Nov-16,41.90,42.29,41.53,41.86,1486738
7-Nov-16,42.24,42.58,41.65,42.04,1211883
4-Nov-16,41.63,41.92,41.03,41.35,1435736
3-Nov-16,41.76,41.96,41.35,41.68,926670
2-Nov-16,41.84,41.98,41.39,41.59,1732112
1-Nov-16,42.61,42.61,41.53,42.11,1667819
31-Oct-16,42.43,43.05,42.17,42.35,1613316
28-Oct-16,39.37,42.98,39.13,42.21,3464426
27-Oct-16,44.10,44.13,43.31,43.51,1662555
26-Oct-16,42.91,44.22,42.90,43.76,1167896
25-Oct-16,43.46,43.47,42.86,43.19,1293988
24-Oct-16,43.83,44.12,43.29,43.47,839726
21-Oct-16,43.10,43.88,42.66,43.60,1013225
20-Oct-16,44.08,44.79,43.42,43.73,1359258
19-Oct-16,43.19,45.04,42.97,44.45,2442316
18-Oct-16,42.98,43.29,42.41,42.93,1953319
17-Oct-16,43.48,43.56,43.07,43.11,1207508
14-Oct-16,44.05,44.22,43.02,43.39,1837612
13-Oct-16,43.99,44.01,43.36,43.69,1958075
12-Oct-16,44.86,45.12,44.54,44.57,946614
11-Oct-16,46.20,46.20,44.80,45.00,1137374
10-Oct-16,47.00,47.00,46.10,46.30,942077
7-Oct-16,47.78,47.78,46.42,46.75,725959
6-Oct-16,48.15,48.15,47.43,47.88,857857
5-Oct-16,48.20,48.81,48.10,48.24,1466314
4-Oct-16,48.75,48.75,47.50,47.72,746731
3-Oct-16,47.96,48.57,47.67,48.19,909157
30-Sep-16,47.64,48.49,47.58,48.24,1667957
29-Sep-16,47.17,47.92,46.98,47.33,1841815
28-Sep-16,45.84,47.26,45.75,47.20,1023026
27-Sep-16,45.00,45.88,44.73,45.82,1371131
26-Sep-16,46.17,46.17,45.41,45.45,1158648
23-Sep-16,47.80,47.87,46.16,46.18,1308226
22-Sep-16,47.74,48.27,47.69,48.17,440163
21-Sep-16,46.69,47.19,46.50,47.12,756301
20-Sep-16,47.29,47.60,46.43,46.44,688214
19-Sep-16,47.00,47.54,46.97,47.27,782172
16-Sep-16,46.30,46.74,45.88,46.66,1047190
15-Sep-16,46.11,46.93,45.97,46.77,501016
