Date,Open,High,Low,Close,Volume
28-Apr-17,73.74,73.74,72.82,73.23,590520
27-Apr-17,73.00,74.04,72.25,73.53,1767299
26-Apr-17,73.59,73.82,73.10,73.50,1545654
25-Apr-17,73.69,74.28,73.62,73.74,1145101
24-Apr-17,73.25,73.77,72.66,73.65,1429182
21-Apr-17,73.56,73.95,72.64,72.67,1521266
20-Apr-17,73.70,73.98,73.16,73.41,1112667
19-Apr-17,73.88,74.15,73.19,73.49,1461797
18-Apr-17,73.07,74.55,73.06,73.85,1557785
17-Apr-17,72.68,73.49,72.46,73.48,1615496
13-Apr-17,72.77,73.27,72.06,72.56,1930377
12-Apr-17,74.91,75.23,72.63,72.89,2672554
11-Apr-17,75.12,75.50,74.51,75.38,2242699
10-Apr-17,75.10,75.46,74.60,75.23,3068269
7-Apr-17,72.58,75.93,72.58,75.24,4167310
6-Apr-17,71.97,73.03,71.48,73.00,1461767
5-Apr-17,71.60,72.73,71.48,71.85,2140800
4-Apr-17,70.61,71.44,70.46,71.38,3108739
3-Apr-17,71.00,71.65,69.81,70.38,4719599
31-Mar-17,71.63,72.04,69.24,69.59,14122220
30-Mar-17,61.25,62.10,61.25,61.50,641598
29-Mar-17,61.50,61.92,61.33,61.38,562854
28-Mar-17,61.23,62.07,61.04,61.81,1179419
27-Mar-17,60.36,61.55,60.01,61.45,681904
24-Mar-17,61.59,62.01,60.81,61.15,1049153
23-Mar-17,60.60,62.03,60.28,61.55,1733078
22-Mar-17,59.50,61.33,59.26,61.22,2581448
21-Mar-17,61.36,61.53,59.47,59.60,820527
20-Mar-17,61.20,61.64,60.69,61.36,658595
17-Mar-17,60.59,61.61,60.51,61.19,1393311
16-Mar-17,60.59,60.76,59.98,60.39,1069187
15-Mar-17,60.02,60.55,59.58,60.40,856476
14-Mar-17,59.86,60.22,59.44,59.58,655228
13-Mar-17,60.17,60.57,59.82,60.36,810472
10-Mar-17,59.37,60.16,59.11,60.05,1032301
9-Mar-17,58.49,59.43,58.49,58.83,1765317
8-Mar-17,59.05,59.27,58.27,58.31,1239755
7-Mar-17,59.03,59.52,58.61,59.09,1360413
6-Mar-17,58.97,59.31,58.51,59.15,1126063
3-Mar-17,59.54,59.78,59.05,59.28,1133378
2-Mar-17,59.04,59.67,59.00,59.45,1521369
1-Mar-17,58.39,59.80,58.30,59.22,1783658
28-Feb-17,57.46,58.12,57.29,57.62,1036407
27-Feb-17,58.10,58.28,57.51,57.63,504485
24-Feb-17,57.58,58.17,57.32,58.13,1136335
23-Feb-17,58.83,59.10,57.77,57.99,1138549
22-Feb-17,57.63,58.74,57.56,58.44,2570515
21-Feb-17,58.36,58.72,57.67,57.91,1336002
17-Feb-17,58.00,58.46,57.59,58.23,2525877
16-Feb-17,57.93,58.64,57.62,57.83,1259382
15-Feb-17,57.74,58.54,57.63,57.90,1464712
14-Feb-17,58.41,58.87,57.88,58.06,1372280
13-Feb-17,58.16,59.31,58.16,58.75,1502155
10-Feb-17,57.66,57.94,57.08,57.84,1600232
9-Feb-17,57.60,57.89,57.06,57.29,1127815
8-Feb-17,58.07,58.07,56.53,57.24,1899495
7-Feb-17,58.32,59.49,56.66,57.03,3778070
6-Feb-17,60.30,60.88,59.89,60.67,1504722
3-Feb-17,60.66,60.91,60.06,60.30,947207
2-Feb-17,60.61,60.92,59.86,60.48,779334
1-Feb-17,60.38,60.85,59.88,60.60,820204
31-Jan-17,60.44,60.81,59.92,60.16,1096006
30-Jan-17,61.59,61.59,59.90,60.50,1260648
27-Jan-17,62.11,62.36,61.49,61.75,809075
26-Jan-17,62.51,62.84,61.79,62.15,1163691
25-Jan-17,62.00,62.52,61.64,62.37,915196
24-Jan-17,60.94,62.27,60.74,61.63,1832039
23-Jan-17,60.02,60.81,60.00,60.74,899858
20-Jan-17,59.61,60.98,59.50,60.31,2404475
19-Jan-17,59.27,59.63,58.95,59.34,940055
18-Jan-17,58.83,59.32,58.46,58.55,515419
17-Jan-17,59.30,59.46,58.45,58.75,535584
13-Jan-17,59.36,59.55,59.10,59.27,747783
12-Jan-17,58.92,59.35,58.18,59.29,779282
