Date,Open,High,Low,Close,Volume
28-Apr-17,132.66,132.90,130.09,130.89,670675
27-Apr-17,133.11,134.21,132.71,133.16,489035
26-Apr-17,134.24,134.78,132.46,132.56,731750
25-Apr-17,133.87,134.72,133.25,134.61,366431
24-Apr-17,136.79,136.90,132.41,133.75,483336
21-Apr-17,137.06,137.29,135.92,136.18,304637
20-Apr-17,137.66,137.66,136.38,137.22,288377
19-Apr-17,137.18,138.12,136.76,137.48,334961
18-Apr-17,136.35,137.23,136.21,137.05,347775
17-Apr-17,134.82,136.47,134.82,136.45,319038
13-Apr-17,135.06,135.28,134.38,134.74,344519
12-Apr-17,134.53,135.38,134.39,134.87,424400
11-Apr-17,134.00,135.79,133.94,135.08,410708
10-Apr-17,132.67,134.31,132.32,133.95,347687
7-Apr-17,133.08,133.56,132.45,132.73,393161
6-Apr-17,132.77,133.70,132.23,133.11,341645
5-Apr-17,133.43,133.84,132.71,133.11,278371
4-Apr-17,133.62,134.27,133.00,133.11,345175
3-Apr-17,133.50,134.85,133.42,133.84,406028
31-Mar-17,133.34,134.00,132.36,133.50,416920
30-Mar-17,132.94,133.54,132.01,133.34,289951
29-Mar-17,132.97,133.70,132.43,133.15,491404
28-Mar-17,132.73,133.55,131.36,133.26,519016
27-Mar-17,134.47,135.87,132.26,132.74,675174
24-Mar-17,134.76,135.52,134.41,134.80,395625
23-Mar-17,133.00,135.92,132.81,134.73,485268
22-Mar-17,134.68,135.58,131.91,133.11,658667
21-Mar-17,134.38,135.09,133.71,134.67,691347
20-Mar-17,134.71,135.50,133.87,134.44,545817
17-Mar-17,133.72,134.90,132.91,134.75,1347727
16-Mar-17,132.70,133.36,132.24,133.00,555027
15-Mar-17,129.90,133.59,129.62,133.02,527112
14-Mar-17,128.00,130.06,127.61,129.62,654038
13-Mar-17,128.58,128.58,126.99,128.32,597730
10-Mar-17,127.33,128.18,126.02,126.98,659274
9-Mar-17,130.56,131.24,127.29,127.44,523003
8-Mar-17,132.65,133.15,130.16,130.50,540064
7-Mar-17,134.39,134.77,132.91,133.39,322991
6-Mar-17,135.01,135.01,134.00,134.30,416170
3-Mar-17,137.12,137.18,134.08,135.02,549367
2-Mar-17,138.37,138.55,136.20,136.76,584793
1-Mar-17,139.89,140.00,138.30,138.97,627133
28-Feb-17,142.33,142.33,140.12,140.73,418551
27-Feb-17,142.69,143.79,141.60,142.22,362891
24-Feb-17,142.67,142.67,141.32,142.34,332538
23-Feb-17,142.21,142.77,141.32,142.40,357484
22-Feb-17,142.27,143.24,140.62,141.55,350817
21-Feb-17,140.51,142.68,140.16,142.50,440724
17-Feb-17,140.91,141.20,139.26,140.66,378090
16-Feb-17,140.34,141.50,140.15,140.50,304694
15-Feb-17,140.10,140.84,139.13,139.98,489344
14-Feb-17,142.12,143.00,140.01,141.08,512118
13-Feb-17,143.32,143.32,141.54,142.95,347106
10-Feb-17,141.60,142.99,141.54,142.96,251891
9-Feb-17,140.47,142.08,140.02,142.02,283495
8-Feb-17,139.74,140.69,139.40,140.33,297576
7-Feb-17,140.19,140.68,139.11,139.68,315050
6-Feb-17,139.91,140.50,139.35,139.79,253304
3-Feb-17,140.82,141.25,139.27,139.94,325240
2-Feb-17,137.75,140.12,137.71,140.11,434185
1-Feb-17,139.73,140.48,137.04,137.50,557859
31-Jan-17,139.44,140.75,139.33,140.43,1552153
30-Jan-17,139.05,139.89,138.35,139.14,319991
27-Jan-17,141.28,141.28,139.17,139.69,279484
26-Jan-17,140.85,141.62,140.29,140.80,295271
25-Jan-17,141.12,141.58,140.01,140.77,414768
24-Jan-17,141.74,142.42,140.38,140.96,411316
23-Jan-17,140.21,142.00,140.21,141.72,259426
20-Jan-17,139.39,140.82,139.25,140.72,313214
19-Jan-17,141.00,141.00,138.98,139.25,279025
18-Jan-17,141.56,141.72,140.36,141.53,289062
17-Jan-17,140.69,141.50,140.58,141.29,378542
13-Jan-17,140.09,140.88,139.34,140.18,300683
12-Jan-17,139.77,140.65,138.89,140.62,329599
11-Jan-17,141.01,141.86,139.60,139.77,309445
10-Jan-17,142.41,142.48,140.79,141.19,394370
9-Jan-17,144.94,145.01,142.54,142.68,365009
6-Jan-17,144.73,145.80,144.03,144.49,414016
5-Jan-17,143.09,145.48,142.03,145.29,451041
4-Jan-17,143.61,144.59,143.19,144.22,410104
3-Jan-17,142.92,143.44,141.51,143.40,518619
30-Dec-16,139.97,142.81,139.74,142.11,440017
29-Dec-16,138.28,140.29,137.95,140.05,471641
28-Dec-16,140.02,140.30,138.26,138.93,358176
27-Dec-16,139.52,140.70,139.36,140.10,312236
23-Dec-16,140.08,140.33,139.09,139.66,222434
22-Dec-16,139.28,139.82,137.93,139.71,299342
21-Dec-16,142.37,143.47,139.73,139.80,351608
20-Dec-16,141.48,142.75,140.90,142.14,275369
19-Dec-16,141.43,142.90,140.71,142.09,318800
16-Dec-16,139.33,141.32,139.21,140.26,793169
15-Dec-16,138.40,140.25,137.59,138.08,346168
14-Dec-16,142.53,142.83,138.55,138.61,473721
13-Dec-16,142.29,143.00,140.33,142.09,650780
12-Dec-16,140.83,142.14,140.54,141.35,396547
9-Dec-16,141.69,143.45,140.94,141.49,280970
8-Dec-16,140.95,141.97,139.42,141.78,366914
7-Dec-16,140.46,142.06,140.46,141.84,390113
6-Dec-16,140.01,140.97,138.84,139.95,315911
5-Dec-16,138.07,139.75,137.82,139.45,343703
2-Dec-16,138.01,140.56,137.60,138.29,384457
1-Dec-16,139.57,140.11,136.76,137.22,527404
30-Nov-16,140.82,141.67,139.40,140.42,581940
29-Nov-16,141.15,142.61,141.03,141.80,369259
28-Nov-16,140.62,142.32,140.42,141.17,263173
25-Nov-16,140.39,141.91,140.22,140.98,131128
23-Nov-16,140.08,140.72,139.07,140.15,295418
22-Nov-16,138.71,140.98,138.61,140.74,341855
21-Nov-16,138.45,139.30,138.04,138.61,417017
18-Nov-16,137.32,138.21,136.81,137.81,526889
17-Nov-16,138.07,139.21,137.30,137.36,404817
16-Nov-16,138.15,138.85,136.93,138.17,317110
15-Nov-16,139.16,140.83,137.12,138.00,484971
14-Nov-16,136.90,139.60,135.85,138.98,666906
11-Nov-16,136.71,139.73,136.71,137.35,361790
10-Nov-16,139.37,139.37,135.25,136.98,603144
9-Nov-16,139.14,139.95,136.04,139.04,563799
8-Nov-16,141.41,142.49,140.60,142.15,408180
7-Nov-16,139.73,141.86,139.04,141.76,504126
4-Nov-16,137.54,138.42,136.42,138.24,929679
3-Nov-16,139.24,139.24,134.39,137.31,1111869
2-Nov-16,142.10,142.99,140.10,140.52,559875
1-Nov-16,144.86,144.86,141.48,141.88,464247
