Date,Open,High,Low,Close,Volume
28-Apr-17,29.10,29.16,28.93,28.99,24079191
27-Apr-17,29.29,29.31,29.02,29.08,32939845
26-Apr-17,29.52,29.55,29.26,29.26,37368373
25-Apr-17,29.45,29.60,29.32,29.45,39854055
24-Apr-17,29.85,29.93,29.49,29.55,48585162
21-Apr-17,30.27,30.38,29.45,29.55,72351353
20-Apr-17,30.05,30.54,30.03,30.27,37081558
19-Apr-17,29.89,30.06,29.87,30.00,26594394
18-Apr-17,29.60,29.90,29.58,29.84,25706585
17-Apr-17,29.62,29.70,29.55,29.64,21776555
13-Apr-17,29.70,29.80,29.55,29.56,19998013
12-Apr-17,29.88,29.90,29.65,29.77,27041348
11-Apr-17,30.00,30.10,29.84,30.04,22040223
10-Apr-17,30.07,30.23,29.96,30.01,18505150
7-Apr-17,29.92,30.19,29.92,29.99,18975740
6-Apr-17,30.00,30.18,29.92,29.93,21549950
5-Apr-17,30.09,30.42,29.95,29.97,25837471
4-Apr-17,29.90,30.09,29.70,30.02,25057168
3-Apr-17,29.76,30.00,29.74,29.88,29912275
31-Mar-17,29.86,30.04,29.74,29.80,50796542
30-Mar-17,29.66,29.99,29.63,29.87,35961302
29-Mar-17,29.52,29.71,29.46,29.68,27558771
28-Mar-17,29.31,29.73,29.25,29.62,27847655
27-Mar-17,29.45,29.51,29.25,29.44,28986703
24-Mar-17,29.59,29.81,29.53,29.72,27880234
23-Mar-17,29.50,29.73,29.38,29.62,24674960
22-Mar-17,29.56,29.71,29.31,29.53,26000688
21-Mar-17,29.86,29.86,29.34,29.39,26834807
20-Mar-17,29.90,29.92,29.69,29.74,18877431
17-Mar-17,29.85,30.04,29.77,29.88,43638968
16-Mar-17,29.80,29.82,29.62,29.75,21207002
15-Mar-17,29.55,29.83,29.47,29.76,25142833
14-Mar-17,29.76,29.79,29.47,29.54,22801581
13-Mar-17,30.23,30.26,29.79,29.86,30187808
10-Mar-17,29.84,30.43,29.63,30.28,59211872
9-Mar-17,29.75,29.83,29.56,29.66,25940215
8-Mar-17,29.89,29.94,29.73,29.80,32308399
7-Mar-17,29.93,29.98,29.79,29.86,29982940
6-Mar-17,30.00,30.08,29.92,30.00,23420603
3-Mar-17,30.19,30.22,30.05,30.12,19994647
2-Mar-17,30.23,30.23,30.00,30.19,27640415
1-Mar-17,29.98,30.35,29.82,30.19,36882966
28-Feb-17,29.99,30.08,29.67,29.81,39111913
27-Feb-17,30.05,30.15,29.90,29.94,23571756
24-Feb-17,29.84,30.19,29.78,30.19,27323723
23-Feb-17,30.04,30.08,29.85,30.02,28947909
22-Feb-17,30.52,30.55,30.26,30.33,30124503
21-Feb-17,30.41,30.59,30.34,30.52,30241033
17-Feb-17,30.41,30.44,30.20,30.37,21849428
16-Feb-17,30.35,30.47,30.30,30.45,25932515
15-Feb-17,30.29,30.35,30.18,30.35,25472282
14-Feb-17,30.13,30.28,29.92,30.28,35028334
13-Feb-17,29.88,30.06,29.73,30.04,37020015
10-Feb-17,29.74,29.75,29.55,29.72,22787056
9-Feb-17,29.52,29.70,29.46,29.59,21665972
8-Feb-17,29.51,29.54,29.26,29.43,32181440
7-Feb-17,29.75,29.81,29.53,29.56,23778270
6-Feb-17,29.68,29.75,29.57,29.66,23725085
3-Feb-17,29.79,29.80,29.54,29.70,31104310
2-Feb-17,29.58,29.71,29.50,29.68,21709543
1-Feb-17,29.73,29.81,29.56,29.69,25682267
31-Jan-17,29.85,29.90,29.50,29.70,38703422
30-Jan-17,29.96,30.10,29.77,29.96,26211790
27-Jan-17,30.40,30.44,29.94,30.01,30005629
26-Jan-17,30.44,30.49,30.13,30.32,26767132
25-Jan-17,30.42,30.47,30.22,30.37,38131702
24-Jan-17,29.86,30.06,29.82,30.00,33686501
23-Jan-17,30.50,30.51,29.58,29.75,59093385
20-Jan-17,30.76,30.90,30.30,30.53,83552728
19-Jan-17,31.25,31.34,31.05,31.21,37697856
18-Jan-17,31.21,31.34,31.13,31.23,24701360
