Date,Open,High,Low,Close,Volume
28-Apr-17,22.13,22.13,21.52,21.61,7580980
27-Apr-17,22.06,22.46,22.04,22.14,5090789
26-Apr-17,22.65,22.65,21.95,21.97,6663254
25-Apr-17,22.66,22.66,22.46,22.61,5840688
24-Apr-17,23.54,23.54,22.54,22.55,9617625
21-Apr-17,23.51,23.54,23.19,23.31,3719242
20-Apr-17,23.69,23.69,23.42,23.54,4455443
19-Apr-17,23.60,23.80,23.45,23.65,4574828
18-Apr-17,23.40,23.59,23.29,23.58,4271054
17-Apr-17,23.24,23.51,23.24,23.44,7353476
13-Apr-17,23.22,23.34,23.10,23.15,4073637
12-Apr-17,23.29,23.56,23.18,23.21,4027116
11-Apr-17,23.21,23.40,23.12,23.28,4592756
10-Apr-17,23.11,23.52,22.90,23.45,7709102
7-Apr-17,23.04,23.22,22.93,23.06,5990401
6-Apr-17,22.95,23.06,22.72,23.04,7389492
5-Apr-17,23.31,23.39,22.94,22.98,5850143
4-Apr-17,23.60,23.80,23.20,23.24,6468341
3-Apr-17,23.20,23.76,23.05,23.59,5298024
31-Mar-17,22.92,23.41,22.89,23.18,4513222
30-Mar-17,22.97,23.10,22.76,22.94,7562647
29-Mar-17,22.66,23.07,22.47,23.00,7442649
28-Mar-17,22.72,22.84,22.34,22.68,13144984
27-Mar-17,23.08,23.26,22.65,22.72,5432181
24-Mar-17,23.02,23.27,22.96,23.11,3548325
23-Mar-17,22.67,23.18,22.65,23.01,5657888
22-Mar-17,23.20,23.20,22.39,22.66,9675577
21-Mar-17,23.31,23.36,22.96,23.21,5600339
20-Mar-17,23.34,23.40,23.09,23.19,5122491
17-Mar-17,23.52,23.57,23.19,23.32,6414516
16-Mar-17,23.63,23.75,23.39,23.47,4376342
15-Mar-17,23.13,23.78,23.06,23.62,5095492
14-Mar-17,23.07,23.21,22.90,23.00,7997522
13-Mar-17,23.12,23.30,22.92,23.28,6479782
10-Mar-17,23.07,23.26,22.89,23.05,5550406
9-Mar-17,23.63,23.70,22.86,22.92,8197974
8-Mar-17,23.85,23.85,23.36,23.58,6796845
7-Mar-17,24.30,24.34,23.70,23.92,4331334
6-Mar-17,24.36,24.39,24.08,24.27,3619710
3-Mar-17,24.58,24.64,24.08,24.40,5139746
2-Mar-17,24.63,24.80,24.44,24.58,3223226
1-Mar-17,24.86,24.87,24.45,24.78,7368410
