Date,Open,High,Low,Close,Volume
28-Apr-17,57.50,57.56,57.14,57.51,3564917
27-Apr-17,58.04,58.06,57.33,57.41,2393616
26-Apr-17,58.29,58.33,57.75,57.88,2401899
25-Apr-17,58.17,58.36,58.02,58.24,2549773
24-Apr-17,58.03,58.27,57.89,58.14,2638924
21-Apr-17,57.83,58.05,57.63,57.73,2219659
20-Apr-17,57.85,58.13,57.46,57.88,2967005
19-Apr-17,58.20,58.41,57.69,57.84,2464089
18-Apr-17,57.70,58.60,57.60,58.16,3223784
17-Apr-17,57.26,57.72,57.20,57.60,2333327
13-Apr-17,57.53,57.80,57.17,57.17,2226435
12-Apr-17,57.25,57.82,57.24,57.58,3230473
11-Apr-17,57.47,57.61,57.14,57.42,2494685
10-Apr-17,57.68,57.88,57.45,57.52,2483361
7-Apr-17,57.82,57.91,57.62,57.65,2217216
6-Apr-17,57.89,58.03,57.50,57.69,3471762
5-Apr-17,58.44,58.84,58.25,58.25,3185042
4-Apr-17,58.59,58.84,58.10,58.38,3430254
3-Apr-17,59.05,59.22,58.38,58.55,3398973
31-Mar-17,59.10,59.45,59.00,59.01,2506787
30-Mar-17,59.41,59.55,59.03,59.07,1936554
29-Mar-17,59.18,59.57,58.96,59.44,2505472
28-Mar-17,58.77,59.22,58.61,59.01,2517893
27-Mar-17,59.01,59.29,58.76,58.79,3263805
24-Mar-17,59.64,59.75,59.01,59.16,3070851
23-Mar-17,58.91,59.70,58.91,59.37,2982084
22-Mar-17,59.48,59.60,58.59,58.94,5135274
21-Mar-17,59.66,60.75,59.51,59.76,5442283
20-Mar-17,60.77,60.95,60.26,60.26,4817602
17-Mar-17,61.07,61.14,60.63,60.66,10957793
16-Mar-17,60.99,61.15,60.50,60.81,4250091
15-Mar-17,60.43,61.34,60.39,61.16,4713132
14-Mar-17,60.52,60.59,60.26,60.46,1710490
13-Mar-17,60.47,60.56,60.15,60.52,2988257
10-Mar-17,60.91,61.10,60.50,60.57,2745256
9-Mar-17,60.25,60.68,60.00,60.63,2272068
8-Mar-17,60.30,60.36,59.94,60.07,2114849
7-Mar-17,60.49,60.90,60.20,60.25,2282442
6-Mar-17,60.46,60.63,60.10,60.43,2246082
3-Mar-17,60.98,61.00,60.50,60.73,1893398
2-Mar-17,60.60,60.97,60.34,60.91,3826705
1-Mar-17,60.78,60.94,60.10,60.55,3178723
28-Feb-17,60.08,60.66,59.99,60.37,3654114
27-Feb-17,61.11,61.11,59.79,59.94,3804156
24-Feb-17,60.83,61.38,60.76,61.37,2594311
23-Feb-17,60.89,60.98,60.46,60.78,2499938
22-Feb-17,60.75,60.99,60.24,60.59,3327033
21-Feb-17,60.92,61.59,60.03,61.02,7527707
17-Feb-17,58.89,60.18,58.70,59.23,11680881
16-Feb-17,63.07,63.27,61.38,61.54,6020290
15-Feb-17,62.68,63.35,62.01,63.19,2651381
14-Feb-17,62.81,63.73,62.54,63.09,3639684
13-Feb-17,62.77,63.03,62.44,62.89,1843621
10-Feb-17,62.86,63.34,62.63,62.76,1977886
9-Feb-17,62.32,63.23,62.01,63.06,2509411
8-Feb-17,61.74,62.33,61.63,62.22,1682336
7-Feb-17,61.68,61.88,61.52,61.82,1622773
6-Feb-17,62.54,62.61,61.40,61.44,2335624
3-Feb-17,62.13,62.99,61.87,62.73,2532374
2-Feb-17,61.64,62.02,61.50,61.72,2167891
1-Feb-17,62.32,62.45,61.36,61.37,2644077
31-Jan-17,62.60,62.95,62.32,62.48,3543633
30-Jan-17,62.56,62.94,62.33,62.60,1692258
27-Jan-17,62.75,62.86,62.28,62.72,1845208
26-Jan-17,62.89,63.04,62.42,62.70,1957115
25-Jan-17,62.84,63.11,62.42,63.01,2681435
24-Jan-17,62.07,62.89,62.06,62.67,2632543
23-Jan-17,62.19,62.35,61.55,62.12,2837433
20-Jan-17,62.00,62.72,61.92,62.42,3103966
19-Jan-17,62.11,62.13,61.62,61.65,2421539
18-Jan-17,61.88,62.28,61.82,62.08,2116360
17-Jan-17,60.96,62.06,60.96,61.98,2775139
13-Jan-17,61.21,61.47,60.92,61.08,1853784
12-Jan-17,60.92,61.88,60.86,61.27,2961772
11-Jan-17,60.45,61.11,60.31,60.98,3374041
10-Jan-17,60.60,60.73,60.27,60.45,3244256
9-Jan-17,61.36,61.56,60.52,60.56,3408890
6-Jan-17,61.72,61.82,61.36,61.47,2282018
5-Jan-17,62.00,62.47,61.71,62.25,2558494
4-Jan-17,62.05,62.56,61.95,62.07,2137222
3-Jan-17,62.09,62.24,61.36,62.09,2327949
30-Dec-16,62.37,62.47,61.58,61.77,1938083
29-Dec-16,61.71,62.42,61.67,62.36,1483370
28-Dec-16,62.11,62.50,61.67,61.89,1701656
27-Dec-16,62.32,62.43,61.96,62.20,1599717
23-Dec-16,62.46,62.47,61.87,62.16,1460070
22-Dec-16,62.28,62.52,62.02,62.46,2645393
21-Dec-16,61.42,62.95,61.40,62.39,4290161
20-Dec-16,61.06,62.19,60.52,61.45,6168088
19-Dec-16,63.74,63.74,62.91,63.06,2913269
16-Dec-16,62.88,63.67,62.88,63.50,3883935
15-Dec-16,62.07,62.97,61.92,62.82,2963715
14-Dec-16,63.90,64.06,62.67,62.87,2594086
13-Dec-16,63.85,64.03,63.47,63.74,3112990
12-Dec-16,63.05,63.92,63.05,63.87,1802610
9-Dec-16,62.56,63.22,62.36,63.20,1938701
8-Dec-16,62.70,62.77,62.13,62.48,2646242
7-Dec-16,61.24,63.27,61.24,62.99,3564628
6-Dec-16,61.18,61.38,60.80,61.03,1821393
5-Dec-16,61.00,61.16,60.83,61.13,2132974
2-Dec-16,60.79,61.19,60.58,60.94,2349860
1-Dec-16,60.92,60.92,60.37,60.59,3215648
30-Nov-16,62.33,62.40,60.91,60.94,5940025
29-Nov-16,62.25,62.81,61.79,62.66,3143566
28-Nov-16,62.12,62.38,61.88,62.08,2206324
25-Nov-16,61.74,62.30,61.74,62.30,1069482
23-Nov-16,62.42,62.75,61.39,61.48,2563370
22-Nov-16,61.93,62.80,61.92,62.68,2739474
21-Nov-16,61.03,61.78,60.95,61.63,2392799
18-Nov-16,61.36,61.63,60.98,61.26,2227876
17-Nov-16,61.32,61.68,60.97,61.36,2901438
16-Nov-16,61.33,61.72,61.06,61.26,3284265
15-Nov-16,61.47,61.62,61.00,61.30,3852388
14-Nov-16,60.93,61.47,60.66,61.20,3466531
11-Nov-16,61.09,61.65,60.55,61.04,3329707
10-Nov-16,62.42,62.51,60.81,61.07,6338255
9-Nov-16,62.42,62.95,61.17,62.74,4893173
8-Nov-16,61.86,63.93,61.84,63.71,4599907
7-Nov-16,61.03,61.94,60.91,61.83,3173873
4-Nov-16,61.05,61.21,60.65,60.65,2578310
3-Nov-16,61.36,61.66,61.05,61.12,2317137
2-Nov-16,61.62,61.91,61.36,61.38,2889573
1-Nov-16,62.16,62.19,61.39,61.63,3450335
31-Oct-16,61.70,62.02,61.50,61.98,2745301
28-Oct-16,60.84,61.85,60.79,61.66,2750120
27-Oct-16,61.01,61.22,60.63,60.72,2277540
26-Oct-16,61.20,61.32,60.77,60.84,1852594
25-Oct-16,60.97,61.14,60.85,61.10,2012004
24-Oct-16,60.99,61.24,60.58,60.89,3040488
21-Oct-16,60.79,60.92,60.44,60.71,3710024
20-Oct-16,61.56,61.56,60.94,61.00,4403112
19-Oct-16,61.95,61.95,61.34,61.57,4423251
18-Oct-16,62.24,62.25,61.73,61.91,5041271
17-Oct-16,62.48,62.48,61.71,61.77,3404134
14-Oct-16,62.42,62.48,61.73,61.78,3337151
13-Oct-16,61.76,62.26,61.68,62.22,2683177
12-Oct-16,62.17,62.31,61.88,62.13,2832534
11-Oct-16,62.28,62.38,61.71,61.95,3007468
10-Oct-16,62.45,62.77,62.17,62.44,2846973
7-Oct-16,62.40,62.59,61.64,62.13,2759316
6-Oct-16,62.16,62.64,62.02,62.42,3091402
5-Oct-16,62.61,62.88,62.03,62.36,5118137
4-Oct-16,63.86,63.92,62.89,63.05,3617990
3-Oct-16,63.76,64.02,63.38,63.88,2758782
30-Sep-16,63.92,64.18,63.69,63.88,3328379
29-Sep-16,64.05,64.39,63.65,63.66,3006627
28-Sep-16,64.15,64.19,63.76,64.08,2474918
27-Sep-16,64.06,64.08,63.56,63.92,2693107
26-Sep-16,64.45,64.48,63.80,63.90,3176471
23-Sep-16,64.89,65.24,64.65,64.65,3252646
22-Sep-16,65.26,65.57,64.79,65.06,4140196
21-Sep-16,64.06,65.37,63.15,65.26,5468920
20-Sep-16,65.20,65.40,64.66,64.70,3527621
19-Sep-16,65.05,65.51,64.96,65.21,2546019
16-Sep-16,65.26,65.46,64.83,65.19,3705320
15-Sep-16,65.22,65.72,65.14,65.54,2835041
14-Sep-16,65.81,66.01,65.21,65.48,3010679
13-Sep-16,66.49,66.53,65.55,65.60,3536414
12-Sep-16,65.00,66.42,65.00,66.28,4290810
9-Sep-16,66.97,66.98,65.05,65.05,6391273
8-Sep-16,67.60,68.07,67.31,67.47,4110456
7-Sep-16,70.45,70.64,67.61,67.85,6769878
6-Sep-16,71.04,71.33,70.36,70.90,3566453
2-Sep-16,70.57,71.12,70.45,70.94,2446591
1-Sep-16,70.67,70.80,69.66,70.11,4253481
31-Aug-16,70.56,70.91,70.38,70.82,3776202
30-Aug-16,71.39,71.58,70.34,70.51,4403383
29-Aug-16,70.99,71.57,70.99,71.42,2489582
26-Aug-16,71.34,71.68,70.69,70.87,1975309
25-Aug-16,70.82,71.96,70.76,71.39,3197337
24-Aug-16,71.00,71.06,70.46,71.00,2494700
23-Aug-16,71.56,71.62,70.93,71.10,2270255
22-Aug-16,71.53,71.82,71.27,71.56,2277357
19-Aug-16,71.26,71.50,70.92,71.45,2543727
18-Aug-16,70.56,71.40,70.51,71.27,2517046
17-Aug-16,70.51,70.87,70.22,70.56,3923300
16-Aug-16,70.57,70.99,70.37,70.50,2642315
15-Aug-16,71.03,71.16,70.78,71.04,2096208
12-Aug-16,71.16,71.45,71.00,71.17,1871333
11-Aug-16,71.10,71.28,70.86,71.07,2212662
10-Aug-16,70.96,71.30,70.83,71.06,2189633
9-Aug-16,70.75,71.06,70.53,70.93,2333042
8-Aug-16,70.49,70.88,70.15,70.63,2428695
5-Aug-16,70.50,70.80,70.30,70.55,2539154
4-Aug-16,70.00,70.51,69.92,70.49,4234666
3-Aug-16,71.12,71.14,69.23,69.78,5387367
2-Aug-16,71.55,71.72,70.82,70.97,4370515
1-Aug-16,71.98,72.15,71.40,71.63,3417555
29-Jul-16,71.19,72.22,71.17,71.89,2728776
28-Jul-16,70.51,71.44,70.50,71.34,2724541
27-Jul-16,71.48,71.59,70.40,70.55,4578319
26-Jul-16,71.65,72.51,71.19,71.28,2592083
25-Jul-16,71.21,71.72,71.15,71.69,2574673
22-Jul-16,71.44,71.64,71.07,71.22,3079245
21-Jul-16,71.71,71.72,70.99,71.21,3027375
20-Jul-16,72.65,72.70,71.64,71.70,2840969
19-Jul-16,72.21,72.66,72.00,72.64,1996151
18-Jul-16,72.19,72.40,71.97,72.28,2217280
15-Jul-16,72.25,72.28,71.85,72.02,2848945
14-Jul-16,71.69,72.32,71.68,72.09,2689482
13-Jul-16,71.49,71.97,71.36,71.94,2852134
12-Jul-16,71.47,71.80,71.12,71.42,3486503
11-Jul-16,72.27,72.30,71.70,71.81,3559890
8-Jul-16,72.39,72.48,71.56,72.46,4234142
7-Jul-16,72.44,72.77,71.77,72.02,4383870
6-Jul-16,72.27,72.95,71.86,72.56,7086835
5-Jul-16,71.88,72.66,71.73,72.11,4806000
1-Jul-16,71.19,72.19,70.86,71.94,6075907
30-Jun-16,68.00,71.78,68.00,71.32,12379965
29-Jun-16,66.17,67.91,65.64,67.86,7759723
28-Jun-16,66.25,66.25,65.16,65.76,4961415
27-Jun-16,65.83,66.40,65.63,66.19,4253930
24-Jun-16,65.66,66.85,65.41,66.14,4836035
23-Jun-16,66.75,66.88,66.26,66.77,2107826
22-Jun-16,66.59,66.79,66.20,66.40,2630163
21-Jun-16,66.07,66.66,65.99,66.52,3132768
20-Jun-16,65.97,66.41,65.87,65.88,2321721
17-Jun-16,65.63,65.82,65.09,65.81,3331338
16-Jun-16,64.84,65.79,64.77,65.78,2147133
15-Jun-16,64.97,65.25,64.71,64.89,2042380
14-Jun-16,64.64,65.12,64.29,65.04,2671354
13-Jun-16,65.02,65.49,64.73,64.85,2407791
10-Jun-16,65.06,65.50,65.01,65.41,2677096
9-Jun-16,64.43,65.39,64.35,65.34,2460658
8-Jun-16,64.00,64.49,63.83,64.42,2323243
7-Jun-16,63.68,64.17,63.63,64.02,2000482
6-Jun-16,63.66,63.89,63.27,63.58,1649263
3-Jun-16,63.20,63.84,63.19,63.69,1979859
2-Jun-16,63.07,63.26,62.84,63.23,1593647
1-Jun-16,62.77,63.33,62.65,63.17,2538495
31-May-16,62.96,63.34,62.55,62.78,3160725
27-May-16,62.71,63.23,62.65,62.87,1633929
26-May-16,62.53,63.12,62.42,62.87,1776281
25-May-16,62.51,62.74,62.20,62.36,2631176
24-May-16,61.69,62.72,61.60,62.40,4196091
23-May-16,62.55,63.03,62.49,62.70,2127054
20-May-16,62.91,62.91,62.28,62.45,3313346
19-May-16,62.28,62.95,62.06,62.92,2576866
18-May-16,62.72,62.82,61.93,62.39,3032496
17-May-16,64.30,64.43,62.74,62.99,3318437
16-May-16,64.39,64.79,64.23,64.57,2274536
13-May-16,64.61,65.11,64.17,64.52,2679848
12-May-16,64.13,64.78,64.08,64.72,2563760
11-May-16,63.73,64.37,63.70,64.01,3443699
10-May-16,62.88,63.80,62.73,63.73,3244366
9-May-16,62.21,62.88,62.00,62.73,2418825
6-May-16,62.07,62.27,61.46,62.11,2271929
5-May-16,61.80,62.29,61.78,62.08,3084778
4-May-16,61.33,62.06,61.21,61.74,2647870
3-May-16,61.92,62.20,61.47,61.65,2726610
2-May-16,61.59,62.36,61.52,62.22,2848484
29-Apr-16,61.06,61.47,60.89,61.34,2702807
28-Apr-16,60.70,61.66,60.39,61.26,2166067
27-Apr-16,60.90,61.47,60.57,61.13,2684836
26-Apr-16,61.12,61.28,60.58,60.71,2163994
25-Apr-16,60.45,61.26,60.35,61.09,2258660
22-Apr-16,60.23,60.59,60.04,60.56,3207147
21-Apr-16,61.58,61.66,60.10,60.12,3570000
20-Apr-16,62.37,62.37,61.60,61.64,2463838
19-Apr-16,62.70,62.74,62.04,62.38,2135056
18-Apr-16,62.43,62.62,62.11,62.53,3164892
15-Apr-16,62.24,62.47,61.95,62.45,2956869
14-Apr-16,62.68,62.82,62.06,62.11,2687294
13-Apr-16,63.45,63.52,62.50,62.69,2557019
12-Apr-16,63.12,63.59,62.97,63.46,3606359
11-Apr-16,63.42,63.68,62.71,62.88,3291991
8-Apr-16,63.20,63.44,62.92,63.30,3470930
7-Apr-16,63.14,63.56,62.78,63.12,4433250
6-Apr-16,64.42,64.49,63.79,64.14,5109984
5-Apr-16,65.37,65.49,64.22,64.28,4834651
4-Apr-16,65.00,65.38,64.14,65.36,6172735
1-Apr-16,62.90,65.00,62.90,64.96,7433866
31-Mar-16,63.21,63.73,63.21,63.35,8874334
30-Mar-16,63.36,63.47,62.56,63.31,4861181
29-Mar-16,61.92,63.15,61.80,62.94,6390594
28-Mar-16,61.45,62.15,61.45,61.88,3404431
24-Mar-16,60.80,61.89,60.67,61.36,4916756
23-Mar-16,60.53,61.36,60.14,61.01,5258419
22-Mar-16,61.11,61.22,60.59,60.79,4220120
21-Mar-16,61.55,61.66,60.99,61.30,4668695
18-Mar-16,61.81,61.82,61.36,61.79,8662821
17-Mar-16,61.57,62.07,61.30,61.78,3229289
16-Mar-16,61.11,61.58,60.50,61.39,2457590
15-Mar-16,60.64,61.31,60.29,61.24,2387435
14-Mar-16,60.99,61.06,60.70,60.89,1920345
11-Mar-16,60.89,61.26,60.70,61.06,2770818
10-Mar-16,60.59,60.74,60.04,60.53,2638767
9-Mar-16,60.11,60.92,60.03,60.44,3051396
8-Mar-16,59.33,60.10,59.22,59.95,3324378
7-Mar-16,59.80,60.00,59.41,59.62,2241635
4-Mar-16,59.71,60.24,59.55,60.20,2667312
