Date,Open,High,Low,Close,Volume
28-Apr-17,28.99,29.00,28.77,28.85,7706994
27-Apr-17,28.46,29.08,28.45,29.02,10145258
26-Apr-17,28.63,28.63,28.20,28.39,7572848
25-Apr-17,28.11,28.73,27.85,28.54,13817000
24-Apr-17,27.38,27.64,27.28,27.52,9714207
21-Apr-17,27.06,27.15,26.83,27.02,6434143
20-Apr-17,26.97,27.22,26.90,27.11,7306353
19-Apr-17,27.00,27.22,26.73,26.86,6028907
18-Apr-17,26.48,27.29,26.43,26.89,12790025
17-Apr-17,26.44,26.60,26.39,26.54,3965260
13-Apr-17,26.45,26.66,26.32,26.32,4005085
12-Apr-17,27.02,27.07,26.39,26.48,5305979
11-Apr-17,26.77,26.90,26.59,26.85,4397595
10-Apr-17,26.81,27.04,26.66,26.79,4847615
7-Apr-17,26.72,26.94,26.69,26.81,4338762
6-Apr-17,26.70,26.98,26.59,26.78,4407184
5-Apr-17,27.00,27.16,26.66,26.70,5351647
4-Apr-17,26.83,27.06,26.76,26.79,3849540
3-Apr-17,27.07,27.19,26.60,26.84,7317319
31-Mar-17,27.32,27.37,26.84,27.00,9246305
30-Mar-17,27.43,27.86,27.43,27.56,5690214
29-Mar-17,27.50,27.60,27.40,27.48,3466647
28-Mar-17,27.40,27.68,27.31,27.55,4867690
27-Mar-17,27.11,27.48,26.86,27.41,4429595
24-Mar-17,27.44,27.58,27.26,27.41,4461895
23-Mar-17,27.33,27.56,27.28,27.34,5355395
22-Mar-17,26.87,27.45,26.87,27.35,5619910
21-Mar-17,27.41,27.68,26.79,26.87,6172194
20-Mar-17,27.31,27.54,27.25,27.30,4685226
17-Mar-17,27.30,27.31,27.17,27.24,9728535
16-Mar-17,27.42,27.49,27.24,27.28,4881951
15-Mar-17,27.00,27.41,26.97,27.23,6139038
14-Mar-17,27.22,27.23,26.80,26.85,8448541
13-Mar-17,27.59,27.75,27.55,27.71,4073586
10-Mar-17,27.59,27.80,27.51,27.56,5828197
9-Mar-17,27.66,27.73,27.51,27.57,4568362
8-Mar-17,27.81,27.88,27.56,27.62,4986412
7-Mar-17,27.75,27.84,27.65,27.72,5256900
6-Mar-17,27.74,27.80,27.61,27.72,5651767
3-Mar-17,27.80,28.02,27.77,27.88,4706013
2-Mar-17,28.12,28.16,27.87,27.88,4837345
1-Mar-17,27.86,28.36,27.85,28.20,8173605
28-Feb-17,27.55,27.67,27.39,27.61,9030642
27-Feb-17,27.57,27.74,27.41,27.65,5252408
24-Feb-17,27.27,27.74,27.12,27.73,5297979
23-Feb-17,27.74,27.83,27.47,27.56,5658575
22-Feb-17,27.61,27.84,27.59,27.74,7972391
21-Feb-17,27.66,27.89,27.66,27.73,6207146
17-Feb-17,27.63,27.67,27.34,27.65,4456285
16-Feb-17,27.40,27.88,27.38,27.71,9934879
15-Feb-17,27.15,27.50,27.14,27.36,7288032
14-Feb-17,26.71,27.24,26.68,27.24,8983599
13-Feb-17,26.52,26.92,26.31,26.73,7050861
10-Feb-17,26.80,26.85,26.62,26.70,5809615
9-Feb-17,26.51,26.87,26.50,26.80,6048308
8-Feb-17,26.60,26.62,26.46,26.48,4848089
7-Feb-17,26.73,26.84,26.56,26.59,5555172
6-Feb-17,26.60,26.75,26.51,26.71,5171723
3-Feb-17,26.47,26.80,26.45,26.73,7144135
2-Feb-17,26.15,26.40,26.04,26.38,5987155
1-Feb-17,26.29,26.49,25.97,26.21,9607376
31-Jan-17,26.67,26.68,26.19,26.49,8965231
30-Jan-17,26.58,26.66,26.34,26.65,9411331
27-Jan-17,26.51,26.95,26.47,26.68,8604282
26-Jan-17,26.61,26.73,26.18,26.55,12557496
25-Jan-17,26.14,26.99,26.14,26.68,14941781
24-Jan-17,25.23,26.23,24.65,26.18,21332629
23-Jan-17,24.79,24.92,24.62,24.77,10441110
20-Jan-17,24.54,24.93,24.54,24.79,6958789
19-Jan-17,24.56,24.68,24.36,24.42,4544390
18-Jan-17,24.30,24.58,24.25,24.56,5860684
17-Jan-17,24.70,24.70,24.13,24.19,6138549
13-Jan-17,24.60,24.86,24.55,24.84,3849630
12-Jan-17,24.62,24.64,24.18,24.53,4506337
11-Jan-17,24.44,24.74,24.42,24.67,4988649
10-Jan-17,24.52,24.77,24.40,24.49,7040668
9-Jan-17,24.59,24.74,24.46,24.47,6682485
6-Jan-17,24.38,24.64,24.29,24.52,5554076
5-Jan-17,24.37,24.69,24.30,24.31,7228474
4-Jan-17,24.38,24.64,24.38,24.46,6486427
