Date,Open,High,Low,Close,Volume
28-Apr-17,93.35,93.35,91.18,92.02,1551845
27-Apr-17,93.35,93.89,92.89,93.33,745383
26-Apr-17,93.58,93.89,92.91,93.13,665858
25-Apr-17,94.11,94.59,93.02,93.29,636835
24-Apr-17,93.97,93.97,92.66,93.60,938166
21-Apr-17,92.90,93.52,92.60,93.11,723131
20-Apr-17,92.15,93.18,92.11,92.90,984480
19-Apr-17,92.89,94.99,91.52,91.91,1909153
18-Apr-17,89.81,90.72,89.31,90.14,1084008
17-Apr-17,89.12,90.13,89.12,90.10,811287
13-Apr-17,89.29,90.05,88.88,88.94,615108
12-Apr-17,90.15,90.23,89.18,89.42,712477
11-Apr-17,89.68,90.61,89.35,90.61,693828
10-Apr-17,90.00,91.05,89.73,89.79,690427
7-Apr-17,90.08,90.61,89.83,89.86,413270
6-Apr-17,90.33,90.65,89.66,90.32,585492
5-Apr-17,90.21,91.27,89.93,90.23,810950
4-Apr-17,90.05,90.66,89.76,90.03,910740
3-Apr-17,92.50,92.50,89.23,90.34,1301207
31-Mar-17,92.29,93.28,91.93,92.41,685362
30-Mar-17,92.61,93.71,92.04,92.34,506424
29-Mar-17,92.97,93.47,92.29,92.67,893761
28-Mar-17,92.36,93.43,92.10,93.10,516630
27-Mar-17,92.31,92.84,92.06,92.76,456348
24-Mar-17,93.51,93.76,92.66,92.84,530749
23-Mar-17,93.36,93.82,92.71,93.45,511852
22-Mar-17,93.36,93.55,92.70,93.47,522926
21-Mar-17,94.65,94.65,93.00,93.30,691086
20-Mar-17,94.95,94.95,94.12,94.33,460571
17-Mar-17,94.58,95.00,93.99,94.90,1293997
16-Mar-17,94.40,94.73,93.89,94.27,410968
15-Mar-17,94.20,94.52,93.58,93.96,828823
14-Mar-17,93.95,94.36,93.67,94.06,487155
13-Mar-17,93.21,94.22,92.87,94.14,818187
10-Mar-17,93.30,93.60,92.77,93.21,651082
9-Mar-17,93.26,93.36,92.81,92.95,769596
8-Mar-17,92.81,93.59,92.77,93.15,557036
7-Mar-17,94.03,94.16,93.44,93.52,544706
6-Mar-17,94.36,94.69,94.00,94.18,662079
3-Mar-17,95.88,95.99,94.37,94.70,784029
2-Mar-17,96.50,96.52,95.66,95.87,606840
1-Mar-17,96.54,97.26,96.23,96.57,709490
28-Feb-17,95.83,96.05,95.28,95.71,760142
27-Feb-17,96.28,96.71,95.59,96.18,666432
24-Feb-17,94.69,96.28,94.60,96.25,672814
23-Feb-17,95.99,95.99,94.88,95.00,1009361
22-Feb-17,96.98,97.42,95.87,95.99,904877
21-Feb-17,100.60,100.90,96.35,97.67,1522874
17-Feb-17,99.05,100.67,98.96,100.67,902326
16-Feb-17,100.23,100.62,98.52,99.23,707776
15-Feb-17,99.60,100.12,99.40,100.12,487911
14-Feb-17,98.96,99.97,98.89,99.66,493530
13-Feb-17,100.00,100.25,99.06,99.89,523424
10-Feb-17,99.74,99.92,98.94,99.78,483387
9-Feb-17,99.02,100.10,98.91,99.67,532167
8-Feb-17,96.99,99.07,96.89,99.04,866152
7-Feb-17,97.30,97.75,96.53,96.97,372891
6-Feb-17,96.97,97.81,96.81,97.21,463151
3-Feb-17,96.75,97.51,96.53,97.14,476428
2-Feb-17,96.36,97.06,96.07,96.62,366601
1-Feb-17,96.89,97.86,95.80,96.34,607340
31-Jan-17,96.74,97.43,95.83,96.81,680594
30-Jan-17,96.79,97.11,95.74,97.08,609822
27-Jan-17,97.55,97.61,96.32,96.67,655244
26-Jan-17,97.44,98.04,96.21,97.14,837562
25-Jan-17,97.40,98.17,97.20,97.81,638211
24-Jan-17,96.51,97.36,96.07,96.92,915694
23-Jan-17,97.82,98.19,95.67,96.25,1251744
20-Jan-17,99.34,100.03,98.96,99.74,665003
19-Jan-17,99.27,100.40,98.33,99.11,774123
18-Jan-17,97.43,99.58,97.16,99.29,860968
17-Jan-17,98.22,98.98,96.94,97.56,698817
13-Jan-17,98.15,99.04,98.15,98.57,504117
12-Jan-17,97.31,98.21,96.49,98.09,547022
11-Jan-17,97.12,97.59,96.74,97.48,468914
10-Jan-17,96.10,97.70,95.68,97.28,470447
9-Jan-17,96.13,96.49,95.56,96.05,607713
6-Jan-17,96.66,96.79,96.09,96.16,400212
5-Jan-17,96.38,96.73,95.72,96.67,414556
4-Jan-17,96.19,97.12,95.95,97.12,542945
3-Jan-17,96.42,96.54,94.42,95.63,648032
30-Dec-16,96.67,96.94,94.88,95.54,610757
29-Dec-16,96.40,96.80,95.93,96.45,374363
28-Dec-16,97.79,97.85,96.33,96.37,345105
27-Dec-16,96.90,97.74,96.90,97.58,259245
23-Dec-16,96.78,97.57,96.68,96.90,251434
22-Dec-16,97.94,97.98,96.08,96.57,511519
21-Dec-16,98.51,99.13,97.82,97.83,437518
20-Dec-16,98.99,99.41,98.39,98.72,437652
19-Dec-16,98.24,98.78,97.70,98.56,426126
16-Dec-16,98.40,99.12,97.64,97.98,762910
15-Dec-16,97.76,98.90,97.44,98.15,539532
14-Dec-16,99.47,99.92,97.77,97.92,768569
13-Dec-16,98.55,99.92,98.08,99.82,938733
12-Dec-16,98.44,98.55,97.38,98.21,661533
9-Dec-16,98.59,99.34,97.90,98.63,747859
8-Dec-16,99.51,99.79,98.34,98.85,617097
7-Dec-16,97.11,99.87,97.01,99.81,578544
6-Dec-16,97.38,97.97,96.62,97.49,611575
5-Dec-16,96.25,97.81,96.23,97.35,587354
2-Dec-16,96.30,97.01,95.52,95.75,506354
1-Dec-16,96.16,97.58,96.06,96.22,709134
30-Nov-16,96.45,97.34,96.21,96.23,1032936
29-Nov-16,97.05,97.32,96.29,96.55,501659
28-Nov-16,97.59,97.95,96.59,97.05,614455
25-Nov-16,97.41,98.05,96.89,97.90,227152
23-Nov-16,96.89,97.86,96.87,97.31,519982
22-Nov-16,96.36,97.34,95.98,97.17,502375
21-Nov-16,94.69,96.29,94.57,95.96,645298
18-Nov-16,94.50,94.87,93.98,94.55,1038931
17-Nov-16,95.44,95.44,94.23,94.60,873470
16-Nov-16,95.75,96.40,94.75,95.35,588220
15-Nov-16,96.36,97.32,95.05,96.08,844658
14-Nov-16,94.78,96.49,94.66,96.15,1108346
11-Nov-16,93.13,94.78,93.13,94.62,822189
10-Nov-16,90.59,94.57,90.59,93.50,1935038
9-Nov-16,87.16,90.26,86.61,90.18,1001240
8-Nov-16,88.50,88.93,88.04,88.71,631228
7-Nov-16,88.98,88.98,87.96,88.63,865374
4-Nov-16,88.18,88.70,87.58,87.67,659861
3-Nov-16,88.63,88.88,87.68,87.91,672952
2-Nov-16,88.87,89.43,88.14,88.44,755327
1-Nov-16,90.87,90.87,88.50,89.00,754954
31-Oct-16,90.09,90.71,89.60,90.59,751761
28-Oct-16,89.34,90.71,89.28,89.84,598729
27-Oct-16,91.38,91.38,89.11,89.15,904933
26-Oct-16,90.30,91.17,90.19,91.06,568277
25-Oct-16,90.51,90.96,90.25,90.49,833523
24-Oct-16,91.15,91.86,90.75,91.02,784133
21-Oct-16,88.86,90.77,88.51,90.59,1178741
20-Oct-16,91.80,91.87,88.81,89.51,1405072
19-Oct-16,92.70,94.55,90.58,92.12,2775096
