Date,Open,High,Low,Close,Volume
28-Apr-17,26.30,26.33,25.93,26.20,4237794
27-Apr-17,26.72,26.72,26.11,26.35,3225337
26-Apr-17,26.13,26.43,26.05,26.25,4196981
25-Apr-17,26.15,26.15,25.66,25.92,3661605
24-Apr-17,25.90,26.16,25.60,25.87,6928165
21-Apr-17,25.50,25.65,25.09,25.61,5135667
20-Apr-17,24.80,25.44,24.68,25.42,10134376
19-Apr-17,24.00,24.58,23.90,24.22,4467428
18-Apr-17,23.84,24.05,23.70,23.92,3303216
17-Apr-17,24.00,24.08,23.64,23.89,5247719
13-Apr-17,24.27,24.38,23.68,23.69,5198242
12-Apr-17,24.52,24.59,24.26,24.30,2775099
11-Apr-17,24.33,24.50,23.95,24.50,4455302
10-Apr-17,24.17,24.71,24.15,24.30,3706129
7-Apr-17,23.99,24.42,23.94,24.03,5510337
6-Apr-17,23.17,24.28,23.17,24.05,8255618
5-Apr-17,23.32,23.51,22.88,22.90,4433021
4-Apr-17,23.63,23.66,22.89,23.19,5835942
3-Apr-17,24.04,24.09,23.56,23.71,5706249
31-Mar-17,24.33,24.71,24.26,24.29,5914449
30-Mar-17,24.62,24.91,24.24,24.45,8093925
29-Mar-17,23.92,24.86,23.81,24.72,8733740
28-Mar-17,23.29,23.81,23.11,23.78,3147277
27-Mar-17,23.02,23.61,23.02,23.28,3832075
24-Mar-17,23.25,23.34,23.03,23.27,3499238
23-Mar-17,23.60,23.88,23.25,23.30,5329021
22-Mar-17,22.80,23.09,22.44,23.07,3797530
21-Mar-17,23.48,23.50,22.25,22.82,8748512
20-Mar-17,24.11,24.17,23.36,23.46,4613887
17-Mar-17,24.04,24.16,23.80,24.10,5292713
16-Mar-17,23.84,24.05,23.67,23.93,2831626
15-Mar-17,23.83,23.95,23.47,23.87,4262297
14-Mar-17,23.54,23.72,23.22,23.70,3672041
13-Mar-17,24.27,24.39,23.46,23.54,4982184
10-Mar-17,24.28,24.46,24.06,24.27,3164699
9-Mar-17,24.12,24.32,23.96,24.13,4028909
8-Mar-17,24.20,24.39,24.04,24.23,6191111
7-Mar-17,24.31,24.59,24.15,24.18,5170021
6-Mar-17,24.66,24.76,24.06,24.39,3903530
3-Mar-17,25.15,25.31,24.49,24.69,5637868
2-Mar-17,24.48,25.44,24.30,25.13,7633469
1-Mar-17,24.94,25.06,23.97,24.33,7022427
28-Feb-17,25.05,25.14,24.43,24.82,6799418
27-Feb-17,24.69,25.34,24.56,25.20,5770746
24-Feb-17,24.30,25.11,23.20,24.70,11850724
23-Feb-17,24.60,24.64,23.88,23.97,8066664
22-Feb-17,25.14,25.26,24.54,24.87,4689969
21-Feb-17,24.78,25.20,24.60,25.03,5801731
17-Feb-17,23.90,24.54,23.73,24.47,4207658
16-Feb-17,24.40,24.53,23.91,24.06,4063133
15-Feb-17,24.21,24.40,23.86,24.39,5208610
14-Feb-17,23.64,24.20,23.55,24.20,4362823
13-Feb-17,24.36,24.38,23.44,23.63,5820464
10-Feb-17,24.10,24.65,24.06,24.36,6018798
9-Feb-17,23.11,24.10,23.06,23.97,6108541
8-Feb-17,22.78,23.39,22.51,23.31,3901926
7-Feb-17,22.88,23.10,22.66,22.74,5876349
6-Feb-17,22.93,23.14,22.83,22.98,6217640
3-Feb-17,22.91,23.48,22.72,22.97,5383476
2-Feb-17,22.62,23.07,22.41,22.79,4624828
1-Feb-17,23.12,23.17,22.14,22.53,8156475
31-Jan-17,22.53,23.08,22.03,23.03,8935945
