Date,Open,High,Low,Close,Volume
28-Apr-17,51.23,51.32,50.51,50.84,1233200
27-Apr-17,50.76,51.34,50.46,51.21,977027
26-Apr-17,50.47,50.79,49.63,50.57,1894160
25-Apr-17,50.39,50.83,50.21,50.74,1076948
24-Apr-17,50.39,50.55,50.02,50.29,1130818
21-Apr-17,50.14,50.26,49.82,49.95,711239
20-Apr-17,49.73,50.09,49.59,49.98,946650
19-Apr-17,49.48,49.82,49.42,49.58,893244
18-Apr-17,49.00,49.34,48.87,49.26,726062
17-Apr-17,48.81,48.99,48.50,48.98,859357
13-Apr-17,49.22,49.60,48.60,48.69,1049248
12-Apr-17,50.01,50.08,49.18,49.29,788128
11-Apr-17,50.58,50.67,49.82,49.99,1199843
10-Apr-17,50.37,50.97,50.33,50.54,763880
7-Apr-17,50.10,50.62,50.05,50.37,957109
6-Apr-17,49.89,50.38,49.66,50.08,587846
5-Apr-17,50.01,50.44,49.76,49.82,783789
4-Apr-17,50.28,50.34,49.77,49.99,980119
3-Apr-17,51.19,51.41,50.00,50.24,789489
31-Mar-17,50.96,51.41,50.82,51.11,735150
30-Mar-17,50.95,51.29,50.63,51.09,716044
29-Mar-17,51.06,51.29,50.70,50.96,768076
28-Mar-17,50.84,51.21,50.28,51.01,1035144
27-Mar-17,50.61,51.12,50.20,50.77,935522
24-Mar-17,51.51,51.75,50.91,51.10,690763
23-Mar-17,51.28,51.79,51.23,51.48,837621
22-Mar-17,51.69,51.73,50.91,51.21,740321
21-Mar-17,52.73,52.86,51.41,51.52,941514
20-Mar-17,52.45,52.84,52.22,52.65,916897
17-Mar-17,52.47,52.73,51.99,52.36,3170791
16-Mar-17,52.00,52.41,51.67,52.36,863706
15-Mar-17,51.46,52.12,51.11,51.90,938884
14-Mar-17,51.78,51.92,51.05,51.42,1058621
13-Mar-17,52.10,52.34,51.64,51.85,1007386
10-Mar-17,51.92,52.65,51.82,52.51,1072845
9-Mar-17,51.98,52.33,51.72,52.11,923909
8-Mar-17,51.61,52.07,51.27,51.99,1044934
7-Mar-17,51.78,51.98,51.30,51.51,1035138
6-Mar-17,51.83,52.18,51.49,51.76,1267141
3-Mar-17,51.66,51.85,51.28,51.52,579832
2-Mar-17,52.40,52.40,51.71,51.72,801522
1-Mar-17,52.36,52.56,51.65,52.34,1106924
28-Feb-17,52.49,52.75,51.17,51.61,1546035
27-Feb-17,53.01,53.01,51.96,52.61,1175579
24-Feb-17,52.18,53.09,51.65,53.03,1299733
23-Feb-17,54.50,54.91,52.21,52.31,2547240
22-Feb-17,54.30,55.74,53.11,54.15,10284795
21-Feb-17,50.82,51.47,50.30,50.45,3161630
17-Feb-17,50.69,51.09,50.45,50.81,1309677
16-Feb-17,50.73,50.96,50.50,50.95,965817
15-Feb-17,50.24,50.84,50.05,50.82,1008501
14-Feb-17,50.32,50.45,50.01,50.25,772351
13-Feb-17,50.00,50.87,49.78,50.34,849307
10-Feb-17,49.10,50.06,49.00,49.78,913743
9-Feb-17,48.75,49.26,48.68,49.13,738913
8-Feb-17,49.50,49.50,48.62,48.85,1492989
7-Feb-17,50.35,50.50,49.42,49.53,1040013
6-Feb-17,49.34,50.31,49.34,50.26,1325623
3-Feb-17,49.77,50.04,49.51,49.84,1306465
2-Feb-17,48.20,49.82,48.11,49.80,1886281
1-Feb-17,48.42,48.72,47.80,48.13,1377064
31-Jan-17,47.47,48.31,47.03,48.29,4925376
30-Jan-17,48.73,48.73,47.15,47.35,1757037
27-Jan-17,49.11,49.26,48.71,49.00,858873
26-Jan-17,49.79,49.90,49.04,49.08,1070672
25-Jan-17,49.03,49.91,49.03,49.75,1434700
24-Jan-17,48.64,49.12,48.22,49.08,1250331
23-Jan-17,47.92,48.26,47.72,48.18,1215502
20-Jan-17,47.74,48.07,47.40,47.87,869417
19-Jan-17,47.83,48.17,47.46,47.61,594272
18-Jan-17,47.93,48.19,47.67,47.76,754164
17-Jan-17,48.45,48.64,47.70,47.94,743638
13-Jan-17,48.56,48.84,48.34,48.52,754525
12-Jan-17,48.03,48.63,47.72,48.37,895519
11-Jan-17,47.74,48.28,47.74,48.26,917141
10-Jan-17,48.06,48.36,47.66,47.93,1461518
9-Jan-17,49.02,49.04,48.07,48.09,1507149
6-Jan-17,49.39,49.79,48.84,49.04,1013822
5-Jan-17,49.82,49.82,49.05,49.49,886877
4-Jan-17,49.25,50.05,49.25,49.83,1524929
3-Jan-17,48.53,49.36,48.53,49.19,1146335
30-Dec-16,49.13,49.32,48.40,48.49,750711
29-Dec-16,49.17,49.44,48.81,49.01,951729
28-Dec-16,50.36,50.45,49.17,49.22,946131
27-Dec-16,50.65,51.06,50.10,50.65,1050225
23-Dec-16,50.48,50.69,50.01,50.47,616983
22-Dec-16,50.18,50.70,50.00,50.44,1018357
21-Dec-16,49.71,50.19,49.64,50.05,751147
20-Dec-16,49.39,49.76,49.18,49.74,754478
19-Dec-16,48.99,49.50,48.83,49.39,962624
16-Dec-16,49.55,49.88,48.63,48.99,2987129
15-Dec-16,49.05,49.82,49.02,49.50,1374578
14-Dec-16,49.83,50.64,48.85,48.89,1452539
13-Dec-16,49.67,50.32,49.37,49.71,1683508
12-Dec-16,49.22,49.94,49.22,49.65,960836
9-Dec-16,51.60,51.81,49.20,50.02,2172545
8-Dec-16,51.66,52.24,51.50,51.56,1123990
7-Dec-16,51.47,51.90,51.14,51.66,1493717
6-Dec-16,52.23,52.65,51.33,51.52,1313424
5-Dec-16,51.85,52.23,51.60,52.13,833270
2-Dec-16,51.37,51.71,51.31,51.51,955076
1-Dec-16,52.14,52.55,51.38,51.54,961030
30-Nov-16,52.46,52.66,52.11,52.16,1433526
29-Nov-16,52.82,52.98,51.91,51.99,1321563
28-Nov-16,52.73,53.57,52.61,52.87,1552565
25-Nov-16,52.55,52.91,52.40,52.79,285468
23-Nov-16,52.66,53.01,52.27,52.53,605141
22-Nov-16,52.48,52.77,52.14,52.69,913618
21-Nov-16,51.94,52.27,51.68,52.18,682124
18-Nov-16,51.98,51.98,51.64,51.71,619096
17-Nov-16,52.92,52.98,51.89,52.01,918876
16-Nov-16,52.59,52.70,52.20,52.65,950531
15-Nov-16,52.24,52.80,51.96,52.72,2159971
14-Nov-16,50.02,52.48,50.02,52.24,2573462
11-Nov-16,49.47,49.99,49.36,49.95,727392
10-Nov-16,49.20,49.98,49.16,49.47,1118275
9-Nov-16,47.40,49.22,47.10,48.94,1027479
8-Nov-16,47.70,48.46,47.41,48.17,863444
7-Nov-16,47.85,47.98,47.42,47.88,1287522
4-Nov-16,47.35,47.78,46.80,47.01,2156560
3-Nov-16,47.96,48.45,47.09,47.38,1400466
2-Nov-16,48.98,48.98,48.02,48.12,1418764
1-Nov-16,48.49,49.02,48.49,49.00,1328131
31-Oct-16,47.89,48.41,47.88,48.36,865644
28-Oct-16,47.90,48.40,47.55,47.87,1255085
