Date,Open,High,Low,Close,Volume
28-Apr-17,35.26,36.74,35.25,36.23,4335728
27-Apr-17,35.16,35.92,34.82,35.45,3874311
26-Apr-17,35.95,36.07,35.78,35.91,3099765
25-Apr-17,36.00,36.06,35.66,35.86,1862755
24-Apr-17,35.90,36.03,35.69,35.91,1576217
21-Apr-17,35.71,35.72,35.18,35.35,2651861
20-Apr-17,35.03,35.80,34.75,35.74,3778592
19-Apr-17,34.86,35.32,34.73,34.83,2248470
18-Apr-17,34.66,34.92,34.36,34.70,2149449
17-Apr-17,34.32,34.94,34.09,34.94,2256715
13-Apr-17,34.46,34.76,34.07,34.14,2800497
12-Apr-17,35.76,35.76,34.34,34.39,4098926
11-Apr-17,35.12,35.66,34.82,35.64,2346947
10-Apr-17,35.11,35.44,34.88,35.22,1898721
7-Apr-17,35.16,35.28,34.90,35.18,1884716
6-Apr-17,34.97,35.40,34.74,35.21,2736290
5-Apr-17,34.91,35.52,34.71,34.90,3589211
4-Apr-17,35.18,35.44,34.51,34.60,4227390
3-Apr-17,36.07,36.09,33.83,35.28,2725707
31-Mar-17,35.77,36.09,35.69,36.00,4146663
30-Mar-17,35.34,35.89,35.20,35.79,2703910
29-Mar-17,36.49,36.78,36.14,36.19,1843714
28-Mar-17,36.01,36.62,35.85,36.51,2161206
27-Mar-17,35.62,36.04,35.42,35.99,2174785
24-Mar-17,36.03,36.37,35.83,35.94,1914159
23-Mar-17,35.92,36.23,35.54,35.96,1837247
22-Mar-17,35.85,36.27,35.71,35.99,2998127
21-Mar-17,36.61,36.88,35.74,35.92,2692584
20-Mar-17,36.67,36.69,36.38,36.50,1512060
17-Mar-17,36.81,36.83,36.29,36.64,4092350
16-Mar-17,36.98,37.20,36.68,36.81,1921152
15-Mar-17,36.52,37.02,36.23,36.88,2677204
14-Mar-17,35.73,36.65,35.62,36.41,2869285
13-Mar-17,35.48,36.10,35.48,35.80,1962010
10-Mar-17,35.62,35.82,35.30,35.46,1498097
9-Mar-17,35.10,35.60,34.99,35.31,2067704
8-Mar-17,35.28,35.53,35.20,35.35,1738625
7-Mar-17,35.28,35.44,35.11,35.27,2120145
6-Mar-17,35.42,35.54,35.27,35.33,2053624
3-Mar-17,36.02,36.30,35.53,35.61,2308570
2-Mar-17,35.52,36.32,35.48,36.15,3613270
1-Mar-17,35.59,36.25,35.36,35.76,2543596
28-Feb-17,35.19,35.22,34.79,35.05,3594182
27-Feb-17,35.36,35.49,35.12,35.26,2559864
24-Feb-17,34.80,35.43,34.79,35.36,3232469
23-Feb-17,36.05,36.28,35.45,35.50,3742735
22-Feb-17,36.28,36.35,35.86,35.95,3738776
21-Feb-17,36.11,36.61,36.01,36.29,3242175
17-Feb-17,35.90,36.40,35.88,36.07,3857059
16-Feb-17,36.20,36.35,35.86,36.16,2092529
15-Feb-17,35.63,36.23,35.61,36.17,3146703
14-Feb-17,35.81,36.42,35.59,35.76,5830346
13-Feb-17,33.70,35.74,33.70,35.71,7320690
10-Feb-17,33.30,33.77,33.14,33.72,3790911
9-Feb-17,32.24,33.99,32.20,33.24,5420899
8-Feb-17,31.49,32.33,31.00,32.13,5598381
7-Feb-17,32.33,32.45,31.97,32.24,4740301
6-Feb-17,31.91,32.30,31.78,32.23,3087734
3-Feb-17,32.29,32.65,31.99,32.05,3934211
2-Feb-17,31.95,32.37,31.70,32.07,2486355
1-Feb-17,32.50,32.70,31.90,32.11,3357423
31-Jan-17,31.17,32.43,31.10,32.39,3114844
30-Jan-17,31.12,31.35,30.75,31.34,1809646
27-Jan-17,31.62,31.68,30.99,31.31,3371264
26-Jan-17,31.64,31.79,31.35,31.71,2285545
25-Jan-17,31.34,31.76,31.18,31.61,2357318
24-Jan-17,30.49,31.18,30.37,31.06,2572936
23-Jan-17,30.43,30.56,30.23,30.45,1768377
20-Jan-17,30.54,30.94,30.22,30.52,2043735
19-Jan-17,30.55,30.61,30.22,30.39,1892125
18-Jan-17,30.93,30.98,30.38,30.54,2443346
17-Jan-17,30.49,31.16,30.43,30.81,1914224
13-Jan-17,30.55,30.79,30.53,30.74,1597756
12-Jan-17,31.00,31.07,30.10,30.59,3285652
11-Jan-17,32.11,32.27,31.06,31.18,4825138
10-Jan-17,31.78,32.34,31.66,32.07,1923389
9-Jan-17,31.85,32.20,31.69,31.84,2779567
6-Jan-17,31.69,31.99,31.21,31.84,2152417
5-Jan-17,31.82,32.05,31.45,31.49,1971327
4-Jan-17,31.28,32.02,31.17,32.00,2897082
3-Jan-17,31.04,31.83,30.95,31.19,2704661
30-Dec-16,31.23,31.37,30.61,30.87,1929402
29-Dec-16,31.25,31.61,31.01,31.13,1185514
28-Dec-16,32.00,32.15,31.16,31.20,1373216
27-Dec-16,31.69,31.97,31.69,31.89,847020
23-Dec-16,31.56,31.80,31.38,31.64,1195631
22-Dec-16,32.20,32.20,31.40,31.50,1639141
21-Dec-16,32.16,32.30,31.99,32.06,2219237
20-Dec-16,32.17,32.47,31.94,32.13,2420608
19-Dec-16,32.45,32.48,31.76,32.03,3741670
16-Dec-16,32.99,33.24,32.27,32.34,4860244
15-Dec-16,32.40,33.08,31.91,32.99,2947055
14-Dec-16,33.01,33.11,32.41,32.44,4033726
13-Dec-16,32.58,33.36,32.58,33.21,3677089
12-Dec-16,33.00,33.04,32.25,32.45,4219628
9-Dec-16,31.76,32.27,31.50,32.18,2685804
8-Dec-16,31.31,31.96,31.15,31.89,2258633
7-Dec-16,30.06,31.60,30.01,31.46,5304338
6-Dec-16,30.22,30.27,29.56,29.98,5693398
5-Dec-16,29.95,30.44,29.77,30.14,2633634
2-Dec-16,30.55,30.91,29.75,29.77,2702343
1-Dec-16,30.75,31.64,30.50,30.52,3809252
30-Nov-16,31.15,31.17,30.57,30.69,3491525
29-Nov-16,30.95,31.35,30.60,31.14,2799736
28-Nov-16,31.00,31.19,30.55,30.75,2097615
25-Nov-16,31.06,31.44,30.99,31.16,1300856
23-Nov-16,30.50,31.04,30.41,30.92,2331953
22-Nov-16,30.31,30.55,29.79,30.47,3727637
21-Nov-16,30.10,30.37,29.75,29.92,3414514
18-Nov-16,30.87,30.87,30.10,30.14,2393563
17-Nov-16,30.47,30.61,30.15,30.57,2451174
16-Nov-16,30.81,30.86,30.42,30.48,3080937
15-Nov-16,30.95,31.21,30.15,30.99,4169484
14-Nov-16,29.31,30.32,29.31,30.15,4265182
11-Nov-16,29.21,29.47,29.02,29.25,2809986
10-Nov-16,28.44,29.61,28.19,29.30,6021782
9-Nov-16,27.80,28.42,27.59,28.23,4519448
8-Nov-16,27.99,28.55,27.65,28.44,2946344
7-Nov-16,28.25,28.31,27.97,28.08,2843863
4-Nov-16,27.93,28.27,27.78,27.79,3258167
3-Nov-16,27.89,28.29,27.75,27.91,2801558
2-Nov-16,28.00,28.24,27.76,27.90,4839735
1-Nov-16,29.02,29.27,27.50,27.94,5475099
31-Oct-16,28.39,29.41,28.39,29.03,4956323
28-Oct-16,27.54,28.91,26.82,28.29,12483756
27-Oct-16,31.34,31.53,30.74,31.08,3734965
26-Oct-16,31.04,31.50,31.02,31.21,2069511
25-Oct-16,31.55,31.70,30.98,31.12,2859779
24-Oct-16,31.77,32.11,31.70,31.72,2003623
21-Oct-16,31.56,31.83,31.21,31.60,1964471
20-Oct-16,32.08,32.22,31.64,31.74,2428744
19-Oct-16,31.08,32.32,31.08,32.22,3318757
18-Oct-16,31.47,31.48,30.96,31.11,2504344
17-Oct-16,31.17,31.30,30.87,31.09,3665201
14-Oct-16,31.93,32.05,31.25,31.25,2429377
13-Oct-16,31.55,31.88,31.36,31.66,2185864
12-Oct-16,32.23,32.37,31.86,31.92,2552799
11-Oct-16,32.47,32.73,31.87,32.15,3102544
10-Oct-16,32.90,33.33,32.46,32.50,1682665
7-Oct-16,32.99,33.06,32.61,32.83,2547496
6-Oct-16,32.37,32.96,32.25,32.86,2423846
5-Oct-16,32.50,32.98,32.27,32.66,2634464
4-Oct-16,32.54,32.79,32.11,32.23,2376437
3-Oct-16,32.26,32.59,32.21,32.51,3806800
30-Sep-16,32.00,32.45,31.72,32.30,3174365
29-Sep-16,32.68,32.82,31.47,31.73,4319669
28-Sep-16,31.90,32.85,31.89,32.82,4738085
27-Sep-16,31.70,31.96,31.55,31.90,2505808
26-Sep-16,32.11,32.24,31.67,31.74,2080691
23-Sep-16,32.29,32.57,32.24,32.30,2180459
22-Sep-16,32.23,32.59,32.12,32.42,2544160
21-Sep-16,31.87,32.19,31.53,32.05,3239463
20-Sep-16,32.27,32.50,31.63,31.91,3436225
19-Sep-16,32.60,32.85,32.09,32.22,3999463
16-Sep-16,32.26,32.55,31.82,32.42,6430748
15-Sep-16,32.29,32.70,31.70,32.39,8355174
14-Sep-16,30.98,31.18,30.69,30.81,4917180
13-Sep-16,31.00,31.55,30.72,31.06,4086838
12-Sep-16,30.12,31.44,30.01,31.31,4194606
9-Sep-16,31.02,31.26,30.26,30.26,4065226
8-Sep-16,30.84,31.44,30.82,31.32,4674162
7-Sep-16,31.11,31.28,30.92,31.00,3356033
6-Sep-16,30.60,31.40,30.55,31.16,5664968
2-Sep-16,29.40,29.75,29.14,29.73,1629898
1-Sep-16,29.36,29.72,29.01,29.20,3284334
31-Aug-16,29.01,29.45,29.01,29.35,2252475
30-Aug-16,29.03,29.45,28.93,29.06,2715799
29-Aug-16,28.91,29.17,28.85,28.93,1968258
26-Aug-16,29.24,29.45,28.85,29.01,1904191
25-Aug-16,29.34,29.40,29.14,29.16,1743309
24-Aug-16,29.42,29.56,29.31,29.43,1824762
23-Aug-16,29.42,29.56,29.20,29.42,2479268
22-Aug-16,29.19,29.29,28.95,29.28,1823380
19-Aug-16,28.95,29.42,28.95,29.18,2969192
18-Aug-16,28.58,29.35,28.58,29.12,3440967
17-Aug-16,28.82,29.16,28.30,28.63,2671036
16-Aug-16,29.31,29.42,28.85,28.85,1884328
15-Aug-16,29.23,29.54,29.21,29.44,2499559
12-Aug-16,29.49,29.49,29.01,29.30,4800041
11-Aug-16,28.34,29.56,28.31,29.53,5977066
10-Aug-16,28.04,28.16,27.70,28.05,2058045
9-Aug-16,28.09,28.35,27.95,27.96,1921980
8-Aug-16,28.30,28.50,28.03,28.13,1762720
5-Aug-16,28.34,28.72,28.20,28.23,1820968
4-Aug-16,27.94,28.50,27.94,28.15,3155198
3-Aug-16,27.54,27.97,27.53,27.92,3328013
2-Aug-16,28.60,28.71,27.54,27.57,4817165
1-Aug-16,28.65,28.84,28.43,28.78,3671027
29-Jul-16,28.69,29.09,28.51,28.67,2848949
28-Jul-16,28.81,28.83,28.31,28.74,3953517
27-Jul-16,28.82,29.49,28.60,29.09,8635814
26-Jul-16,27.11,28.01,26.86,27.91,5001603
25-Jul-16,27.04,27.43,26.87,27.01,2317649
22-Jul-16,26.95,27.11,26.70,27.05,1617216
21-Jul-16,26.70,27.15,26.70,27.08,2152508
20-Jul-16,26.59,26.80,26.49,26.63,1577232
