Date,Open,High,Low,Close,Volume
28-Apr-17,193.24,193.68,190.39,192.70,1224303
27-Apr-17,194.97,195.10,192.24,193.17,911244
26-Apr-17,194.31,194.92,191.91,194.17,813179
25-Apr-17,192.83,195.13,192.50,193.36,1236136
24-Apr-17,197.69,197.69,190.38,191.90,1528623
21-Apr-17,196.10,196.76,193.55,195.15,1264657
20-Apr-17,196.21,196.94,194.28,195.96,1580769
19-Apr-17,195.95,199.65,192.50,195.35,3658206
18-Apr-17,202.67,209.60,195.32,197.57,5464976
17-Apr-17,222.58,223.78,221.81,222.97,1037098
13-Apr-17,223.98,225.99,221.25,221.50,892635
12-Apr-17,224.95,227.70,223.45,223.71,1169978
11-Apr-17,228.22,230.35,227.94,229.50,904264
10-Apr-17,229.13,231.45,228.77,229.37,942633
7-Apr-17,229.52,231.13,228.63,229.27,662119
6-Apr-17,231.82,232.87,228.99,229.81,863517
5-Apr-17,231.95,233.96,231.21,231.73,1294950
4-Apr-17,230.93,232.28,230.04,230.80,793963
3-Apr-17,232.74,234.66,229.77,231.20,1076494
31-Mar-17,233.13,234.84,230.58,232.76,697669
30-Mar-17,235.70,235.70,232.00,233.86,778437
29-Mar-17,238.85,240.89,237.71,237.75,1179158
28-Mar-17,237.50,240.70,236.22,239.19,469402
27-Mar-17,236.78,237.71,233.72,237.37,692256
24-Mar-17,241.57,242.74,238.88,239.53,387524
23-Mar-17,240.04,242.64,239.24,240.63,484264
22-Mar-17,240.15,242.43,238.17,240.00,608786
21-Mar-17,242.96,243.86,238.51,240.06,691122
20-Mar-17,244.08,244.26,241.00,242.02,562465
17-Mar-17,245.00,246.44,243.32,243.97,733058
16-Mar-17,247.60,247.98,244.49,245.08,367283
15-Mar-17,245.11,248.06,244.41,247.44,477950
14-Mar-17,244.91,245.80,243.50,244.53,540662
13-Mar-17,245.35,246.66,243.06,246.35,506634
10-Mar-17,245.00,246.56,242.93,245.16,687067
9-Mar-17,250.00,251.06,242.81,244.02,581575
8-Mar-17,250.91,252.42,249.97,250.15,594337
7-Mar-17,251.92,252.30,249.64,250.59,455070
6-Mar-17,249.07,252.86,247.69,252.31,561533
3-Mar-17,248.45,250.64,247.13,249.87,601895
2-Mar-17,251.88,252.65,247.56,248.21,589497
1-Mar-17,248.57,252.98,248.57,252.11,554639
28-Feb-17,250.23,250.98,247.32,247.96,655956
27-Feb-17,250.90,252.16,249.86,250.47,303807
24-Feb-17,247.81,250.39,246.28,250.24,470230
23-Feb-17,258.66,258.96,248.69,249.94,868836
22-Feb-17,257.08,259.00,255.89,257.43,346502
21-Feb-17,254.08,258.21,253.94,258.16,447683
17-Feb-17,254.00,255.24,253.10,254.96,282105
16-Feb-17,253.20,255.34,251.98,254.80,319411
15-Feb-17,252.95,253.86,251.83,253.17,565667
14-Feb-17,251.87,253.79,249.27,253.75,754201
13-Feb-17,255.24,256.68,253.95,254.34,430266
10-Feb-17,253.24,255.22,252.39,255.06,336978
9-Feb-17,253.83,254.94,252.03,253.00,544915
8-Feb-17,253.31,254.76,252.56,254.42,339327
7-Feb-17,253.84,256.32,252.57,253.39,537100
6-Feb-17,251.31,254.10,251.26,253.45,524903
3-Feb-17,252.92,253.76,250.87,251.60,564709
2-Feb-17,252.87,252.88,249.99,252.07,580181
1-Feb-17,253.22,254.76,251.75,253.68,508591
31-Jan-17,254.45,255.61,250.49,252.57,1009263
30-Jan-17,255.00,255.36,252.90,254.66,499179
27-Jan-17,256.93,257.56,255.09,256.39,482635
26-Jan-17,253.32,261.00,253.00,256.34,970126
25-Jan-17,251.59,262.72,251.59,253.11,1691805
24-Jan-17,246.31,250.50,246.25,249.09,701646
23-Jan-17,246.04,248.74,244.29,245.83,1065898
20-Jan-17,244.92,246.75,244.09,246.47,888181
19-Jan-17,244.13,246.22,243.19,244.17,693242
18-Jan-17,241.90,247.06,240.66,244.61,1106027
17-Jan-17,236.63,240.78,235.50,240.68,842705
13-Jan-17,236.31,237.37,235.38,237.02,513217
12-Jan-17,235.93,237.25,233.86,236.19,800058
11-Jan-17,233.74,239.04,233.74,235.95,873325
10-Jan-17,229.82,232.29,229.48,230.72,636580
9-Jan-17,231.38,232.53,229.05,230.35,509795
6-Jan-17,233.09,233.48,230.96,231.50,503975
5-Jan-17,236.15,237.42,230.18,232.26,539944
