Date,Open,High,Low,Close,Volume
28-Apr-17,47.34,47.38,45.83,45.88,7352408
27-Apr-17,46.60,46.82,45.10,46.40,12907572
26-Apr-17,46.65,47.55,46.60,46.99,7921853
25-Apr-17,46.88,47.22,46.71,47.02,8032493
24-Apr-17,47.22,47.98,46.63,46.75,11843609
21-Apr-17,47.15,47.66,46.78,47.06,13268858
20-Apr-17,47.82,48.26,47.58,47.69,6425037
19-Apr-17,48.73,48.84,47.15,47.43,9432827
18-Apr-17,48.47,48.95,48.29,48.53,4703299
17-Apr-17,48.38,48.85,48.24,48.84,5248969
13-Apr-17,49.19,49.42,48.18,48.38,6762440
12-Apr-17,50.00,50.23,49.15,49.33,7357972
11-Apr-17,49.97,50.02,49.08,50.01,6766851
10-Apr-17,49.94,50.23,49.75,49.97,5588115
7-Apr-17,50.33,50.50,49.50,49.68,6211996
6-Apr-17,50.20,50.45,49.86,50.15,5773233
5-Apr-17,50.25,51.26,49.82,49.85,12281873
4-Apr-17,49.30,49.69,48.76,49.55,6288801
3-Apr-17,49.46,49.66,48.81,49.28,6870682
31-Mar-17,49.02,49.52,48.91,49.21,6392574
30-Mar-17,49.76,49.82,48.65,49.02,11840212
29-Mar-17,48.00,49.52,47.96,49.22,10831220
28-Mar-17,47.92,48.26,47.55,48.02,10606764
27-Mar-17,48.60,48.77,47.52,47.78,14193715
24-Mar-17,49.20,50.62,49.19,49.41,9607359
23-Mar-17,49.74,50.16,49.43,49.71,5620703
22-Mar-17,49.87,50.31,49.36,49.83,7544858
21-Mar-17,51.11,51.26,49.82,50.15,7672975
20-Mar-17,50.36,50.82,49.84,50.64,7763223
17-Mar-17,51.15,51.47,50.59,50.78,8131399
16-Mar-17,51.65,51.83,50.81,50.92,7336031
15-Mar-17,50.32,51.92,49.99,51.54,9992994
14-Mar-17,50.05,50.15,48.54,49.80,13128057
13-Mar-17,51.02,51.33,50.67,50.88,6272392
10-Mar-17,51.39,51.50,50.61,50.91,7711119
9-Mar-17,50.59,50.99,49.75,50.89,14967420
8-Mar-17,52.63,53.23,51.20,51.29,14736919
7-Mar-17,53.72,53.78,52.83,52.97,7246368
6-Mar-17,53.79,54.00,53.34,53.80,5656123
3-Mar-17,54.00,54.40,53.70,53.87,4105033
2-Mar-17,54.37,54.50,53.68,53.87,5772117
1-Mar-17,53.97,55.21,53.94,54.70,7176434
28-Feb-17,53.00,53.65,52.50,53.46,6503678
27-Feb-17,52.86,53.71,52.59,53.20,6902535
24-Feb-17,52.75,53.00,52.35,52.87,6489597
