Date,Open,High,Low,Close,Volume
28-Apr-17,13.01,13.10,12.85,12.86,12050153
27-Apr-17,13.15,13.15,12.91,12.99,6528816
26-Apr-17,13.00,13.22,12.99,13.12,7703218
25-Apr-17,13.15,13.18,13.02,13.04,9917698
24-Apr-17,12.92,13.04,12.86,12.99,11841276
21-Apr-17,12.74,12.81,12.56,12.60,8948771
20-Apr-17,12.64,12.81,12.52,12.72,20334437
19-Apr-17,12.55,12.78,12.52,12.59,21970773
18-Apr-17,12.81,12.92,12.66,12.80,14466043
17-Apr-17,12.62,12.93,12.56,12.91,9116258
13-Apr-17,12.79,12.90,12.59,12.59,9686184
12-Apr-17,12.95,13.00,12.76,12.86,15162582
11-Apr-17,12.91,13.00,12.74,13.00,8248465
10-Apr-17,13.08,13.22,12.93,13.00,6331108
7-Apr-17,13.10,13.23,13.00,13.12,7942542
6-Apr-17,13.04,13.27,12.93,13.20,7684666
5-Apr-17,13.44,13.52,13.06,13.07,8066133
4-Apr-17,13.27,13.36,13.20,13.31,7911365
3-Apr-17,13.52,13.52,13.14,13.35,15629943
31-Mar-17,13.51,13.59,13.36,13.39,10820209
30-Mar-17,13.20,13.62,13.17,13.59,9723063
29-Mar-17,13.22,13.32,13.13,13.22,13044010
28-Mar-17,12.95,13.30,12.95,13.22,10633180
27-Mar-17,12.70,13.02,12.56,13.02,16548876
24-Mar-17,13.13,13.17,12.98,13.11,13203758
23-Mar-17,12.74,13.16,12.73,13.02,24181086
22-Mar-17,12.60,12.99,12.37,12.78,18859468
21-Mar-17,13.52,13.64,12.67,12.70,21459407
20-Mar-17,13.71,13.75,13.50,13.52,9308900
17-Mar-17,13.92,13.97,13.64,13.73,26068162
16-Mar-17,13.99,14.01,13.82,13.92,10064818
15-Mar-17,14.14,14.20,13.84,13.93,13096323
14-Mar-17,14.14,14.14,13.89,14.08,7603856
13-Mar-17,14.18,14.24,14.08,14.21,6303661
10-Mar-17,14.34,14.36,14.00,14.19,10345754
9-Mar-17,14.24,14.33,14.14,14.21,9858805
8-Mar-17,14.38,14.42,14.13,14.18,8919963
7-Mar-17,14.56,14.56,14.19,14.24,6513901
6-Mar-17,14.23,14.38,14.18,14.31,6991869
3-Mar-17,14.30,14.47,14.28,14.40,5936216
2-Mar-17,14.74,14.74,14.28,14.29,7967296
1-Mar-17,14.48,14.74,14.47,14.66,10392468
28-Feb-17,14.18,14.21,13.99,14.14,9723448
27-Feb-17,14.16,14.23,14.10,14.21,4843183
24-Feb-17,14.00,14.18,13.95,14.18,8740036
23-Feb-17,14.22,14.25,14.05,14.18,6013282
22-Feb-17,14.08,14.26,14.08,14.19,5587261
21-Feb-17,14.21,14.34,14.09,14.19,7918125
17-Feb-17,14.02,14.14,13.92,14.13,6958891
16-Feb-17,14.17,14.24,14.02,14.17,6351308
