Date,Open,High,Low,Close,Volume
28-Apr-17,22.35,22.35,21.78,21.81,5143393
27-Apr-17,22.15,22.38,22.02,22.37,2402925
26-Apr-17,22.04,22.18,21.87,21.98,3481296
25-Apr-17,21.88,22.01,21.75,21.96,2723452
24-Apr-17,22.02,22.15,21.62,21.78,4084968
21-Apr-17,22.13,22.14,21.58,21.69,3651344
20-Apr-17,21.67,22.16,21.63,22.14,4340672
19-Apr-17,21.34,21.93,21.29,21.68,4345570
18-Apr-17,21.26,21.30,21.07,21.26,2702830
17-Apr-17,21.40,21.40,21.17,21.33,5120441
13-Apr-17,21.34,21.80,21.01,21.26,9520632
12-Apr-17,20.85,21.15,20.77,21.11,2812088
11-Apr-17,20.80,20.92,20.68,20.85,3071404
10-Apr-17,20.82,21.24,20.78,20.79,3596947
7-Apr-17,20.70,20.94,20.58,20.82,5360788
6-Apr-17,20.36,20.90,20.35,20.72,2791884
5-Apr-17,20.23,20.57,20.07,20.34,2630463
4-Apr-17,20.62,20.65,20.04,20.24,3783699
3-Apr-17,20.79,20.85,20.55,20.70,3540663
31-Mar-17,20.75,20.85,20.54,20.76,2726936
30-Mar-17,20.92,20.97,20.61,20.71,2917959
29-Mar-17,20.67,21.10,20.50,21.09,3618698
28-Mar-17,20.25,20.89,20.23,20.84,3282319
27-Mar-17,20.19,20.72,20.14,20.46,3973244
24-Mar-17,20.31,20.57,20.04,20.42,2961294
23-Mar-17,20.28,20.47,20.23,20.32,4425420
22-Mar-17,19.98,20.23,19.84,20.21,3616254
21-Mar-17,20.23,20.27,19.76,20.12,6268750
20-Mar-17,20.37,20.41,20.04,20.19,4570505
17-Mar-17,20.51,20.52,20.10,20.28,6680206
16-Mar-17,20.33,20.66,20.22,20.51,3089448
15-Mar-17,20.19,20.40,19.92,20.33,3371736
14-Mar-17,20.22,20.53,20.17,20.26,3048261
13-Mar-17,20.02,20.16,19.94,20.15,3112793
10-Mar-17,20.04,20.20,19.85,19.97,4188144
9-Mar-17,20.29,20.29,19.97,19.99,3212762
8-Mar-17,20.00,20.28,19.89,20.22,4630336
7-Mar-17,19.92,20.26,19.80,19.98,7823534
6-Mar-17,20.43,20.58,20.22,20.43,4666812
3-Mar-17,20.46,20.67,20.30,20.54,6729701
2-Mar-17,20.29,20.49,20.17,20.35,6146247
1-Mar-17,20.12,20.22,19.85,20.10,6582909
28-Feb-17,20.64,20.79,19.96,20.01,8465068
27-Feb-17,21.01,21.25,20.41,20.65,12525949
24-Feb-17,20.93,21.53,20.80,21.38,8587251
23-Feb-17,21.16,21.48,20.88,20.92,7871465
22-Feb-17,21.09,21.33,20.97,21.27,5607265
21-Feb-17,21.02,21.25,20.84,20.98,5630290
17-Feb-17,20.77,21.02,20.71,21.02,8313718
16-Feb-17,21.17,21.31,20.76,20.85,5091554
15-Feb-17,20.81,21.20,20.73,21.13,7131568
14-Feb-17,20.66,21.12,20.66,20.85,6750365
13-Feb-17,21.02,21.04,20.37,20.45,8045167
10-Feb-17,20.37,20.92,20.28,20.85,8495744
9-Feb-17,19.95,20.50,19.95,20.24,10000452
