Date,Open,High,Low,Close,Volume
28-Apr-17,72.05,72.05,70.58,71.44,1922706
27-Apr-17,71.96,72.76,71.52,72.16,1287730
26-Apr-17,72.43,72.48,71.68,71.83,1562637
25-Apr-17,72.49,72.73,72.15,72.67,1112316
24-Apr-17,73.87,73.94,71.43,72.50,2955251
21-Apr-17,73.81,74.28,73.56,73.68,2306779
20-Apr-17,73.76,74.11,73.59,74.07,1617677
19-Apr-17,74.17,74.25,73.57,73.87,2300680
18-Apr-17,73.44,74.50,73.31,74.24,2449017
17-Apr-17,73.15,73.46,73.04,73.39,1304026
13-Apr-17,72.89,73.32,72.69,72.85,1819299
12-Apr-17,72.79,73.17,72.45,72.93,1523305
11-Apr-17,72.88,73.09,72.64,72.79,1274803
10-Apr-17,72.27,73.03,72.02,72.89,1676819
7-Apr-17,71.63,72.48,71.63,72.26,2163490
6-Apr-17,71.22,71.86,70.83,71.58,2190189
5-Apr-17,70.60,71.53,70.44,71.30,2141348
4-Apr-17,70.96,71.15,70.45,70.58,2834835
3-Apr-17,70.82,71.25,70.50,71.15,2027353
31-Mar-17,70.65,71.14,70.48,70.82,2650445
30-Mar-17,70.73,70.98,70.25,70.78,1818718
29-Mar-17,70.53,71.08,70.44,70.93,2334579
28-Mar-17,70.03,70.68,69.84,70.61,1931410
27-Mar-17,69.75,70.78,69.55,70.13,2424385
24-Mar-17,69.78,69.97,69.53,69.67,2364081
23-Mar-17,68.70,70.30,68.44,69.60,2576249
22-Mar-17,68.00,68.80,67.83,68.66,1740100
21-Mar-17,67.91,68.16,67.51,67.82,1933198
20-Mar-17,67.96,68.20,67.21,67.78,2160784
17-Mar-17,67.44,67.93,67.07,67.28,3462727
16-Mar-17,67.00,67.56,66.92,67.29,1708981
15-Mar-17,66.27,67.36,66.12,67.24,2294769
14-Mar-17,65.86,66.14,65.26,66.05,1726433
13-Mar-17,66.17,66.66,65.35,66.00,2061178
10-Mar-17,66.00,66.92,65.74,66.17,2174292
9-Mar-17,66.97,67.12,65.59,65.80,1913807
8-Mar-17,67.81,68.00,66.97,67.02,1869016
7-Mar-17,68.31,68.62,67.69,68.49,1218098
6-Mar-17,69.08,69.52,68.25,68.54,1477410
3-Mar-17,69.94,69.94,68.82,69.57,1450036
2-Mar-17,69.23,70.04,68.75,69.95,2183800
1-Mar-17,69.75,70.11,69.01,69.48,2405909
28-Feb-17,70.04,70.73,69.86,70.38,2360925
27-Feb-17,69.91,70.53,69.76,70.04,1572814
24-Feb-17,68.81,70.10,68.22,70.06,2476806
23-Feb-17,68.03,68.95,67.59,68.85,1773338
22-Feb-17,67.81,68.31,67.11,67.70,2667328
21-Feb-17,66.03,67.09,65.51,66.94,2031409
17-Feb-17,66.42,66.64,65.38,65.92,2199334
16-Feb-17,65.67,66.89,65.67,66.08,1347396
15-Feb-17,65.24,65.69,64.63,65.58,1692789
14-Feb-17,66.44,66.48,64.87,65.51,1346764
13-Feb-17,66.00,66.59,65.56,66.29,1747041
10-Feb-17,65.28,65.88,65.05,65.87,1461978
9-Feb-17,66.01,66.26,65.20,65.39,1653320
8-Feb-17,65.90,66.43,65.90,66.03,2013303
7-Feb-17,66.33,66.67,65.78,65.87,1406851
6-Feb-17,65.56,66.38,65.43,66.17,1807886
