Date,Open,High,Low,Close,Volume
28-Apr-17,156.01,156.25,154.10,156.10,4983041
27-Apr-17,154.69,156.27,153.89,156.12,5881432
26-Apr-17,153.11,154.81,152.40,154.22,5120177
25-Apr-17,152.79,154.65,152.79,153.03,5496453
24-Apr-17,151.08,152.06,150.85,151.89,5077174
21-Apr-17,148.49,150.15,148.40,150.00,5019927
20-Apr-17,147.66,149.05,147.44,148.72,3700495
19-Apr-17,147.93,148.40,147.02,147.22,3460975
18-Apr-17,147.06,148.18,146.77,147.76,2969413
17-Apr-17,145.90,147.31,145.76,147.31,3467650
13-Apr-17,146.42,147.01,145.87,145.91,2346886
12-Apr-17,147.42,147.57,146.37,146.54,4445599
11-Apr-17,147.91,148.65,147.10,148.20,2844794
10-Apr-17,146.96,149.00,146.75,148.21,5044458
7-Apr-17,147.10,147.80,146.90,147.13,2869120
6-Apr-17,147.04,147.96,147.00,147.24,2699679
5-Apr-17,146.63,148.44,146.58,146.64,3390363
4-Apr-17,146.50,146.90,146.05,146.34,3124200
3-Apr-17,146.94,147.20,146.09,146.62,3775283
31-Mar-17,146.87,147.18,146.65,146.83,3248666
30-Mar-17,146.72,147.38,146.43,146.95,2450781
29-Mar-17,146.37,147.42,145.96,147.04,3729973
28-Mar-17,147.29,147.35,145.94,147.20,4635629
27-Mar-17,147.07,147.68,146.26,146.87,2943006
24-Mar-17,147.85,150.15,147.01,147.71,4735361
23-Mar-17,147.28,148.41,147.03,147.99,3219352
22-Mar-17,146.73,147.93,146.06,147.36,3169038
21-Mar-17,148.33,148.70,146.26,146.61,4530019
20-Mar-17,149.38,149.59,147.70,147.80,5906058
17-Mar-17,149.40,149.99,148.13,149.60,9001961
16-Mar-17,148.40,149.19,148.01,148.73,3544464
15-Mar-17,147.35,148.38,146.76,147.95,3670513
14-Mar-17,147.27,147.59,146.46,147.16,3272706
13-Mar-17,147.33,147.67,146.50,147.43,2933276
10-Mar-17,147.24,147.46,146.45,146.85,3123243
9-Mar-17,147.08,147.16,146.53,146.62,3594694
