Date,Open,High,Low,Close,Volume
28-Apr-17,48.21,48.65,46.68,48.36,4074669
27-Apr-17,48.16,48.45,47.99,48.24,2909455
26-Apr-17,47.84,48.71,47.73,48.11,3354270
25-Apr-17,47.75,47.90,47.42,47.75,3391992
24-Apr-17,47.88,48.00,47.35,47.36,7786562
21-Apr-17,47.51,47.82,47.21,47.28,2368358
20-Apr-17,47.46,47.80,46.97,47.63,3478598
19-Apr-17,47.94,48.04,47.06,47.26,3265710
18-Apr-17,48.09,48.21,47.51,47.69,1825899
17-Apr-17,47.82,48.41,47.72,48.36,2379530
13-Apr-17,47.67,48.07,47.50,47.73,2885452
12-Apr-17,48.01,48.07,47.58,47.82,2641187
11-Apr-17,47.96,48.22,47.81,48.21,2255898
10-Apr-17,47.79,48.31,47.70,48.08,3121902
7-Apr-17,47.83,48.10,47.64,47.83,2290446
6-Apr-17,47.76,48.30,47.59,48.08,3126469
5-Apr-17,48.16,48.46,47.75,47.76,3826608
4-Apr-17,48.01,48.18,47.77,47.91,2105912
3-Apr-17,47.99,48.20,47.57,48.13,4493981
31-Mar-17,47.72,48.09,47.55,48.07,4264877
30-Mar-17,47.28,47.82,47.18,47.81,2115311
29-Mar-17,47.67,47.67,47.26,47.28,1748058
28-Mar-17,47.29,47.94,47.27,47.69,1971654
27-Mar-17,46.72,47.54,46.35,47.45,2303786
24-Mar-17,47.61,47.82,47.17,47.33,2633779
23-Mar-17,47.70,48.19,47.53,47.57,2210165
22-Mar-17,47.45,47.98,47.05,47.80,3167585
21-Mar-17,48.66,48.71,47.58,47.71,3912678
20-Mar-17,48.78,48.86,48.25,48.26,2313229
17-Mar-17,48.90,49.04,48.37,48.78,3606195
16-Mar-17,50.22,50.26,48.69,48.81,4711990
15-Mar-17,49.83,50.16,49.56,49.87,3535214
14-Mar-17,49.43,49.86,49.25,49.75,2278516
13-Mar-17,49.71,49.77,49.42,49.56,2339571
10-Mar-17,49.39,49.76,49.12,49.72,2980969
9-Mar-17,48.28,49.58,48.28,49.29,8601789
8-Mar-17,48.96,49.13,48.48,48.50,2210907
7-Mar-17,48.72,48.85,48.53,48.66,2019680
6-Mar-17,48.86,49.08,48.77,48.79,1705822
3-Mar-17,49.12,49.28,48.91,49.15,1940402
2-Mar-17,49.74,50.00,48.98,49.02,1704317
1-Mar-17,49.74,50.13,49.42,49.69,3378579
28-Feb-17,48.69,49.12,48.67,48.89,2609680
27-Feb-17,48.80,49.00,48.58,48.93,2318567
24-Feb-17,48.44,48.76,48.35,48.62,1155799
23-Feb-17,48.81,48.91,48.36,48.79,1993142
22-Feb-17,48.77,48.85,48.44,48.69,2696064
21-Feb-17,48.40,48.98,48.38,48.93,2598241
17-Feb-17,48.45,48.63,48.10,48.36,3492766
16-Feb-17,48.52,48.82,48.33,48.60,3004025
15-Feb-17,48.51,48.69,48.15,48.60,3058405
14-Feb-17,48.11,48.57,47.93,48.50,2540934
13-Feb-17,48.08,48.43,47.90,48.05,2967455
10-Feb-17,47.66,47.87,47.45,47.86,1985686
9-Feb-17,47.17,47.57,47.04,47.54,2619140
8-Feb-17,47.16,47.26,46.99,47.05,1648664
7-Feb-17,47.82,47.94,47.28,47.35,2274250
6-Feb-17,47.27,47.66,47.16,47.55,2457644
3-Feb-17,48.00,48.43,46.79,47.33,6982156
2-Feb-17,48.32,48.48,47.81,47.97,3137416
1-Feb-17,48.98,49.10,48.26,48.44,2560047
31-Jan-17,48.74,49.02,48.43,48.71,2427177
30-Jan-17,48.48,48.96,48.40,48.96,3207711
27-Jan-17,48.67,49.01,48.28,48.93,2015118
26-Jan-17,48.49,48.72,48.29,48.57,2573846
25-Jan-17,48.29,48.52,47.97,48.35,3711258
24-Jan-17,47.90,48.21,47.80,47.90,2141863
23-Jan-17,48.24,48.40,47.54,47.70,2369544
20-Jan-17,48.39,48.72,48.12,48.31,2707504
19-Jan-17,49.44,49.46,48.06,48.24,3474032
