Date,Open,High,Low,Close,Volume
28-Apr-17,134.75,135.00,130.94,131.14,5979521
27-Apr-17,130.34,130.51,129.43,129.88,3435269
26-Apr-17,129.35,130.83,129.14,130.10,4690873
25-Apr-17,129.96,131.34,128.69,129.30,6467846
24-Apr-17,128.35,130.74,128.35,129.79,5641035
21-Apr-17,127.08,128.30,126.10,127.08,6281886
20-Apr-17,123.45,124.60,123.03,123.77,3977938
19-Apr-17,123.80,123.80,122.64,122.74,1839833
18-Apr-17,123.20,123.69,122.69,123.08,1666135
17-Apr-17,123.00,123.43,122.40,123.43,1857408
13-Apr-17,122.93,123.48,122.49,122.50,1677698
12-Apr-17,124.66,124.76,122.97,123.15,2720524
11-Apr-17,124.43,124.79,123.61,124.54,1907241
10-Apr-17,124.26,125.17,124.23,124.46,2268070
7-Apr-17,123.97,124.47,123.59,124.27,1863748
6-Apr-17,123.74,124.33,123.34,123.83,2076723
5-Apr-17,124.53,125.12,123.50,123.57,2585632
4-Apr-17,124.47,124.74,123.85,124.18,1769145
3-Apr-17,124.73,125.23,123.29,124.33,2905336
31-Mar-17,125.11,125.55,124.70,124.87,2668599
30-Mar-17,125.13,125.72,124.99,125.41,1781085
29-Mar-17,124.96,125.48,124.77,125.30,1541348
28-Mar-17,124.21,125.80,123.54,125.28,1973829
27-Mar-17,123.77,124.83,123.05,124.50,3328324
24-Mar-17,125.59,126.03,124.28,124.77,2222343
23-Mar-17,125.61,125.98,125.13,125.52,1770321
22-Mar-17,125.87,125.94,124.53,125.50,2101627
21-Mar-17,127.06,127.30,125.41,125.66,2364198
20-Mar-17,127.00,127.17,126.31,126.50,2030784
17-Mar-17,126.85,127.32,126.30,127.16,3839754
16-Mar-17,127.48,127.48,126.22,126.36,2742746
15-Mar-17,126.33,127.52,126.00,126.97,3601263
14-Mar-17,125.04,126.59,124.12,125.71,1978016
13-Mar-17,127.12,127.35,126.49,126.73,3118116
10-Mar-17,127.12,127.36,126.49,127.04,2686511
9-Mar-17,126.54,127.23,125.74,126.19,2479484
8-Mar-17,126.41,127.21,126.02,126.59,3120125
7-Mar-17,125.97,126.41,125.58,126.26,2052846
6-Mar-17,125.11,126.56,125.02,126.08,3023018
