Date,Open,High,Low,Close,Volume
28-Apr-17,18.74,18.83,18.52,18.82,7956877
27-Apr-17,18.70,18.83,18.64,18.77,9193686
26-Apr-17,18.50,18.74,18.42,18.63,7950652
25-Apr-17,18.57,18.71,18.49,18.61,10425760
24-Apr-17,18.52,18.60,18.36,18.54,8054640
21-Apr-17,18.51,18.52,18.26,18.29,9953227
20-Apr-17,18.44,18.56,18.29,18.52,6786300
19-Apr-17,18.42,18.61,18.30,18.38,12351959
18-Apr-17,18.21,18.36,18.08,18.22,10177098
17-Apr-17,18.17,18.32,18.07,18.20,8213848
13-Apr-17,17.99,18.35,17.94,18.20,12854122
12-Apr-17,18.37,18.37,17.85,18.02,19363874
11-Apr-17,17.40,17.55,17.29,17.54,14400769
10-Apr-17,17.40,17.54,17.29,17.36,6694136
7-Apr-17,17.54,17.63,17.28,17.37,13464895
6-Apr-17,17.69,17.72,17.43,17.56,8368740
5-Apr-17,17.80,17.94,17.60,17.69,10310708
4-Apr-17,17.52,17.74,17.50,17.72,6781165
3-Apr-17,17.93,17.95,17.43,17.59,10538321
31-Mar-17,17.61,17.96,17.56,17.88,19240579
30-Mar-17,17.25,17.69,17.22,17.65,10806000
29-Mar-17,17.20,17.38,17.17,17.26,5477399
28-Mar-17,17.23,17.41,17.20,17.26,8741713
27-Mar-17,17.09,17.31,17.03,17.20,5698091
24-Mar-17,17.28,17.40,17.13,17.23,6633818
23-Mar-17,17.23,17.38,17.14,17.21,9157123
22-Mar-17,17.22,17.30,17.10,17.23,10654578
21-Mar-17,17.62,17.69,17.15,17.15,11252314
20-Mar-17,17.57,17.68,17.52,17.56,8847764
17-Mar-17,17.65,17.70,17.56,17.56,14282500
16-Mar-17,17.60,17.71,17.48,17.65,9143985
15-Mar-17,17.44,17.65,17.28,17.57,13418063
14-Mar-17,17.46,17.58,17.41,17.47,6334411
13-Mar-17,17.41,17.49,17.35,17.49,6966599
10-Mar-17,17.25,17.60,17.25,17.39,7840676
9-Mar-17,17.25,17.42,17.18,17.36,8505402
8-Mar-17,17.30,17.40,17.22,17.32,6745671
7-Mar-17,17.27,17.42,17.05,17.27,11527985
6-Mar-17,17.44,17.44,17.13,17.30,11163064
3-Mar-17,17.30,17.40,17.12,17.35,17289361
2-Mar-17,17.66,17.69,17.31,17.32,12229182
1-Mar-17,17.65,17.71,17.45,17.62,9818715
28-Feb-17,17.64,17.67,17.37,17.37,13940117
27-Feb-17,17.65,17.81,17.48,17.65,12287497
24-Feb-17,17.34,17.68,17.31,17.65,19816072
23-Feb-17,16.51,17.80,16.48,17.60,37118842
22-Feb-17,16.09,16.24,16.09,16.20,16654221
21-Feb-17,15.93,16.22,15.93,16.13,17318051
17-Feb-17,15.88,15.95,15.72,15.95,17366721
16-Feb-17,15.99,16.03,15.89,15.92,12560613
15-Feb-17,16.04,16.14,15.89,15.98,14448341
14-Feb-17,15.96,16.41,15.95,16.06,17086210
13-Feb-17,15.75,16.11,15.70,16.04,16142564
10-Feb-17,15.65,15.74,15.55,15.72,10006365
9-Feb-17,15.51,15.77,15.45,15.64,7709448
8-Feb-17,15.41,15.64,15.39,15.51,13204263
7-Feb-17,15.26,15.44,15.16,15.43,12330319
6-Feb-17,15.17,15.30,15.09,15.26,7975431
3-Feb-17,15.22,15.32,15.12,15.27,11659495
2-Feb-17,14.89,15.22,14.87,15.21,15599575
1-Feb-17,15.12,15.16,14.84,14.99,12433763
31-Jan-17,14.77,15.11,14.57,15.05,14889607
30-Jan-17,14.83,14.85,14.62,14.84,11239675
