Date,Open,High,Low,Close,Volume
28-Apr-17,112.99,113.58,111.72,111.89,1340477
27-Apr-17,111.56,113.33,111.44,113.29,731112
26-Apr-17,111.33,111.82,110.87,111.13,976917
25-Apr-17,112.02,112.19,111.21,111.21,894905
24-Apr-17,111.53,112.08,111.27,111.69,646714
21-Apr-17,110.17,111.31,110.01,110.27,829048
20-Apr-17,109.74,110.51,109.49,109.95,1374605
19-Apr-17,110.07,110.25,109.37,109.42,868672
18-Apr-17,109.72,110.33,109.32,109.56,906108
17-Apr-17,110.54,110.58,109.79,110.21,1067969
13-Apr-17,110.14,110.76,109.97,110.02,655560
12-Apr-17,110.55,111.36,109.93,110.29,439733
11-Apr-17,109.71,109.94,109.25,109.94,426301
10-Apr-17,110.40,110.83,109.77,110.06,589435
7-Apr-17,109.89,110.76,109.57,110.17,776978
6-Apr-17,109.29,110.07,109.02,109.49,687127
5-Apr-17,110.55,110.65,109.01,109.05,800875
4-Apr-17,110.23,110.95,109.69,110.11,601881
3-Apr-17,111.38,111.69,109.79,110.27,1366920
31-Mar-17,111.60,111.60,110.74,111.27,812779
30-Mar-17,111.20,112.05,110.88,111.79,680513
29-Mar-17,111.54,111.76,110.40,111.13,553055
28-Mar-17,110.74,111.99,110.50,111.69,440763
27-Mar-17,110.05,110.97,109.43,110.79,1134355
24-Mar-17,111.21,112.16,110.45,110.89,514334
23-Mar-17,110.84,111.96,110.73,111.42,569985
22-Mar-17,110.91,111.23,110.26,110.99,461448
21-Mar-17,112.59,113.00,110.76,110.90,1125574
20-Mar-17,112.41,112.82,112.14,112.55,448385
17-Mar-17,111.98,112.69,111.57,112.31,1487458
16-Mar-17,111.92,112.34,111.45,111.65,543483
15-Mar-17,110.85,111.92,110.57,111.75,802211
14-Mar-17,110.00,110.70,109.88,110.56,547760
13-Mar-17,110.34,111.22,109.77,110.79,757922
10-Mar-17,109.46,110.64,109.20,110.62,765697
9-Mar-17,109.91,110.81,109.62,109.99,1056602
8-Mar-17,109.73,110.15,109.30,110.03,759899
7-Mar-17,109.63,110.52,109.52,109.73,556825
6-Mar-17,109.68,110.19,109.32,109.90,719116
3-Mar-17,110.50,110.59,109.98,110.46,822248
2-Mar-17,110.81,111.26,110.05,110.30,754480
1-Mar-17,110.80,111.26,110.38,110.91,860006
28-Feb-17,110.96,111.62,109.51,109.90,882152
27-Feb-17,111.12,111.67,110.94,111.37,1609650
24-Feb-17,109.59,111.10,109.50,111.10,742831
23-Feb-17,110.45,110.74,109.59,109.84,1252924
22-Feb-17,110.51,110.70,109.63,110.44,714817
21-Feb-17,109.54,111.20,109.54,111.02,727357
17-Feb-17,108.57,109.47,108.00,109.46,609867
16-Feb-17,107.57,108.82,107.52,108.65,1107194
15-Feb-17,107.47,108.09,107.11,107.32,1004509
14-Feb-17,106.36,107.97,106.00,107.94,708821
13-Feb-17,106.01,107.03,105.80,107.01,676842
10-Feb-17,105.01,105.93,104.16,105.74,709213
9-Feb-17,105.33,105.81,104.47,104.49,878039
8-Feb-17,104.98,105.61,104.58,104.91,2215010
7-Feb-17,104.93,105.47,104.04,105.34,863989
6-Feb-17,104.15,105.90,104.02,105.13,1410774
3-Feb-17,105.21,105.47,104.24,104.30,1023580
2-Feb-17,100.81,105.32,100.79,104.98,1395652
1-Feb-17,102.82,103.34,101.50,101.83,749163
31-Jan-17,102.17,102.73,100.61,102.71,658118
30-Jan-17,104.29,104.29,101.88,102.38,555398
27-Jan-17,101.46,103.61,101.03,102.53,720419
26-Jan-17,101.01,101.65,100.99,101.23,377715
25-Jan-17,102.37,102.37,100.83,101.12,463000
24-Jan-17,100.73,102.41,100.58,102.07,436020
23-Jan-17,100.10,100.94,99.13,100.71,548765
20-Jan-17,100.45,100.70,99.89,100.19,478329
19-Jan-17,101.06,101.71,99.80,99.99,579762
18-Jan-17,100.29,101.40,100.09,100.85,698692
17-Jan-17,101.20,101.38,99.89,100.18,527513
13-Jan-17,101.87,102.00,101.19,101.76,377561
12-Jan-17,101.77,102.06,101.01,101.79,383210
11-Jan-17,101.42,101.95,101.05,101.79,427726
10-Jan-17,102.24,102.26,101.16,101.71,477941
9-Jan-17,104.19,104.38,102.12,102.14,602501
6-Jan-17,103.51,104.71,103.47,104.55,683692
5-Jan-17,103.11,103.93,102.69,103.41,638858
4-Jan-17,103.00,103.59,102.49,103.28,660313
3-Jan-17,103.38,103.85,102.45,102.72,698139
30-Dec-16,103.56,103.56,102.09,102.47,521367
29-Dec-16,103.19,103.50,102.63,103.11,430028
28-Dec-16,103.50,103.94,103.24,103.34,474130
27-Dec-16,103.72,104.16,103.12,103.43,326226
23-Dec-16,103.65,103.81,103.25,103.72,212034
