Date,Open,High,Low,Close,Volume
28-Apr-17,19.41,19.46,17.74,17.95,27336197
27-Apr-17,19.32,19.34,19.07,19.24,7379197
26-Apr-17,19.01,19.44,18.95,19.27,9286157
25-Apr-17,19.11,19.27,19.00,19.05,6283399
24-Apr-17,19.04,19.10,18.82,19.00,7469271
21-Apr-17,19.03,19.06,18.78,18.82,5606576
20-Apr-17,19.02,19.16,18.56,19.05,10641585
19-Apr-17,18.69,19.03,18.66,19.00,11697084
18-Apr-17,18.44,18.64,18.40,18.61,6881920
17-Apr-17,18.50,18.61,18.40,18.47,7527213
13-Apr-17,18.38,18.57,18.29,18.45,5567772
12-Apr-17,18.58,18.58,18.24,18.38,5992016
11-Apr-17,18.45,18.59,18.28,18.57,6556451
10-Apr-17,18.42,18.59,18.30,18.43,5348159
7-Apr-17,18.44,18.56,18.29,18.30,6334739
6-Apr-17,18.28,18.57,18.08,18.52,7858638
5-Apr-17,18.41,18.68,18.20,18.26,6556821
4-Apr-17,18.27,18.43,18.18,18.30,5680561
3-Apr-17,18.65,18.66,18.20,18.37,5143483
31-Mar-17,18.52,18.78,18.46,18.66,9386042
30-Mar-17,18.22,18.54,18.13,18.54,5239575
29-Mar-17,17.95,18.33,17.88,18.24,7251920
28-Mar-17,17.99,18.22,17.81,18.17,6223703
27-Mar-17,17.95,18.09,17.83,18.02,5334043
24-Mar-17,18.13,18.26,17.99,18.05,5439267
23-Mar-17,18.13,18.36,18.00,18.02,6664571
22-Mar-17,17.97,18.14,17.68,18.09,6131796
21-Mar-17,18.42,18.55,17.93,17.97,6489972
20-Mar-17,18.45,18.52,18.27,18.38,3858428
17-Mar-17,18.31,18.46,18.23,18.44,9402719
16-Mar-17,18.38,18.47,18.23,18.24,6303571
15-Mar-17,17.87,18.40,17.78,18.34,9126403
14-Mar-17,17.87,17.94,17.73,17.75,6863366
13-Mar-17,17.94,18.11,17.79,17.87,5737542
10-Mar-17,17.98,18.09,17.73,17.91,5559677
9-Mar-17,18.18,18.28,17.71,17.84,7042112
8-Mar-17,18.11,18.43,17.99,18.13,5571922
7-Mar-17,18.40,18.48,18.08,18.18,5571262
6-Mar-17,18.19,18.54,18.16,18.50,7777420
3-Mar-17,18.60,18.65,18.14,18.38,9319353
