Date,Open,High,Low,Close,Volume
28-Apr-17,106.99,108.26,106.84,108.20,1067208
27-Apr-17,107.79,108.49,107.24,107.38,897814
26-Apr-17,108.62,108.71,106.51,107.50,1788521
25-Apr-17,108.54,108.89,108.29,108.46,941515
24-Apr-17,107.64,108.62,107.64,108.44,864822
21-Apr-17,108.60,108.74,107.38,107.40,1075170
20-Apr-17,108.74,109.09,108.09,108.80,940267
19-Apr-17,109.56,109.78,108.36,108.63,656399
18-Apr-17,108.71,110.00,108.63,109.47,857363
17-Apr-17,108.31,108.85,108.17,108.70,557401
13-Apr-17,108.95,108.96,108.15,108.20,571882
12-Apr-17,108.44,109.10,108.02,109.05,596112
11-Apr-17,108.13,108.48,107.77,108.41,737166
10-Apr-17,109.62,109.79,108.04,108.32,1426049
7-Apr-17,109.02,109.80,108.61,109.52,961085
6-Apr-17,109.07,109.27,108.52,108.88,535534
5-Apr-17,108.52,109.80,108.23,109.07,912700
4-Apr-17,108.43,108.55,107.74,108.39,935417
3-Apr-17,108.93,109.33,108.66,108.92,1008205
31-Mar-17,108.89,109.68,108.25,109.25,1034433
30-Mar-17,109.39,109.62,108.54,108.90,933402
29-Mar-17,109.10,109.73,108.68,109.61,792894
28-Mar-17,108.03,109.90,107.72,109.15,1338894
27-Mar-17,107.66,108.53,107.45,108.26,854412
24-Mar-17,108.38,108.62,107.48,107.98,794527
23-Mar-17,107.92,108.74,107.65,108.10,707552
22-Mar-17,108.40,108.71,107.12,107.94,1173764
21-Mar-17,108.42,108.93,107.98,108.11,1196582
20-Mar-17,109.01,109.17,108.49,108.85,946504
17-Mar-17,109.76,109.76,108.96,109.01,1361844
16-Mar-17,109.23,109.50,108.50,109.47,604342
15-Mar-17,108.61,109.56,108.53,109.29,857571
14-Mar-17,108.70,108.86,108.28,108.52,679388
13-Mar-17,108.64,108.93,108.38,108.70,768833
10-Mar-17,109.80,109.85,108.72,108.93,735630
9-Mar-17,108.80,109.55,108.28,109.36,993657
8-Mar-17,108.01,108.75,107.32,108.57,1696757
7-Mar-17,108.67,108.88,108.08,108.15,803242
6-Mar-17,107.97,108.71,107.89,108.60,775203
3-Mar-17,108.79,109.11,108.09,108.66,883788
2-Mar-17,109.58,109.66,108.58,109.13,1059419
1-Mar-17,108.60,109.90,107.82,109.40,1708971
28-Feb-17,108.18,109.09,108.12,108.35,1554322
27-Feb-17,108.69,109.00,107.73,107.80,744433
24-Feb-17,108.70,108.99,108.18,108.90,1055640
23-Feb-17,108.09,109.31,107.97,108.65,880584
22-Feb-17,107.79,108.16,107.58,107.95,839770
21-Feb-17,107.50,108.87,107.12,108.48,1906925
17-Feb-17,106.83,107.76,106.51,107.25,1749503
16-Feb-17,109.23,109.57,107.36,107.65,1465139
15-Feb-17,108.01,109.08,107.68,108.80,1058125
14-Feb-17,107.99,108.40,107.44,108.34,686518
13-Feb-17,107.50,108.40,107.32,108.21,654517
10-Feb-17,108.24,108.61,107.44,107.62,979445
9-Feb-17,107.23,109.58,107.23,108.11,1935487
8-Feb-17,107.00,107.50,106.71,106.98,893758
7-Feb-17,107.45,108.06,107.06,107.19,1447611
6-Feb-17,107.00,107.70,106.32,107.41,1095059
3-Feb-17,103.60,107.44,101.61,106.98,2708558
2-Feb-17,105.46,106.07,104.92,105.59,1520776
1-Feb-17,105.29,105.94,104.51,105.12,1233994
31-Jan-17,105.79,106.30,105.05,105.47,1702805
30-Jan-17,105.79,106.09,104.55,105.07,1321827
27-Jan-17,105.98,106.02,104.60,105.51,1035277
26-Jan-17,105.97,106.20,105.56,105.67,767207
25-Jan-17,106.60,106.80,106.00,106.30,699751
24-Jan-17,105.44,107.25,105.13,106.52,849684
23-Jan-17,105.56,105.64,104.98,105.30,696101
20-Jan-17,105.79,106.20,104.97,105.57,623496
19-Jan-17,105.64,105.70,104.85,105.22,462958
18-Jan-17,105.23,106.28,104.97,105.65,1184670
17-Jan-17,104.82,105.41,104.42,105.17,902355
13-Jan-17,104.59,105.24,104.35,104.85,679908
12-Jan-17,104.74,105.48,104.31,104.68,763127
11-Jan-17,104.48,105.59,104.41,104.95,940975
10-Jan-17,104.38,105.14,103.85,104.83,1126110
9-Jan-17,104.51,104.73,103.54,103.89,890189
6-Jan-17,104.45,105.22,103.71,104.51,916500
5-Jan-17,103.12,104.26,103.01,103.45,1581821
4-Jan-17,104.15,104.70,103.84,104.12,844226
3-Jan-17,103.84,104.40,103.26,103.92,686290
30-Dec-16,103.58,103.85,102.51,103.43,732968
29-Dec-16,103.07,104.20,103.07,103.99,625130
28-Dec-16,103.70,103.70,102.89,103.15,467134
27-Dec-16,103.57,104.04,103.50,103.80,362305
23-Dec-16,104.41,104.50,103.31,103.62,581534
22-Dec-16,103.50,105.27,103.40,104.44,1505306
21-Dec-16,102.97,104.03,102.64,103.17,1002871
20-Dec-16,100.69,102.80,100.65,102.61,928410
19-Dec-16,101.30,101.54,100.62,101.46,566671
16-Dec-16,100.91,101.62,100.11,101.16,929254
15-Dec-16,100.10,101.06,98.85,100.71,1377677
14-Dec-16,101.12,101.47,99.60,99.99,731565
13-Dec-16,101.18,101.96,100.52,100.89,696440
12-Dec-16,100.25,101.74,100.04,101.10,823911
9-Dec-16,98.43,100.69,98.12,100.30,1725051
8-Dec-16,99.08,99.48,98.29,98.44,947204
7-Dec-16,98.55,99.29,97.66,99.16,883536
6-Dec-16,98.08,98.70,97.51,98.49,1279844
5-Dec-16,96.95,98.14,96.46,97.89,706474
2-Dec-16,96.58,97.64,96.20,97.08,825619
1-Dec-16,96.50,97.34,95.68,96.28,1090123
30-Nov-16,97.45,98.00,96.53,96.64,4424195
29-Nov-16,97.77,98.72,97.06,98.13,1040336
28-Nov-16,97.65,98.48,97.50,97.84,931433
25-Nov-16,97.68,97.98,97.05,97.73,564405
23-Nov-16,97.44,97.88,96.39,97.16,1083563
22-Nov-16,98.14,98.28,97.52,97.72,1033683
21-Nov-16,97.47,98.36,96.69,97.79,1232846
18-Nov-16,98.96,99.63,97.91,98.56,1218231
17-Nov-16,99.09,100.02,98.19,99.16,1350718
16-Nov-16,99.20,100.10,99.05,99.30,942748
15-Nov-16,98.93,99.86,98.71,99.13,1202082
14-Nov-16,97.12,99.14,96.50,98.92,1484856
11-Nov-16,97.18,98.35,96.26,97.25,779002
10-Nov-16,100.22,100.22,96.93,97.27,2392999
9-Nov-16,99.32,101.02,98.30,100.46,1354945
8-Nov-16,101.66,102.95,101.17,101.19,1240886
7-Nov-16,100.56,101.71,100.45,101.60,1830812
4-Nov-16,100.80,101.06,99.79,100.00,853261
3-Nov-16,101.72,101.83,100.39,100.68,838481
2-Nov-16,101.90,102.44,101.16,101.84,1055049
1-Nov-16,102.60,102.60,101.45,101.99,1138662
31-Oct-16,102.44,103.04,101.46,102.46,1724933
28-Oct-16,97.70,103.36,97.70,102.40,4346814
27-Oct-16,96.68,97.56,95.34,95.51,2422827
26-Oct-16,95.90,96.52,95.40,96.15,775768
25-Oct-16,95.50,95.86,94.98,95.81,703597
24-Oct-16,95.70,96.00,94.98,95.29,648160
21-Oct-16,95.02,95.39,94.03,95.36,1112674
20-Oct-16,95.69,95.80,95.01,95.12,753211
19-Oct-16,96.20,96.32,95.08,95.63,696960
18-Oct-16,97.24,97.40,96.24,96.31,776468
17-Oct-16,96.40,96.76,95.98,96.74,749557
14-Oct-16,95.95,97.18,95.94,96.43,1566730
13-Oct-16,94.64,95.91,94.20,95.65,1022246
12-Oct-16,94.69,95.23,94.60,94.95,688445
11-Oct-16,95.74,95.90,94.34,94.63,719769
10-Oct-16,95.21,96.54,95.21,95.59,754425
7-Oct-16,95.36,95.52,94.28,95.21,1231371
6-Oct-16,94.46,95.57,94.46,95.11,1569737
5-Oct-16,95.01,95.27,94.52,94.71,2303295
4-Oct-16,95.22,95.82,94.85,95.03,1199567
3-Oct-16,95.30,95.61,94.88,95.41,910743
30-Sep-16,94.96,96.23,94.69,95.60,959812
29-Sep-16,95.36,96.00,94.61,94.64,976326
28-Sep-16,94.98,95.41,94.58,95.13,722681
27-Sep-16,95.75,95.86,94.45,94.70,1437677
26-Sep-16,95.46,96.17,95.22,95.33,859279
23-Sep-16,95.79,97.72,94.77,95.85,3847842
22-Sep-16,96.36,96.99,95.63,96.16,947457
21-Sep-16,95.40,96.63,95.13,96.36,1062668
20-Sep-16,95.51,96.00,95.41,95.52,1227431
19-Sep-16,95.89,96.21,95.26,95.45,1282636
16-Sep-16,96.08,96.63,95.32,95.48,1350679
15-Sep-16,95.60,96.34,95.22,96.01,1147129
14-Sep-16,96.44,96.55,95.66,95.98,1242602
13-Sep-16,97.25,97.27,95.98,96.01,1451060
12-Sep-16,96.58,97.77,95.80,97.48,1565545
9-Sep-16,97.79,97.90,96.16,96.18,1457524
8-Sep-16,99.05,99.19,98.00,98.09,1151178
7-Sep-16,99.64,99.77,98.86,99.13,1439316
6-Sep-16,99.63,99.89,99.13,99.79,1371468
2-Sep-16,100.00,100.26,99.17,99.30,2460697
1-Sep-16,100.06,100.45,99.43,99.54,1189256
31-Aug-16,99.95,101.14,99.50,99.89,3255298
30-Aug-16,99.25,100.24,98.75,99.65,7956083
29-Aug-16,110.58,112.00,110.58,111.67,1801179
26-Aug-16,111.18,112.40,110.64,110.88,607288
25-Aug-16,110.90,112.05,110.70,111.00,656341
24-Aug-16,112.78,112.78,110.89,110.89,1744956
23-Aug-16,113.31,113.91,112.70,113.06,1145577
22-Aug-16,113.38,114.16,113.18,113.89,818048
19-Aug-16,112.93,114.12,112.38,113.62,2564938
18-Aug-16,113.59,113.88,112.18,113.07,815159
17-Aug-16,111.69,113.74,111.43,113.43,1415583
16-Aug-16,111.35,111.86,110.92,111.50,1072519
15-Aug-16,111.41,112.75,111.04,111.82,1116101
12-Aug-16,111.81,112.50,111.47,111.47,708161
11-Aug-16,112.00,112.75,111.07,112.04,1281558
10-Aug-16,110.44,112.10,110.44,111.76,582147
9-Aug-16,110.42,111.07,110.25,110.27,720148
8-Aug-16,111.63,111.80,109.98,110.69,586931
5-Aug-16,110.83,111.87,110.51,111.65,835977
4-Aug-16,110.71,111.43,110.16,110.72,505188
3-Aug-16,112.18,112.18,109.95,110.48,961759
2-Aug-16,110.63,112.45,109.93,112.17,1609687
1-Aug-16,109.16,111.00,108.75,110.89,1541278
29-Jul-16,111.02,111.91,110.27,110.76,1272093
28-Jul-16,109.48,112.22,108.41,111.35,2138270
27-Jul-16,109.94,109.94,108.14,108.19,1256954
26-Jul-16,111.00,111.45,109.26,109.54,722709
25-Jul-16,110.32,111.36,110.00,110.98,1584526
