Date,Open,High,Low,Close,Volume
28-Apr-17,218.20,222.48,217.83,221.98,1225917
27-Apr-17,219.69,221.97,218.17,218.67,1073910
26-Apr-17,218.53,220.67,218.10,219.35,1273210
25-Apr-17,216.88,220.00,214.50,217.97,1885276
24-Apr-17,215.09,215.87,212.68,213.76,1252018
21-Apr-17,211.50,214.48,210.01,213.67,2267444
20-Apr-17,213.38,215.65,213.20,214.24,2215600
19-Apr-17,211.85,214.41,211.85,213.11,1086579
18-Apr-17,213.16,213.44,210.69,211.70,1047281
17-Apr-17,211.92,213.14,211.58,212.77,675193
13-Apr-17,212.70,212.99,211.47,211.80,573959
12-Apr-17,213.00,214.40,212.57,212.99,1029806
11-Apr-17,212.26,213.46,211.16,212.90,822337
10-Apr-17,210.95,213.56,210.95,212.58,676554
7-Apr-17,211.84,212.99,209.91,210.75,1066147
6-Apr-17,209.60,213.02,208.72,212.60,1234989
5-Apr-17,211.18,212.22,209.91,210.07,990570
4-Apr-17,210.28,213.14,209.79,211.05,1753161
3-Apr-17,206.68,211.97,206.68,209.77,1481723
31-Mar-17,206.42,207.65,205.19,206.14,1245837
30-Mar-17,206.00,208.21,205.62,206.87,817923
29-Mar-17,205.87,207.74,204.98,206.03,1498276
28-Mar-17,203.48,207.40,203.48,206.63,1183104
27-Mar-17,205.72,206.60,203.48,203.48,1910640
24-Mar-17,209.97,210.35,204.51,207.27,3336665
23-Mar-17,213.33,213.86,209.42,209.91,1186972
22-Mar-17,214.16,214.64,211.80,213.33,1072969
21-Mar-17,216.29,217.54,212.69,213.55,1459039
20-Mar-17,219.00,219.00,213.76,215.40,1930080
17-Mar-17,219.37,220.00,217.64,218.90,1515116
16-Mar-17,218.89,220.23,218.10,219.25,989659
15-Mar-17,218.21,220.49,218.20,219.08,706715
14-Mar-17,218.47,219.44,216.84,218.00,1058963
13-Mar-17,217.88,219.73,216.03,219.18,969152
10-Mar-17,218.11,218.75,216.62,217.93,1141926
9-Mar-17,217.48,218.22,217.10,217.79,1235003
8-Mar-17,217.96,218.27,216.56,217.45,1253607
7-Mar-17,212.52,218.93,211.76,217.95,2580070
6-Mar-17,213.77,214.15,212.16,212.74,1587758
3-Mar-17,212.48,214.21,211.90,213.97,1023394
2-Mar-17,214.21,215.72,212.39,212.57,1416164
1-Mar-17,212.00,214.73,211.54,213.99,2451737
28-Feb-17,208.74,211.60,208.26,211.25,1820587
27-Feb-17,205.13,209.28,204.42,208.75,1343109
24-Feb-17,204.97,207.50,203.65,207.28,1687157
23-Feb-17,204.89,206.00,204.29,205.01,1351611
22-Feb-17,204.02,206.22,203.36,205.70,1028424
21-Feb-17,204.60,206.90,203.58,205.34,1702349
17-Feb-17,206.80,207.01,203.64,204.60,3097364
16-Feb-17,205.30,209.10,204.20,208.74,3118597
15-Feb-17,206.21,212.24,204.44,205.32,3004566
14-Feb-17,207.49,207.62,204.86,205.97,2230191
13-Feb-17,205.43,207.83,205.09,206.70,776559
10-Feb-17,206.96,207.99,204.15,205.43,1109720
9-Feb-17,199.52,208.22,197.94,207.03,2527758
8-Feb-17,193.14,199.97,189.01,199.64,1613969
7-Feb-17,196.42,197.61,193.79,195.24,1111831
6-Feb-17,197.79,198.25,194.36,196.47,804418
3-Feb-17,199.79,200.71,197.84,198.24,799191
2-Feb-17,198.36,200.14,196.06,199.39,1285127
1-Feb-17,198.58,199.83,197.74,198.48,971754
31-Jan-17,199.76,201.45,197.63,198.50,894667
30-Jan-17,202.95,202.95,198.17,199.26,1217749
27-Jan-17,201.77,202.26,199.08,201.66,1732470
26-Jan-17,202.97,202.97,199.63,200.13,767981
25-Jan-17,199.97,202.74,198.50,201.74,1717718
24-Jan-17,204.00,204.50,199.31,199.94,3256214
23-Jan-17,200.89,205.83,186.25,205.02,8935423
20-Jan-17,207.40,207.40,200.34,200.53,2596025
19-Jan-17,206.32,208.69,202.71,206.00,2434482
18-Jan-17,204.61,206.42,202.41,206.11,1924734
17-Jan-17,203.12,204.71,201.46,204.04,903399
13-Jan-17,205.00,206.59,202.43,202.92,1297840
12-Jan-17,203.77,205.90,203.00,205.25,1470409
11-Jan-17,200.50,203.81,199.81,203.48,1809321
10-Jan-17,202.00,203.27,200.67,200.95,1352707
9-Jan-17,201.05,203.47,199.75,202.99,1063795
6-Jan-17,200.50,202.89,199.62,201.73,1139757
5-Jan-17,198.45,201.59,197.19,200.73,1826781
4-Jan-17,198.41,199.44,195.91,197.78,1512434
3-Jan-17,202.87,204.00,195.00,197.61,2784725
30-Dec-16,202.92,205.00,202.06,204.03,1336956
29-Dec-16,205.33,206.00,202.74,202.92,484260
28-Dec-16,206.06,207.00,204.50,204.60,732688
27-Dec-16,205.53,206.66,203.49,206.06,502025
23-Dec-16,203.00,207.14,202.62,205.53,1816215
22-Dec-16,199.73,204.00,197.61,202.93,1980082
21-Dec-16,200.17,201.32,198.36,199.80,983460
20-Dec-16,200.83,202.64,199.88,200.25,1284897
19-Dec-16,205.76,205.76,200.07,200.41,1280244
16-Dec-16,205.50,206.52,203.25,205.64,1540547
15-Dec-16,205.02,208.99,204.20,204.65,1359683
14-Dec-16,204.11,205.67,201.80,205.24,1111980
13-Dec-16,204.11,206.33,200.50,204.57,1285705
12-Dec-16,202.82,204.34,201.35,202.93,1234074
9-Dec-16,206.32,207.31,200.62,203.29,1097541
8-Dec-16,202.62,207.39,202.13,206.70,898376
7-Dec-16,203.40,204.80,200.54,203.00,2908549
6-Dec-16,210.01,210.69,202.16,204.30,2109006
5-Dec-16,214.00,214.87,204.71,208.83,2856506
2-Dec-16,217.00,217.80,212.57,213.63,1219443
1-Dec-16,211.93,216.92,211.42,216.76,2228542
30-Nov-16,209.65,212.94,208.33,212.64,2125028
29-Nov-16,208.71,211.71,208.16,210.00,1732240
28-Nov-16,207.99,208.60,206.82,208.00,1871598
25-Nov-16,208.68,210.30,207.40,207.88,498477
23-Nov-16,206.66,208.25,203.24,207.93,1787626
22-Nov-16,200.13,205.91,199.18,205.71,1820366
21-Nov-16,199.52,201.91,199.52,199.99,1168934
18-Nov-16,201.99,202.40,199.96,200.16,938035
17-Nov-16,200.45,203.95,199.65,202.06,1792798
16-Nov-16,198.83,201.12,198.39,200.47,954505
15-Nov-16,199.58,201.80,197.40,198.82,1476949
14-Nov-16,193.00,203.48,192.99,198.84,3145970
11-Nov-16,193.91,196.45,192.00,193.19,3204917
10-Nov-16,189.30,194.05,188.20,192.88,3477538
9-Nov-16,179.12,189.06,178.92,186.00,3979900
8-Nov-16,174.73,180.00,174.01,179.03,1498634
7-Nov-16,170.87,175.90,169.62,174.91,1513310
4-Nov-16,165.76,169.90,165.52,167.42,923523
3-Nov-16,168.19,169.66,165.03,165.31,992029
2-Nov-16,169.00,171.17,168.08,168.19,724279
1-Nov-16,172.00,172.12,167.66,168.66,838311
31-Oct-16,171.57,172.77,170.37,171.53,524446
28-Oct-16,174.04,174.27,170.04,171.06,966146
27-Oct-16,175.40,175.98,172.93,174.19,698408
26-Oct-16,174.89,175.49,174.13,174.65,559543
25-Oct-16,176.43,176.50,174.32,174.86,756714
24-Oct-16,176.04,176.61,174.20,176.27,645005
21-Oct-16,173.06,177.37,173.06,175.88,1316111
20-Oct-16,174.26,174.97,173.25,174.55,756433
19-Oct-16,173.69,175.99,172.67,173.90,1219118
18-Oct-16,171.96,174.10,171.00,173.27,908125
17-Oct-16,170.45,171.50,169.44,169.89,525928
14-Oct-16,170.21,172.87,169.88,170.82,1447892
13-Oct-16,168.02,170.46,166.01,169.48,1635324
12-Oct-16,178.00,180.00,163.50,168.44,6326338
