Date,Open,High,Low,Close,Volume
28-Apr-17,139.58,139.58,138.36,138.59,301607
27-Apr-17,139.14,140.20,138.81,139.73,382330
26-Apr-17,139.04,139.80,138.59,138.80,378545
25-Apr-17,138.89,139.87,137.72,139.09,377630
24-Apr-17,137.06,138.43,136.82,138.03,398125
21-Apr-17,135.99,136.57,135.74,136.12,283459
20-Apr-17,134.83,136.10,134.40,135.80,268099
19-Apr-17,134.08,135.20,133.76,134.53,366468
18-Apr-17,132.45,134.78,132.10,134.07,331269
17-Apr-17,132.31,133.15,131.86,133.02,339483
13-Apr-17,132.49,133.36,131.91,131.94,231391
12-Apr-17,133.18,133.18,132.08,132.56,499175
11-Apr-17,132.89,133.81,132.36,133.40,318630
10-Apr-17,132.08,133.09,131.77,132.85,374471
7-Apr-17,132.31,133.20,132.08,132.25,348039
6-Apr-17,131.88,133.36,131.42,133.04,589350
5-Apr-17,131.38,132.89,131.38,131.77,608737
4-Apr-17,131.97,132.45,130.99,131.45,320931
3-Apr-17,132.74,132.78,131.25,131.59,389661
31-Mar-17,132.45,133.43,132.02,132.53,498070
30-Mar-17,131.81,133.42,131.64,132.37,405142
29-Mar-17,131.42,132.21,130.98,131.96,972904
28-Mar-17,131.98,132.36,130.61,131.55,843922
27-Mar-17,132.73,133.46,131.77,132.56,1124759
24-Mar-17,135.16,135.29,132.79,133.19,667268
23-Mar-17,135.40,136.83,134.94,135.07,808335
22-Mar-17,135.02,136.98,134.50,136.89,769961
21-Mar-17,135.45,137.04,134.48,135.10,961481
20-Mar-17,132.05,135.49,131.69,135.40,1545499
17-Mar-17,129.61,132.24,129.32,132.10,1222975
16-Mar-17,128.28,129.09,127.78,128.94,571211
15-Mar-17,126.50,128.43,126.02,128.10,571579
14-Mar-17,126.11,126.77,125.53,126.22,491401
13-Mar-17,125.42,126.76,124.62,126.60,617910
10-Mar-17,124.55,125.39,124.33,125.33,474543
9-Mar-17,124.26,124.26,123.15,123.66,504015
8-Mar-17,123.79,125.46,123.79,124.28,607583
7-Mar-17,124.18,125.10,123.35,123.89,439043
6-Mar-17,124.41,125.13,124.21,124.39,567741
3-Mar-17,126.07,126.67,124.54,125.13,345323
2-Mar-17,126.94,127.47,125.50,126.13,556668
1-Mar-17,126.12,128.38,126.02,127.10,624774
28-Feb-17,124.82,126.20,124.74,125.70,506231
27-Feb-17,125.11,125.15,124.12,124.81,462948
24-Feb-17,125.06,125.30,124.00,125.00,516774
23-Feb-17,125.04,128.33,123.94,125.14,1083600
22-Feb-17,121.59,122.83,121.03,122.63,563562
