Date,Open,High,Low,Close,Volume
28-Apr-17,54.63,54.87,53.84,53.97,2696458
27-Apr-17,54.00,55.54,53.19,54.92,3097951
26-Apr-17,53.74,54.23,53.63,54.07,1907750
25-Apr-17,53.60,53.97,53.53,53.69,2661285
24-Apr-17,53.60,53.68,53.20,53.21,3156676
21-Apr-17,53.00,53.03,52.56,52.78,2368180
20-Apr-17,52.54,53.30,52.36,53.02,3996020
19-Apr-17,52.03,52.72,51.97,52.33,3047229
18-Apr-17,50.87,51.99,50.87,51.45,3130081
17-Apr-17,49.95,50.48,49.93,50.47,1797160
13-Apr-17,49.91,50.01,49.62,49.64,1973533
12-Apr-17,50.16,50.32,49.60,50.04,3454565
11-Apr-17,50.30,50.46,49.91,50.26,1666713
10-Apr-17,50.67,50.84,50.22,50.45,1661936
7-Apr-17,50.77,51.11,50.44,50.51,1434424
6-Apr-17,50.53,51.27,50.45,50.95,1221191
5-Apr-17,50.85,51.30,50.52,50.58,1524565
4-Apr-17,50.22,50.82,49.99,50.70,2369595
3-Apr-17,50.89,51.14,49.86,50.19,2701473
31-Mar-17,50.90,51.25,50.72,50.78,3210838
30-Mar-17,50.64,51.16,50.56,51.14,2109655
29-Mar-17,50.72,51.07,50.62,50.74,1698152
28-Mar-17,50.19,51.08,50.14,50.93,1905991
27-Mar-17,50.21,50.40,49.62,50.27,2153484
24-Mar-17,51.40,51.48,50.56,50.81,2071833
23-Mar-17,51.20,51.89,51.05,51.31,2098829
22-Mar-17,51.03,51.42,50.59,51.17,1567317
21-Mar-17,52.37,52.47,50.77,50.92,3247433
20-Mar-17,51.48,52.27,51.06,52.22,2233076
17-Mar-17,51.67,51.78,51.24,51.36,3770864
16-Mar-17,51.63,51.81,51.23,51.46,2712468
15-Mar-17,50.95,51.61,50.73,51.36,2744462
14-Mar-17,50.56,50.80,50.28,50.68,1859647
13-Mar-17,50.84,51.12,50.58,50.69,4170173
10-Mar-17,50.93,51.50,50.42,50.70,3967792
9-Mar-17,51.53,51.55,50.48,50.73,3135524
8-Mar-17,51.72,51.94,51.41,51.54,2271981
7-Mar-17,52.15,52.31,51.45,51.48,2761153
6-Mar-17,53.64,53.88,52.13,52.33,3231373
3-Mar-17,53.73,54.25,53.64,54.00,2943537
2-Mar-17,53.50,54.11,53.39,53.72,3817393
1-Mar-17,53.23,53.87,53.21,53.67,3096383
28-Feb-17,52.73,53.00,52.54,52.70,3452915
27-Feb-17,52.41,53.07,52.41,52.89,3017220
24-Feb-17,52.00,52.67,51.90,52.62,2336155
23-Feb-17,52.26,52.89,51.93,52.22,3615658
22-Feb-17,52.33,52.38,51.46,52.03,2966888
21-Feb-17,52.25,52.85,52.15,52.76,2517770
17-Feb-17,53.20,53.36,51.93,52.15,3944413
16-Feb-17,52.86,53.50,52.73,53.38,2920714
15-Feb-17,52.91,53.40,52.70,52.76,4414317
14-Feb-17,52.49,52.92,52.33,52.88,2887222
13-Feb-17,52.50,53.47,52.35,52.68,3833660
10-Feb-17,52.38,53.03,51.91,52.89,3815309
9-Feb-17,52.94,53.09,52.05,52.16,4470988
8-Feb-17,52.02,53.96,51.67,53.10,7574550
7-Feb-17,51.91,52.66,51.68,52.13,4606236
6-Feb-17,52.33,52.33,50.60,51.60,6180261
3-Feb-17,53.55,53.67,52.22,53.01,5844163
2-Feb-17,55.48,55.78,52.30,53.35,8057286
1-Feb-17,56.73,57.12,56.01,56.50,2990628
31-Jan-17,56.83,57.36,56.21,56.60,3746996
30-Jan-17,57.02,57.02,56.31,56.89,2272303
27-Jan-17,57.73,57.84,57.19,57.34,2044253
26-Jan-17,58.61,58.86,57.37,57.51,3650489
25-Jan-17,56.48,58.26,56.46,57.99,5187981
24-Jan-17,54.51,56.01,54.48,55.90,3820479
23-Jan-17,53.77,54.36,53.65,54.31,2406555
20-Jan-17,53.75,53.96,53.13,53.69,3085267
19-Jan-17,53.14,53.15,52.41,52.68,1934820
18-Jan-17,53.15,53.20,52.66,53.03,2223581
17-Jan-17,53.35,53.50,52.77,52.99,1799776
13-Jan-17,53.68,54.08,53.44,53.55,1694475
12-Jan-17,53.84,54.08,53.04,53.67,1915912
11-Jan-17,53.58,54.20,53.45,54.14,1966363
10-Jan-17,53.70,54.22,53.45,53.78,2748673
9-Jan-17,53.70,54.17,53.42,53.62,2987093
6-Jan-17,53.56,53.93,53.26,53.72,1253538
5-Jan-17,53.90,54.26,53.33,53.61,2081140
4-Jan-17,53.64,54.17,53.50,54.05,2331007
3-Jan-17,53.11,53.85,52.96,53.39,1927260
30-Dec-16,53.44,53.50,52.67,53.06,2018056
29-Dec-16,53.29,53.65,53.12,53.37,1380745
28-Dec-16,54.60,54.68,53.21,53.38,2901056
27-Dec-16,54.25,54.45,54.18,54.28,1535421
23-Dec-16,53.74,54.06,53.65,54.03,1212034
