Date,Open,High,Low,Close,Volume
28-Apr-17,24.11,24.16,23.54,23.57,5309755
27-Apr-17,24.35,24.35,23.84,24.12,5808460
26-Apr-17,24.50,24.61,24.25,24.29,4650769
25-Apr-17,24.72,24.81,24.48,24.55,5393051
24-Apr-17,24.83,24.93,24.46,24.64,8286811
21-Apr-17,24.00,24.94,23.88,24.39,11220635
20-Apr-17,25.21,25.34,25.10,25.17,8051482
19-Apr-17,25.05,25.16,24.94,25.10,4656900
18-Apr-17,24.85,24.98,24.60,24.90,7318215
17-Apr-17,24.65,25.08,24.57,25.08,5701754
13-Apr-17,24.51,24.74,24.48,24.54,4319734
12-Apr-17,24.40,24.68,24.23,24.50,5284012
11-Apr-17,24.20,24.52,24.09,24.48,3966123
10-Apr-17,24.29,24.39,24.12,24.15,3551242
7-Apr-17,24.32,24.37,24.20,24.23,2348821
6-Apr-17,24.37,24.42,24.12,24.36,3833767
5-Apr-17,24.60,24.84,24.43,24.43,3893707
4-Apr-17,24.39,24.55,24.30,24.51,3705163
3-Apr-17,24.56,24.60,24.14,24.39,4005110
31-Mar-17,24.52,24.72,24.45,24.57,2414171
30-Mar-17,24.50,24.66,24.40,24.58,3727582
29-Mar-17,24.39,24.54,24.34,24.52,2318360
28-Mar-17,24.05,24.62,23.98,24.50,4823272
27-Mar-17,24.03,24.17,23.88,24.04,2902498
24-Mar-17,24.28,24.38,24.02,24.16,2889940
23-Mar-17,24.33,24.54,24.23,24.27,3537084
22-Mar-17,24.11,24.39,24.05,24.37,3213664
21-Mar-17,24.36,24.41,23.95,24.07,3321029
20-Mar-17,24.56,24.60,24.11,24.30,4093950
17-Mar-17,24.63,24.67,24.44,24.58,5959020
16-Mar-17,24.51,24.70,24.50,24.61,3065890
15-Mar-17,24.32,24.60,24.22,24.50,2658279
14-Mar-17,24.23,24.44,24.23,24.28,1895082
13-Mar-17,24.26,24.39,24.17,24.26,2530000
10-Mar-17,24.34,24.39,24.15,24.23,2313505
9-Mar-17,24.28,24.41,24.02,24.18,2963183
8-Mar-17,24.20,24.34,24.14,24.29,3515690
7-Mar-17,24.21,24.42,24.11,24.20,4596343
6-Mar-17,24.04,24.29,23.88,24.25,7173404
3-Mar-17,24.20,24.36,23.92,24.22,3733359
2-Mar-17,24.53,24.78,24.41,24.43,3859632
1-Mar-17,24.33,24.58,24.24,24.38,6122443
28-Feb-17,24.49,24.51,24.09,24.10,4999291
27-Feb-17,24.50,24.60,24.20,24.55,3154768
24-Feb-17,24.48,24.66,24.30,24.56,3999368
23-Feb-17,24.69,24.74,24.34,24.53,4351187
22-Feb-17,24.52,24.75,24.30,24.69,2944740
21-Feb-17,24.52,24.73,24.50,24.59,2901605
17-Feb-17,24.49,24.60,24.28,24.50,3356504
16-Feb-17,24.74,24.82,24.48,24.49,2872529
15-Feb-17,24.47,24.79,24.42,24.74,3567808
14-Feb-17,24.75,24.84,24.46,24.51,6024821
13-Feb-17,24.39,24.85,24.27,24.74,7218669
10-Feb-17,25.32,25.33,23.85,24.23,9052574
9-Feb-17,23.09,23.39,23.07,23.27,4170305
8-Feb-17,22.97,23.19,22.92,23.06,5243006
7-Feb-17,23.50,23.50,22.88,22.97,6429763
6-Feb-17,23.50,23.82,23.50,23.70,3506638
3-Feb-17,23.49,23.67,23.34,23.52,3014224
2-Feb-17,23.29,23.57,23.17,23.31,3801708
1-Feb-17,23.52,23.67,23.14,23.30,3884091
31-Jan-17,23.89,23.93,23.46,23.53,4186440
30-Jan-17,23.88,23.92,23.63,23.91,2111136
27-Jan-17,23.96,24.00,23.75,23.89,2206212
26-Jan-17,23.76,23.91,23.66,23.89,2897695
25-Jan-17,23.52,23.80,23.48,23.74,3134575
24-Jan-17,23.18,23.50,23.06,23.37,3899115
23-Jan-17,23.03,23.12,22.86,23.10,3658407
20-Jan-17,23.10,23.26,23.06,23.08,4136168
19-Jan-17,23.52,23.57,22.91,23.05,4989210
18-Jan-17,23.52,23.65,23.43,23.53,3089921
17-Jan-17,23.50,23.74,23.38,23.52,2508559
13-Jan-17,23.70,23.86,23.54,23.58,1900289
12-Jan-17,23.38,23.74,23.36,23.69,2681933
11-Jan-17,23.29,23.71,23.23,23.70,3470346
10-Jan-17,23.48,23.61,23.28,23.31,3188475
9-Jan-17,23.58,23.68,23.35,23.51,2580640
6-Jan-17,23.20,23.75,23.06,23.64,3959242
5-Jan-17,23.19,23.35,22.89,23.10,5353917
4-Jan-17,23.61,23.76,23.50,23.63,3127602
3-Jan-17,23.65,23.71,23.44,23.51,2266359
30-Dec-16,23.66,23.66,23.20,23.41,1989269
29-Dec-16,23.61,23.76,23.56,23.64,2304133
28-Dec-16,23.76,23.90,23.52,23.53,2202619
27-Dec-16,23.68,23.95,23.62,23.76,1385786
23-Dec-16,23.58,23.68,23.55,23.60,1253998
22-Dec-16,23.46,23.61,23.35,23.58,1502031
21-Dec-16,23.64,23.77,23.49,23.50,2743427
20-Dec-16,23.89,23.99,23.40,23.71,3794704
19-Dec-16,23.86,24.15,23.79,23.87,2852783
16-Dec-16,24.22,24.26,23.83,23.88,3899039
15-Dec-16,24.01,24.33,23.91,24.16,2754375
14-Dec-16,24.33,24.40,24.00,24.10,2771168
13-Dec-16,24.09,24.42,24.09,24.29,3471566
12-Dec-16,24.01,24.04,23.78,24.02,2255160
9-Dec-16,23.62,23.97,23.60,23.91,2985443
8-Dec-16,23.50,23.76,23.43,23.63,3619366
7-Dec-16,23.18,23.55,22.91,23.45,5937582
6-Dec-16,24.14,24.35,22.80,23.27,15430358
5-Dec-16,24.12,24.17,23.93,24.00,4212498
2-Dec-16,24.12,24.34,23.98,23.98,3036903
1-Dec-16,24.02,24.20,23.99,24.12,4159755
30-Nov-16,24.28,24.39,24.07,24.07,2990404
29-Nov-16,24.38,24.54,24.29,24.34,2976237
28-Nov-16,24.48,24.73,24.39,24.55,2595665
25-Nov-16,24.31,24.67,24.29,24.59,1275914
23-Nov-16,24.22,24.40,24.19,24.37,3516568
22-Nov-16,23.95,24.38,23.90,24.31,5010378
21-Nov-16,23.62,23.97,23.57,23.93,5637389
18-Nov-16,24.02,24.06,23.58,23.61,5666132
17-Nov-16,23.25,24.23,23.17,24.14,8084377
16-Nov-16,23.02,23.26,22.96,23.18,4770397
15-Nov-16,22.27,23.07,22.25,23.03,6375762
14-Nov-16,22.13,22.37,22.07,22.16,4615347
11-Nov-16,21.84,22.09,21.67,22.07,3478075
10-Nov-16,21.99,22.17,21.74,21.87,3650237
9-Nov-16,22.20,22.37,21.66,21.92,7022242
8-Nov-16,22.25,22.70,22.16,22.58,3324152
7-Nov-16,22.41,22.48,22.15,22.25,5275872
4-Nov-16,21.92,22.26,21.81,22.05,4579931
3-Nov-16,22.11,22.22,21.73,21.83,5314428
2-Nov-16,22.16,22.36,21.98,22.06,4627646
1-Nov-16,22.47,22.47,22.05,22.17,3857215
31-Oct-16,22.38,22.45,22.22,22.39,3954198
28-Oct-16,22.09,22.50,22.09,22.30,4539447
27-Oct-16,22.45,22.47,21.98,22.04,2927193
26-Oct-16,22.53,22.78,22.34,22.37,5618380
25-Oct-16,22.88,23.00,22.67,22.69,4984638
24-Oct-16,22.53,22.92,22.51,22.88,7617307
