Date,Open,High,Low,Close,Volume
28-Apr-17,89.37,89.57,88.41,88.75,1755510
27-Apr-17,88.71,89.75,88.50,89.25,2074672
26-Apr-17,86.87,89.06,86.46,88.68,3153804
25-Apr-17,84.92,85.94,84.67,85.66,2347752
24-Apr-17,84.39,84.96,83.40,84.19,1621127
21-Apr-17,82.98,83.39,82.53,83.03,1507512
20-Apr-17,82.40,83.26,81.94,82.75,1718093
19-Apr-17,82.38,82.60,81.53,81.85,1687218
18-Apr-17,81.70,82.21,81.25,81.93,1906294
17-Apr-17,82.23,82.39,81.79,82.24,1997961
13-Apr-17,82.03,83.33,81.82,81.86,2399297
12-Apr-17,83.58,83.58,82.03,82.29,2259409
11-Apr-17,83.18,83.99,82.75,83.65,1817151
10-Apr-17,82.61,83.72,82.58,83.25,1762175
7-Apr-17,82.49,83.10,82.36,82.62,1723411
6-Apr-17,81.95,83.40,81.74,82.67,1759598
5-Apr-17,81.67,83.12,81.59,81.87,2562158
4-Apr-17,81.14,81.53,80.66,81.48,1286101
3-Apr-17,81.57,81.90,80.48,81.22,2463626
31-Mar-17,80.60,81.58,80.54,81.32,1961822
30-Mar-17,79.64,80.92,79.58,80.90,1220897
29-Mar-17,79.39,79.88,79.29,79.82,1496257
28-Mar-17,78.63,80.06,78.19,79.69,1652501
27-Mar-17,78.37,79.01,77.26,78.56,1652663
24-Mar-17,79.83,80.16,78.85,79.18,980975
23-Mar-17,79.58,80.26,79.04,79.81,635703
22-Mar-17,79.28,79.88,79.04,79.62,1104635
21-Mar-17,81.56,81.73,79.19,79.36,1674562
20-Mar-17,81.82,81.95,80.75,81.26,1580500
17-Mar-17,80.91,81.19,80.30,80.99,1971625
16-Mar-17,81.20,81.27,80.15,80.55,1327096
15-Mar-17,79.48,81.23,79.23,80.81,1613380
14-Mar-17,79.22,79.40,78.64,79.01,1170317
13-Mar-17,79.49,79.73,79.31,79.66,987607
10-Mar-17,79.26,79.65,78.38,79.49,1291397
9-Mar-17,79.23,79.53,78.14,78.60,1274621
8-Mar-17,79.22,79.72,79.08,79.17,1661955
7-Mar-17,79.29,79.71,79.24,79.59,2161600
6-Mar-17,79.36,79.66,79.00,79.34,1673854
3-Mar-17,80.13,80.27,79.18,79.96,1359659
2-Mar-17,80.85,80.93,79.90,80.02,1371024
1-Mar-17,80.43,81.59,80.43,81.00,3027949
28-Feb-17,81.03,81.14,79.31,79.36,3102818
27-Feb-17,81.30,81.44,80.90,81.04,1573041
24-Feb-17,80.67,81.32,80.17,81.32,1484309
23-Feb-17,81.98,82.14,80.81,81.24,1508502
22-Feb-17,81.07,81.65,80.82,81.50,1793876
21-Feb-17,80.94,81.70,80.86,81.51,1497913
17-Feb-17,80.91,81.26,80.41,80.99,1700363
16-Feb-17,81.67,81.76,80.70,81.10,1996646
15-Feb-17,81.58,81.99,81.11,81.62,1914228
14-Feb-17,81.76,81.80,81.08,81.67,1723737
13-Feb-17,81.45,82.17,81.31,81.98,2730745
10-Feb-17,81.00,81.99,80.81,81.19,2811171
9-Feb-17,80.09,81.25,80.08,80.82,1565011
8-Feb-17,79.70,80.20,79.42,80.08,1701669
7-Feb-17,80.01,80.68,79.73,79.85,2136247
6-Feb-17,78.72,80.00,78.40,79.91,2439763
3-Feb-17,78.38,79.06,78.13,79.02,1463256
2-Feb-17,78.00,78.65,77.51,78.00,2336898
1-Feb-17,77.17,79.33,77.00,78.00,4180149
31-Jan-17,79.45,79.69,78.38,79.35,2845615
30-Jan-17,79.40,79.69,78.67,79.55,2289464
27-Jan-17,80.44,80.66,79.89,80.00,1776719
26-Jan-17,80.24,80.71,80.00,80.17,1933632
25-Jan-17,80.45,80.87,80.05,80.40,3085403
24-Jan-17,78.54,80.28,78.54,79.59,2898695
23-Jan-17,78.48,78.57,77.97,78.42,1913199
20-Jan-17,78.52,78.72,78.15,78.64,2177932
19-Jan-17,77.26,78.31,77.26,78.25,2481822
18-Jan-17,76.89,77.15,76.49,77.14,1592679
17-Jan-17,76.78,77.33,76.31,76.59,1457507
13-Jan-17,76.90,77.70,76.81,77.27,1049730
12-Jan-17,77.05,77.11,75.20,76.64,1637526
11-Jan-17,76.41,77.22,75.94,77.16,1880868
10-Jan-17,75.15,76.15,74.88,76.01,1604927
9-Jan-17,75.00,75.34,74.74,74.90,1529664
6-Jan-17,75.43,75.54,74.85,75.06,2001120
5-Jan-17,76.00,76.12,74.35,75.23,1759473
4-Jan-17,76.27,76.68,75.89,76.12,1116680
3-Jan-17,75.81,76.20,75.15,75.93,2237583
