Date,Open,High,Low,Close,Volume
28-Apr-17,114.13,114.30,113.41,114.09,453570
27-Apr-17,114.11,114.72,113.57,113.99,571393
26-Apr-17,113.38,113.88,113.06,113.87,475574
25-Apr-17,113.60,114.04,112.64,113.21,494300
24-Apr-17,114.00,114.00,113.02,113.42,393779
21-Apr-17,113.29,113.49,112.40,112.58,395655
20-Apr-17,112.40,113.34,112.00,112.96,522860
19-Apr-17,110.69,112.16,110.39,112.07,659204
18-Apr-17,110.50,111.10,110.16,110.48,520858
17-Apr-17,109.43,110.86,109.43,110.84,732363
13-Apr-17,109.13,109.51,108.44,108.93,514818
12-Apr-17,109.79,109.79,108.81,109.23,824560
11-Apr-17,109.88,110.00,109.05,109.70,824800
10-Apr-17,110.15,111.03,109.39,109.79,499465
7-Apr-17,110.32,110.74,109.77,110.08,779019
6-Apr-17,110.06,112.00,109.17,110.47,925304
5-Apr-17,108.85,110.93,108.37,109.23,972281
4-Apr-17,108.87,109.28,107.92,108.70,19351878
3-Apr-17,108.08,109.41,107.70,108.95,1520760
31-Mar-17,108.75,108.95,107.13,107.99,1095973
30-Mar-17,108.22,109.04,107.67,108.75,1271793
29-Mar-17,109.66,109.66,108.45,108.60,529452
28-Mar-17,109.14,110.04,109.00,109.61,518038
27-Mar-17,108.16,109.74,107.00,109.38,477524
24-Mar-17,109.51,109.88,108.66,109.06,356219
23-Mar-17,110.28,110.48,108.78,108.96,520396
22-Mar-17,109.07,110.51,108.20,110.44,483892
21-Mar-17,111.52,112.12,108.97,109.11,568397
20-Mar-17,111.24,111.75,110.43,111.33,337910
17-Mar-17,111.40,112.42,111.40,111.47,702980
16-Mar-17,111.73,112.39,110.96,111.49,569777
15-Mar-17,109.49,112.04,109.36,111.93,1031383
14-Mar-17,108.97,109.93,108.46,109.07,588885
13-Mar-17,108.80,109.99,108.00,109.18,900382
10-Mar-17,105.00,106.12,104.86,105.95,520010
9-Mar-17,104.05,104.80,103.37,104.58,383810
8-Mar-17,103.12,104.58,102.91,104.30,385877
7-Mar-17,103.45,104.12,102.35,103.46,519201
6-Mar-17,102.71,103.40,101.86,103.11,352361
3-Mar-17,103.46,103.91,102.90,103.41,364239
2-Mar-17,103.85,104.26,103.17,104.04,456696
1-Mar-17,104.24,104.97,103.80,104.20,555517
28-Feb-17,104.50,104.71,103.15,103.21,457095
27-Feb-17,103.74,104.55,102.94,104.55,380417
24-Feb-17,101.68,103.73,101.20,103.71,328004
23-Feb-17,102.28,103.26,101.68,102.54,309198
22-Feb-17,103.08,103.65,102.10,102.46,439081
21-Feb-17,102.92,103.74,102.28,103.38,376348
17-Feb-17,102.41,103.28,102.11,103.13,796878
16-Feb-17,103.00,104.09,102.78,103.43,1070976
15-Feb-17,100.51,102.87,100.36,102.84,652859
14-Feb-17,100.41,101.81,100.33,101.25,394785
13-Feb-17,101.46,102.00,100.77,101.42,384254
10-Feb-17,100.75,101.69,100.43,101.02,314364
9-Feb-17,98.95,100.79,98.08,100.27,325245
8-Feb-17,98.94,99.26,97.96,98.85,367921
7-Feb-17,99.02,99.80,98.21,98.68,493284
6-Feb-17,99.59,99.89,98.48,99.07,480147
3-Feb-17,100.26,100.64,98.64,99.60,567198
2-Feb-17,97.06,100.28,95.40,99.15,1661076
1-Feb-17,100.14,100.47,97.83,98.81,639755
31-Jan-17,99.57,99.96,98.59,99.36,1220434
30-Jan-17,100.46,100.51,98.50,99.82,601717
27-Jan-17,101.67,101.67,100.07,100.56,451865
26-Jan-17,100.81,101.80,100.49,101.52,522285
25-Jan-17,101.27,101.83,100.38,101.18,321781
24-Jan-17,100.44,101.35,100.44,100.95,350437
23-Jan-17,99.31,100.54,98.96,100.37,491317
20-Jan-17,99.33,100.25,99.05,99.44,353329
19-Jan-17,99.42,99.79,98.62,99.01,384091
18-Jan-17,99.83,100.60,98.98,99.68,674200
17-Jan-17,102.13,102.13,99.01,99.41,911264
13-Jan-17,100.29,102.18,100.02,101.94,986046
12-Jan-17,98.52,100.00,98.08,99.84,926246
11-Jan-17,97.08,100.14,96.83,98.96,1159359
10-Jan-17,95.76,98.43,95.76,97.62,1655669
9-Jan-17,97.13,97.54,94.77,95.82,1369281
6-Jan-17,91.90,95.77,91.62,95.68,3067468
5-Jan-17,99.00,99.87,90.37,90.56,5625526
4-Jan-17,100.30,102.39,99.83,101.79,495957
3-Jan-17,101.36,101.45,99.24,99.86,564232
30-Dec-16,101.50,101.64,100.70,101.07,448132
29-Dec-16,101.79,102.43,101.20,101.38,397505
28-Dec-16,102.49,102.58,100.97,101.47,362518
27-Dec-16,102.24,103.26,102.24,102.37,184898
23-Dec-16,103.25,103.76,102.74,102.75,164299
22-Dec-16,104.00,104.06,102.73,103.29,246791
21-Dec-16,103.43,104.64,102.92,104.19,211798
20-Dec-16,104.23,104.23,102.43,103.67,340319
19-Dec-16,103.24,104.39,103.24,104.39,236175
16-Dec-16,104.20,104.86,103.37,103.50,677400
15-Dec-16,103.30,104.49,102.92,103.53,169534
