Date,Open,High,Low,Close,Volume
28-Apr-17,139.34,139.62,137.91,138.09,1535499
27-Apr-17,139.29,140.21,139.03,139.42,1230594
26-Apr-17,139.50,139.90,139.01,139.14,1938557
25-Apr-17,138.91,140.99,138.72,139.26,2972727
24-Apr-17,138.79,142.82,138.63,139.76,4098904
21-Apr-17,134.87,135.71,134.59,134.87,2193397
20-Apr-17,132.79,134.92,132.52,134.58,1276394
19-Apr-17,132.80,133.19,131.78,132.12,1098992
18-Apr-17,130.58,133.00,130.58,132.39,1610400
17-Apr-17,130.64,131.46,130.17,131.37,862223
13-Apr-17,130.71,131.57,130.17,130.17,747438
12-Apr-17,132.79,132.79,130.80,130.87,1453882
11-Apr-17,131.92,132.84,131.36,132.81,1400056
10-Apr-17,131.71,132.78,131.71,132.24,927499
7-Apr-17,131.46,132.32,131.44,131.73,725327
6-Apr-17,131.28,132.35,130.83,131.62,958898
5-Apr-17,132.20,133.18,130.97,131.06,1190353
4-Apr-17,131.58,131.90,130.94,131.61,981306
3-Apr-17,132.97,133.38,130.71,131.58,1945541
31-Mar-17,132.34,133.37,132.11,132.47,1096051
30-Mar-17,131.73,133.07,131.65,132.61,752485
29-Mar-17,132.08,132.29,131.51,131.95,947625
28-Mar-17,131.82,133.47,130.87,132.91,1476121
27-Mar-17,130.91,132.11,129.17,131.64,1734689
24-Mar-17,133.46,134.19,132.35,132.77,1215419
23-Mar-17,133.72,134.39,133.06,133.44,1207766
22-Mar-17,133.44,134.04,132.89,133.85,819626
21-Mar-17,135.72,135.97,133.24,133.48,1109137
20-Mar-17,135.72,136.03,135.02,135.22,915564
17-Mar-17,135.00,135.79,134.52,135.50,2867715
16-Mar-17,135.11,136.02,134.10,134.48,1001661
15-Mar-17,133.91,135.93,133.71,135.46,1002036
14-Mar-17,133.62,133.76,132.72,133.24,913638
13-Mar-17,134.02,134.44,133.60,134.27,890487
10-Mar-17,133.91,134.08,132.97,134.02,976664
9-Mar-17,133.67,134.06,132.35,132.95,1154358
8-Mar-17,133.88,134.65,133.73,133.88,869808
7-Mar-17,133.79,134.36,133.38,133.90,1167032
6-Mar-17,133.52,134.44,133.44,134.14,1256224
3-Mar-17,134.06,134.44,133.34,134.33,1033857
2-Mar-17,134.51,134.90,133.87,134.24,1661050
1-Mar-17,133.28,135.24,133.23,134.92,1884027
28-Feb-17,131.61,132.20,131.32,132.01,2274674
27-Feb-17,131.48,132.01,131.07,131.88,1125107
24-Feb-17,130.00,131.68,129.57,131.68,1661291
23-Feb-17,130.48,130.86,129.37,130.42,1588962
22-Feb-17,129.75,130.85,129.65,130.12,1299572
21-Feb-17,129.95,130.90,129.60,130.41,1502850
17-Feb-17,129.17,130.36,128.03,130.31,1939513
16-Feb-17,129.83,130.30,129.39,130.26,1185592
15-Feb-17,129.19,129.98,128.90,129.76,838350
14-Feb-17,129.30,129.71,128.54,129.60,960954
13-Feb-17,128.34,129.64,128.34,129.37,897696
10-Feb-17,127.64,128.10,127.18,128.00,725736
9-Feb-17,127.30,128.26,127.15,127.26,1164117
8-Feb-17,126.92,127.39,126.52,127.12,759251
7-Feb-17,127.54,127.98,126.81,126.94,1114630
6-Feb-17,127.06,127.78,126.82,127.29,741044
3-Feb-17,127.60,127.66,126.47,127.21,1486894
2-Feb-17,126.60,127.35,126.06,126.98,964428
1-Feb-17,127.14,127.92,125.96,126.88,1371432
31-Jan-17,128.49,128.63,126.56,127.20,1664175
30-Jan-17,128.82,128.86,127.72,128.79,1483926
27-Jan-17,128.27,129.64,128.27,128.86,1175972
26-Jan-17,128.74,130.04,127.18,128.21,1915635
25-Jan-17,129.11,130.16,124.84,128.57,3539395
24-Jan-17,124.43,127.50,123.86,127.06,2431157
23-Jan-17,123.60,124.13,123.15,124.05,1145748
20-Jan-17,123.75,124.42,123.29,123.74,1109701
19-Jan-17,123.60,124.26,122.61,123.37,1145641
18-Jan-17,122.94,124.03,122.94,123.66,989597
17-Jan-17,122.74,123.26,122.25,122.82,964728
13-Jan-17,122.61,123.66,122.61,123.39,1021616
12-Jan-17,122.99,123.18,120.06,122.61,1287141
11-Jan-17,122.50,123.28,122.02,123.16,1139016
10-Jan-17,122.36,122.90,121.79,122.57,1560537
9-Jan-17,122.68,123.23,122.19,122.28,980874
6-Jan-17,121.91,123.21,121.40,122.88,958611
5-Jan-17,122.95,123.63,120.70,121.61,1480523
