Date,Open,High,Low,Close,Volume
28-Apr-17,33.12,33.47,32.79,32.94,3185461
27-Apr-17,32.70,33.13,31.99,33.12,4668923
26-Apr-17,32.11,32.68,32.01,32.44,4084018
25-Apr-17,32.30,32.33,32.00,32.17,2664224
24-Apr-17,32.00,32.26,31.88,32.03,3774465
21-Apr-17,31.50,31.64,31.14,31.28,2734349
20-Apr-17,31.19,31.59,31.03,31.52,3532860
19-Apr-17,30.96,31.14,30.87,31.01,3117887
18-Apr-17,30.56,30.84,30.37,30.64,3066763
17-Apr-17,30.12,30.77,30.10,30.73,2266256
13-Apr-17,30.30,30.60,30.02,30.03,2472579
12-Apr-17,30.83,30.92,30.36,30.48,3275366
11-Apr-17,30.58,30.87,30.15,30.81,2834825
10-Apr-17,30.37,31.00,30.31,30.75,3003905
7-Apr-17,30.32,30.58,30.20,30.37,2791163
6-Apr-17,30.38,30.68,30.16,30.59,1870704
5-Apr-17,30.76,31.02,30.26,30.28,1967647
4-Apr-17,30.42,30.69,30.41,30.49,1849542
3-Apr-17,30.61,30.73,30.13,30.59,2513185
31-Mar-17,30.56,30.87,30.47,30.63,2970673
30-Mar-17,30.54,30.86,30.42,30.72,2402985
29-Mar-17,30.70,30.82,30.53,30.59,2165932
28-Mar-17,29.96,30.98,29.87,30.77,3481582
27-Mar-17,29.63,30.04,29.36,30.00,3811042
24-Mar-17,30.32,30.53,29.94,30.10,3466527
23-Mar-17,30.09,30.79,30.02,30.22,3201352
22-Mar-17,30.13,30.21,29.70,30.10,3305702
21-Mar-17,31.33,31.73,30.20,30.28,3662503
20-Mar-17,31.18,31.34,30.80,31.09,2711317
17-Mar-17,32.72,32.72,31.18,31.23,5448075
16-Mar-17,32.78,32.81,32.50,32.68,2005161
15-Mar-17,32.11,32.57,32.02,32.50,3014786
14-Mar-17,31.53,31.60,31.11,31.58,2959373
13-Mar-17,31.92,31.92,31.46,31.67,2729693
10-Mar-17,32.44,32.49,31.65,31.79,3616958
9-Mar-17,32.31,32.45,32.10,32.26,2635845
8-Mar-17,32.28,32.40,32.12,32.21,2299990
7-Mar-17,32.15,32.36,31.86,31.96,3799723
6-Mar-17,32.16,32.38,32.07,32.19,2590906
3-Mar-17,32.44,32.55,32.08,32.33,2671470
2-Mar-17,32.48,32.62,32.17,32.38,3480210
1-Mar-17,32.93,33.18,32.41,32.45,5487957
28-Feb-17,32.46,32.51,31.90,32.19,5043308
27-Feb-17,32.62,32.81,32.53,32.65,2425093
24-Feb-17,32.56,32.84,32.53,32.66,3424879
23-Feb-17,33.46,33.46,32.97,33.00,3407394
22-Feb-17,32.92,33.44,32.89,33.35,3770483
21-Feb-17,32.75,33.22,32.74,33.15,3064603
17-Feb-17,32.05,32.57,32.02,32.54,2121062
16-Feb-17,32.69,32.76,32.41,32.55,2188535
15-Feb-17,32.37,32.82,32.11,32.71,2972915
14-Feb-17,31.76,32.14,31.66,32.00,2231231
13-Feb-17,32.03,32.23,31.83,32.11,2251481
10-Feb-17,31.74,32.19,31.71,31.84,3905275
9-Feb-17,30.69,31.54,30.68,31.50,3904513
8-Feb-17,30.21,30.60,29.98,30.52,2658764
7-Feb-17,30.65,30.68,30.13,30.43,2405968
6-Feb-17,30.59,30.98,30.41,30.46,2567327
3-Feb-17,30.16,30.93,30.13,30.90,5353947
2-Feb-17,29.24,29.66,29.07,29.55,3505304
1-Feb-17,29.16,29.70,29.09,29.59,3632551
31-Jan-17,29.12,29.18,28.75,28.92,4944754
30-Jan-17,29.43,29.43,28.84,29.22,4102332
27-Jan-17,29.96,30.03,29.33,29.51,4015258
26-Jan-17,31.44,31.53,29.89,30.00,4882343
25-Jan-17,31.27,31.49,30.85,31.09,3511634
24-Jan-17,30.61,31.30,30.57,30.85,3467741
23-Jan-17,30.38,30.51,30.11,30.46,1988474
20-Jan-17,30.29,30.53,30.20,30.52,3855508
19-Jan-17,30.64,30.82,30.12,30.17,3964772
18-Jan-17,30.43,30.57,30.24,30.55,3512493
17-Jan-17,30.90,30.94,30.45,30.55,2834097
13-Jan-17,31.14,31.55,31.06,31.10,2411160
12-Jan-17,30.89,31.15,30.46,31.05,2984667
11-Jan-17,30.61,31.13,30.58,31.11,2361445
10-Jan-17,30.85,31.01,30.64,30.67,2895969
9-Jan-17,31.25,31.55,30.84,30.85,3525069
6-Jan-17,31.60,31.62,31.18,31.53,3522546
5-Jan-17,31.56,31.80,31.06,31.52,2797536
4-Jan-17,31.04,31.82,30.95,31.77,3470424
3-Jan-17,30.98,31.24,30.56,30.93,3483548
30-Dec-16,30.33,30.46,30.19,30.34,2170375
29-Dec-16,30.38,30.44,29.96,30.10,3287357
28-Dec-16,31.27,31.30,30.32,30.35,2633855
27-Dec-16,31.02,31.31,30.90,31.16,1751537
23-Dec-16,31.12,31.12,30.68,30.86,1510253
22-Dec-16,31.41,31.41,30.78,31.05,2706188
21-Dec-16,31.79,31.80,31.25,31.44,2670384
20-Dec-16,31.74,31.96,31.62,31.83,3185814
19-Dec-16,31.32,31.67,31.11,31.40,2629381
16-Dec-16,31.92,32.36,31.31,31.40,6722889
15-Dec-16,31.64,32.14,31.46,31.65,3498929
14-Dec-16,31.48,32.10,31.29,31.52,5014924
13-Dec-16,32.51,32.54,31.52,31.74,6196852
12-Dec-16,32.78,32.82,32.18,32.31,2951876
9-Dec-16,33.07,33.20,32.73,32.79,2636911
8-Dec-16,32.88,33.34,32.77,33.16,2687566
7-Dec-16,32.24,32.84,32.14,32.73,2770385
6-Dec-16,31.88,32.33,31.82,32.24,3551862
5-Dec-16,31.82,32.00,31.41,31.72,3345855
2-Dec-16,31.49,31.60,31.26,31.42,2349382
1-Dec-16,31.64,31.92,31.36,31.62,2830063
30-Nov-16,31.53,31.62,31.21,31.31,3269180
29-Nov-16,31.33,31.39,30.88,30.94,2611383
28-Nov-16,31.35,31.52,31.16,31.23,2934522
25-Nov-16,31.69,31.82,31.54,31.66,901828
23-Nov-16,31.76,31.95,31.47,31.67,2013021
22-Nov-16,31.96,31.96,31.41,31.73,2449556
